"search_id","requirement_id","searched_date","query_or_path","source_types_checked","result_status","researcher","review_status","notes"
"SEARCH-M2W2-AWS-INF1-PACKAGE","REQ-M2W2-AWS-PKG-051","2026-08-13","M2-W2 固定 AWS package 语料：SRC-M2-GA-A01|SRC-M2-GA-A02；检索 封装方式、package、die、chiplet、interposer、substrate 等对应表述。","developer_documentation","no_reliable_result","m2_w2_aws_package_facts","draft","在本包固定的开发文档语料内未找到可靠定值；未声称检查 cloud_service_documentation 或 press_release。"
"SEARCH-M2W2-AWS-INF1-DIE-COUNT","REQ-M2W2-AWS-PKG-052","2026-08-13","M2-W2 固定 AWS package 语料：SRC-M2-GA-A01|SRC-M2-GA-A02；检索 裸片或芯粒数量、package、die、chiplet、interposer、substrate 等对应表述。","developer_documentation","no_reliable_result","m2_w2_aws_package_facts","draft","在本包固定的开发文档语料内未找到可靠定值；未声称检查 cloud_service_documentation 或 press_release。"
"SEARCH-M2W2-AWS-INF1-INTERPOSER","REQ-M2W2-AWS-PKG-053","2026-08-13","M2-W2 固定 AWS package 语料：SRC-M2-GA-A01|SRC-M2-GA-A02；检索 中介层或基板、package、die、chiplet、interposer、substrate 等对应表述。","developer_documentation","no_reliable_result","m2_w2_aws_package_facts","draft","在本包固定的开发文档语料内未找到可靠定值；未声称检查 cloud_service_documentation 或 press_release。"
"SEARCH-M2W2-AWS-INF1-DIE-AREA","REQ-M2W2-AWS-PKG-054","2026-08-13","M2-W2 固定 AWS package 语料：SRC-M2-GA-A01|SRC-M2-GA-A02；检索 裸片面积、package、die、chiplet、interposer、substrate 等对应表述。","developer_documentation","no_reliable_result","m2_w2_aws_package_facts","draft","在本包固定的开发文档语料内未找到可靠定值；未声称检查 cloud_service_documentation 或 press_release。"
"SEARCH-M2W2-AWS-INF1-TRANSISTORS","REQ-M2W2-AWS-PKG-055","2026-08-13","M2-W2 固定 AWS package 语料：SRC-M2-GA-A01|SRC-M2-GA-A02；检索 晶体管数量、package、die、chiplet、interposer、substrate 等对应表述。","developer_documentation","no_reliable_result","m2_w2_aws_package_facts","draft","在本包固定的开发文档语料内未找到可靠定值；未声称检查 cloud_service_documentation 或 press_release。"
"SEARCH-M2W2-AWS-TRN1-PACKAGE","REQ-M2W2-AWS-PKG-056","2026-08-13","M2-W2 固定 AWS package 语料：SRC-M2-GA-A03|SRC-M2-GA-A05；检索 封装方式、package、die、chiplet、interposer、substrate 等对应表述。","developer_documentation","no_reliable_result","m2_w2_aws_package_facts","draft","在本包固定的开发文档语料内未找到可靠定值；未声称检查 cloud_service_documentation 或 press_release。"
"SEARCH-M2W2-AWS-TRN1-DIE-COUNT","REQ-M2W2-AWS-PKG-057","2026-08-13","M2-W2 固定 AWS package 语料：SRC-M2-GA-A03|SRC-M2-GA-A05；检索 裸片或芯粒数量、package、die、chiplet、interposer、substrate 等对应表述。","developer_documentation","no_reliable_result","m2_w2_aws_package_facts","draft","在本包固定的开发文档语料内未找到可靠定值；未声称检查 cloud_service_documentation 或 press_release。"
"SEARCH-M2W2-AWS-TRN1-INTERPOSER","REQ-M2W2-AWS-PKG-058","2026-08-13","M2-W2 固定 AWS package 语料：SRC-M2-GA-A03|SRC-M2-GA-A05；检索 中介层或基板、package、die、chiplet、interposer、substrate 等对应表述。","developer_documentation","no_reliable_result","m2_w2_aws_package_facts","draft","在本包固定的开发文档语料内未找到可靠定值；未声称检查 cloud_service_documentation 或 press_release。"
"SEARCH-M2W2-AWS-TRN1-DIE-AREA","REQ-M2W2-AWS-PKG-059","2026-08-13","M2-W2 固定 AWS package 语料：SRC-M2-GA-A03|SRC-M2-GA-A05；检索 裸片面积、package、die、chiplet、interposer、substrate 等对应表述。","developer_documentation","no_reliable_result","m2_w2_aws_package_facts","draft","在本包固定的开发文档语料内未找到可靠定值；未声称检查 cloud_service_documentation 或 press_release。"
"SEARCH-M2W2-AWS-TRN1-TRANSISTORS","REQ-M2W2-AWS-PKG-060","2026-08-13","M2-W2 固定 AWS package 语料：SRC-M2-GA-A03|SRC-M2-GA-A05；检索 晶体管数量、package、die、chiplet、interposer、substrate 等对应表述。","developer_documentation","no_reliable_result","m2_w2_aws_package_facts","draft","在本包固定的开发文档语料内未找到可靠定值；未声称检查 cloud_service_documentation 或 press_release。"
