"object_relation_id","subject_object_id","subject_scope_class","relation_type","object_object_id","object_scope_class","current_review_status","fact_count","assertion_count","recommended_disposition"
"OREL-NVIDIA-H100-IMPLEMENTS-HOPPER","OBJ-NVIDIA-H100-SXM5-80GB","C","implements_architecture","OBJ-NVIDIA-HOPPER-ARCH","B","reviewed","0","0","exit_mainline_keep_historical_relation"
"OREL-AWS-TRAINIUM2-IMPLEMENTS-ARCH","OBJ-AWS-TRAINIUM2-CHIP","A","implements_architecture","OBJ-AWS-TRAINIUM2-ARCH","B","reviewed","0","0","retain_mainline_or_architecture_support"
"OREL-AWS-TRN2-INSTANCE-CONTAINS-TRAINIUM2","OBJ-AWS-TRN2-INSTANCE-FAMILY","C","instance_contains_accelerator","OBJ-AWS-TRAINIUM2-CHIP","A","reviewed","0","0","exit_mainline_keep_historical_relation"
"OREL-AWS-TRN2-ULTRASERVER-CONTAINS-TRAINIUM2","OBJ-AWS-TRN2-ULTRASERVER-64","C","physically_contains","OBJ-AWS-TRAINIUM2-CHIP","A","needs_resolution","1","1","exit_mainline_keep_historical_relation"
"OREL-CAMBRICON-MLU590-IMPLEMENTS-ARCH","OBJ-CAMBRICON-MLU590-CHIP","A","implements_architecture","OBJ-CAMBRICON-MLU590-ARCH","B","reviewed","0","0","retain_mainline_or_architecture_support"
"OREL-AWS-TRN2-3XLARGE-VARIANT-OF-FAMILY","OBJ-AWS-TRN2-3XLARGE","C","sku_variant_of","OBJ-AWS-TRN2-INSTANCE-FAMILY","C","reviewed","0","0","exit_mainline_keep_historical_relation"
"OREL-AWS-TRN2-48XLARGE-VARIANT-OF-FAMILY","OBJ-AWS-TRN2-48XLARGE","C","sku_variant_of","OBJ-AWS-TRN2-INSTANCE-FAMILY","C","reviewed","0","0","exit_mainline_keep_historical_relation"
"OREL-AWS-TRN2U-48XLARGE-VARIANT-OF-FAMILY","OBJ-AWS-TRN2U-48XLARGE","C","sku_variant_of","OBJ-AWS-TRN2-INSTANCE-FAMILY","C","reviewed","0","0","exit_mainline_keep_historical_relation"
"OREL-AWS-TRN2-3XLARGE-CONTAINS-TRAINIUM2","OBJ-AWS-TRN2-3XLARGE","C","instance_contains_accelerator","OBJ-AWS-TRAINIUM2-CHIP","A","reviewed","1","1","exit_mainline_keep_historical_relation"
"OREL-AWS-TRN2-48XLARGE-CONTAINS-TRAINIUM2","OBJ-AWS-TRN2-48XLARGE","C","instance_contains_accelerator","OBJ-AWS-TRAINIUM2-CHIP","A","reviewed","1","1","exit_mainline_keep_historical_relation"
"OREL-AWS-TRN2U-48XLARGE-CONTAINS-TRAINIUM2","OBJ-AWS-TRN2U-48XLARGE","C","instance_contains_accelerator","OBJ-AWS-TRAINIUM2-CHIP","A","reviewed","1","1","exit_mainline_keep_historical_relation"
"OREL-AWS-TRN2U-48XLARGE-DEPLOYED-IN-ULTRASERVER","OBJ-AWS-TRN2U-48XLARGE","C","deployed_in_system","OBJ-AWS-TRN2-ULTRASERVER-64","C","needs_resolution","1","1","exit_mainline_keep_historical_relation"
"OREL-NVIDIA-H100-SXM5-CONTAINS-GH100","OBJ-NVIDIA-H100-SXM5-80GB","C","physically_contains","OBJ-NVIDIA-GH100-DIE","A","reviewed","0","0","exit_mainline_keep_historical_relation"
"OREL-NVIDIA-L20-IMPLEMENTS-ADA","OBJ-NVIDIA-L20","C","implements_architecture","OBJ-NVIDIA-ADA-LOVELACE-ARCH","B","reviewed","0","0","exit_mainline_keep_historical_relation"
"OREL-NVIDIA-L2-IMPLEMENTS-ADA","OBJ-NVIDIA-L2","C","implements_architecture","OBJ-NVIDIA-ADA-LOVELACE-ARCH","B","reviewed","0","0","exit_mainline_keep_historical_relation"
"OREL-AMD-MI350P-IMPLEMENTS-CDNA4","OBJ-AMD-MI350P","C","implements_architecture","OBJ-AMD-CDNA4-ARCH","B","reviewed","0","0","exit_mainline_keep_historical_relation"
"OREL-AMD-MI455X-IMPLEMENTS-CDNA5","OBJ-AMD-MI455X","C","implements_architecture","OBJ-AMD-CDNA5-ARCH","B","reviewed","0","0","exit_mainline_keep_historical_relation"
"OREL-AMD-HELIOS-CONTAINS-MI455X","OBJ-AMD-HELIOS-72-MI455X","C","physically_contains","OBJ-AMD-MI455X","C","reviewed","1","2","exit_mainline_keep_historical_relation"
"OREL-HUAWEI-950PR-CONTAINS-950-DIE","OBJ-HUAWEI-ASCEND-950PR","A","package_contains_die","OBJ-HUAWEI-ASCEND-950-DIE","A","reviewed","0","0","retain_mainline_or_architecture_support"
"OREL-HUAWEI-950DT-CONTAINS-950-DIE","OBJ-HUAWEI-ASCEND-950DT","A","package_contains_die","OBJ-HUAWEI-ASCEND-950-DIE","A","reviewed","0","0","retain_mainline_or_architecture_support"
"OREL-AWS-INFERENTIA1-IMPLEMENTS-ARCH","OBJ-AWS-INFERENTIA1-CHIP","A","implements_architecture","OBJ-AWS-INFERENTIA1-ARCH","B","needs_resolution","0","0","retain_mainline_or_architecture_support"
"OREL-AWS-TRAINIUM1-IMPLEMENTS-ARCH","OBJ-AWS-TRAINIUM1-CHIP","A","implements_architecture","OBJ-AWS-TRAINIUM1-ARCH","B","needs_resolution","0","0","retain_mainline_or_architecture_support"
"OREL-AWS-INFERENTIA2-IMPLEMENTS-ARCH","OBJ-AWS-INFERENTIA2-CHIP","A","implements_architecture","OBJ-AWS-INFERENTIA2-ARCH","B","needs_resolution","0","0","retain_mainline_or_architecture_support"
"OREL-AWS-TRAINIUM3-IMPLEMENTS-ARCH","OBJ-AWS-TRAINIUM3-CHIP","A","implements_architecture","OBJ-AWS-TRAINIUM3-ARCH","B","needs_resolution","0","0","retain_mainline_or_architecture_support"
"OREL-GOOGLE-V5E-CLOUD-DEVICE-IMPLEMENTS-ARCH","OBJ-GOOGLE-TPU-V5E-CLOUD-DEVICE","C","implements_architecture","OBJ-GOOGLE-TPU-V5E-ARCH","B","needs_resolution","0","0","exit_mainline_keep_historical_relation"
"OREL-GOOGLE-V5P-CLOUD-DEVICE-IMPLEMENTS-ARCH","OBJ-GOOGLE-TPU-V5P-CLOUD-DEVICE","C","implements_architecture","OBJ-GOOGLE-TPU-V5P-ARCH","B","needs_resolution","0","0","exit_mainline_keep_historical_relation"
