"audit_id","object_id","metric","input_1","input_2","formula","recomputed_value","reported_value","unit","rounding_rule","result","object_scope","precision","sparsity","peak_or_measured","interpretation_status"
"D01","OBJ-NVIDIA-H100-SXM5-80GB","R_P/B","P_peak=989.4e12 FLOP/s","B_HBM=3.35e12 byte/s","P_peak/B_HBM","295.34328358208955","295.34","FLOP/byte","小数点后2位","pass","SXM5模组","BF16输入、FP32累加","dense","理论峰值/名义带宽","Roofline机器平衡点，须结合工作负载算术强度"
"D02","OBJ-NVIDIA-H100-SXM5-80GB","R_B/P","B_HBM=3.35e12 byte/s","P_peak=989.4e12 FLOP/s","B_HBM/P_peak","0.0033858904386496868","0.003386","byte/FLOP","有效数字4位","pass","SXM5模组","BF16输入、FP32累加","dense","理论峰值/名义带宽","R_P/B倒数，须结合工作负载算术强度"
"D03","OBJ-NVIDIA-H100-SXM5-80GB","R_C/P","C_HBM=80e9 byte","P_peak=989.4e12 FLOP/s","C_HBM/P_peak","8.0857085102082067E-05","8.086e-5","byte·s/FLOP","有效数字4位","pass","SXM5模组","BF16输入、FP32累加","dense","容量/理论峰值","描述性比值；C18未确认通用诊断含义"
"D04","OBJ-AWS-INFERENTIA2-CHIP","R_P/B_820GB","P_peak=190e12 FLOP/s","B_HBM=820e9 byte/s","P_peak/B_HBM","231.70731707317074","231.71","FLOP/byte","小数点后2位","pass","package保守事实容器","FP16/BF16/cFP8/TF32合并口径","未说明","理论峰值/官方名义带宽","与820 GiB/s口径冲突，必须并列"
"D05","OBJ-AWS-INFERENTIA2-CHIP","R_B/P_820GB","B_HBM=820e9 byte/s","P_peak=190e12 FLOP/s","B_HBM/P_peak","0.00431578947368421","0.004316","byte/FLOP","有效数字4位","pass","package保守事实容器","FP16/BF16/cFP8/TF32合并口径","未说明","理论峰值/官方名义带宽","与820 GiB/s口径冲突，必须并列"
"D06","OBJ-AWS-INFERENTIA2-CHIP","R_P/B_820GiB","P_peak=190e12 FLOP/s","B_HBM=880468295680 byte/s","P_peak/B_HBM","215.7942550938304","215.79","FLOP/byte","小数点后2位","pass","package保守事实容器","FP16/BF16/cFP8/TF32合并口径","未说明","理论峰值/官方名义带宽","与820 GB/s口径冲突，必须并列"
"D07","OBJ-AWS-INFERENTIA2-CHIP","R_B/P_820GiB","B_HBM=880468295680 byte/s","P_peak=190e12 FLOP/s","B_HBM/P_peak","0.004634043661473684","0.004634","byte/FLOP","有效数字4位","pass","package保守事实容器","FP16/BF16/cFP8/TF32合并口径","未说明","理论峰值/官方名义带宽","与820 GB/s口径冲突，必须并列"
"D08","OBJ-AWS-INFERENTIA2-CHIP","R_C/P","C_HBM=34359738368 byte","P_peak=190e12 FLOP/s","C_HBM/P_peak","0.00018084072825263158","1.808e-4","byte·s/FLOP","有效数字4位","pass","package保守事实容器","FP16/BF16/cFP8/TF32合并口径","未说明","容量/理论峰值","描述性比值；C18未确认通用诊断含义"
"D09","OBJ-NVIDIA-H100-SXM5-80GB","互联派生指标","NVLink端点18链路、900 GB/s","缺少同口径有效载荷、消息尺寸与持续实测","未计算","","","","","not_applicable","SXM5模组端点","不适用","不适用","厂商全链路双向聚合铭牌值","不从端点聚合值推导系统或应用互联性能"
"D10","OBJ-AWS-INFERENTIA2-CHIP","互联派生指标","NeuronLink-v2接口2个","速率、方向、有效载荷与系统拓扑未公开","未计算","","","","","not_applicable","package保守事实容器端点","不适用","不适用","接口计数","输入不足，不补算"
