"requirement_id","object_id","component_id","link_id","object_relation_id","precision_path_id","capability_id","topology_id","field_id","requirement_status","applicability_reason","search_status","last_searched_date","requirement_fingerprint","review_status","notes"
"REQ-M2NA-AVAIL-0001","","COMP-M2NA-AMPERE-SM","","","","","","FIELD-COMP-EXECUTION","value_available","At least one staged atomic fact supplies this subject-field pair.","completed","2026-08-12","M2NA|component|COMP-M2NA-AMPERE-SM|FIELD-COMP-EXECUTION","draft","Supporting staged fact_id: FACT-M2NA-AMPERE-SM-EXEC"
"REQ-M2NA-AVAIL-0002","","COMP-M2NA-AMPERE-TENSOR","","","","","","FIELD-COMP-EXECUTION","value_available","At least one staged atomic fact supplies this subject-field pair.","completed","2026-08-12","M2NA|component|COMP-M2NA-AMPERE-TENSOR|FIELD-COMP-EXECUTION","draft","Supporting staged fact_id: FACT-M2NA-AMPERE-TENSOR-EXEC"
"REQ-M2NA-AVAIL-0003","","COMP-M2NA-AMPERE-TENSOR","","","","","","FIELD-COMP-SHARED-RESOURCE","value_available","At least one staged atomic fact supplies this subject-field pair.","completed","2026-08-12","M2NA|component|COMP-M2NA-AMPERE-TENSOR|FIELD-COMP-SHARED-RESOURCE","draft","Supporting staged fact_id: FACT-M2NA-AMPERE-TENSOR-FORMATS"
"REQ-M2NA-AVAIL-0004","","COMP-M2NA-AMPERE-CUDA","","","","","","FIELD-COMP-EXECUTION","value_available","At least one staged atomic fact supplies this subject-field pair.","completed","2026-08-12","M2NA|component|COMP-M2NA-AMPERE-CUDA|FIELD-COMP-EXECUTION","needs_resolution","Supporting staged fact_id: FACT-M2NA-AMPERE-CUDA-EXEC"
"REQ-M2NA-AVAIL-0005","","COMP-M2NA-AMPERE-ASYNC-COPY","","","","","","FIELD-COMP-EXECUTION","value_available","At least one staged atomic fact supplies this subject-field pair.","completed","2026-08-12","M2NA|component|COMP-M2NA-AMPERE-ASYNC-COPY|FIELD-COMP-EXECUTION","draft","Supporting staged fact_id: FACT-M2NA-AMPERE-ASYNC-EXEC"
"REQ-M2NA-AVAIL-0006","","COMP-M2NA-AMPERE-L1SMEM","","","","","","FIELD-MEM-MANAGEMENT","value_available","At least one staged atomic fact supplies this subject-field pair.","completed","2026-08-12","M2NA|component|COMP-M2NA-AMPERE-L1SMEM|FIELD-MEM-MANAGEMENT","draft","Supporting staged fact_id: FACT-M2NA-AMPERE-L1SMEM-MGMT"
"REQ-M2NA-AVAIL-0007","","COMP-M2NA-AMPERE-L1SMEM","","","","","","FIELD-MEM-LOCALITY-SCOPE","value_available","At least one staged atomic fact supplies this subject-field pair.","completed","2026-08-12","M2NA|component|COMP-M2NA-AMPERE-L1SMEM|FIELD-MEM-LOCALITY-SCOPE","draft","Supporting staged fact_id: FACT-M2NA-AMPERE-L1SMEM-SCOPE"
"REQ-M2NA-AVAIL-0008","","","","","PPATH-M2NA-AMPERE-TENSOR-FP16","","","FIELD-NUM-OPERAND-A","value_available","At least one staged atomic fact supplies this subject-field pair.","completed","2026-08-12","M2NA|precision_path|PPATH-M2NA-AMPERE-TENSOR-FP16|FIELD-NUM-OPERAND-A","draft","Supporting staged fact_id: FACT-M2NA-AMPERE-FP16-A"
"REQ-M2NA-AVAIL-0009","","","","","PPATH-M2NA-AMPERE-TENSOR-FP16","","","FIELD-NUM-OPERAND-B","value_available","At least one staged atomic fact supplies this subject-field pair.","completed","2026-08-12","M2NA|precision_path|PPATH-M2NA-AMPERE-TENSOR-FP16|FIELD-NUM-OPERAND-B","draft","Supporting staged fact_id: FACT-M2NA-AMPERE-FP16-B"
"REQ-M2NA-AVAIL-0010","","","","","PPATH-M2NA-AMPERE-TENSOR-FP16","","","FIELD-NUM-ACCUMULATION","value_available","At least one staged atomic fact supplies this subject-field pair.","completed","2026-08-12","M2NA|precision_path|PPATH-M2NA-AMPERE-TENSOR-FP16|FIELD-NUM-ACCUMULATION","draft","Supporting staged fact_id: FACT-M2NA-AMPERE-FP16-ACC"
"REQ-M2NA-AVAIL-0011","","","","","PPATH-M2NA-AMPERE-TENSOR-BF16","","","FIELD-NUM-OPERAND-A","value_available","At least one staged atomic fact supplies this subject-field pair.","completed","2026-08-12","M2NA|precision_path|PPATH-M2NA-AMPERE-TENSOR-BF16|FIELD-NUM-OPERAND-A","draft","Supporting staged fact_id: FACT-M2NA-AMPERE-BF16-A"
"REQ-M2NA-AVAIL-0012","","","","","PPATH-M2NA-AMPERE-TENSOR-BF16","","","FIELD-NUM-ACCUMULATION","value_available","At least one staged atomic fact supplies this subject-field pair.","completed","2026-08-12","M2NA|precision_path|PPATH-M2NA-AMPERE-TENSOR-BF16|FIELD-NUM-ACCUMULATION","draft","Supporting staged fact_id: FACT-M2NA-AMPERE-BF16-ACC"
"REQ-M2NA-AVAIL-0013","","","","","PPATH-M2NA-AMPERE-TENSOR-TF32","","","FIELD-NUM-OPERAND-A","value_available","At least one staged atomic fact supplies this subject-field pair.","completed","2026-08-12","M2NA|precision_path|PPATH-M2NA-AMPERE-TENSOR-TF32|FIELD-NUM-OPERAND-A","draft","Supporting staged fact_id: FACT-M2NA-AMPERE-TF32-A"
"REQ-M2NA-AVAIL-0014","","","","","PPATH-M2NA-AMPERE-TENSOR-TF32","","","FIELD-NUM-ACCUMULATION","value_available","At least one staged atomic fact supplies this subject-field pair.","completed","2026-08-12","M2NA|precision_path|PPATH-M2NA-AMPERE-TENSOR-TF32|FIELD-NUM-ACCUMULATION","draft","Supporting staged fact_id: FACT-M2NA-AMPERE-TF32-ACC"
"REQ-M2NA-AVAIL-0015","","","","","PPATH-M2NA-AMPERE-TENSOR-FP64","","","FIELD-NUM-OPERAND-A","value_available","At least one staged atomic fact supplies this subject-field pair.","completed","2026-08-12","M2NA|precision_path|PPATH-M2NA-AMPERE-TENSOR-FP64|FIELD-NUM-OPERAND-A","draft","Supporting staged fact_id: FACT-M2NA-AMPERE-FP64-A"
"REQ-M2NA-AVAIL-0016","","","","","PPATH-M2NA-AMPERE-TENSOR-INT8","","","FIELD-NUM-OPERAND-A","value_available","At least one staged atomic fact supplies this subject-field pair.","completed","2026-08-12","M2NA|precision_path|PPATH-M2NA-AMPERE-TENSOR-INT8|FIELD-NUM-OPERAND-A","draft","Supporting staged fact_id: FACT-M2NA-AMPERE-INT-A"
"REQ-M2NA-AVAIL-0017","","","","","","CAP-M2NA-AMPERE-SPARSE","","FIELD-CAP-IMPLEMENTATION-LEVEL","value_available","At least one staged atomic fact supplies this subject-field pair.","completed","2026-08-12","M2NA|capability|CAP-M2NA-AMPERE-SPARSE|FIELD-CAP-IMPLEMENTATION-LEVEL","draft","Supporting staged fact_id: FACT-M2NA-AMPERE-SPARSE-LEVEL"
