"old_path","new_path","content_policy","recovery_role"
"已有资料-训练推理芯片差异/","01_前置调研-训练推理架构关注点/","整体移动；只修复有效路径和可执行脚本，不改固定语料与历史核验数据","前置专题的语料、逐篇分析、综合结论和分析模板"
"README.md","02_主线调研-49款芯片资料库/README.md","保留原主线入口内容并按新路径修订；项目根新建总入口","49 款芯片主线入口"
"AGENTS.md","02_主线调研-49款芯片资料库/AGENTS.md","保留原详细协作规则并按新运行根修订；项目根新建范围路由规则","主线协作和恢复约束"
"研究计划.md","02_主线调研-49款芯片资料库/研究计划.md","整体移动并更新主线运行根说明","主线计划与验收标准"
"参考资料总览.md","02_主线调研-49款芯片资料库/参考资料总览.md","整体移动","原始资料池说明"
"论文/","02_主线调研-49款芯片资料库/论文/","整体移动；内容不得修改","主线原始 PDF 资料池"
"清单/","02_主线调研-49款芯片资料库/清单/","整体移动；迁移事务不修改清单内容","PDF、网页、待补资料和冻结芯片名单"
"资料卡/","02_主线调研-49款芯片资料库/资料卡/","整体移动；迁移事务不修改既有卡片内容","架构、实现与后续一芯片一文档"
"数据/","02_主线调研-49款芯片资料库/数据/","整体移动；18 张正式 CSV 内容不得修改","对象、关系、事实、字段要求和派生指标"
"最小参考资料库/","02_主线调研-49款芯片资料库/最小参考资料库/","整体移动；14 张正式 CSV、快照和选择记录内容不得修改","来源筛选、覆盖、冲突和反向移除结果"
"审计/","02_主线调研-49款芯片资料库/审计/","整体移动；只新增本次迁移审计和交接，不改既有备份","正式合并、复核、回滚和迁移证据"
"进度/","02_主线调研-49款芯片资料库/进度/","整体移动并更新当前停点、决策和台账","跨会话恢复"
"scripts/","02_主线调研-49款芯片资料库/scripts/","整体移动；只修复运行根定位","资料收集和正式校验"
"tmp/","02_主线调研-49款芯片资料库/tmp/","整体移动","既有临时工作目录"
