"screening_id","source_id","screening_status","rationale","full_text_read_status","screened_by","screened_date","screening_fingerprint","review_status","notes"
"SCREEN-M2NA-NVIDIA-AMPERE-WP-2020","SRC-M2NA-NVIDIA-AMPERE-WP-2020","selected","直接支撑 Ampere 的第三代 Tensor Core 格式、2:4 结构化稀疏、异步复制、统一 L1/共享内存和 NVLink 3；移除后 21 条事实失去当前直接证据。","relevant_sections_read","m2_arch_nvidia_amd","2026-08-12","SRC-M2NA-NVIDIA-AMPERE-WP-2020|selected|2026-08-12","draft","Remediation rerun against the 185-fact set; total-control merge review required."
"SCREEN-M2NA-NVIDIA-ADA-WP-2022","SRC-M2NA-NVIDIA-ADA-WP-2022","selected","直接支撑 Ada 的第四代 Tensor Core、FP8 累加选项、统一 L1/共享内存和稀疏语义；移除后 12 条事实失去当前直接证据。","relevant_sections_read","m2_arch_nvidia_amd","2026-08-12","SRC-M2NA-NVIDIA-ADA-WP-2022|selected|2026-08-12","draft","Remediation rerun against the 185-fact set; total-control merge review required."
"SCREEN-M2NA-NVIDIA-BLACKWELL-BRIEF-V2-1","SRC-M2NA-NVIDIA-BLACKWELL-BRIEF-V2-1","selected","Blackwell 的主架构简报，支撑第五代 Tensor Core、FP4/FP6、第二代 Transformer Engine、NV-HBI/NVLink 5 机制和 RAS；GB200 解压数字已下沉 backlog。","relevant_sections_read","m2_arch_nvidia_amd","2026-08-12","SRC-M2NA-NVIDIA-BLACKWELL-BRIEF-V2-1|selected|2026-08-12","draft","Remediation rerun against the 185-fact set; total-control merge review required."
"SCREEN-M2NA-NVIDIA-BLACKWELL-HC36-2024","SRC-M2NA-NVIDIA-BLACKWELL-HC36-2024","selected","补足技术简报没有展开的 micro-tensor 缩放粒度及 Transformer Engine 说明；当前 3 条事实只由本演讲直接定位。","relevant_sections_read","m2_arch_nvidia_amd","2026-08-12","SRC-M2NA-NVIDIA-BLACKWELL-HC36-2024|selected|2026-08-12","draft","Remediation rerun against the 185-fact set; total-control merge review required."
"SCREEN-M2NA-NVIDIA-PTX-ISA-9-3","SRC-M2NA-NVIDIA-PTX-ISA-9-3","selected","给出 Tensor Memory 每 CTA 逻辑空间、动态分配、tcgen05.cp 与 tcgen05.mma.sp 的程序员语义；宣传简报不能替代这 9 条精确指令事实。","relevant_sections_read","m2_arch_nvidia_amd","2026-08-12","SRC-M2NA-NVIDIA-PTX-ISA-9-3|selected|2026-08-12","draft","Remediation rerun against the 185-fact set; total-control merge review required."
"SCREEN-M2NA-NVIDIA-BLACKWELL-TUNING-12-8","SRC-M2NA-NVIDIA-BLACKWELL-TUNING-12-8","redundant_covered","当前架构事实由技术简报和 PTX 更直接地覆盖；调优指南仍有软件映射价值，但不是本轮最小事实集的必要成员。","relevant_sections_read","m2_arch_nvidia_amd","2026-08-12","SRC-M2NA-NVIDIA-BLACKWELL-TUNING-12-8|redundant_covered|2026-08-12","draft","Staging judgement; total-control merge review required."
"SCREEN-M2NA-NVIDIA-BLACKWELL-DATASHEET-OCT25","SRC-M2NA-NVIDIA-BLACKWELL-DATASHEET-OCT25","out_of_scope","该文件主要给出具体 GPU、模组和系统铭牌规格；本架构包所需机制由技术简报支撑，故留待物理对象或 SKU 卡重评。","relevant_sections_read","m2_arch_nvidia_amd","2026-08-12","SRC-M2NA-NVIDIA-BLACKWELL-DATASHEET-OCT25|out_of_scope|2026-08-12","draft","Staging judgement; total-control merge review required."
"SCREEN-M2NA-NVIDIA-BLACKWELL-ULTRA-SOFTMAX-2026","SRC-M2NA-NVIDIA-BLACKWELL-ULTRA-SOFTMAX-2026","selected","唯一直接以 Blackwell Ultra 为主语的增量来源，支撑 MUFU.EX2、softmax 映射和相对 Blackwell 的指数吞吐比；移除后 4 条 Ultra 事实均无证据。","relevant_sections_read","m2_arch_nvidia_amd","2026-08-12","SRC-M2NA-NVIDIA-BLACKWELL-ULTRA-SOFTMAX-2026|selected|2026-08-12","draft","Remediation rerun against the 185-fact set; total-control merge review required."
"SCREEN-M2NA-NVIDIA-RUBIN-BLOG-20260721","SRC-M2NA-NVIDIA-RUBIN-BLOG-20260721","selected","截止日前唯一达到当前粒度的 Rubin 官方架构来源，支撑增强 TMA、3-bit LUT、激活稀疏压缩、指数路径和 counted writes 等 12 条观察事实。","relevant_sections_read","m2_arch_nvidia_amd","2026-08-12","SRC-M2NA-NVIDIA-RUBIN-BLOG-20260721|selected|2026-08-12","draft","Remediation rerun against the 185-fact set; total-control merge review required."
"SCREEN-M2NA-AMD-CDNA2-WP","SRC-M2NA-AMD-CDNA2-WP","selected","CDNA 2 主架构来源，支撑 Wave64 CU、4×16-wide SIMD、MFMA、LDS 与 Infinity Fabric；移除后 14 条事实失去直接证据。","relevant_sections_read","m2_arch_nvidia_amd","2026-08-12","SRC-M2NA-AMD-CDNA2-WP|selected|2026-08-12","draft","Remediation rerun against the 185-fact set; total-control merge review required."
"SCREEN-M2NA-AMD-CDNA2-ISA","SRC-M2NA-AMD-CDNA2-ISA","selected","补足 CDNA 2 白皮书未系统列出的 MFMA 输入和 C/D 格式，尤其 FP16/BF16 到 FP32 的程序员可见累加语义。","relevant_sections_read","m2_arch_nvidia_amd","2026-08-12","SRC-M2NA-AMD-CDNA2-ISA|selected|2026-08-12","draft","Remediation rerun against the 185-fact set; total-control merge review required."
