"fact_id","object_id","component_id","link_id","object_relation_id","precision_path_id","capability_id","topology_id","field_id","normalized_value_text","normalized_value_number","normalized_unit","condition_set_id","fact_kind","evidence_state","resolution_state","valid_from","valid_to","confidence","confidence_reason","fact_fingerprint","review_status","notes"
"FACT-M2W2-AWS-INF1-NCV1-COUNT","","CMP-M2W2-AWS-INF1-NCV1","","","","","","FIELD-COMP-UNIT-COUNT","","4","count","COND-NONE","direct_statement","single_source","provisional","","","high","对象、数值、单位和作用域均由固定 AWS 一手正文直接支持。","M2W2-AWS-PKG|component_id|CMP-M2W2-AWS-INF1-NCV1|FIELD-COMP-UNIT-COUNT|4|count|COND-NONE","draft","每颗 Inferentia 芯片的 NCv1 数量；实例内 16 颗不下放。"
"FACT-M2W2-AWS-INF1-CHIP-INT8-PEAK","","","","","PP-M2W2-AWS-INF1-CHIP-INT8","","","FIELD-COMP-THROUGHPUT","","128000000000000","OP/s","COND-M2W2-AWS-INF1-CHIP-INT8","direct_statement","single_source","provisional","","","high","对象、数值、单位和作用域均由固定 AWS 一手正文直接支持。","M2W2-AWS-PKG|precision_path_id|PP-M2W2-AWS-INF1-CHIP-INT8|FIELD-COMP-THROUGHPUT|128000000000000|OP/s|COND-M2W2-AWS-INF1-CHIP-INT8","draft","厂商单芯片 INT8 峰值；运算计数规则未说明。"
"FACT-M2W2-AWS-INF1-CHIP-FP16BF16-PEAK","","","","","PP-M2W2-AWS-INF1-CHIP-FP16BF16","","","FIELD-COMP-THROUGHPUT","","64000000000000","FLOP/s","COND-M2W2-AWS-INF1-CHIP-FP","direct_statement","single_source","provisional","","","high","对象、数值、单位和作用域均由固定 AWS 一手正文直接支持。","M2W2-AWS-PKG|precision_path_id|PP-M2W2-AWS-INF1-CHIP-FP16BF16|FIELD-COMP-THROUGHPUT|64000000000000|FLOP/s|COND-M2W2-AWS-INF1-CHIP-FP","draft","来源把 FP16 与 BF16 合并报告。"
"FACT-M2W2-AWS-INF1-DRAM-CAPACITY","","CMP-M2W2-AWS-INF1-DRAM","","","","","","FIELD-MEM-CAPACITY","","8589934592","byte","COND-M2W2-AWS-INF1-DEVICE-BW","direct_statement","single_source","provisional","","","high","对象、数值、单位和作用域均由固定 AWS 一手正文直接支持。","M2W2-AWS-PKG|component_id|CMP-M2W2-AWS-INF1-DRAM|FIELD-MEM-CAPACITY|8589934592|byte|COND-M2W2-AWS-INF1-DEVICE-BW","draft","8 GiB 单芯片 device DRAM。"
"FACT-M2W2-AWS-INF1-DRAM-BW","","CMP-M2W2-AWS-INF1-DRAM","","","","","","FIELD-MEM-BIDIR-BW","","53687091200","byte/s","COND-M2W2-AWS-INF1-DEVICE-BW","direct_statement","single_source","provisional","","","high","对象、数值、单位和作用域均由固定 AWS 一手正文直接支持。","M2W2-AWS-PKG|component_id|CMP-M2W2-AWS-INF1-DRAM|FIELD-MEM-BIDIR-BW|53687091200|byte/s|COND-M2W2-AWS-INF1-DEVICE-BW","draft","原文未说明读写方向，使用方向未说明的聚合字段。"
"FACT-M2W2-AWS-INF1-NCV1-TENSOR-FP16BF16","","","","","PP-M2W2-AWS-INF1-NCV1-FP16BF16","","","FIELD-COMP-THROUGHPUT","","16000000000000","FLOP/s","COND-M2W2-AWS-INF1-CORE-FP","direct_statement","single_source","provisional","","","high","对象、数值、单位和作用域均由固定 AWS 一手正文直接支持。","M2W2-AWS-PKG|precision_path_id|PP-M2W2-AWS-INF1-NCV1-FP16BF16|FIELD-COMP-THROUGHPUT|16000000000000|FLOP/s|COND-M2W2-AWS-INF1-CORE-FP","draft","每 NCv1 Tensor Engine 定值；没有乘以 4 生成第二套芯片规格。"
"FACT-M2W2-AWS-INF1-NCV1-VECTOR-OPS-CYCLE","","CMP-M2W2-AWS-INF1-VECTOR","","","","","","FIELD-COMP-THROUGHPUT","","256","OP/cycle","COND-M2W2-AWS-INF1-CORE-VECTOR","direct_statement","single_source","provisional","","","medium","原文只写 floating point operations/cycle，未给具体格式和频率。","M2W2-AWS-PKG|component_id|CMP-M2W2-AWS-INF1-VECTOR|FIELD-COMP-THROUGHPUT|256|OP/cycle|COND-M2W2-AWS-INF1-CORE-VECTOR","draft","不据此派生 FLOP/s。"
"FACT-M2W2-AWS-INF1-NCV1-SCALAR-OPS-CYCLE","","CMP-M2W2-AWS-INF1-SCALAR","","","","","","FIELD-COMP-THROUGHPUT","","512","OP/cycle","COND-M2W2-AWS-INF1-CORE-SCALAR","direct_statement","single_source","provisional","","","medium","原文只写 floating point operations/cycle，未给具体格式和频率。","M2W2-AWS-PKG|component_id|CMP-M2W2-AWS-INF1-SCALAR|FIELD-COMP-THROUGHPUT|512|OP/cycle|COND-M2W2-AWS-INF1-CORE-SCALAR","draft","不据此派生 FLOP/s。"
"FACT-M2W2-AWS-TRN1-NCV2-COUNT","","CMP-M2W2-AWS-TRN1-NCV2","","","","","","FIELD-COMP-UNIT-COUNT","","2","count","COND-NONE","direct_statement","corroborated","provisional","","","high","对象、数值、单位和作用域均由固定 AWS 一手正文直接支持。","M2W2-AWS-PKG|component_id|CMP-M2W2-AWS-TRN1-NCV2|FIELD-COMP-UNIT-COUNT|2|count|COND-NONE","draft","每颗 Trainium 芯片有 2 个 NCv2。"
"FACT-M2W2-AWS-TRN1-CHIP-INT8-PEAK","","","","","PP-M2W2-AWS-TRN1-CHIP-INT8","","","FIELD-COMP-THROUGHPUT","","380000000000000","OP/s","COND-M2W2-AWS-TRN1-CHIP-INT8","direct_statement","single_source","provisional","","","high","对象、数值、单位和作用域均由固定 AWS 一手正文直接支持。","M2W2-AWS-PKG|precision_path_id|PP-M2W2-AWS-TRN1-CHIP-INT8|FIELD-COMP-THROUGHPUT|380000000000000|OP/s|COND-M2W2-AWS-TRN1-CHIP-INT8","draft","当前版本 380 INT8 TOPS；旧版 420 已被替代，不建冲突。"
"FACT-M2W2-AWS-TRN1-CHIP-MIXED-PEAK","","","","","PP-M2W2-AWS-TRN1-CHIP-MIXED","","","FIELD-COMP-THROUGHPUT","","190000000000000","FLOP/s","COND-M2W2-AWS-TRN1-CHIP-MIXED","direct_statement","single_source","provisional","","","high","对象、数值、单位和作用域均由固定 AWS 一手正文直接支持。","M2W2-AWS-PKG|precision_path_id|PP-M2W2-AWS-TRN1-CHIP-MIXED|FIELD-COMP-THROUGHPUT|190000000000000|FLOP/s|COND-M2W2-AWS-TRN1-CHIP-MIXED","draft","来源把 FP16/BF16/cFP8/TF32 合并报告。"
"FACT-M2W2-AWS-TRN1-CHIP-FP32-PEAK","","","","","PP-M2W2-AWS-TRN1-CHIP-FP32","","","FIELD-COMP-THROUGHPUT","","47500000000000","FLOP/s","COND-M2W2-AWS-TRN1-CHIP-FP32","direct_statement","single_source","provisional","","","high","对象、数值、单位和作用域均由固定 AWS 一手正文直接支持。","M2W2-AWS-PKG|precision_path_id|PP-M2W2-AWS-TRN1-CHIP-FP32|FIELD-COMP-THROUGHPUT|47500000000000|FLOP/s|COND-M2W2-AWS-TRN1-CHIP-FP32","draft","单芯片 FP32 厂商峰值。"
"FACT-M2W2-AWS-TRN1-HBM-CAPACITY","","CMP-M2W2-AWS-TRN1-HBM","","","","","","FIELD-MEM-CAPACITY","","34359738368","byte","COND-M2W2-AWS-TRN1-DEVICE-BW","direct_statement","corroborated","provisional","","","high","对象、数值、单位和作用域均由固定 AWS 一手正文直接支持。","M2W2-AWS-PKG|component_id|CMP-M2W2-AWS-TRN1-HBM|FIELD-MEM-CAPACITY|34359738368|byte|COND-M2W2-AWS-TRN1-DEVICE-BW","draft","两份官方文档均写 32 GiB。"
"FACT-M2W2-AWS-TRN1-HBM-BW-GIB","","CMP-M2W2-AWS-TRN1-HBM","","","","","","FIELD-MEM-BIDIR-BW","","880468295680","byte/s","COND-M2W2-AWS-TRN1-DEVICE-BW","direct_statement","source_with_caveat","conflict_member","","","high","可靠 AWS 一手正文给出同对象同字段的不同值或单位标签，未强行归一。","M2W2-AWS-PKG|component_id|CMP-M2W2-AWS-TRN1-HBM|FIELD-MEM-BIDIR-BW|880468295680|byte/s|COND-M2W2-AWS-TRN1-DEVICE-BW","needs_resolution","820 GiB/s 一侧；与 820 GB/s 并列。"
"FACT-M2W2-AWS-TRN1-HBM-BW-GB","","CMP-M2W2-AWS-TRN1-HBM","","","","","","FIELD-MEM-BIDIR-BW","","820000000000","byte/s","COND-M2W2-AWS-TRN1-DEVICE-BW","direct_statement","source_with_caveat","conflict_member","","","high","可靠 AWS 一手正文给出同对象同字段的不同值或单位标签，未强行归一。","M2W2-AWS-PKG|component_id|CMP-M2W2-AWS-TRN1-HBM|FIELD-MEM-BIDIR-BW|820000000000|byte/s|COND-M2W2-AWS-TRN1-DEVICE-BW","needs_resolution","820 GB/s 一侧；与 820 GiB/s 并列。"
