"candidate_source_id","title","publisher","source_type","edition_or_date","url","local_path","sha256","fixedness","covered_objects","unique_contribution","overlap_or_removal_assessment","access_status","notes"
"SRC-M2-GA-A01","Inferentia Architecture","AWS Neuron","vendor_documentation","Neuron latest; cutoff 2026-08-12","https://awsdocs-neuron.readthedocs-hosted.com/en/latest/general/arch/neuron-hardware/inferentia.html","","","dynamic_web","Inferentia1","4 个 NCv1、128 INT8 TOPS、64 FP16/BF16 TFLOPS、8 GiB DRAM 与 50 GiB/s","保留作芯片总量；NCv1 细节由 A02 补充","web_verified","实例中芯片数量不写入架构卡"
"SRC-M2-GA-A02","NeuronCore-v1 Architecture","AWS Neuron","vendor_documentation","Neuron 2.9.1","https://awsdocs-neuron.readthedocs-hosted.com/en/v2.9.1/general/arch/neuron-hardware/neuron-core-v1.html","","","versioned_web","Inferentia1","Tensor/Vector/Scalar 三引擎、软件管理 SRAM、数据格式、每核吞吐和每周期向量/标量操作数","必须保留；A01 不含执行路径细节","web_verified","版本化入口"
"SRC-M2-GA-A03","Trainium Architecture","AWS Neuron","vendor_documentation","Neuron 2.26.1","https://awsdocs-neuron.readthedocs-hosted.com/en/v2.26.1/general/arch/neuron-hardware/trainium.html","","","versioned_web","Trainium1","2 NCv2、芯片算力、32 GiB HBM/820 GB/s、DMA、NeuronLink 与舍入/可编程能力","保留；更早文档中的 420 INT8 TOPS 作为已过时冲突线索，不采用","web_verified","EC2 Trn1 配置排除"
"SRC-M2-GA-A04","Inferentia2 Architecture","AWS Neuron","vendor_documentation","Neuron 2.29.1","https://awsdocs-neuron.readthedocs-hosted.com/en/v2.29.1/about-neuron/arch/neuron-hardware/inferentia2.html","","","versioned_web","Inferentia2","2 NCv2、芯片算力、32 GiB HBM/820 GB/s、NeuronLink-v2 与可编程能力","保留作芯片总量；NCv2 细节由 A05 补充","web_verified","EC2 Inf2 配置排除"
"SRC-M2-GA-A05","Trainium/Inferentia2 Architecture Guide for NKI","AWS Neuron","vendor_documentation","Neuron 2.29.1","https://awsdocs-neuron.readthedocs-hosted.com/en/v2.29.1/nki/guides/architecture/trainium_inferentia2_arch.html","","","versioned_web","Trainium1|Inferentia2","NCv2 的 Tensor/Vector/Scalar/GpSimd、SBUF/PSUM、DMA、CC 与同步执行机制","必须保留；同时覆盖 Trn1 与 Inf2 的共同微架构","web_verified","只复用共同 NCv2 事实，不把两款芯片身份混为一对象"
"SRC-M2-GA-A06","Trainium3 Architecture","AWS Neuron","vendor_documentation","Neuron 2.28.1/2.29 family","https://awsdocs-neuron.readthedocs-hosted.com/en/v2.28.1/about-neuron/arch/neuron-hardware/trainium3.html","","","versioned_web","Trainium3","8 NCv4、四档芯片算力、144 GiB HBM、4.9 TB/s、2.56 TB/s NeuronLink、256 MiB SBUF 与 16 CC-Cores","必须保留；发布日期由 A08 固定新闻补充","web_verified","与 NKI 指南的 CC-Core=20、HBM=4.7 TB/s 有冲突，暂按产品架构页保留 16/4.9"
"SRC-M2-GA-A07","Trainium3 Architecture Guide for NKI","AWS Neuron","vendor_documentation","Neuron latest; cutoff 2026-08-12","https://awsdocs-neuron.readthedocs-hosted.com/en/latest/nki/guides/architecture/trainium3_arch.html","","","dynamic_web","Trainium3","NCv4 引擎数据通路与频率、32 MiB SBUF/2 MiB PSUM、BF16 PSUM、后台转置、间接寻址、近存加法和 DMA traffic shaping","必须保留微架构独有内容；与 A06 的芯片汇总冲突必须分开记录","web_verified","当前页称 4 HBM stacks、128 DMA、20 CC-Cores、4.7 TB/s"
"SRC-M2-GA-A08","Announcing Amazon EC2 Trn3 UltraServers","AWS","vendor_announcement","2025-12-02","https://aws.amazon.com/about-aws/whats-new/2025/12/amazon-ec2-trn3-ultraservers/","","","dated_web","Trainium3","首次 3 nm、HBM3e 类型与一般可用状态","保留上述三个独有字段；系统汇总性能、UltraServer 和实例规模全部排除","web_verified","新闻稿只作为芯片身份/状态与物理实现补充"
"SRC-M2-GA-A09","Amazon.com Announces Fourth Quarter Results","Amazon Investor Relations","vendor_announcement","2026-02-05","https://ir.aboutamazon.com/news-release/news-release-details/2026/Amazon-com-Announces-Fourth-Quarter-Results/default.aspx","","","dated_web","Trainium4","唯一一手明确 Trainium4 预计 2027 交付及相对 Trainium3 的 FP4、带宽与 HBM 容量倍数","必须保留；不从相对倍数推导 Trainium4 绝对规格","web_verified","属于前瞻性陈述，所有事实标记来源限定与 pending availability"
"SRC-M2-GA-A10","NeuronCore-v4 Architecture","AWS Neuron","vendor_documentation","Neuron 2.30.0","https://awsdocs-neuron.readthedocs-hosted.com/en/v2.30.0/about-neuron/arch/neuron-hardware/neuron-core-v4.html","","","versioned_web","Trainium3","明确 NCv4 的四引擎、32 MiB 软件管理 SRAM、矩阵/向量/标量每核吞吐、MX 格式和 4:16 等七种结构稀疏模式","保留结构稀疏模式与紧凑引擎总览；与 A07 重叠的数值可由反向移除决定","web_verified","Neuron 2.30.0 在 2026-05-26 发布，早于截止日"
"SRC-M2-GA-G01","Google Training Supercomputers from TPU v2 to Ironwood","Google","vendor_architecture_paper","2026","","论文/Google_TPU/01_厂商直接架构论文/2026_TPUv2_to_Ironwood_Five_Generations.pdf","d1e5d21b9959afefe574a6de839f52c094b3b7d3d481c89cd48b2e2737214465","fixed_pdf","TPU v3|TPU v4|TPU v5p|TPU7x Ironwood","四代芯片级对照表；统一给出 TensorCore、SparseCore、MXU、VMEM、HBM 和 ICI；补充 VLIW、DMA、SparseCore、XLA/Pallas 映射","核心固定来源，不能由动态产品页完全替代；系统级规模数据不下放","local_verified","13 页；表 1 与第 3—7 页已文本抽取并做页面核对"
"SRC-M2-GA-G02","A Domain-Specific Supercomputer for Training Deep Neural Networks","Google","vendor_architecture_paper","2020","","论文/Google_TPU/01_厂商直接架构论文/2020_TPUv2_TPUv3_Domain_Specific_Supercomputer.pdf","3d64c6b36ec5897eef3ef3d5234e9c086d99ecf8007307aafde416ae1d40e887","fixed_pdf","TPU v3","TPU v3 TensorCore、VPU、MXU、软件管理存储和精度语义的原始细节","保留；G01 不含全部 v3 执行路径细节","local_verified","12 页"
"SRC-M2-GA-G03","TPU v4: An Optically Reconfigurable Supercomputer for Machine Learning","Google","vendor_architecture_paper","2023","","论文/Google_TPU/01_厂商直接架构论文/2023_TPUv4_Optically_Reconfigurable_Supercomputer.pdf","94f08ac4cd041e46e5037876793761df8043296ac374aa5372af7afb0bdf3ce2","fixed_pdf","TPU v4","Table 4 给出 v4 芯片级算力、频率、片上存储、HBM 与 ICI；说明 SparseCore","保留芯片级表；光交换与 Pod 级内容仅作边界说明，不进架构事实","local_verified","14 页；表 4 在 PDF 第 7 页，文本抽取与页面定位已核对"
"SRC-M2-GA-G04","Ironwood: Delivering Best in Class perf/TCO and perf/Watt","Google","vendor_presentation","Hot Chips 37, 2025","","论文/Google_TPU/01_厂商直接架构论文/2025_Ironwood_HotChips37.pdf","328ef921c6931a2a56dfbf06043f596ba73c21b6e4f1162754e6f11711e2132b","fixed_pdf","TPU7x Ironwood","双 die、HBM3E、芯片 I/O 与第四代 SparseCore/collective 图示","保留；动态页的当前数值更精确，固定演讲用于结构与版本固化","local_verified","26 页"
"SRC-M2-GA-G05","TPU architecture","Google Cloud","vendor_documentation","cutoff 2026-08-12","https://docs.cloud.google.com/tpu/docs/system-architecture-tpu-vm","","","dynamic_web","TPU v3|TPU v4|TPU v5e|TPU v5p|TPU v6e|TPU7x Ironwood","统一解释 MXU、VPU、标量单元、BF16 输入与 FP32 累加，以及代际阵列尺寸口径","保留为公共术语来源；具体型号定值优先对应产品页或固定论文","web_verified","需保存网页快照候选；动态页面必须带截止日"
"SRC-M2-GA-G06","TPU v3","Google Cloud","vendor_documentation","last updated 2026-07-10","https://docs.cloud.google.com/tpu/docs/v3","","","dynamic_web","TPU v3","当前芯片级算力、HBM 与拓扑摘要","与 G01/G02 重叠；若固定来源覆盖字段可从最小集移除，仅保留当前产品状态","web_verified","系统/Pod 聚合数据排除"
"SRC-M2-GA-G07","TPU v4","Google Cloud","vendor_documentation","cutoff 2026-08-12","https://docs.cloud.google.com/tpu/docs/v4","","","dynamic_web","TPU v4","当前产品页对芯片级算力、HBM 和互联形态的摘要","大部分被 G01/G03 覆盖；可在固定源覆盖确认后反向移除","web_verified","系统/Pod 聚合数据排除"
"SRC-M2-GA-G08","TPU v5e","Google Cloud","vendor_documentation","last updated 2026-08-04","https://docs.cloud.google.com/tpu/docs/v5e","","","dynamic_web","TPU v5e","v5e 唯一一手芯片级规格入口：1 TensorCore、4 MXU、197 BF16 TFLOPS、16 GB HBM、800 GiB/s、ICI","必须保留；当前没有固定论文覆盖这些字段","web_verified","需快照候选"
"SRC-M2-GA-G09","TPU v5p","Google Cloud","vendor_documentation","last updated 2026-08-05","https://docs.cloud.google.com/tpu/docs/v5p","","","dynamic_web","TPU v5p","当前 HBM 95 GiB、ICI 双向 1200 GB/s 与芯片组成","与 G01 的 96 GiB 出现版本/口径差；保留用于冲突限定","web_verified","不把 Pod 规模或系统聚合值写入卡"
"SRC-M2-GA-G10","TPU v6e","Google Cloud","vendor_documentation","last updated 2026-08-05","https://docs.cloud.google.com/tpu/docs/v6e","","","dynamic_web","TPU v6e Trillium","v6e 芯片级算力、32 GB HBM、1638 GB/s、800 GB/s ICI、TensorCore/MXU 组成","必须保留；未找到同等固定架构论文","web_verified","动态网页快照候选"
