"object_id","vendor_id","canonical_label","object_type","scope_role","status_expectation","card_mode","reuse_policy","boundary_notes","work_status"
"OBJ-GOOGLE-TPU-V3-ARCH","VEN-GOOGLE","Google TPU v3 architecture","architecture_generation","historical_anchor","historical_anchor","architecture_card","new_staging","与 TPU v3 Pod 分开；只记录共享架构机制。","in_progress"
"OBJ-GOOGLE-TPU-V4-ARCH","VEN-GOOGLE","Google TPU v4 architecture","architecture_generation","main_sample","cloud_available","architecture_card","new_staging","Pod 和 Cloud TPU v4 配置另表；系统聚合值不得下放。","in_progress"
"OBJ-GOOGLE-TPU-V5E-ARCH","VEN-GOOGLE","Google TPU v5e architecture","architecture_generation","main_sample","cloud_available","architecture_card","new_staging","v5litepod 配置族另表；不把 Slice 聚合值写入架构。","in_progress"
"OBJ-GOOGLE-TPU-V5P-ARCH","VEN-GOOGLE","Google TPU v5p architecture","architecture_generation","main_sample","cloud_available","architecture_card","new_staging","v5p 配置和 Pod 另表；只收单代共享机制。","in_progress"
"OBJ-GOOGLE-TPU-V6E-ARCH","VEN-GOOGLE","Google TPU v6e Trillium architecture","architecture_generation","main_sample","cloud_available","architecture_card","new_staging","v6e 配置和 ct6e machine type 另表；不下放系统值。","in_progress"
"OBJ-GOOGLE-TPU7X-ARCH","VEN-GOOGLE","Google TPU7x Ironwood architecture","architecture_generation","main_sample","cloud_available","architecture_card","new_staging","TPU7x Slice 和 9216-chip Pod 另表；架构卡不含系统聚合。","in_progress"
"OBJ-GOOGLE-TPU-8T-ARCH","VEN-GOOGLE","Google TPU 8t architecture","architecture_generation","observation","announced","observation_architecture_card","new_staging","只写截止日前一手明确内容；不制造 accelerator type 或 machine type。","in_progress"
"OBJ-GOOGLE-TPU-8I-ARCH","VEN-GOOGLE","Google TPU 8i architecture","architecture_generation","observation","announced","observation_architecture_card","new_staging","只写截止日前一手明确内容；与 TPU 8i Pod 分开。","in_progress"
"OBJ-AWS-INFERENTIA1-ARCH","VEN-AWS","AWS Inferentia first-generation architecture","architecture_generation","historical_anchor","historical_anchor","architecture_card","new_staging","Inf1 实例家族和芯片封装另表。","in_progress"
"OBJ-AWS-TRAINIUM1-ARCH","VEN-AWS","AWS Trainium first-generation architecture","architecture_generation","main_sample","cloud_available","architecture_card","new_staging","Trn1 实例与 Trainium 芯片封装另表。","in_progress"
"OBJ-AWS-INFERENTIA2-ARCH","VEN-AWS","AWS Inferentia2 architecture","architecture_generation","main_sample","cloud_available","architecture_card","new_staging","Inf2 实例与 Inferentia2 芯片封装另表。","in_progress"
"OBJ-AWS-TRAINIUM2-ARCH","VEN-AWS","AWS Trainium2 architecture","architecture_generation","main_sample","cloud_available","architecture_card","reuse_m1","引用 M1 正式事实，不复制；实例、芯片和 UltraServer 规格排除。","in_progress"
"OBJ-AWS-TRAINIUM3-ARCH","VEN-AWS","AWS Trainium3 architecture","architecture_generation","main_sample","cloud_available","architecture_card","new_staging","Trainium3 芯片和 Trn3 UltraServer 系统另表。","in_progress"
"OBJ-AWS-TRAINIUM4-ARCH","VEN-AWS","AWS Trainium4 architecture","architecture_generation","observation","announced","observation_architecture_card","new_staging","未来 NVLink Fusion 系统未冻结；只写架构公告事实。","in_progress"
