"source_family_id","canonical_title","family_kind","publisher_or_organization","persistent_work_id","review_status","notes"
"SFAM-GROQ-TSP-ISCA2020","Think Fast: A Tensor Streaming Processor","publication_versions","Groq / IEEE","","draft","第一代 TSP 论文"
"SFAM-GROQ-GROQCHIP-BRIEF","GroqChip Processor Product Brief","document_revision_series","Groq","","draft","产品简报修订系列"
"SFAM-GROQ-WHITEPAPER-2019","Groq architecture whitepaper 2019","document_revision_series","Groq","","needs_resolution","当前入口不可访问"
"SFAM-GROQ-TSP-ISCA2022","A Software-defined Tensor Streaming Multiprocessor","publication_versions","Groq / ACM","doi:10.1145/3470496.3527405","needs_resolution","全文当前不可访问"
"SFAM-NVG3-ARCH-BLOG","Inside NVIDIA Groq 3 LPX","dynamic_page_history","NVIDIA","","draft","架构博客快照系列"
"SFAM-NVG3-LPX-PRODUCT","NVIDIA Groq 3 LPX product page","dynamic_page_history","NVIDIA","","draft","动态产品页快照系列"
"SFAM-NVG3-C2C-BLOG","NVIDIA Groq 3 C2C architecture blog","dynamic_page_history","NVIDIA","","draft","C2C 机制博客"
"SFAM-HUAWEI-DAVINCI-HC31","DaVinci: A Scalable Architecture for Neural Network Computing","publication_versions","Huawei","","draft","Hot Chips 31"
"SFAM-HUAWEI-ASCEND-HPCA2021","Ascend: A Scalable and Unified Architecture","publication_versions","Huawei / IEEE","doi:10.1109/HPCA51647.2021.00071","draft","HPCA 2021"
"SFAM-CAMBRICON-MLU370-PRODUCT","思元370产品页","dynamic_page_history","寒武纪","","draft","用于 BANG v3 身份审计"
"SFAM-CAMBRICON-MLU290M5-PRODUCT","玄思1000/MLU290-M5产品页","dynamic_page_history","寒武纪","","draft","用于 BANG v2 身份审计"
