"relative_path","byte_size","sha256","role"
"card-draft/华为_Ascend950_共享裸片资料卡.md","6420","a291d3ce26c0f8958454eb9917ec742ef8fb51f39a1204c052c759baf89220c9","card_draft"
"card-draft/华为_Ascend950DT_封装资料卡.md","6335","5cbe7d6169869ae94e355d1b90a1be0bf39fb1f6319b4cded7ca584ccca0e958","card_draft"
"card-draft/华为_Ascend950PR_封装资料卡.md","6434","06c18287b35958d51492a6c55e170cc891aa0b005c4ddb4850b7144832940b66","card_draft"
"fact-candidate-freeze.md","3033","dc74edb00087cc0be3f3902450167d6910c9c82eeb53055da128c0a475dc1035","fact_candidate_freeze"
"fixed-candidates/hiascend-accelerator-card-2026-08-13.html","202198","3cfdeba7221d272ac307a3a2ca6404433804b9d6c7922677f56216bf24c4d978","fixed_official_snapshot"
"fixed-candidates/hiascend-atlas350-launch-2026-08-13.html","146149","bdf89863ce0321f24f6c42ebfebda09d62cfad3468ef953e1277f6bda240a9dd","fixed_official_snapshot"
"fixed-candidates/hiascend-processor-2026-08-13.html","155776","33f477a551103a772c6e7e8b1ca24f3d17af590088927e7cbf0005e5a0ba7102","fixed_official_snapshot"
"fixed-candidates/hiascend-processor-950dt-2026-08-13.html","155931","6bc823f2bf7328f8fa9838f6b7b7f6ee1cde23e9ccb8b41f0d9a4067e7706b07","fixed_official_snapshot"
"fixed-candidates/huawei-connect-2025-ascend-roadmap-2026-08-13.html","132684","8bf0f453e143562c7b5f3ead61f54a35da6020689dbc20aede772da0d00d7499","fixed_official_snapshot"
"handoff.md","5668","d418a5a4e6d07aa10829026289cf716a8592379990cb225e64c88e169a2bc6fc","subagent_handoff"
"identity-gate-evidence.csv","5366","7f3a635fa20ea1096d6cda30d2a798aba147a7141c3c6202cb55fa998960313b","identity_gate_evidence"
"object-scope.csv","2660","9559c68b378162c019876283de8cce85dbbb01224ab5f04561d9b858211354ca","object_scope"
"README.md","7087","82801e6656e69331587f1e0ff1acb9097324cb37f1a6eb413c0bb199f403ba72","package_overview"
"remediation-log.md","4625","cab5f9dba9479f2248cfde43468dbcf76c6aa4f48eae77d18900a2df25317be6","remediation_log"
"source-and-fact-audit.md","5386","e7d55b5c62dc189f46c3f411c787105e2989f4675c67577f28ac055309047f71","source_fact_audit"
