"record_id","object_id","topic","statement_a","source_a","statement_b","source_b","classification","working_resolution","prohibited_inference"
"M2GA-CF-001","OBJ-GOOGLE-TPU-V5P-ARCH","HBM capacity","95 GiB","SRC-M2-GA-G09","96 GiB","SRC-M2-GA-G01|SRC-M2-GA-G15","implementation_scope_or_reserved_capacity_ambiguity","不建 architecture formal conflict；两值均移入 deferred_implementation_facts，待 TPU v5p package/cloud device 分层后再判定","不得平均或擅自解释为预留量"
"M2GA-CF-002","OBJ-GOOGLE-TPU7X-ARCH","HBM bandwidth","7380 GB/s","SRC-M2-GA-G11","7300 GB/s","SRC-M2-GA-G01|SRC-M2-GA-G04","rounding_or_document_precision","不建 formal conflict；实现层保留版本化显示值","不得把显示精度差异当成两种硬件"
"M2GA-CF-003","OBJ-AWS-TRAINIUM1-ARCH","INT8 chip throughput","380 TOPS","SRC-M2-GA-A03","420 TOPS","older Neuron documentation lead","superseded_version","不建 formal conflict；当前版本 380 与旧版 420 进入实现层筛选记录","不得用未披露稀疏条件解释差值"
"M2GA-CF-004","OBJ-AWS-TRAINIUM3-ARCH","CC-Core count","16","SRC-M2-GA-A06","20","SRC-M2-GA-A07","true_conflict_but_implementation_level","本 architecture staging 不建 conflict group；两值移入 deferred_implementation_facts，Trainium3 silicon_package 对象建立后应建 formal conflict group","不得在架构卡择一"
"M2GA-CF-005","OBJ-AWS-TRAINIUM3-ARCH","HBM bandwidth","4.9 TB/s","SRC-M2-GA-A06|SRC-M2-GA-A08","4.7 TB/s","SRC-M2-GA-A07","true_conflict_but_implementation_level","本 architecture staging 不建 conflict group；目标芯片对象建立后保留两条冲突成员","不得默认为有效带宽与理论带宽差异"
"M2GA-CF-006","OBJ-AWS-TRAINIUM2-ARCH","CC-Core count","16","FACT-AWS-TRN2-CCCORE-COUNT-16","20","FACT-AWS-TRN2-CCCORE-COUNT-20","existing_formal_conflict_reference_only","引用 M1 既有 CF-006；本包不复制事实、断言或冲突组","不得宣布已解决"
"M2GA-CF-007","OBJ-AWS-TRAINIUM1-ARCH","HBM bandwidth unit","820 GiB/s","SRC-M2-GA-A03","820 GB/s","SRC-M2-GA-A05","true_unit_label_conflict_but_implementation_level","架构层不建组；Trainium1 silicon_package 建立后以同条件两条事实进入 formal conflict","不得把 GB 与 GiB 当成同值"
"M2GA-CF-008","OBJ-AWS-INFERENTIA2-ARCH","HBM bandwidth unit","820 GiB/s","SRC-M2-GA-A04","820 GB/s","SRC-M2-GA-A05","true_unit_label_conflict_but_implementation_level","架构层不建组；Inferentia2 silicon_package 建立后以同条件两条事实进入 formal conflict","不得把 GB 与 GiB 当成同值"
"M2GA-BD-001","OBJ-GOOGLE-TPU-8I-ARCH","Boardfly topology","four-chip ring→fully connected group→OCS Pod","SRC-M2-GA-G13","","","cloud_system_configuration","仅列边界，不进入 architecture topology/fact","不得把 hop、芯片数或 Pod 带宽写为架构对象事实"
"M2GA-BD-002","OBJ-GOOGLE-TPU-8T-ARCH","Virgo network","scale-out fabric and system aggregate","SRC-M2-GA-G13","","","system_boundary","不进入 architecture structured tables；只保留 TPUDirect 数据路径机制","不得把 134000 芯片或 47 Pb/s 写为单芯片/架构值"
"M2GA-BD-003","OBJ-GOOGLE-TPU7X-ARCH","external mesh/torus deployment","Cloud TPU slice/Pod connectivity","SRC-M2-GA-G11","","","cloud_configuration_boundary","structured 表只保留 ICI 接口机制；具体 2D/3D 部署拓扑移入配置候选","不得与片内 D2D 混为同一 link"
"M2GA-BD-004","OBJ-AWS-TRAINIUM3-ARCH","NeuronSwitch-v1/UltraServer","server-scale all-to-all fabric","SRC-M2-GA-A08","","","system_boundary","排除架构卡与 facts，由系统工作包处理","不得把 144 芯片聚合值写入 Trainium3 架构"
"M2GA-BD-005","","SparseCore Top-K generation scope","SparseCores also began serving as offload engines for collective operations like AllReduce, AllGather, ReduceScatter, and Broadcast; data summarization operations like Top-K; and small sparse tensor operations like Transformer Decode.","SRC-M2-GA-G01","","","cross_generation_scope_unresolved","仅保留跨代来源边界；不建立逐代 capability、fact 或 assertion；精确首次代际待后续来源明确","不得绑定 v3、v4、v5p 或 Ironwood 中任一具体代际，也不得改写为专用 MoE router"
