"operation_order","table_path","operation","pk_column","pk_value","reason","status"
"1","数据/condition-sets.csv","delete","condition_set_id","COND-AWS-TRN2-CHIP-BF16-SPARSE-HIST2024","删除 S10 未直接支持的非 FP8 或 trn2u 历史稀疏记录；S10 只保留芯片 FP8 与 trn2.48xlarge FP8 两条历史事实。","proposed"
"2","数据/condition-sets.csv","delete","condition_set_id","COND-AWS-TRN2-CHIP-FP16-SPARSE-HIST2024","删除 S10 未直接支持的非 FP8 或 trn2u 历史稀疏记录；S10 只保留芯片 FP8 与 trn2.48xlarge FP8 两条历史事实。","proposed"
"3","数据/condition-sets.csv","delete","condition_set_id","COND-AWS-TRN2-CHIP-TF32-SPARSE-HIST2024","删除 S10 未直接支持的非 FP8 或 trn2u 历史稀疏记录；S10 只保留芯片 FP8 与 trn2.48xlarge FP8 两条历史事实。","proposed"
"4","数据/condition-sets.csv","delete","condition_set_id","COND-AWS-TRN2-48XL-BF16-SPARSE-HIST2024","删除 S10 未直接支持的非 FP8 或 trn2u 历史稀疏记录；S10 只保留芯片 FP8 与 trn2.48xlarge FP8 两条历史事实。","proposed"
"5","数据/condition-sets.csv","delete","condition_set_id","COND-AWS-TRN2-48XL-FP16-SPARSE-HIST2024","删除 S10 未直接支持的非 FP8 或 trn2u 历史稀疏记录；S10 只保留芯片 FP8 与 trn2.48xlarge FP8 两条历史事实。","proposed"
"6","数据/condition-sets.csv","delete","condition_set_id","COND-AWS-TRN2-48XL-TF32-SPARSE-HIST2024","删除 S10 未直接支持的非 FP8 或 trn2u 历史稀疏记录；S10 只保留芯片 FP8 与 trn2.48xlarge FP8 两条历史事实。","proposed"
"7","数据/condition-sets.csv","delete","condition_set_id","COND-AWS-TRN2-TRN2U-48XL-FP8-SPARSE-HIST2024","删除 S10 未直接支持的非 FP8 或 trn2u 历史稀疏记录；S10 只保留芯片 FP8 与 trn2.48xlarge FP8 两条历史事实。","proposed"
"8","数据/condition-sets.csv","delete","condition_set_id","COND-AWS-TRN2-TRN2U-48XL-BF16-SPARSE-HIST2024","删除 S10 未直接支持的非 FP8 或 trn2u 历史稀疏记录；S10 只保留芯片 FP8 与 trn2.48xlarge FP8 两条历史事实。","proposed"
"9","数据/condition-sets.csv","delete","condition_set_id","COND-AWS-TRN2-TRN2U-48XL-FP16-SPARSE-HIST2024","删除 S10 未直接支持的非 FP8 或 trn2u 历史稀疏记录；S10 只保留芯片 FP8 与 trn2.48xlarge FP8 两条历史事实。","proposed"
"10","数据/condition-sets.csv","delete","condition_set_id","COND-AWS-TRN2-TRN2U-48XL-TF32-SPARSE-HIST2024","删除 S10 未直接支持的非 FP8 或 trn2u 历史稀疏记录；S10 只保留芯片 FP8 与 trn2.48xlarge FP8 两条历史事实。","proposed"
"11","数据/condition-sets.csv","delete","condition_set_id","COND-AWS-TRN2-BW-SYSTEM-SCOPE-UNRESOLVED","删除只服务于错主体 UltraServer 3.2 Tbps 事实的条件集。","proposed"
"12","数据/facts.csv","delete","fact_id","FACT-AWS-TRN2-CHIP-BF16-SPARSE-HIST2024","删除 S10 未直接支持的非 FP8 或 trn2u 历史稀疏记录；S10 只保留芯片 FP8 与 trn2.48xlarge FP8 两条历史事实。","proposed"
"13","数据/facts.csv","delete","fact_id","FACT-AWS-TRN2-CHIP-FP16-SPARSE-HIST2024","删除 S10 未直接支持的非 FP8 或 trn2u 历史稀疏记录；S10 只保留芯片 FP8 与 trn2.48xlarge FP8 两条历史事实。","proposed"
"14","数据/facts.csv","delete","fact_id","FACT-AWS-TRN2-CHIP-TF32-SPARSE-HIST2024","删除 S10 未直接支持的非 FP8 或 trn2u 历史稀疏记录；S10 只保留芯片 FP8 与 trn2.48xlarge FP8 两条历史事实。","proposed"
"15","数据/facts.csv","delete","fact_id","FACT-AWS-TRN2-ULTRA64-EFA-3P2","删除事实而非换字段：S06 的 3,200 Gbps 位于 trn2.48xlarge 与 trn2u.48xlarge 实例列，正式事实错把主语建成 UltraServer。","proposed"
"16","数据/facts.csv","delete","fact_id","FACT-AWS-TRN2-48XL-BF16-SPARSE-HIST2024","删除 S10 未直接支持的非 FP8 或 trn2u 历史稀疏记录；S10 只保留芯片 FP8 与 trn2.48xlarge FP8 两条历史事实。","proposed"
"17","数据/facts.csv","delete","fact_id","FACT-AWS-TRN2-48XL-FP16-SPARSE-HIST2024","删除 S10 未直接支持的非 FP8 或 trn2u 历史稀疏记录；S10 只保留芯片 FP8 与 trn2.48xlarge FP8 两条历史事实。","proposed"
"18","数据/facts.csv","delete","fact_id","FACT-AWS-TRN2-48XL-TF32-SPARSE-HIST2024","删除 S10 未直接支持的非 FP8 或 trn2u 历史稀疏记录；S10 只保留芯片 FP8 与 trn2.48xlarge FP8 两条历史事实。","proposed"
"19","数据/facts.csv","delete","fact_id","FACT-AWS-TRN2-TRN2U-48XL-FP8-SPARSE-HIST2024","删除 S10 未直接支持的非 FP8 或 trn2u 历史稀疏记录；S10 只保留芯片 FP8 与 trn2.48xlarge FP8 两条历史事实。","proposed"
"20","数据/facts.csv","delete","fact_id","FACT-AWS-TRN2-TRN2U-48XL-BF16-SPARSE-HIST2024","删除 S10 未直接支持的非 FP8 或 trn2u 历史稀疏记录；S10 只保留芯片 FP8 与 trn2.48xlarge FP8 两条历史事实。","proposed"
"21","数据/facts.csv","delete","fact_id","FACT-AWS-TRN2-TRN2U-48XL-FP16-SPARSE-HIST2024","删除 S10 未直接支持的非 FP8 或 trn2u 历史稀疏记录；S10 只保留芯片 FP8 与 trn2.48xlarge FP8 两条历史事实。","proposed"
"22","数据/facts.csv","delete","fact_id","FACT-AWS-TRN2-TRN2U-48XL-TF32-SPARSE-HIST2024","删除 S10 未直接支持的非 FP8 或 trn2u 历史稀疏记录；S10 只保留芯片 FP8 与 trn2.48xlarge FP8 两条历史事实。","proposed"
"23","数据/field-requirements.csv","delete","requirement_id","REQ-AWS-TRN2-0056","delete 数据/field-requirements.csv 的 Trainium2 修复行。","proposed"
"24","数据/field-requirements.csv","delete","requirement_id","REQ-AWS-TRN2-0060","delete 数据/field-requirements.csv 的 Trainium2 修复行。","proposed"
"25","数据/field-requirements.csv","delete","requirement_id","REQ-AWS-TRN2-0064","delete 数据/field-requirements.csv 的 Trainium2 修复行。","proposed"
"26","数据/field-requirements.csv","delete","requirement_id","REQ-AWS-TRN2-0110","删除随错主体 UltraServer 3.2 Tbps 事实生成的字段要求。","proposed"
"27","数据/field-requirements.csv","delete","requirement_id","REQ-AWS-TRN2-0148","无证据历史假冲突移除后，恢复当前稀疏吞吐字段要求状态。","proposed"
"28","数据/field-requirements.csv","delete","requirement_id","REQ-AWS-TRN2-0149","无证据历史假冲突移除后，恢复当前稀疏吞吐字段要求状态。","proposed"
"29","数据/field-requirements.csv","delete","requirement_id","REQ-AWS-TRN2-0150","无证据历史假冲突移除后，恢复当前稀疏吞吐字段要求状态。","proposed"
"30","数据/field-requirements.csv","delete","requirement_id","REQ-AWS-TRN2-0160","delete 数据/field-requirements.csv 的 Trainium2 修复行。","proposed"
"31","数据/field-requirements.csv","delete","requirement_id","REQ-AWS-TRN2-0161","delete 数据/field-requirements.csv 的 Trainium2 修复行。","proposed"
"32","数据/field-requirements.csv","delete","requirement_id","REQ-AWS-TRN2-0162","delete 数据/field-requirements.csv 的 Trainium2 修复行。","proposed"
"33","数据/field-requirements.csv","delete","requirement_id","REQ-AWS-TRN2-0163","delete 数据/field-requirements.csv 的 Trainium2 修复行。","proposed"
"34","最小参考资料库/conflict-groups.csv","delete","conflict_group_id","CG-AWS-TRN2-003-TRN2U-48XL-FP8","删除失去第二成员的 version-change 冲突组。","proposed"
"35","最小参考资料库/conflict-groups.csv","delete","conflict_group_id","CG-AWS-TRN2-003-CHIP-BF16","删除失去第二成员的 version-change 冲突组。","proposed"
"36","最小参考资料库/conflict-groups.csv","delete","conflict_group_id","CG-AWS-TRN2-003-48XL-BF16","删除失去第二成员的 version-change 冲突组。","proposed"
"37","最小参考资料库/conflict-groups.csv","delete","conflict_group_id","CG-AWS-TRN2-003-TRN2U-48XL-BF16","删除失去第二成员的 version-change 冲突组。","proposed"
"38","最小参考资料库/conflict-groups.csv","delete","conflict_group_id","CG-AWS-TRN2-003-CHIP-FP16","删除失去第二成员的 version-change 冲突组。","proposed"
"39","最小参考资料库/conflict-groups.csv","delete","conflict_group_id","CG-AWS-TRN2-003-48XL-FP16","删除失去第二成员的 version-change 冲突组。","proposed"
"40","最小参考资料库/conflict-groups.csv","delete","conflict_group_id","CG-AWS-TRN2-003-TRN2U-48XL-FP16","删除失去第二成员的 version-change 冲突组。","proposed"
"41","最小参考资料库/conflict-groups.csv","delete","conflict_group_id","CG-AWS-TRN2-003-CHIP-TF32","删除失去第二成员的 version-change 冲突组。","proposed"
"42","最小参考资料库/conflict-groups.csv","delete","conflict_group_id","CG-AWS-TRN2-003-48XL-TF32","删除失去第二成员的 version-change 冲突组。","proposed"
"43","最小参考资料库/conflict-groups.csv","delete","conflict_group_id","CG-AWS-TRN2-003-TRN2U-48XL-TF32","删除失去第二成员的 version-change 冲突组。","proposed"
"44","最小参考资料库/conflict-groups.csv","delete","conflict_group_id","CG-AWS-TRN2-005-ULTRA-EFA","删除由错主体 3.2 Tbps 事实造成的 UltraServer 伪冲突链。","proposed"
"45","最小参考资料库/conflict-members.csv","delete","conflict_member_id","CG-AWS-TRN2-003-TRN2U-48XL-FP8-M01","删除已失去有效冲突基础的组成员；对应冲突组整组移除。","proposed"
"46","最小参考资料库/conflict-members.csv","delete","conflict_member_id","CG-AWS-TRN2-003-TRN2U-48XL-FP8-M02","删除已失去有效冲突基础的组成员；对应冲突组整组移除。","proposed"
"47","最小参考资料库/conflict-members.csv","delete","conflict_member_id","CG-AWS-TRN2-003-CHIP-BF16-M01","删除已失去有效冲突基础的组成员；对应冲突组整组移除。","proposed"
"48","最小参考资料库/conflict-members.csv","delete","conflict_member_id","CG-AWS-TRN2-003-CHIP-BF16-M03","删除已失去有效冲突基础的组成员；对应冲突组整组移除。","proposed"
"49","最小参考资料库/conflict-members.csv","delete","conflict_member_id","CG-AWS-TRN2-003-48XL-BF16-M01","删除已失去有效冲突基础的组成员；对应冲突组整组移除。","proposed"
"50","最小参考资料库/conflict-members.csv","delete","conflict_member_id","CG-AWS-TRN2-003-48XL-BF16-M02","删除已失去有效冲突基础的组成员；对应冲突组整组移除。","proposed"
"51","最小参考资料库/conflict-members.csv","delete","conflict_member_id","CG-AWS-TRN2-003-TRN2U-48XL-BF16-M01","删除已失去有效冲突基础的组成员；对应冲突组整组移除。","proposed"
"52","最小参考资料库/conflict-members.csv","delete","conflict_member_id","CG-AWS-TRN2-003-TRN2U-48XL-BF16-M02","删除已失去有效冲突基础的组成员；对应冲突组整组移除。","proposed"
"53","最小参考资料库/conflict-members.csv","delete","conflict_member_id","CG-AWS-TRN2-003-CHIP-FP16-M01","删除已失去有效冲突基础的组成员；对应冲突组整组移除。","proposed"
"54","最小参考资料库/conflict-members.csv","delete","conflict_member_id","CG-AWS-TRN2-003-CHIP-FP16-M03","删除已失去有效冲突基础的组成员；对应冲突组整组移除。","proposed"
"55","最小参考资料库/conflict-members.csv","delete","conflict_member_id","CG-AWS-TRN2-003-48XL-FP16-M01","删除已失去有效冲突基础的组成员；对应冲突组整组移除。","proposed"
"56","最小参考资料库/conflict-members.csv","delete","conflict_member_id","CG-AWS-TRN2-003-48XL-FP16-M02","删除已失去有效冲突基础的组成员；对应冲突组整组移除。","proposed"
"57","最小参考资料库/conflict-members.csv","delete","conflict_member_id","CG-AWS-TRN2-003-TRN2U-48XL-FP16-M01","删除已失去有效冲突基础的组成员；对应冲突组整组移除。","proposed"
"58","最小参考资料库/conflict-members.csv","delete","conflict_member_id","CG-AWS-TRN2-003-TRN2U-48XL-FP16-M02","删除已失去有效冲突基础的组成员；对应冲突组整组移除。","proposed"
"59","最小参考资料库/conflict-members.csv","delete","conflict_member_id","CG-AWS-TRN2-003-CHIP-TF32-M01","删除已失去有效冲突基础的组成员；对应冲突组整组移除。","proposed"
"60","最小参考资料库/conflict-members.csv","delete","conflict_member_id","CG-AWS-TRN2-003-CHIP-TF32-M03","删除已失去有效冲突基础的组成员；对应冲突组整组移除。","proposed"
"61","最小参考资料库/conflict-members.csv","delete","conflict_member_id","CG-AWS-TRN2-003-48XL-TF32-M01","删除已失去有效冲突基础的组成员；对应冲突组整组移除。","proposed"
"62","最小参考资料库/conflict-members.csv","delete","conflict_member_id","CG-AWS-TRN2-003-48XL-TF32-M02","删除已失去有效冲突基础的组成员；对应冲突组整组移除。","proposed"
"63","最小参考资料库/conflict-members.csv","delete","conflict_member_id","CG-AWS-TRN2-003-TRN2U-48XL-TF32-M01","删除已失去有效冲突基础的组成员；对应冲突组整组移除。","proposed"
"64","最小参考资料库/conflict-members.csv","delete","conflict_member_id","CG-AWS-TRN2-003-TRN2U-48XL-TF32-M02","删除已失去有效冲突基础的组成员；对应冲突组整组移除。","proposed"
"65","最小参考资料库/conflict-members.csv","delete","conflict_member_id","CG-AWS-TRN2-005-ULTRA-EFA-M01","删除由错主体 3.2 Tbps 事实造成的 UltraServer 伪冲突链。","proposed"
"66","最小参考资料库/conflict-members.csv","delete","conflict_member_id","CG-AWS-TRN2-005-ULTRA-EFA-M02","删除由错主体 3.2 Tbps 事实造成的 UltraServer 伪冲突链。","proposed"
"67","最小参考资料库/fact-assertions.csv","delete","assertion_id","ASSERT-FACT-AWS-TRN2-CHIP-BF16-SPARSE-HIST2024-S10","删除 S10 未直接支持的非 FP8 或 trn2u 历史稀疏记录；S10 只保留芯片 FP8 与 trn2.48xlarge FP8 两条历史事实。","proposed"
"68","最小参考资料库/fact-assertions.csv","delete","assertion_id","ASSERT-FACT-AWS-TRN2-CHIP-FP16-SPARSE-HIST2024-S10","删除 S10 未直接支持的非 FP8 或 trn2u 历史稀疏记录；S10 只保留芯片 FP8 与 trn2.48xlarge FP8 两条历史事实。","proposed"
