snapshot_id,source_family,source_version,candidate_role,evidence_role,requested_endpoint_url,final_url,http_status,http_content_type,access_date,title_or_internal_version,page_count,local_payload_path,payload_media_type,payload_bytes,sha256,header_path,evidence_capture_level,ingestion_status,version_risk_or_notes
R1GA100-WEB-001,NVIDIA Technical Blog,2020-05-14,selected_candidate,GA100 direct identity and dated publication,https://developer.nvidia.com/blog/nvidia-ampere-architecture-in-depth/,https://developer.nvidia.com/blog/nvidia-ampere-architecture-in-depth/,200,text/html; charset=UTF-8,2026-08-21,NVIDIA Ampere Architecture In-Depth | NVIDIA Technical Blog,,payload/html/nvidia-technical-blog_ampere-architecture-in-depth__captured-20260821.html,text/html,330174,ced8cd095756924ef61121e83eb69f66ceeb100c6616f71ed8c2bb3cb1e76e52,headers/R1GA100-WEB-001.headers.txt,raw_html_body_with_redirect_headers,captured_success,Dated URL is mutable; captured raw body fixes this observation only.
R1GA100-WEB-002,NVIDIA Newsroom A100 launch,2020-05-14,selected_candidate,A100 production and shipping event,https://nvidianews.nvidia.com/news/nvidias-new-ampere-data-center-gpu-in-full-production,https://nvidianews.nvidia.com/news/nvidias-new-ampere-data-center-gpu-in-full-production,200,text/html; charset=utf-8,2026-08-21,NVIDIA’s New Ampere Data Center GPU in Full Production | NVIDIA Newsroom,,payload/html/nvidia-newsroom_a100-full-production-launch__captured-20260821.html,text/html,81832,85e892e042eb3961d39ce9c67f00924ee9db41cb97ea62bd91d7f9da6af31d0e,headers/R1GA100-WEB-002.headers.txt,raw_html_body_with_redirect_headers,captured_success,HTML supplies the dated event context; paired PDF is a separate evidence endpoint.
R1GA100-WEB-003,NVIDIA Newsroom A100 launch,2020-05-14 PDF mirror,selected_candidate,Fixed mirror of A100 production and shipping event,https://nvidianews.nvidia.com/_gallery/download_pdf/5ebd41a5ed6ae54cffe0332f/,https://nvidianews.nvidia.com/_gallery/download_pdf/5ebd41a5ed6ae54cffe0332f/,200,application/pdf; charset=utf-8,2026-08-21,NVIDIA’s New Ampere Data Center GPU in Full Production,3,payload/pdf/nvidia-newsroom_a100-full-production-launch__captured-20260821.pdf,application/pdf,33646,6ffe3336858ec847e41e4d82cc776c62885b4fedb1531068fd512476eed7ce51,headers/R1GA100-WEB-003.headers.txt,original_pdf_bytes_with_redirect_headers,captured_success,Opaque gallery endpoint; PDF is paired with the dated HTML rather than treated as the publication-date endpoint.
R1GA100-WEB-004,NVIDIA A100 PCIe Product Brief,PB-10137-001_v03,lead_candidate,Card-to-GA100 SKU link and Product Brief version audit,https://www.nvidia.com/content/dam/en-zz/Solutions/Data-Center/a100/pdf/A100-PCIE-Prduct-Brief.pdf,https://www.nvidia.com/content/dam/en-zz/Solutions/Data-Center/a100/pdf/A100-PCIE-Prduct-Brief.pdf,200,application/pdf,2026-08-21,NVIDIA A100 40GB PCIe GPU Accelerator Product Brief; PB-10137-001_v03; September 2020,19,payload/pdf/nvidia-a100-pcie-product-brief-40gb_PB-10137-001_v03__captured-20260821.pdf,application/pdf,341524,06e4c11c950d6ad08fbe2ea543857d6b22d0a3060d6cf8b63e550debf448fe0b,headers/R1GA100-WEB-004.headers.txt,original_pdf_bytes_with_redirect_headers,captured_success,Lead-only candidate captured because r23 requires the internal Product Brief version check; URL filename remains misspelled.
R1GA100-WEB-005,NVIDIA A100 PCIe Product Brief,PB-10577-001_v03,lead_candidate,Card-to-GA100 SKU link and URL-versus-internal-version audit,https://www.nvidia.com/content/dam/en-zz/Solutions/Data-Center/a100/pdf/PB-10577-001_v02.pdf,https://www.nvidia.com/content/dam/en-zz/Solutions/Data-Center/a100/pdf/PB-10577-001_v02.pdf,200,application/pdf,2026-08-21,NVIDIA A100 80GB PCIe GPU Product Brief; PB-10577-001_v03; March 2022,20,payload/pdf/nvidia-a100-pcie-product-brief-80gb_PB-10577-001_v03__captured-20260821.pdf,application/pdf,399355,ef1350c2315f52040994d31826bc95eacdfd8edb56bb363f23ad0a5e5059f601,headers/R1GA100-WEB-005.headers.txt,original_pdf_bytes_with_redirect_headers,captured_success,URL says v02 while PDF cover and history say v03; source version follows the PDF content.
R1GA100-WEB-006,NVIDIA MIG User Guide,latest HTML snapshot,selected_candidate,MIG guide entry and version-risk snapshot,https://docs.nvidia.com/datacenter/tesla/mig-user-guide/latest/index.html,https://docs.nvidia.com/datacenter/tesla/mig-user-guide/latest/index.html,200,text/html,2026-08-21,MIG User Guide - NVIDIA Multi-Instance GPU User Guide,,payload/html/nvidia-mig-user-guide_latest-index__captured-20260821.html,text/html,14595,634065c47f55793bd169442b43d94c61f38a0cc0b27c65554597a7c59356a865,headers/R1GA100-WEB-006.headers.txt,raw_html_body_with_redirect_headers,captured_success,`latest` is mutable; this page is a dated raw-body snapshot and not a release-pinned source.
R1GA100-WEB-007,NVIDIA MIG User Guide,current supported-GPUs HTML snapshot,selected_candidate,A100-to-GA100 mapping and current supported-GPUs table,https://docs.nvidia.com/datacenter/tesla/mig-user-guide/supported-gpus.html,https://docs.nvidia.com/datacenter/tesla/mig-user-guide/supported-gpus.html,200,text/html,2026-08-21,Supported GPUs - NVIDIA Multi-Instance GPU User Guide,,payload/html/nvidia-mig-user-guide_supported-gpus__captured-20260821.html,text/html,20324,dbb01db2b63712d275812034d115b58deda6d45d01ec2a50617d92b663a3550f,headers/R1GA100-WEB-007.headers.txt,raw_html_body_with_redirect_headers,captured_success,Unversioned current page; treated as its own evidence endpoint and not as an immutable release.
R1GA100-WEB-008,NVIDIA MIG User Guide,Release r580; Nov 14 2025,selected_candidate,Frozen MIG PDF release and pagination,https://docs.nvidia.com/datacenter/tesla/pdf/MIG_User_Guide.pdf,https://docs.nvidia.com/datacenter/tesla/pdf/MIG_User_Guide.pdf,200,application/pdf,2026-08-21,NVIDIA Multi-Instance GPU User Guide; Release r580; Nov 14 2025,74,payload/pdf/nvidia-mig-user-guide_unversioned-endpoint__captured-20260821.pdf,application/pdf,1195671,89fe744c92c0e888004a81b4244a18585251f31ef530d387c94d63f7984dd529,headers/R1GA100-WEB-008.headers.txt,original_pdf_bytes_with_redirect_headers,captured_success,Unversioned PDF endpoint can be replaced; internal release r580 and the payload fingerprint define this snapshot.
R1GA100-WEB-009,NVIDIA vGPU software lifecycle,2026-08-03 title; Aug 4 2026 footer,selected_candidate,A100 vGPU full-support status,https://docs.nvidia.com/vgpu/news/vgpu-software-lifecycle-on-supported-gpus/index.html,https://docs.nvidia.com/vgpu/news/vgpu-software-lifecycle-on-supported-gpus/index.html,200,text/html;charset=UTF-8,2026-08-21,NVIDIA Virtual GPU Software Lifecycle on Supported GPUs (August 3 2026) - NVIDIA Docs,,payload/html/nvidia-vgpu-software-lifecycle_supported-gpus__captured-20260821.html,text/html,164251,2db6f0ff3e797574fca6b734997a8d7aa18ee8dcdf427836053d71ab2139db49,headers/R1GA100-WEB-009.headers.txt,raw_html_body_with_redirect_headers,captured_success,Dated title does not make the page immutable; retain footer-update interpretation in future source review.
R1GA100-WEB-010,NVIDIA AI Enterprise Infra 8.2 support matrix,Infra 8.2,selected_candidate,A100 and driver-vGPU version support binding,https://docs.nvidia.com/ai-enterprise/release-8/latest/support/support-matrix-8/8.2.html,https://docs.nvidia.com/ai-enterprise/release-8/latest/support/support-matrix-8/8.2.html,200,text/html,2026-08-21,NVIDIA AI Enterprise 8.2 Support Matrix - NVIDIA AI Enterprise,,payload/html/nvidia-ai-enterprise-infra-8-2_support-matrix__captured-20260821.html,text/html,97632,d4f69944f3bed7b813a6c2dbdf460e721ca1cda19eafa1b03f3ee17f5ee70ef2,headers/R1GA100-WEB-010.headers.txt,raw_html_body_with_redirect_headers,captured_success,Canonical family label matches source-family-map.csv; body title identifies 8.2 but the path includes `latest`.
