"source_key","scope_object_or_candidate","title","organization","source_type","publication_or_version","url_or_local_path","fixed_local_candidate","access_status","selection_recommendation","unique_role","boundary_note"
"GHC-S01","OBJ-GROQ-LPU1-ARCH","Think Fast: A Tensor Streaming Processor for Accelerating Deep Learning Workloads","Groq / IEEE","architecture_paper","ISCA 2020","sources/groq-isca-2020-tsp.pdf","true","accessible","selected","第一代 TSP 执行组织、MXM/VXM/SXM/MEM/C2C、数值与带宽","论文明确写 first-generation；不得外推 Groq 3"
"GHC-S02","OBJ-GROQ-LPU1-ARCH","GroqChip Processor Product Spec Sheet v1.7","Groq","product_brief","v1.7; 2024","sources/groqchip-product-brief-v1.7.pdf","true","accessible","selected","现役 GroqChip 修订值：230 MB、80 TB/s、INT8/FP16 峰值、RealScale 链路数、TruePoint/VXM 格式","产品修订值与 2020 论文首版实现值分版本保留，不强行合并"
"GHC-S03","OBJ-GROQ-LPU1-ARCH","Groq 2019 architecture whitepaper","Groq","architecture_whitepaper","2019-10","https://groq.com/wp-content/uploads/2019/10/Groq_Whitepaper_2019Oct.pdf","false","inaccessible","inaccessible","正文未取得；不能证明被其他来源完整覆盖","历史官方 URL 当前 HTTP 404；未恢复带 URL 的稳定镜像，不伪造端点"
"GHC-S04","OBJ-GROQ-LPU1-ARCH","A Software-defined Tensor Streaming Multiprocessor for Large-scale Machine Learning","Groq","architecture_paper","ISCA 2022; DOI 10.1145/3470496.3527405","https://dl.acm.org/doi/10.1145/3470496.3527405 | https://groq.sa/wp-content/uploads/2024/02/GroqISCAPaper2022_ASoftwareDefinedTensorStreamingMultiprocessorForLargeScaleMachineLearning-1.pdf","false","inaccessible","pending","若取得全文，用于第一代 scale-out 拓扑和集合通信机制","端点已拆记录：ACM DOI HTTP 403，Groq 地区镜像 HTTP 522；全文未固定"
"GHC-S05","OBJ-NVIDIA-GROQ3-ARCH","Inside NVIDIA Groq 3 LPX: The Low-Latency Inference Accelerator for the NVIDIA Vera Rubin Platform","NVIDIA","developer_documentation","2026-03-16; modified 2026-04-02","sources/nvidia-groq3-architecture-blog-2026-03-16.html","true","accessible","selected","Groq 3 执行组织、320-byte 向量、MXM/VXM/SXM、500 MB SRAM、150 TB/s、96×112 Gbps C2C","只属于 NVIDIA Groq 3，不与 Groq 第一代合并"
"GHC-S06","OBJ-NVIDIA-GROQ3-ARCH","NVIDIA Groq 3 LPX product page","NVIDIA","product_page","snapshot 2026-08-12","sources/nvidia-groq3-lpx-product-page-2026-08-12.html","true","accessible","redundant_covered","保留动态产品状态快照；本包每 LPU 架构事实由 S05 完全覆盖","对本包 selected_fact_set fully_covered；不声称网页全文相同"
"GHC-S07","OBJ-NVIDIA-GROQ3-ARCH","How the NVIDIA Vera Rubin Platform is Solving Agentic AI's Scale-Up Problem","NVIDIA","developer_documentation","2026-05-14; modified 2026-06-11","sources/nvidia-groq3-c2c-blog-2026.html","true","accessible","selected","C2C 96 链路、112 Gbps、约 2.5 TB/s、编译期路由和 plesiosynchronous 时序","与 S05 对 C2C 重叠，但补充跨 LPU 软件调度细节"
"GHC-S08","OBJ-HUAWEI-DA-VINCI-INITIAL-ARCH","DaVinci: A Scalable Architecture for Neural Network Computing","Huawei","architecture_paper","Hot Chips 31; 2019","论文/华为昇腾_DaVinci/01_厂商直接架构论文/2019_DaVinci_Scalable_Architecture_HotChips31.pdf","false","accessible","selected","初代 Da Vinci 名称、Cube/Vector/Scalar/MTE/缓存层级和编程模型","只承接论文明确覆盖的首代架构及配置条件"
"GHC-S09","OBJ-HUAWEI-DA-VINCI-INITIAL-ARCH","Ascend: A Scalable and Unified Architecture for Ubiquitous Deep Neural Network Computing","Huawei","architecture_paper","HPCA 2021; DOI 10.1109/HPCA51647.2021.00071","论文/华为昇腾_DaVinci/01_厂商直接架构论文/2021_Ascend_Scalable_Unified_Architecture_HPCA.pdf","false","accessible","selected","补充 Cube/Vector/Scalar 机制、L0/L1/UB/MTE、数值转换和多配置带宽","Ascend 910 SoC、服务器和集群专属事实不投射到初代架构对象"
"GHC-S10","OBJ-CAMBRICON-MLU590-ARCH","寒武纪亮相 2022 世界人工智能大会的思元590页面","Cambricon","product_page","2022-09-02; existing project snapshot","SRC-2022-CAMBRICON-WAIC-MLU590","false","accessible","selected","既有 MLUarch05 正式名称与思元590 implements_architecture 事实","复用现有正式事实，不重复建行"
