平台,年份,资料类别,论文或资料标题,发表期刊或会议,主要作者,作者单位,DOI,来源链接,建议路径,未下载原因,调研使用层级
NVIDIA GPU,2008,厂商直接架构论文,NVIDIA Tesla: A Unified Graphics and Computing Architecture,IEEE Micro,Erik Lindholm；John Nickolls；Stuart Oberman；John Montrym,NVIDIA,10.1109/MM.2008.31,https://doi.org/10.1109/MM.2008.31,NVIDIA_GPU/01_厂商直接架构论文/2008_NVIDIA_Tesla_Unified_Architecture.pdf,IEEE/Computer Society 正文受限,核心阅读
NVIDIA GPU,2010,独立逆向与微基准,Demystifying GPU Microarchitecture through Microbenchmarking,2010 IEEE International Symposium on Performance Analysis of Systems & Software (ISPASS),Henry Wong；Misel-Myrto Papadopoulou；Maryam Sadooghi-Alvandi；Andreas Moshovos,多伦多大学,10.1109/ISPASS.2010.5452013,https://doi.org/10.1109/ISPASS.2010.5452013,NVIDIA_GPU/02_独立逆向与微基准/2010_Demystifying_GPU_Microarchitecture.pdf,未找到公开全文,验证阅读
NVIDIA GPU,2016,独立逆向与微基准,A Case Study in Reverse Engineering GPGPUs: Outstanding Memory Handling Resources,ACM SIGARCH Computer Architecture News,Ahmad Lashgar；Ebad Salehi；Amirali Baniasadi,维多利亚大学（加拿大）,10.1145/2927964.2927968,https://doi.org/10.1145/2927964.2927968,NVIDIA_GPU/02_独立逆向与微基准/2016_Reverse_Engineering_GPGPU_Memory_Resources.pdf,ACM 正文受限,验证阅读
NVIDIA GPU,2017,独立逆向与微基准,GPU Scheduling on the NVIDIA TX2: Hidden Details Revealed,2017 IEEE Real-Time Systems Symposium (RTSS),Tanya Amert；Nathan Otterness；Ming Yang；James H. Anderson；F. Donelson Smith,北卡罗来纳大学教堂山分校,10.1109/RTSS.2017.00017,https://doi.org/10.1109/RTSS.2017.00017,NVIDIA_GPU/02_独立逆向与微基准/2017_GPU_Scheduling_NVIDIA_TX2.pdf,IEEE 正文受限,验证阅读
NVIDIA GPU,2023,独立逆向与微基准,Randomized Testing Framework for Dissecting NVIDIA GPGPU Thread Block-To-SM Scheduling Mechanisms,2023 IEEE 29th International Conference on Parallel and Distributed Systems (ICPADS),Chongxi Wang；Penghao Song；Haoyu Zhao；Fuxin Zhang；Jian Wang；Longbing Zhang,"Chinese Academy of Sciences,State Key Lab of Processors, Institute of Computing Technology,Beijing,China",10.1109/ICPADS60453.2023.00254,https://doi.org/10.1109/ICPADS60453.2023.00254,NVIDIA_GPU/02_独立逆向与微基准/2023_Randomized_Testing_Thread_Block_SM_Scheduling.pdf,IEEE 正文受限,验证阅读
NVIDIA GPU,2024,独立逆向与微基准,Discovery of Floating-Point Differences Between NVIDIA and AMD GPUs,"2024 IEEE 24th International Symposium on Cluster, Cloud and Internet Computing (CCGrid)",Xinyi Li；Ang Li；Bo Fang；Katarzyna Swirydowicz；Ignacio Laguna；Ganesh Gopalakrishnan,"University of Utah,Kahlert School of Computing,USA；Pacific Northwest National Laboratory,USA；Lawrence Livermore National Laboratory,USA",10.1109/CCGrid59990.2024.00083,https://doi.org/10.1109/CCGrid59990.2024.00083,NVIDIA_GPU/02_独立逆向与微基准/2024_Discovery_Floating_Point_Differences_NVIDIA_AMD.pdf,未找到公开全文,验证阅读
华为昇腾/达芬奇,2022,独立逆向与微基准,华为昇腾神经网络加速器性能评测与优化,计算机学报，45(8)，2022,鲁蔚征；张峰；贺寅烜；陈跃国；翟季冬；杜小勇,中国人民大学；清华大学,,https://cjc.ict.ac.cn/qwjs/No2022-08.htm,华为昇腾_DaVinci/02_独立逆向与微基准/2022_华为昇腾神经网络加速器性能评测与优化.pdf,只取得期刊信息和摘要,验证阅读
华为昇腾/达芬奇,2024,独立逆向与微基准,AIbench: A Tool for Benchmarking Huawei Ascend AI Processors,CCF Transactions on High Performance Computing,Yang Xiao；Zeke Wang,浙江大学,10.1007/s42514-024-00187-x,https://doi.org/10.1007/s42514-024-00187-x,华为昇腾_DaVinci/02_独立逆向与微基准/2024_AIbench_Huawei_Ascend.pdf,Springer 正文受限,验证阅读
华为昇腾/达芬奇,2026,独立逆向与微基准,An Architecture-Adaptive Optimization Strategy for High-Performance SYMV on a Heterogeneous AI Accelerator,Journal of Systems Architecture,Hao Jiang；Lu Lu；Zhihong Liang,华南理工大学；鹏城实验室,10.1016/j.sysarc.2026.103728,https://doi.org/10.1016/j.sysarc.2026.103728,华为昇腾_DaVinci/02_独立逆向与微基准/2026_Architecture_Adaptive_SYMV_Ascend_A2.pdf,Elsevier 正文受限,验证阅读
华为昇腾/达芬奇,2026,独立逆向与微基准,Efficient Low-Precision GEMM on Ascend NPU,Computers,Erkun Zhang；Pengxiang Xu；Lu Lu,华南理工大学；鹏城实验室,10.3390/computers15010039,https://doi.org/10.3390/computers15010039,华为昇腾_DaVinci/02_独立逆向与微基准/2026_Efficient_Low_Precision_GEMM_Ascend_NPU.pdf,开放获取，但 MDPI 连续返回 429/HTML，属于远程站点限制,验证阅读
华为昇腾/达芬奇,2026,独立逆向与微基准,Exploiting Intra-Core Heterogeneity for High-Performance Dense Linear Algebra on Huawei Ascend 910 NPUs,CCF Transactions on High Performance Computing,Shina Guo；Weiguo Gao；Hao Zhang；Xinghui Tian；Yuan Tang,复旦大学,10.1007/s42514-026-00275-0,https://doi.org/10.1007/s42514-026-00275-0,华为昇腾_DaVinci/02_独立逆向与微基准/2026_Intra_Core_Heterogeneity_Ascend910.pdf,Springer 正文受限,验证阅读
