"field_id","current_fact_allowed_subject_kinds","proposed_fact_allowed_subject_kinds","proposed_requirement_target_kinds","proposal_kind","affected_fact_rows","affected_requirement_rows","semantic_rationale","evidence_basis","confidence","blocking_reason","review_status"
"FIELD-CAP-IMPLEMENTATION-DETAIL","capability","capability","object;capability","requirement_target_contract_only","0","11","保持现有事实主体合同；新增 requirement-target 合同，使缺失、不适用和关系投影可以指向其真实覆盖范围。","adjudication.csv 中 11 行；组合=object->capability","high","","reviewed"
"FIELD-COMP-ARRAY-SHAPE","component","component","object;component","requirement_target_contract_only","0","1","保持现有事实主体合同；新增 requirement-target 合同，使缺失、不适用和关系投影可以指向其真实覆盖范围。","adjudication.csv 中 1 行；组合=object->component","high","","reviewed"
"FIELD-COMP-EXECUTION","component","component","object;component","requirement_target_contract_only","0","2","保持现有事实主体合同；新增 requirement-target 合同，使缺失、不适用和关系投影可以指向其真实覆盖范围。","adjudication.csv 中 2 行；组合=object->component","high","","reviewed"
"FIELD-COMP-INSTRUCTION-TILE","precision_path","precision_path","object;precision_path","requirement_target_contract_only","0","1","保持现有事实主体合同；新增 requirement-target 合同，使缺失、不适用和关系投影可以指向其真实覆盖范围。","adjudication.csv 中 1 行；组合=object->precision_path","high","","reviewed"
"FIELD-COMP-ISSUE-WIDTH","component","component","object;component","requirement_target_contract_only","0","1","保持现有事实主体合同；新增 requirement-target 合同，使缺失、不适用和关系投影可以指向其真实覆盖范围。","adjudication.csv 中 1 行；组合=object->component","high","","reviewed"
"FIELD-COMP-THROUGHPUT","precision_path","precision_path","object;precision_path","requirement_target_contract_only","0","20","保持现有事实主体合同；新增 requirement-target 合同，使缺失、不适用和关系投影可以指向其真实覆盖范围。","adjudication.csv 中 20 行；组合=object->precision_path","high","","reviewed"
"FIELD-COMP-UNIT-COUNT","component","component","object;component","requirement_target_contract_only","0","1","保持现有事实主体合同；新增 requirement-target 合同，使缺失、不适用和关系投影可以指向其真实覆盖范围。","adjudication.csv 中 1 行；组合=object->component","high","","reviewed"
"FIELD-DER-COMPUTE-BW-SPEC","object","object;precision_path","object;precision_path","fact_and_requirement_expand","4","4","派生结果随精度路径变化，precision_path 是合法事实主体；所属对象由路径和输入约束复核。","4 条 precision_path 派生事实各有一条 derived-metrics 记录和两条 derived-inputs；4 条对应要求中 3 条 value_available、1 条 conflicting_unresolved，全部同时迁到对应的 Trainium2 芯片聚合精度路径。","high","","reviewed"
"FIELD-ID-ARCH","object","object","object;object_relation","requirement_target_contract_only","0","1","保持现有事实主体合同；新增 requirement-target 合同，使缺失、不适用和关系投影可以指向其真实覆盖范围。","adjudication.csv 中 1 行；组合=object_relation->object","high","","reviewed"
"FIELD-INT-AGGREGATE-BW","link","link","object;link","requirement_target_contract_only","0","17","保持现有事实主体合同；新增 requirement-target 合同，使缺失、不适用和关系投影可以指向其真实覆盖范围。","adjudication.csv 中 17 行；组合=object->link","high","","reviewed"
"FIELD-INT-PROTOCOL","link","link","object;link","requirement_target_contract_only","0","2","保持现有事实主体合同；新增 requirement-target 合同，使缺失、不适用和关系投影可以指向其真实覆盖范围。","adjudication.csv 中 2 行；组合=object->link","high","","reviewed"
"FIELD-INT-TOPOLOGY","topology","topology","object;topology","requirement_target_contract_only","0","4","保持现有事实主体合同；新增 requirement-target 合同，使缺失、不适用和关系投影可以指向其真实覆盖范围。","adjudication.csv 中 4 行；组合=object->topology","high","","reviewed"
"FIELD-MEM-BIDIR-BW","component","component","object;component","requirement_target_contract_only","0","1","保持现有事实主体合同；新增 requirement-target 合同，使缺失、不适用和关系投影可以指向其真实覆盖范围。","adjudication.csv 中 1 行；组合=object->component","high","","reviewed"
"FIELD-MEM-CAPACITY","component","component","object;component","requirement_target_contract_only","0","17","保持现有事实主体合同；新增 requirement-target 合同，使缺失、不适用和关系投影可以指向其真实覆盖范围。","adjudication.csv 中 17 行；组合=object->component","high","","reviewed"
"FIELD-MEM-DMA","component","component","object;component","requirement_target_contract_only","0","1","保持现有事实主体合同；新增 requirement-target 合同，使缺失、不适用和关系投影可以指向其真实覆盖范围。","adjudication.csv 中 1 行；组合=object->component","high","","reviewed"
"FIELD-MEM-NAME","component","component","object;component","requirement_target_contract_only","0","1","保持现有事实主体合同；新增 requirement-target 合同，使缺失、不适用和关系投影可以指向其真实覆盖范围。","adjudication.csv 中 1 行；组合=object->component","high","","reviewed"
"FIELD-MEM-READ-BW","component","component","object;component","requirement_target_contract_only","0","15","保持现有事实主体合同；新增 requirement-target 合同，使缺失、不适用和关系投影可以指向其真实覆盖范围。","adjudication.csv 中 15 行；组合=object->component","high","","reviewed"
"FIELD-MEM-WRITE-BW","component","component","object;component","requirement_target_contract_only","0","1","保持现有事实主体合同；新增 requirement-target 合同，使缺失、不适用和关系投影可以指向其真实覆盖范围。","adjudication.csv 中 1 行；组合=object->component","high","","reviewed"
"FIELD-NUM-ACCUMULATION","precision_path","precision_path","object;component;precision_path","requirement_target_contract_only","0","4","保持现有事实主体合同；新增 requirement-target 合同，使缺失、不适用和关系投影可以指向其真实覆盖范围。","adjudication.csv 中 4 行；组合=object->precision_path","high","","reviewed"
"FIELD-NUM-OPERAND-A","precision_path","precision_path","object;component;precision_path","requirement_target_contract_only","0","3","保持现有事实主体合同；新增 requirement-target 合同，使缺失、不适用和关系投影可以指向其真实覆盖范围。","adjudication.csv 中 3 行；组合=object->precision_path","high","","reviewed"
"FIELD-NUM-PHYSICAL-ACCUM","precision_path","precision_path","object;component;precision_path","requirement_target_contract_only","0","4","保持现有事实主体合同；新增 requirement-target 合同，使缺失、不适用和关系投影可以指向其真实覆盖范围。","adjudication.csv 中 4 行；组合=component->precision_path;object->precision_path","high","","reviewed"
"FIELD-NUM-PRODUCT","precision_path","precision_path","component;precision_path","requirement_target_contract_only","0","1","保持现有事实主体合同；新增 requirement-target 合同，使缺失、不适用和关系投影可以指向其真实覆盖范围。","adjudication.csv 中 1 行；组合=component->precision_path","high","","reviewed"
"FIELD-NUM-ROUNDING","precision_path","precision_path","object;component;precision_path","requirement_target_contract_only","0","2","保持现有事实主体合同；新增 requirement-target 合同，使缺失、不适用和关系投影可以指向其真实覆盖范围。","adjudication.csv 中 2 行；组合=object->precision_path","high","","reviewed"
"FIELD-NUM-SCALING-GRANULARITY","precision_path","precision_path","object;precision_path","requirement_target_contract_only","0","1","保持现有事实主体合同；新增 requirement-target 合同，使缺失、不适用和关系投影可以指向其真实覆盖范围。","adjudication.csv 中 1 行；组合=object->precision_path","high","","reviewed"
"FIELD-NUM-SPARSITY","precision_path","precision_path","object;precision_path","requirement_target_contract_only","0","1","保持现有事实主体合同；新增 requirement-target 合同，使缺失、不适用和关系投影可以指向其真实覆盖范围。","adjudication.csv 中 1 行；组合=object->precision_path","high","","reviewed"
"FIELD-PHY-CLOCK","object","object;component","object;component;precision_path","fact_and_requirement_expand","4","7","事实合同加入 component；requirement 另允许 precision_path 记录路径是否绑定峰值频率，二者不能合并解释。","正式 Trainium2：4 条 component 事实及 4 条 value_available component 要求；4 条事实均由 SRC-AWS-TRN2-S02 Table 11 按 Compute Engine 行直接支持。H100：3 条 precision_path not_found 要求只记录非 Tensor 路径未绑定明确峰值频率。AWS 修正版候选：FACT-M2W2-AWS-TRN3-NCV4-TENSOR-CLOCK / CMP-M2W2-AWS-TRN3-TENSOR / 2.4 GHz。","high","","reviewed"
