"condition_set_id","condition_fingerprint","precision_path_id","sparsity_mode","sparsity_pattern","operation_type","operation_count_rule","performance_basis","support_level","power_mode","frequency_value","frequency_unit","software_version","workload_stage","bandwidth_direction","aggregation_scope","traffic_basis","measurement_scope","effective_date","review_status","notes","workload_phase","data_role","workload_model","workload_operator","batch_size","microbatch_size","global_batch_size","sequence_length","context_length","input_length","output_length","concurrency","request_rate_value","request_rate_unit","parallelism","accelerator_count","scheduling_policy","quality_constraint","service_level_constraint","metric_name","statistic_basis","message_size_bytes"
"COND-M2NA-AMPERE-2OF4","M2NA|Ampere|FP16|2:4|sm80|PTX7.1","PPATH-M2NA-AMPERE-TENSOR-FP16","structured_sparse","2:4","matrix_mma","not_specified","theoretical_peak","hardware_instruction","","","","PTX ISA 7.1 or later, CUDA Toolkit 11.1 or later","not_specified","","not_specified","not_specified","per_component","","draft","Architecture instruction condition. Pattern and datatype remain separate. No runtime pruning, RTL shape, metadata SRAM, or sustained 2x claim.","","","","","","","","","","","","","","","","","","","","","",""
"COND-R1-GA100-AMPERE-BF16-SP24","M2NA|Ampere|BF16|2:4|sm80|PTX7.1","PPATH-M2NA-AMPERE-TENSOR-BF16","structured_sparse","2:4","matrix_mma","not_specified","theoretical_peak","hardware_instruction","","","","PTX ISA 7.1 or later, CUDA Toolkit 11.1 or later","not_specified","","not_specified","not_specified","per_component","","draft","Architecture instruction condition. Pattern and datatype remain separate. No runtime pruning, RTL shape, metadata SRAM, or sustained 2x claim.","","","","","","","","","","","","","","","","","","","","","",""
"COND-R1-GA100-AMPERE-CUDA110-SM80","Ampere|CUDA11.0|PTX7.0|sm80","","","","","","","hardware_instruction","","","","CUDA Toolkit 11.0 and PTX ISA 7.0 targeting sm_80","","","","","per_object","","draft","Documented software-visible target. Async-copy APIs were experimental in CUDA 11.0. No runnable validation is claimed.","","","","","","","","","","","","","","","","","","","","","",""
"COND-R1-GA100-AMPERE-INT4-PAIR48","M2NA|Ampere|INT4|pairwise4:8|sm80|PTX7.1","PPATH-R1-GA100-AMPERE-TENSOR-INT4","structured_sparse","pair-wise 4:8","matrix_mma","not_specified","theoretical_peak","hardware_instruction","","","","PTX ISA 7.1 or later, CUDA Toolkit 11.1 or later","not_specified","","not_specified","not_specified","per_component","","draft","Architecture instruction condition. Pattern and datatype remain separate. No runtime pruning, RTL shape, metadata SRAM, or sustained 2x claim.","","","","","","","","","","","","","","","","","","","","","",""
"COND-R1-GA100-AMPERE-INT8-SP24","M2NA|Ampere|INT8|2:4|sm80|PTX7.1","PPATH-M2NA-AMPERE-TENSOR-INT8","structured_sparse","2:4","matrix_mma","not_specified","theoretical_peak","hardware_instruction","","","","PTX ISA 7.1 or later, CUDA Toolkit 11.1 or later","not_specified","","not_specified","not_specified","per_component","","draft","Architecture instruction condition. Pattern and datatype remain separate. No runtime pruning, RTL shape, metadata SRAM, or sustained 2x claim.","","","","","","","","","","","","","","","","","","","","","",""
"COND-R1-GA100-AMPERE-NVLINK-LR-PHY","Ampere|NVLink3|LR_PHY|50Gbps_differential_interface|NRZ|no_FEC","","","","","","vendor_label_unresolved","","","","","","","direction_not_specified","per_lane","raw_line_rate","per_component","","draft","ISSCC long-reach NVLink3 differential-interface PHY context. The 50 Gbps raw bitrate is not normalized as a full logical-link rate. BER and no-FEC are PHY statements, not whole-chip RAS.","","","","","","","","","","","","","","","","","","","","","",""
"COND-R1-GA100-AMPERE-TF32-SP12","M2NA|Ampere|TF32|1:2|sm80|PTX7.1","PPATH-M2NA-AMPERE-TENSOR-TF32","structured_sparse","1:2","matrix_mma","not_specified","theoretical_peak","hardware_instruction","","","","PTX ISA 7.1 or later, CUDA Toolkit 11.1 or later","not_specified","","not_specified","not_specified","per_component","","draft","Architecture instruction condition. Pattern and datatype remain separate. No runtime pruning, RTL shape, metadata SRAM, or sustained 2x claim.","","","","","","","","","","","","","","","","","","","","","",""
"COND-R1-GA100-FULL-DIE","GA100|full_physical_design|per_object","","","","","","","","","","","","","","","","per_object","","draft","Full GA100 physical design. Excludes enabled A100 configuration, package, HBM stacks, module, card, and system.","","","","","","","","","","","","","","","","","","","","","",""
"COND-R1-GA100-PER-SM-MEMORY","GA100|memory|per_SM|physical_capacity","","","","","","","","","","","","","","not_specified","not_specified","per_component","","draft","One GA100 SM. Register-file capacity and combined L1 data cache or shared-memory physical capacity are kept separate. No full-chip multiplication is performed.","","","","","","","","","","","","","","","","","","","","","",""
"COND-R1-GA100-RAS-CONTAINMENT","GA100|contained_UCE|rare_uncontained_exception","","","","","","","","","","","NVIDIA GPU Memory Error Management, June 2023","","","","","per_object","","draft","Contained uncorrectable ECC error scope. Rare uncontained UCE remains an explicit exception.","","","","","","","","","","","","","","","","","","","","","",""
"COND-R1-GA100-RAS-DPO","GA100|DPO|framebuffer_UCE|driver","","","","","","","","","","","NVIDIA GPU Memory Error Management, June 2023","","","","","per_object","","draft","GA100 support with NVIDIA driver participation. Applies to framebuffer uncorrectable errors. Application termination and page reclamation depend on the documented recovery flow.","","","","","","","","","","","","","","","","","","","","","",""
"COND-R1-GA100-RAS-ROW-REMAP","GA100|row_remap|external_HBM|reset_service","","","","","","","","","","","NVIDIA GPU Memory Error Management, June 2023","","","","","per_object","","draft","GA100 GPU plus external HBM or DRAM spare rows, driver and InfoROM state, service-window reset, and documented remap workflow.","","","","","","","","","","","","","","","","","","","","","",""
"COND-R1-GA100-SM-FP16-DENSE","GA100|FP16_FP32|dense|1024_FMA_per_SM_clock","PPATH-R1-GA100-TENSOR-FP16-DENSE","dense","","matrix_mma","vendor_label","theoretical_peak","hardware_capability","","","","","","","not_specified","not_specified","per_component","","draft","Full GA100 implementation, per SM, per clock, dense FP16 inputs and FP32 accumulation. Published count is FMA, not FLOP.","","","","","","","","","","","","","","","","","","","","","",""
"COND-R1-GA100-SM-PROCESSING-BLOCK","GA100|SM|processing_block|per_clock","","","","scalar_alu","not_specified","","","","","","","","","","","per_component","","draft","One of four processing blocks inside one GA100 SM. Figure 7 label is per processing block and per clock. It is not an aggregate SM or full-die issue rate.","","","","","","","","","","","","","","","","","","","","","",""
