"endpoint_id","source_id","endpoint_type","url","local_path","sha256","page_count","mime_type","access_date","http_status","snapshot_date","is_preferred_endpoint","accessibility_status","review_status","notes"
"END-NVIDIA-A100-IEEE-MICRO-2021-DOI","SRC-NVIDIA-A100-IEEE-MICRO-2021","doi_landing","https://doi.org/10.1109/MM.2021.3061394","","","","","2026-08-21","","","false","pending_verification","draft","byte_count=not_recorded. stable persistent-work endpoint, content bytes not captured here Not independent from NVIDIA whitepaper or ISSCC authorship."
"END-NVIDIA-A100-IEEE-MICRO-2021-LOCAL","SRC-NVIDIA-A100-IEEE-MICRO-2021","local_pdf","","论文/NVIDIA_GPU/01_厂商直接架构论文/2021_NVIDIA_A100_Tensor_Core_GPU_Performance_and_Innovation.pdf","96a0f9053da3c3978f907ee1fee324913bd6b600fec96137738b407e400d700d","7","application/pdf","2026-08-21","","2026-08-21","true","accessible","draft","byte_count=3058075. fixed local PDF Most physical, peak, NVLink, MIG, and async-copy claims are covered more completely by the whitepaper."
"END-NVIDIA-A100-ISSCC-2021-DOI","SRC-NVIDIA-A100-ISSCC-2021","doi_landing","https://doi.org/10.1109/ISSCC42613.2021.9365803","","","","","2026-08-21","","","false","pending_verification","draft","byte_count=not_recorded. stable persistent-work endpoint, content bytes not captured here Retain the resolved publisher URL and access date at formal merge."
"END-NVIDIA-A100-ISSCC-2021-LOCAL","SRC-NVIDIA-A100-ISSCC-2021","local_pdf","","论文/NVIDIA_GPU/01_厂商直接架构论文/2021_A100_Datacenter_GPU_Ampere_ISSCC.pdf","55765d2680678ba46045da1902496ddd3995d5964a5f0ef68a99362e2c43b601","3","application/pdf","2026-08-21","","2026-08-21","true","accessible","draft","byte_count=463828. fixed local PDF, venue year is known but exact formal publication_date is not filled Do not record 108 SM, 40 MB L2, HBM, clocks, or peak values as unconditional full-GA100 facts."
"END-NVIDIA-A100-RANDOM-ACCESS-ARXIV-V1-ARXIV","SRC-NVIDIA-A100-RANDOM-ACCESS-ARXIV-V1-2024","pdf_direct","https://arxiv.org/pdf/2405.11425","","","","","2026-08-21","","","false","pending_verification","draft","byte_count=not_recorded. fixed local v1 is the evidence copy No verified conference or journal version is claimed."
"END-NVIDIA-A100-RANDOM-ACCESS-ARXIV-V1-LOCAL","SRC-NVIDIA-A100-RANDOM-ACCESS-ARXIV-V1-2024","local_pdf","","论文/NVIDIA_GPU/02_独立逆向与微基准/2024_A100_Full_Speed_Random_Access_Memory.pdf","6ca888b92691f06de9d5d15b268f2e2c738c9f0ef44441e6fd785f65a113a8a9","6","application/pdf","2026-08-21","","2026-08-21","true","accessible","draft","byte_count=587055. fixed local preprint Not a general GA100 HBM bandwidth, TLB-count, or 14-group specification."
"END-NVIDIA-AMPERE-MICROBENCH-ARXIV-V1-ARXIV","SRC-NVIDIA-AMPERE-MICROBENCH-ARXIV-V1-2022","pdf_direct","https://arxiv.org/pdf/2208.11174","","","","","2026-08-21","","","false","pending_verification","draft","byte_count=not_recorded. fixed local v1 is the evidence copy The publisher DOI 10.1109/HPEC55821.2022.9926299 remains a separate, unverified related-version lead."
"END-NVIDIA-AMPERE-MICROBENCH-ARXIV-V1-LOCAL","SRC-NVIDIA-AMPERE-MICROBENCH-ARXIV-V1-2022","local_pdf","","论文/NVIDIA_GPU/02_独立逆向与微基准/2022_Demystifying_NVIDIA_Ampere_Architecture.pdf","86013d806532a281e7878415cc1a55aa426f8fbd8ae0e9dc02285882fbdd8227","8","application/pdf","2026-08-21","","2026-08-21","true","accessible","draft","byte_count=285169. fixed local preprint Do not use background 124 SM, product identity, or unqualified A100 performance values."
"END-NVIDIA-CUDA-C-PROGRAMMING-GUIDE-11-0-LOCAL","SRC-NVIDIA-CUDA-C-PROGRAMMING-GUIDE-11-0","local_pdf","","最小参考资料库/快照/NVIDIA/GA100/cuda-c-programming-guide-11.0.pdf","af4235e08e4ebb0f7651896db7ed05344f5e4ae6e9ce5da3cba3bc5ec6c69174","405","application/pdf","2026-08-21","","2026-08-21","true","accessible","draft","byte_count=4252150. fixed staged PDF, title and author NVIDIA verified No exact publication day is invented from the August 2020 cover."
"END-NVIDIA-GPU-MEM-ERROR-MGMT-DA-09826-002-V001-LOCAL","SRC-NVIDIA-GPU-MEM-ERROR-MGMT-DA-09826-002-V001","local_pdf","","最小参考资料库/快照/NVIDIA/GA100/nvidia-gpu-mem-error-mgmt-DA-09826-002_v001.pdf","5d484fe6ce3b577cfbdd378ebf6b3cf3eb18cedc0ec99ec557832bad424306d4","16","application/pdf","2026-08-21","","2026-08-21","true","accessible","draft","byte_count=352370. fixed staged PDF, formal merge must relocate or copy under an approved source-pool transaction Publication month is known, no exact publication day is invented. Later R595 is a same-family revision, not independent evidence."
"END-NVIDIA-GPU-MEM-ERROR-MGMT-DA-09826-002-V001-PUBLISHER","SRC-NVIDIA-GPU-MEM-ERROR-MGMT-DA-09826-002-V001","pdf_direct","https://docs.nvidia.com/deploy/pdf/nvidia-gpu-mem-error-mgmt.pdf","","","","","2026-08-21","","","false","pending_verification","draft","byte_count=not_recorded. local PDF is the fixed evidence copy At formal registration, record the verified access date and preserve remote-versus-local hash result."
"END-NVIDIA-GPU-MEM-ERROR-MGMT-R595-CONTAINED-UCE-RESPONSE","SRC-NVIDIA-GPU-MEM-ERROR-MGMT-R595","web_snapshot","https://docs.nvidia.com/deploy/a100-gpu-mem-error-mgmt/595/response-to-uncorrectable-contained-ecc-errors.html","最小参考资料库/快照/NVIDIA/GA100/ras-r595-contained-uce-response.html","cab5cfc6c98e76b24e5320cb0d323e7e103b97776a04e442ae8eeaf622bc9704","","text/html","2026-08-21","","2026-08-21","false","accessible","draft","byte_count=17041. fixed local HTML snapshot Keep recovery as an ordered device, driver, and service-window process."
"END-NVIDIA-GPU-MEM-ERROR-MGMT-R595-CONTAINMENT","SRC-NVIDIA-GPU-MEM-ERROR-MGMT-R595","web_snapshot","https://docs.nvidia.com/deploy/a100-gpu-mem-error-mgmt/595/error-containment.html","最小参考资料库/快照/NVIDIA/GA100/ras-r595-error-containment.html","d50618920ae48febbf894af8aa4455d6af541e794a8068996ca6d44980bbfbd5","","text/html","2026-08-21","","2026-08-21","false","accessible","draft","byte_count=16326. fixed local HTML snapshot No additional source or selection member."
"END-NVIDIA-GPU-MEM-ERROR-MGMT-R595-DPO","SRC-NVIDIA-GPU-MEM-ERROR-MGMT-R595","web_snapshot","https://docs.nvidia.com/deploy/a100-gpu-mem-error-mgmt/595/dynamic-page-offlining.html","最小参考资料库/快照/NVIDIA/GA100/ras-r595-dynamic-page-offlining.html","39e16e20f234e40f666a4d79a8acc2bd28eae06a8fc577cbe523c06bcff2d4e3","","text/html","2026-08-21","","2026-08-21","false","accessible","draft","byte_count=16144. fixed local HTML snapshot Do not describe this driver-assisted function as autonomous on-die repair."
"END-NVIDIA-GPU-MEM-ERROR-MGMT-R595-REPAIR","SRC-NVIDIA-GPU-MEM-ERROR-MGMT-R595","web_snapshot","https://docs.nvidia.com/deploy/a100-gpu-mem-error-mgmt/595/hbm-channel-repair.html","最小参考资料库/快照/NVIDIA/GA100/ras-r595-gpu-memory-repair.html","9a44db8d6ab692c7fd1833e05cc42ee45a8012d75c3479a4d8917955cef03389","","text/html","2026-08-21","","2026-08-21","false","accessible","draft","byte_count=17169. fixed local HTML snapshot out_of_scope is the positive-claim disposition, not source screening, no additional source or selection member."
"END-NVIDIA-GPU-MEM-ERROR-MGMT-R595-ROW-REMAP","SRC-NVIDIA-GPU-MEM-ERROR-MGMT-R595","web_snapshot","https://docs.nvidia.com/deploy/a100-gpu-mem-error-mgmt/595/row-remapping.html","最小参考资料库/快照/NVIDIA/GA100/ras-r595-row-remapping.html","7473e17f6c97e8d9d616faf72efdf41cc142e47216a7d5278fa8651b93fbd7f6","","text/html","2026-08-21","","2026-08-21","false","accessible","draft","byte_count=17904. fixed local HTML snapshot Reset and external HBM boundary must remain conditions."
"END-NVIDIA-GPU-MEM-ERROR-MGMT-R595-SUPPORTED","SRC-NVIDIA-GPU-MEM-ERROR-MGMT-R595","web_snapshot","https://docs.nvidia.com/deploy/a100-gpu-mem-error-mgmt/595/supported-gpus.html","最小参考资料库/快照/NVIDIA/GA100/ras-r595-supported-gpus.html","4813fafec19b1508358bc0aedfcbd212e0f4695770a39fa0b3b75f1e8fc7c44f","","text/html","2026-08-21","","2026-08-21","true","accessible","draft","byte_count=16575. fixed local HTML snapshot Do not count this source family as an independent confirmation of the June 2023 PDF."
"END-NVIDIA-MIG-USER-GUIDE-610-CONCEPTS","SRC-NVIDIA-MIG-USER-GUIDE-610","web_snapshot","https://docs.nvidia.com/datacenter/tesla/mig-user-guide/latest/concepts.html","最小参考资料库/快照/NVIDIA/GA100/mig-user-guide-610/concepts.html","4413498cd49a04ef015dc0fd5bc96ac2c909dc35302b7a3625505ce30e4e9057","","text/html","2026-08-21","","2026-08-21","false","accessible","draft","byte_count=33203. fixed local HTML snapshot, expected article verified Do not infer internal queue, context-save state, scheduling latency, or QoS numerical guarantee."
"END-NVIDIA-MIG-USER-GUIDE-610-DEPLOYMENT","SRC-NVIDIA-MIG-USER-GUIDE-610","web_snapshot","https://docs.nvidia.com/datacenter/tesla/mig-user-guide/latest/deployment-considerations.html","最小参考资料库/快照/NVIDIA/GA100/mig-user-guide-610/deployment-considerations.html","fd8e343f987aada7902d700a083f8b3e0682ee483153d45ddf0de70431219870","","text/html","2026-08-21","","2026-08-21","false","accessible","draft","byte_count=21560. fixed local HTML snapshot, expected article verified Dynamic page wording is bounded to this snapshot, do not silently adopt later driver requirements."
