"screening_id","source_id","screening_status","rationale","full_text_read_status","screened_by","screened_date","screening_fingerprint","review_status","notes"
"SCREEN-R1-GA100-NVIDIA-A100-ISSCC-2021","SRC-NVIDIA-A100-ISSCC-2021","lead_only","Kept as a lead. No accepted full-GA100 atomic fact in this overlay depends on its product-conditioned, moving, or unit-conflicted claims.","relevant_sections_read","r1_ga100_atomic_staging","2026-08-21","SRC-NVIDIA-A100-ISSCC-2021|lead_only|2026-08-21|GA100-DIE","draft","Exactly one source-level screening row is staged. Endpoint dispositions do not create extra rows."
"SCREEN-R1-GA100-NVIDIA-A100-IEEE-MICRO-2021","SRC-NVIDIA-A100-IEEE-MICRO-2021","lead_only","Kept as a lead. No accepted full-GA100 atomic fact in this overlay depends on its product-conditioned, moving, or unit-conflicted claims.","relevant_sections_read","r1_ga100_atomic_staging","2026-08-21","SRC-NVIDIA-A100-IEEE-MICRO-2021|lead_only|2026-08-21|GA100-DIE","draft","Exactly one source-level screening row is staged. Endpoint dispositions do not create extra rows."
"SCREEN-R1-GA100-NVIDIA-AMPERE-MICROBENCH-ARXIV-V1-2022","SRC-NVIDIA-AMPERE-MICROBENCH-ARXIV-V1-2022","lead_only","Kept as a lead. No accepted full-GA100 atomic fact in this overlay depends on its product-conditioned, moving, or unit-conflicted claims.","relevant_sections_read","r1_ga100_atomic_staging","2026-08-21","SRC-NVIDIA-AMPERE-MICROBENCH-ARXIV-V1-2022|lead_only|2026-08-21|GA100-DIE","draft","Exactly one source-level screening row is staged. Endpoint dispositions do not create extra rows."
"SCREEN-R1-GA100-NVIDIA-A100-RANDOM-ACCESS-ARXIV-V1-2024","SRC-NVIDIA-A100-RANDOM-ACCESS-ARXIV-V1-2024","lead_only","Kept as a lead. No accepted full-GA100 atomic fact in this overlay depends on its product-conditioned, moving, or unit-conflicted claims.","relevant_sections_read","r1_ga100_atomic_staging","2026-08-21","SRC-NVIDIA-A100-RANDOM-ACCESS-ARXIV-V1-2024|lead_only|2026-08-21|GA100-DIE","draft","Exactly one source-level screening row is staged. Endpoint dispositions do not create extra rows."
"SCREEN-R1-GA100-NVIDIA-GPU-MEM-ERROR-MGMT-DA-09826-002-V001","SRC-NVIDIA-GPU-MEM-ERROR-MGMT-DA-09826-002-V001","selected","Retained by the provisional reverse-removal set because accepted staged facts or identity relations depend on it.","relevant_sections_read","r1_ga100_atomic_staging","2026-08-21","SRC-NVIDIA-GPU-MEM-ERROR-MGMT-DA-09826-002-V001|selected|2026-08-21|GA100-DIE","draft","Exactly one source-level screening row is staged. Endpoint dispositions do not create extra rows."
"SCREEN-R1-GA100-NVIDIA-GPU-MEM-ERROR-MGMT-R595","SRC-NVIDIA-GPU-MEM-ERROR-MGMT-R595","lead_only","Kept as a lead. No accepted full-GA100 atomic fact in this overlay depends on its product-conditioned, moving, or unit-conflicted claims.","relevant_sections_read","r1_ga100_atomic_staging","2026-08-21","SRC-NVIDIA-GPU-MEM-ERROR-MGMT-R595|lead_only|2026-08-21|GA100-DIE","draft","Exactly one source-level screening row is staged. Endpoint dispositions do not create extra rows."
"SCREEN-R1-GA100-NVIDIA-CUDA-C-PROGRAMMING-GUIDE-11-0","SRC-NVIDIA-CUDA-C-PROGRAMMING-GUIDE-11-0","selected","Retained by the provisional reverse-removal set because accepted staged facts or identity relations depend on it.","relevant_sections_read","r1_ga100_atomic_staging","2026-08-21","SRC-NVIDIA-CUDA-C-PROGRAMMING-GUIDE-11-0|selected|2026-08-21|GA100-DIE","draft","Exactly one source-level screening row is staged. Endpoint dispositions do not create extra rows."
"SCREEN-R1-GA100-NVIDIA-PTX-ISA-7-0","SRC-NVIDIA-PTX-ISA-7-0","selected","Retained by the provisional reverse-removal set because accepted staged facts or identity relations depend on it.","relevant_sections_read","r1_ga100_atomic_staging","2026-08-21","SRC-NVIDIA-PTX-ISA-7-0|selected|2026-08-21|GA100-DIE","draft","Exactly one source-level screening row is staged. Endpoint dispositions do not create extra rows."
"SCREEN-R1-GA100-NVIDIA-PTX-ISA-7-2","SRC-NVIDIA-PTX-ISA-7-2","selected","Retained by the provisional reverse-removal set because accepted staged facts or identity relations depend on it.","relevant_sections_read","r1_ga100_atomic_staging","2026-08-21","SRC-NVIDIA-PTX-ISA-7-2|selected|2026-08-21|GA100-DIE","draft","Exactly one source-level screening row is staged. Endpoint dispositions do not create extra rows."
"SCREEN-R1-GA100-NVIDIA-MIG-USER-GUIDE-610","SRC-NVIDIA-MIG-USER-GUIDE-610","selected","Retained by the provisional reverse-removal set because accepted staged facts or identity relations depend on it.","relevant_sections_read","r1_ga100_atomic_staging","2026-08-21","SRC-NVIDIA-MIG-USER-GUIDE-610|selected|2026-08-21|GA100-DIE","draft","Exactly one source-level screening row is staged. Endpoint dispositions do not create extra rows."

