"requirement_id","object_id","component_id","link_id","object_relation_id","precision_path_id","capability_id","topology_id","field_id","requirement_status","applicability_reason","search_status","last_searched_date","requirement_fingerprint","review_status","notes"
"REQ-M2W3-AMD-MI350P-VENDOR","OBJ-AMD-MI350P","","","","","","","FIELD-ID-VENDOR","value_available","Selected object-matched first-party evidence supports this FIELD-ID-VENDOR value for OBJ-AMD-MI350P.","completed","2026-08-13","M2W3|MI350P|object_id|OBJ-AMD-MI350P|FIELD-ID-VENDOR","draft","Canonical fact(s): FACT-M2W3-AMD-MI350P-VENDOR."
"REQ-M2W3-AMD-MI350P-FAMILY","OBJ-AMD-MI350P","","","","","","","FIELD-ID-FAMILY","value_available","Selected object-matched first-party evidence supports this FIELD-ID-FAMILY value for OBJ-AMD-MI350P.","completed","2026-08-13","M2W3|MI350P|object_id|OBJ-AMD-MI350P|FIELD-ID-FAMILY","draft","Canonical fact(s): FACT-M2W3-AMD-MI350P-FAMILY."
"REQ-M2W3-AMD-MI350P-NAME","OBJ-AMD-MI350P","","","","","","","FIELD-ID-NAME","value_available","Selected object-matched first-party evidence supports this FIELD-ID-NAME value for OBJ-AMD-MI350P.","completed","2026-08-13","M2W3|MI350P|object_id|OBJ-AMD-MI350P|FIELD-ID-NAME","draft","Canonical fact(s): FACT-M2W3-AMD-MI350P-NAME."
"REQ-M2W3-AMD-MI350P-SKU","OBJ-AMD-MI350P","","","","","","","FIELD-ID-SKU","value_available","Selected object-matched first-party evidence supports this FIELD-ID-SKU value for OBJ-AMD-MI350P.","completed","2026-08-13","M2W3|MI350P|object_id|OBJ-AMD-MI350P|FIELD-ID-SKU","draft","Canonical fact(s): FACT-M2W3-AMD-MI350P-SKU."
"REQ-M2W3-AMD-MI350P-OBJECT-TYPE","OBJ-AMD-MI350P","","","","","","","FIELD-ID-OBJECT-TYPE","value_available","Selected object-matched first-party evidence supports this FIELD-ID-OBJECT-TYPE value for OBJ-AMD-MI350P.","completed","2026-08-13","M2W3|MI350P|object_id|OBJ-AMD-MI350P|FIELD-ID-OBJECT-TYPE","draft","Canonical fact(s): FACT-M2W3-AMD-MI350P-OBJECT-TYPE."
"REQ-M2W3-AMD-MI350P-STATUS","OBJ-AMD-MI350P","","","","","","","FIELD-ID-STATUS","value_available","Selected object-matched first-party evidence supports this FIELD-ID-STATUS value for OBJ-AMD-MI350P.","completed","2026-08-13","M2W3|MI350P|object_id|OBJ-AMD-MI350P|FIELD-ID-STATUS","draft","Canonical fact(s): FACT-M2W3-AMD-MI350P-STATUS."
"REQ-M2W3-AMD-MI350P-PROCESS","OBJ-AMD-MI350P","","","","","","","FIELD-PHY-PROCESS","value_available","Selected object-matched first-party evidence supports this FIELD-PHY-PROCESS value for OBJ-AMD-MI350P.","completed","2026-08-13","M2W3|MI350P|object_id|OBJ-AMD-MI350P|FIELD-PHY-PROCESS","draft","Canonical fact(s): FACT-M2W3-AMD-MI350P-PROCESS."
"REQ-M2W3-AMD-MI350P-DIE-COUNT","OBJ-AMD-MI350P","","","","","","","FIELD-PHY-DIE-COUNT","value_available","Selected object-matched first-party evidence supports this FIELD-PHY-DIE-COUNT value for OBJ-AMD-MI350P.","completed","2026-08-13","M2W3|MI350P|object_id|OBJ-AMD-MI350P|FIELD-PHY-DIE-COUNT","draft","Canonical fact(s): FACT-M2W3-AMD-MI350P-XCD-COUNT; FACT-M2W3-AMD-MI350P-IOD-COUNT."
"REQ-M2W3-AMD-MI350P-CLOCK","OBJ-AMD-MI350P","","","","","","","FIELD-PHY-CLOCK","value_available","Selected object-matched first-party evidence supports this FIELD-PHY-CLOCK value for OBJ-AMD-MI350P.","completed","2026-08-13","M2W3|MI350P|object_id|OBJ-AMD-MI350P|FIELD-PHY-CLOCK","draft","Canonical fact(s): FACT-M2W3-AMD-MI350P-CLOCK."
"REQ-M2W3-AMD-MI350P-POWER","OBJ-AMD-MI350P","","","","","","","FIELD-PHY-POWER","value_available","Selected object-matched first-party evidence supports this FIELD-PHY-POWER value for OBJ-AMD-MI350P.","completed","2026-08-13","M2W3|MI350P|object_id|OBJ-AMD-MI350P|FIELD-PHY-POWER","draft","Canonical fact(s): FACT-M2W3-AMD-MI350P-POWER-MAX; FACT-M2W3-AMD-MI350P-POWER-CONFIG."
"REQ-M2W3-AMD-MI350P-COOLING","OBJ-AMD-MI350P","","","","","","","FIELD-PHY-COOLING","value_available","Selected object-matched first-party evidence supports this FIELD-PHY-COOLING value for OBJ-AMD-MI350P.","completed","2026-08-13","M2W3|MI350P|object_id|OBJ-AMD-MI350P|FIELD-PHY-COOLING","draft","Canonical fact(s): FACT-M2W3-AMD-MI350P-COOLING."
"REQ-M2W3-AMD-MI350P-FORM-FACTOR","OBJ-AMD-MI350P","","","","","","","FIELD-PHY-FORM-FACTOR","value_available","Selected object-matched first-party evidence supports this FIELD-PHY-FORM-FACTOR value for OBJ-AMD-MI350P.","completed","2026-08-13","M2W3|MI350P|object_id|OBJ-AMD-MI350P|FIELD-PHY-FORM-FACTOR","draft","Canonical fact(s): FACT-M2W3-AMD-MI350P-FORM-FACTOR."
"REQ-M2W3-AMD-MI350P-HBM-INTERFACE","OBJ-AMD-MI350P","","","","","","","FIELD-PHY-HBM-INTERFACE","value_available","Selected object-matched first-party evidence supports this FIELD-PHY-HBM-INTERFACE value for OBJ-AMD-MI350P.","completed","2026-08-13","M2W3|MI350P|object_id|OBJ-AMD-MI350P|FIELD-PHY-HBM-INTERFACE","draft","Canonical fact(s): FACT-M2W3-AMD-MI350P-HBM-INTERFACE."
"REQ-M2W3-AMD-MI350P-TRANSISTORS","OBJ-AMD-MI350P","","","","","","","FIELD-PHY-TRANSISTORS","value_available","Selected object-matched first-party evidence supports this FIELD-PHY-TRANSISTORS value for OBJ-AMD-MI350P.","completed","2026-08-13","M2W3|MI350P|object_id|OBJ-AMD-MI350P|FIELD-PHY-TRANSISTORS","draft","Canonical fact(s): FACT-M2W3-AMD-MI350P-TRANSISTORS."
"REQ-M2W3-AMD-MI350P-CU-COUNT","","COMP-M2W3-AMD-MI350P-CU","","","","","","FIELD-COMP-UNIT-COUNT","value_available","Selected object-matched first-party evidence supports this FIELD-COMP-UNIT-COUNT value for COMP-M2W3-AMD-MI350P-CU.","completed","2026-08-13","M2W3|MI350P|component_id|COMP-M2W3-AMD-MI350P-CU|FIELD-COMP-UNIT-COUNT","draft","Canonical fact(s): FACT-M2W3-AMD-MI350P-CU-COUNT."
"REQ-M2W3-AMD-MI350P-MATRIX-CORE-COUNT","","COMP-M2W3-AMD-MI350P-MATRIX","","","","","","FIELD-COMP-UNIT-COUNT","value_available","Selected object-matched first-party evidence supports this FIELD-COMP-UNIT-COUNT value for COMP-M2W3-AMD-MI350P-MATRIX.","completed","2026-08-13","M2W3|MI350P|component_id|COMP-M2W3-AMD-MI350P-MATRIX|FIELD-COMP-UNIT-COUNT","draft","Canonical fact(s): FACT-M2W3-AMD-MI350P-MATRIX-CORE-COUNT."
"REQ-M2W3-AMD-MI350P-STREAM-PROCESSOR-COUNT","","COMP-M2W3-AMD-MI350P-VECTOR","","","","","","FIELD-COMP-UNIT-COUNT","value_available","Selected object-matched first-party evidence supports this FIELD-COMP-UNIT-COUNT value for COMP-M2W3-AMD-MI350P-VECTOR.","completed","2026-08-13","M2W3|MI350P|component_id|COMP-M2W3-AMD-MI350P-VECTOR|FIELD-COMP-UNIT-COUNT","draft","Canonical fact(s): FACT-M2W3-AMD-MI350P-STREAM-PROCESSOR-COUNT."
"REQ-M2W3-AMD-MI350P-HBM3E-CAPACITY","","COMP-M2W3-AMD-MI350P-HBM3E","","","","","","FIELD-MEM-CAPACITY","value_available","Selected object-matched first-party evidence supports this FIELD-MEM-CAPACITY value for COMP-M2W3-AMD-MI350P-HBM3E.","completed","2026-08-13","M2W3|MI350P|component_id|COMP-M2W3-AMD-MI350P-HBM3E|FIELD-MEM-CAPACITY","draft","Canonical fact(s): FACT-M2W3-AMD-MI350P-HBM3E-CAPACITY."
"REQ-M2W3-AMD-MI350P-LLC-CAPACITY","","COMP-M2W3-AMD-MI350P-LLC","","","","","","FIELD-MEM-CAPACITY","value_available","Selected object-matched first-party evidence supports this FIELD-MEM-CAPACITY value for COMP-M2W3-AMD-MI350P-LLC.","completed","2026-08-13","M2W3|MI350P|component_id|COMP-M2W3-AMD-MI350P-LLC|FIELD-MEM-CAPACITY","draft","Canonical fact(s): FACT-M2W3-AMD-MI350P-LLC-CAPACITY."
"REQ-M2W3-AMD-MI350P-HBM3E-BW","","COMP-M2W3-AMD-MI350P-HBM3E","","","","","","FIELD-MEM-BIDIR-BW","value_available","Selected object-matched first-party evidence supports this FIELD-MEM-BIDIR-BW value for COMP-M2W3-AMD-MI350P-HBM3E.","completed","2026-08-13","M2W3|MI350P|component_id|COMP-M2W3-AMD-MI350P-HBM3E|FIELD-MEM-BIDIR-BW","draft","Canonical fact(s): FACT-M2W3-AMD-MI350P-HBM3E-BW."
"REQ-M2W3-AMD-MI350P-PCIE-PROTOCOL","","","LINK-M2W3-AMD-MI350P-PCIE","","","","","FIELD-INT-PROTOCOL","value_available","Selected object-matched first-party evidence supports this FIELD-INT-PROTOCOL value for LINK-M2W3-AMD-MI350P-PCIE.","completed","2026-08-13","M2W3|MI350P|link_id|LINK-M2W3-AMD-MI350P-PCIE|FIELD-INT-PROTOCOL","draft","Canonical fact(s): FACT-M2W3-AMD-MI350P-PCIE-PROTOCOL."
"REQ-M2W3-AMD-MI350P-PCIE-BW","","","LINK-M2W3-AMD-MI350P-PCIE","","","","","FIELD-INT-AGGREGATE-BW","value_available","Selected object-matched first-party evidence supports this FIELD-INT-AGGREGATE-BW value for LINK-M2W3-AMD-MI350P-PCIE.","completed","2026-08-13","M2W3|MI350P|link_id|LINK-M2W3-AMD-MI350P-PCIE|FIELD-INT-AGGREGATE-BW","draft","Canonical fact(s): FACT-M2W3-AMD-MI350P-PCIE-BW."
"REQ-M2W3-AMD-MI350P-MXFP4-MATRIX-PEAK","","","","","PPATH-M2W3-AMD-MI350P-MXFP4-MATRIX","","","FIELD-COMP-THROUGHPUT","value_available","Selected object-matched first-party evidence supports this FIELD-COMP-THROUGHPUT value for PPATH-M2W3-AMD-MI350P-MXFP4-MATRIX.","completed","2026-08-13","M2W3|MI350P|precision_path_id|PPATH-M2W3-AMD-MI350P-MXFP4-MATRIX|FIELD-COMP-THROUGHPUT","draft","Canonical fact(s): FACT-M2W3-AMD-MI350P-MXFP4-MATRIX-PEAK."
"REQ-M2W3-AMD-MI350P-MXFP6-MATRIX-PEAK","","","","","PPATH-M2W3-AMD-MI350P-MXFP6-MATRIX","","","FIELD-COMP-THROUGHPUT","value_available","Selected object-matched first-party evidence supports this FIELD-COMP-THROUGHPUT value for PPATH-M2W3-AMD-MI350P-MXFP6-MATRIX.","completed","2026-08-13","M2W3|MI350P|precision_path_id|PPATH-M2W3-AMD-MI350P-MXFP6-MATRIX|FIELD-COMP-THROUGHPUT","draft","Canonical fact(s): FACT-M2W3-AMD-MI350P-MXFP6-MATRIX-PEAK."
"REQ-M2W3-AMD-MI350P-MXFP8-MATRIX-PEAK","","","","","PPATH-M2W3-AMD-MI350P-MXFP8-MATRIX","","","FIELD-COMP-THROUGHPUT","value_available","Selected object-matched first-party evidence supports this FIELD-COMP-THROUGHPUT value for PPATH-M2W3-AMD-MI350P-MXFP8-MATRIX.","completed","2026-08-13","M2W3|MI350P|precision_path_id|PPATH-M2W3-AMD-MI350P-MXFP8-MATRIX|FIELD-COMP-THROUGHPUT","draft","Canonical fact(s): FACT-M2W3-AMD-MI350P-MXFP8-MATRIX-PEAK."
"REQ-M2W3-AMD-MI350P-OCP-FP8-MATRIX-PEAK","","","","","PPATH-M2W3-AMD-MI350P-OCP-FP8-MATRIX","","","FIELD-COMP-THROUGHPUT","value_available","Selected object-matched first-party evidence supports this FIELD-COMP-THROUGHPUT value for PPATH-M2W3-AMD-MI350P-OCP-FP8-MATRIX.","completed","2026-08-13","M2W3|MI350P|precision_path_id|PPATH-M2W3-AMD-MI350P-OCP-FP8-MATRIX|FIELD-COMP-THROUGHPUT","draft","Canonical fact(s): FACT-M2W3-AMD-MI350P-OCP-FP8-MATRIX-BASE-PEAK; FACT-M2W3-AMD-MI350P-OCP-FP8-MATRIX-SPARSE-PEAK."
"REQ-M2W3-AMD-MI350P-FP16-MATRIX-PEAK","","","","","PPATH-M2W3-AMD-MI350P-FP16-MATRIX","","","FIELD-COMP-THROUGHPUT","value_available","Selected object-matched first-party evidence supports this FIELD-COMP-THROUGHPUT value for PPATH-M2W3-AMD-MI350P-FP16-MATRIX.","completed","2026-08-13","M2W3|MI350P|precision_path_id|PPATH-M2W3-AMD-MI350P-FP16-MATRIX|FIELD-COMP-THROUGHPUT","draft","Canonical fact(s): FACT-M2W3-AMD-MI350P-FP16-MATRIX-BASE-PEAK; FACT-M2W3-AMD-MI350P-FP16-MATRIX-SPARSE-PEAK."
"REQ-M2W3-AMD-MI350P-BF16-MATRIX-PEAK","","","","","PPATH-M2W3-AMD-MI350P-BF16-MATRIX","","","FIELD-COMP-THROUGHPUT","value_available","Selected object-matched first-party evidence supports this FIELD-COMP-THROUGHPUT value for PPATH-M2W3-AMD-MI350P-BF16-MATRIX.","completed","2026-08-13","M2W3|MI350P|precision_path_id|PPATH-M2W3-AMD-MI350P-BF16-MATRIX|FIELD-COMP-THROUGHPUT","draft","Canonical fact(s): FACT-M2W3-AMD-MI350P-BF16-MATRIX-BASE-PEAK; FACT-M2W3-AMD-MI350P-BF16-MATRIX-SPARSE-PEAK."
"REQ-M2W3-AMD-MI350P-INT8-MATRIX-PEAK","","","","","PPATH-M2W3-AMD-MI350P-INT8-MATRIX","","","FIELD-COMP-THROUGHPUT","value_available","Selected object-matched first-party evidence supports this FIELD-COMP-THROUGHPUT value for PPATH-M2W3-AMD-MI350P-INT8-MATRIX.","completed","2026-08-13","M2W3|MI350P|precision_path_id|PPATH-M2W3-AMD-MI350P-INT8-MATRIX|FIELD-COMP-THROUGHPUT","draft","Canonical fact(s): FACT-M2W3-AMD-MI350P-INT8-MATRIX-BASE-PEAK; FACT-M2W3-AMD-MI350P-INT8-MATRIX-SPARSE-PEAK."
"REQ-M2W3-AMD-MI350P-FP32-MATRIX-PEAK","","","","","PPATH-M2W3-AMD-MI350P-FP32-MATRIX","","","FIELD-COMP-THROUGHPUT","value_available","Selected object-matched first-party evidence supports this FIELD-COMP-THROUGHPUT value for PPATH-M2W3-AMD-MI350P-FP32-MATRIX.","completed","2026-08-13","M2W3|MI350P|precision_path_id|PPATH-M2W3-AMD-MI350P-FP32-MATRIX|FIELD-COMP-THROUGHPUT","draft","Canonical fact(s): FACT-M2W3-AMD-MI350P-FP32-MATRIX-PEAK."
"REQ-M2W3-AMD-MI350P-FP64-MATRIX-PEAK","","","","","PPATH-M2W3-AMD-MI350P-FP64-MATRIX","","","FIELD-COMP-THROUGHPUT","value_available","Selected object-matched first-party evidence supports this FIELD-COMP-THROUGHPUT value for PPATH-M2W3-AMD-MI350P-FP64-MATRIX.","completed","2026-08-13","M2W3|MI350P|precision_path_id|PPATH-M2W3-AMD-MI350P-FP64-MATRIX|FIELD-COMP-THROUGHPUT","draft","Canonical fact(s): FACT-M2W3-AMD-MI350P-FP64-MATRIX-PEAK."
"REQ-M2W3-AMD-MI350P-FP16-VECTOR-PEAK","","","","","PPATH-M2W3-AMD-MI350P-FP16-VECTOR","","","FIELD-COMP-THROUGHPUT","value_available","Selected object-matched first-party evidence supports this FIELD-COMP-THROUGHPUT value for PPATH-M2W3-AMD-MI350P-FP16-VECTOR.","completed","2026-08-13","M2W3|MI350P|precision_path_id|PPATH-M2W3-AMD-MI350P-FP16-VECTOR|FIELD-COMP-THROUGHPUT","draft","Canonical fact(s): FACT-M2W3-AMD-MI350P-FP16-VECTOR-PEAK."
