"requirement_id","object_id","component_id","link_id","object_relation_id","precision_path_id","capability_id","topology_id","field_id","requirement_status","applicability_reason","search_status","last_searched_date","requirement_fingerprint","review_status","notes"
"REQ-AWS-TRN2-0001","","CMP-AWS-TRN2-NCV3","","","","","","FIELD-COMP-UNIT-COUNT","value_available","Trainium2 试填资料卡明确覆盖的字段","completed","2026-08-12","RFP-AWS-TRN2-FACT-AWS-TRN2-NCV3-COUNT","draft","由已录事实生成的候选要求行"
"REQ-AWS-TRN2-0002","","CMP-AWS-TRN2-MAIN-DMA","","","","","","FIELD-COMP-UNIT-COUNT","value_available","Trainium2 试填资料卡明确覆盖的字段","completed","2026-08-12","RFP-AWS-TRN2-FACT-AWS-TRN2-MAIN-DMA-COUNT","draft","由已录事实生成的候选要求行"
"REQ-AWS-TRN2-0003","","CMP-AWS-TRN2-GPSIMD-PROCESSOR","","","","","","FIELD-COMP-UNIT-COUNT","value_available","Trainium2 试填资料卡明确覆盖的字段","completed","2026-08-12","RFP-AWS-TRN2-FACT-AWS-TRN2-GPSIMD-PROC-COUNT","draft","由已录事实生成的候选要求行"
"REQ-AWS-TRN2-0004","","CMP-AWS-TRN2-GPSIMD-PROCESSOR","","","","","","FIELD-COMP-ISSUE-WIDTH","value_available","Trainium2 试填资料卡明确覆盖的字段","completed","2026-08-12","RFP-AWS-TRN2-FACT-AWS-TRN2-GPSIMD-ISSUE-WIDTH","draft","由已录事实生成的候选要求行"
"REQ-AWS-TRN2-0005","","CMP-AWS-TRN2-DGE","","","","","","FIELD-COMP-UNIT-COUNT","value_available","Trainium2 试填资料卡明确覆盖的字段","completed","2026-08-12","RFP-AWS-TRN2-FACT-AWS-TRN2-DGE-COUNT","draft","由已录事实生成的候选要求行"
"REQ-AWS-TRN2-0006","","CMP-AWS-TRN2-CC-CORE","","","","","","FIELD-COMP-UNIT-COUNT","conflicting_unresolved","Trainium2 试填资料卡明确覆盖的字段","completed","2026-08-12","RFP-AWS-TRN2-FACT-AWS-TRN2-CCCORE-COUNT-16","needs_resolution","由已录事实生成的候选要求行"
"REQ-AWS-TRN2-0007","","CMP-AWS-TRN2-CC-CORE","","","","","","FIELD-COMP-UNIT-COUNT","conflicting_unresolved","Trainium2 试填资料卡明确覆盖的字段","completed","2026-08-12","RFP-AWS-TRN2-FACT-AWS-TRN2-CCCORE-COUNT-20","needs_resolution","由已录事实生成的候选要求行"
"REQ-AWS-TRN2-0008","","CMP-AWS-TRN2-TENSOR","","","","","","FIELD-COMP-ARRAY-SHAPE","value_available","Trainium2 试填资料卡明确覆盖的字段","completed","2026-08-12","RFP-AWS-TRN2-FACT-AWS-TRN2-TENSOR-ARRAY-SHAPE","draft","由已录事实生成的候选要求行"
"REQ-AWS-TRN2-0009","","","","","PP-AWS-TRN2-TENSOR-FP8","","","FIELD-COMP-INSTRUCTION-TILE","value_available","Trainium2 试填资料卡明确覆盖的字段","completed","2026-08-12","RFP-AWS-TRN2-FACT-AWS-TRN2-TENSOR-FP8-TILE","draft","由已录事实生成的候选要求行"
"REQ-AWS-TRN2-0010","","CMP-AWS-TRN2-TENSOR","","","","","","FIELD-COMP-EXECUTION","value_available","Trainium2 试填资料卡明确覆盖的字段","completed","2026-08-12","RFP-AWS-TRN2-FACT-AWS-TRN2-TENSOR-EXECUTION-RATES","draft","由已录事实生成的候选要求行"
