"fact_id","object_id","component_id","link_id","object_relation_id","precision_path_id","capability_id","topology_id","field_id","normalized_value_text","normalized_value_number","normalized_unit","condition_set_id","fact_kind","evidence_state","resolution_state","valid_from","valid_to","confidence","confidence_reason","fact_fingerprint","review_status","notes"
"FACT-M2W3-AMD-MI350P-VENDOR","OBJ-AMD-MI350P","","","","","","","FIELD-ID-VENDOR","AMD","","","COND-NONE","direct_statement","single_source","provisional","","","high","Dedicated first-party exact product page.","OBJ-AMD-MI350P|FIELD-ID-VENDOR|AMD|COND-NONE","draft",""
"FACT-M2W3-AMD-MI350P-FAMILY","OBJ-AMD-MI350P","","","","","","","FIELD-ID-FAMILY","AMD Instinct","","","COND-NONE","direct_statement","single_source","provisional","","","high","Product Basics names the Instinct family on the exact object page.","OBJ-AMD-MI350P|FIELD-ID-FAMILY|AMD-Instinct|COND-NONE","draft",""
"FACT-M2W3-AMD-MI350P-NAME","OBJ-AMD-MI350P","","","","","","","FIELD-ID-NAME","AMD Instinct MI350P PCIe","","","COND-NONE","direct_statement","corroborated","provisional","","","high","Exact product page and fixed brochure title match the PCIe card identity.","OBJ-AMD-MI350P|FIELD-ID-NAME|AMD-Instinct-MI350P-PCIe|COND-NONE","draft","Trademark marks and plural Cards are omitted only in normalized text."
"FACT-M2W3-AMD-MI350P-SKU","OBJ-AMD-MI350P","","","","","","","FIELD-ID-SKU","MI350P","","","COND-NONE","direct_statement","single_source","provisional","","","high","Exact product title identifies the MI350P SKU; PCIe remains the form-factor qualifier.","OBJ-AMD-MI350P|FIELD-ID-SKU|MI350P|COND-NONE","draft",""
"FACT-M2W3-AMD-MI350P-OBJECT-TYPE","OBJ-AMD-MI350P","","","","","","","FIELD-ID-OBJECT-TYPE","card","","","COND-NONE","direct_statement","single_source","provisional","","","high","Board Specifications explicitly states PCIe Add-in Card, matching the frozen project object_type.","OBJ-AMD-MI350P|FIELD-ID-OBJECT-TYPE|card|COND-NONE","draft","The generic Product Basics value Servers is not used for object type."
"FACT-M2W3-AMD-MI350P-STATUS","OBJ-AMD-MI350P","","","","","","","FIELD-ID-STATUS","available","","","COND-NONE","direct_statement","source_with_caveat","provisional","2026-05-07","","high","The dated exact-product AMD article explicitly says MI350P PCIe cards are available in air-cooled systems.","OBJ-AMD-MI350P|FIELD-ID-STATUS|available|COND-NONE","draft","2026-05-07 is the earliest evidenced status date in this package, not a claimed first-availability date; the sentence is system-deployment context."
"FACT-M2W3-AMD-MI350P-PROCESS","OBJ-AMD-MI350P","","","","","","","FIELD-PHY-PROCESS","TSMC 3 nm and 6 nm FinFET","","","COND-NONE","direct_statement","corroborated","provisional","","","high","Exact product page and fixed brochure match.","OBJ-AMD-MI350P|FIELD-PHY-PROCESS|TSMC-3-nm-and-6-nm-FinFET|COND-NONE","draft","The sources do not map each node to XCD or IOD."
"FACT-M2W3-AMD-MI350P-XCD-COUNT","OBJ-AMD-MI350P","","","","","","","FIELD-PHY-DIE-COUNT","","4","count","COND-M2W3-AMD-MI350P-XCD-COUNT","direct_statement","single_source","provisional","","","high","Fixed brochure explicitly predicates four accelerated compute dies on each MI350P PCIe card.","OBJ-AMD-MI350P|FIELD-PHY-DIE-COUNT|4|COND-M2W3-AMD-MI350P-XCD-COUNT","draft","The same paragraph says 32 CUs per XCD; that architecture/per-die detail is not copied or multiplied."
"FACT-M2W3-AMD-MI350P-IOD-COUNT","OBJ-AMD-MI350P","","","","","","","FIELD-PHY-DIE-COUNT","","1","count","COND-M2W3-AMD-MI350P-IOD-COUNT","direct_statement","single_source","provisional","","","high","Fixed brochure specification table directly gives one I/O die.","OBJ-AMD-MI350P|FIELD-PHY-DIE-COUNT|1|COND-M2W3-AMD-MI350P-IOD-COUNT","draft",""
"FACT-M2W3-AMD-MI350P-CLOCK","OBJ-AMD-MI350P","","","","","","","FIELD-PHY-CLOCK","","2200000000","Hz","COND-NONE","direct_statement","corroborated","provisional","","","high","Exact page and fixed brochure publish the same peak engine clock.","OBJ-AMD-MI350P|FIELD-PHY-CLOCK|2200000000|COND-NONE","draft","Peak engine clock; not a guaranteed sustained clock."
"FACT-M2W3-AMD-MI350P-POWER-MAX","OBJ-AMD-MI350P","","","","","","","FIELD-PHY-POWER","","600","W","COND-M2W3-AMD-MI350P-POWER-MAX","direct_statement","corroborated","provisional","","","high","Exact page and fixed brochure match the maximum TBP.","OBJ-AMD-MI350P|FIELD-PHY-POWER|600|COND-M2W3-AMD-MI350P-POWER-MAX","draft","Maximum TBP is separated from the configurable 450 W point."
