"fact_id","object_id","component_id","link_id","object_relation_id","precision_path_id","capability_id","topology_id","field_id","normalized_value_text","normalized_value_number","normalized_unit","condition_set_id","fact_kind","evidence_state","resolution_state","valid_from","valid_to","confidence","confidence_reason","fact_fingerprint","review_status","notes"
"FACT-M2NA-AMPERE-SM-EXEC","","COMP-M2NA-AMPERE-SM","","","","","","FIELD-COMP-EXECUTION","SIMT Streaming Multiprocessor with warp scheduling, dispatch, CUDA ALU, Tensor Core, load-store, special-function, and control resources.","","","COND-NONE","direct_statement","corroborated","provisional","","","high","GA100 structural diagram plus PTX public SIMT execution model.","component|COMP-M2NA-AMPERE-SM|FIELD-COMP-EXECUTION|SIMT Streaming Multiprocessor with warp scheduling, dispatch, CUDA ALU, Tensor Core, load-store, special-function, and control resources.|||COND-NONE","draft","Architecture mechanism only. Figure 7 anchors structure while PTX supplies the SIMT machine-model term. Modified lifecycle remains draft until formal merge review and hard gates."
"FACT-M2NA-AMPERE-CUDA-EXEC","","COMP-M2NA-AMPERE-CUDA","","","","","","FIELD-COMP-EXECUTION","Per-thread SIMT FP32 and INT32 ALU execution path.","","","COND-NONE","direct_statement","corroborated","provisional","","","high","GA100 FP32 and INT32 path diagram plus PTX SIMT machine model.","component|COMP-M2NA-AMPERE-CUDA|FIELD-COMP-EXECUTION|Per-thread SIMT FP32 and INT32 ALU execution path.|||COND-NONE","draft","Schema classifies the CUDA ALU component as scalar. No vendor aggregate scalar peak is asserted. Modified lifecycle remains draft until formal merge review and hard gates."
"FACT-M2NA-AMPERE-ASYNC-EXEC","","COMP-M2NA-AMPERE-ASYNC-COPY","","","","","","FIELD-MEM-DMA","Asynchronous global-memory-to-shared-memory copy without register-file staging.","","","COND-NONE","direct_statement","corroborated","provisional","","","high","Whitepaper mechanism statement qualified by the PTX sm_80 instruction boundary.","component|COMP-M2NA-AMPERE-ASYNC-COPY|FIELD-MEM-DMA|Asynchronous global-memory-to-shared-memory copy without register-file staging.|||COND-NONE","draft","The barrier is modeled separately. This does not assert a standalone DMA engine, queue depth, throughput, or latency. Modified lifecycle remains draft until formal merge review and hard gates."
"FACT-M2NA-AMPERE-TF32-A","","","","","PPATH-M2NA-AMPERE-TENSOR-TF32","","","FIELD-NUM-OPERAND-A","TF32","","","COND-NONE","direct_statement","single_source","provisional","","","high","Direct first-party architecture statement.","precision_path|PPATH-M2NA-AMPERE-TENSOR-TF32|FIELD-NUM-OPERAND-A|TF32|||COND-NONE","draft","FP32 source-data conversion is recorded in FIELD-NUM-CONVERSION, not the operand identity. Modified lifecycle remains draft until formal merge review and hard gates."
"FACT-M2NA-AMPERE-INT-A","","","","","PPATH-M2NA-AMPERE-TENSOR-INT8","","","FIELD-NUM-OPERAND-A","INT8","","","COND-NONE","direct_statement","single_source","provisional","","","high","Direct first-party architecture statement.","precision_path|PPATH-M2NA-AMPERE-TENSOR-INT8|FIELD-NUM-OPERAND-A|INT8|||COND-NONE","draft","INT4 and binary operands move to separate precision paths. Modified lifecycle remains draft until formal merge review and hard gates."
"FACT-M2NA-AMPERE-SPARSE-LEVEL","","","","","","CAP-M2NA-AMPERE-SPARSE","","FIELD-CAP-IMPLEMENTATION-LEVEL","dedicated_instruction","","","COND-NONE","direct_statement","corroborated","provisional","","","high","Whitepaper hardware mechanism plus PTX sparse MMA interface.","capability|CAP-M2NA-AMPERE-SPARSE|FIELD-CAP-IMPLEMENTATION-LEVEL|dedicated_instruction|||COND-NONE","draft","High-level capability only. Datatype-specific patterns stay on precision-path facts. Modified lifecycle remains draft until formal merge review and hard gates."
"FACT-M2NA-AMPERE-SPARSE-DETAIL","","","","","","CAP-M2NA-AMPERE-SPARSE","","FIELD-CAP-IMPLEMENTATION-DETAIL","Compressed sparse operand A and metadata select corresponding dense operand B values, and multiplication by structured zeros is skipped.","","","COND-NONE","direct_statement","corroborated","provisional","","","high","Whitepaper dataflow diagram plus PTX metadata semantics.","capability|CAP-M2NA-AMPERE-SPARSE|FIELD-CAP-IMPLEMENTATION-DETAIL|Compressed sparse operand A and metadata select corresponding dense operand B values, and multiplication by structured zeros is skipped.|||COND-NONE","draft","Pruning and nonzero selection occur before execution. The hardware metadata selects matching dense activations rather than discovering nonzeros. Modified lifecycle remains draft until formal merge review and hard gates."
"FACT-M2NA-AMPERE-SW","OBJ-NVIDIA-AMPERE-ARCH","","","","","","","FIELD-SW-PROGRAMMING-MODEL","CUDA 11.0 and PTX 7.0 expose Ampere sm_80 asynchronous-copy and split-barrier capabilities.","","","COND-R1-GA100-AMPERE-CUDA110-SM80","direct_statement","source_with_caveat","provisional","","","high","Official CUDA and PTX documents support the target. The ISSCC CUDA 8.0 wording is retained only as a contradictory source assertion.","object|OBJ-NVIDIA-AMPERE-ARCH|FIELD-SW-PROGRAMMING-MODEL|CUDA 11.0 and PTX 7.0 expose Ampere sm_80 asynchronous-copy and split-barrier capabilities.|||COND-R1-GA100-AMPERE-CUDA110-SM80","draft","Documented interface only. This does not claim runnable or benchmarked support. Modified lifecycle remains draft until formal merge review and hard gates."
"FACT-R1-GA100-AMPERE-BARRIER-SCHED","","COMP-M2NA-AMPERE-SM","","","","","","FIELD-COMP-CONTROL-SCHEDULING","Asynchronous split arrive and wait barriers coordinate block-wide or shared-memory pipeline stages.","","","COND-NONE","direct_statement","single_source","provisional","","","high","Direct fixed-source statement.","component|COMP-M2NA-AMPERE-SM|FIELD-COMP-CONTROL-SCHEDULING|Asynchronous split arrive and wait barriers coordinate block-wide or shared-memory pipeline stages.|||COND-NONE","draft","Programmer-visible contract. No physical internal accumulator or output format is inferred unless the field says so."
"FACT-R1-GA100-AMPERE-BF16-B","","","","","PPATH-M2NA-AMPERE-TENSOR-BF16","","","FIELD-NUM-OPERAND-B","BF16","","","COND-NONE","direct_statement","single_source","provisional","","","high","Direct fixed-source statement.","precision_path|PPATH-M2NA-AMPERE-TENSOR-BF16|FIELD-NUM-OPERAND-B|BF16|||COND-NONE","draft","Programmer-visible contract. No physical internal accumulator or output format is inferred unless the field says so."
