"source_id","source_family_id","title","author_or_organization","source_type","publication_date","version_label","language","source_authority","source_status","content_fingerprint","last_verified_date","review_status","notes"
"SRC-M2NA-NVIDIA-AMPERE-WP-2020","SFAM-M2NA-NVIDIA-AMPERE-WP-2020","NVIDIA A100 Tensor Core GPU Architecture","NVIDIA","architecture_whitepaper","","v1.0","en","first_party","current","sha256:3a800ad7668ec37037fa5870a8e3bb681b75f19668b3d11492ab9b0da0d58815","2026-08-12","draft","Architecture extraction excludes enabled A100 SKU counts, HBM and board-level peak values."
"SRC-M2NA-NVIDIA-ADA-WP-2022","SFAM-M2NA-NVIDIA-ADA-WP-2022","NVIDIA Ada GPU Architecture","NVIDIA","architecture_whitepaper","","v1.0","en","first_party","current","sha256:7cbe859bf7e63e16921536042fef24788968667c967529427099e97be0805ed1","2026-08-12","draft","Architecture extraction excludes RTX 4090 totals and memory capacities."
"SRC-M2NA-NVIDIA-BLACKWELL-BRIEF-V2-1","SFAM-M2NA-NVIDIA-BLACKWELL-BRIEF-V2-1","NVIDIA Blackwell Architecture Technical Brief","NVIDIA","product_brief","","v2.1","en","first_party","current","sha256:4227519debc44f7aac92719620f9161dbe1e7c2135aee57d91c1cbe32332c034","2026-08-12","draft","Architecture facts are separated from product and system tables. Blackwell Ultra rows use only directly stated increments."
"SRC-M2NA-NVIDIA-BLACKWELL-HC36-2024","SFAM-M2NA-NVIDIA-BLACKWELL-HC36-2024","NVIDIA Blackwell Platform","NVIDIA","conference_talk","2024-08-26","Hot Chips 36","en","first_party","current","sha256:fb50b2953769348cdb18175dc7d4b2b5e3b8fc4c27bd4449ea3a0f5a1dd1911f","2026-08-12","draft","First-party conference material adds micro-tensor scaling and relative per-SM throughput detail."
"SRC-M2NA-NVIDIA-PTX-ISA-9-3","SFAM-M2NA-NVIDIA-PTX-ISA-9-3","Parallel Thread Execution ISA 9.3","NVIDIA","api_or_isa_documentation","","9.3","en","first_party","current","version:9.3;verified:2026-08-12","2026-08-12","draft","Official versioned HTML. Tensor Memory facts are programming-model facts, not claims about total physical SRAM."
"SRC-M2NA-NVIDIA-BLACKWELL-TUNING-12-8","SFAM-M2NA-NVIDIA-BLACKWELL-TUNING-12-8","NVIDIA Blackwell Tuning Guide","NVIDIA","developer_documentation","","CUDA 12.8","en","first_party","current","sha256:d155a5a0d01bf641d4631a9d8fcce3af97c615e8b1a5149e045256f5fcce6e91","2026-08-12","draft","Screened as redundant for the selected architecture fact set; retained as a software-mapping candidate."
"SRC-M2NA-NVIDIA-BLACKWELL-DATASHEET-OCT25","SFAM-M2NA-NVIDIA-BLACKWELL-DATASHEET-OCT25","NVIDIA Blackwell Datasheet","NVIDIA","datasheet","","OCT25","en","first_party","current","sha256:ad8ed65e64974278670d8e6904c0e3020391027925e339bf28e75fdfe2d307d7","2026-08-12","draft","Out of scope for the architecture object because it mainly contains physical SKU and system aggregates."
"SRC-M2NA-NVIDIA-BLACKWELL-ULTRA-SOFTMAX-2026","SFAM-M2NA-NVIDIA-BLACKWELL-ULTRA-SOFTMAX-2026","Making Softmax More Efficient with NVIDIA Blackwell Ultra","NVIDIA","developer_documentation","2026-02-25","web-2026-02-25","en","first_party","current","sha256:1ff2d6a189da948c69e2b578386814b6009c3f688b64d0a41acd7b277161cc3d","2026-08-12","draft","Direct Blackwell Ultra SFU increment and MUFU.EX2 software mapping; no inheritance from Blackwell is assumed. Fixed HTML snapshot captured 2026-08-12; hash recorded in the preferred local endpoint."
"SRC-M2NA-NVIDIA-RUBIN-BLOG-20260721","SFAM-M2NA-NVIDIA-RUBIN-BLOG-20260721","Inside NVIDIA Rubin GPU Architecture: Powering the Era of Agentic AI","NVIDIA","developer_documentation","2026-07-21","web-2026-07-21","en","first_party","current","sha256:6e31747831a9e985becfd3f395414bbf69c1fde9da4a8182b1abda5b20ed9c83","2026-08-12","draft","Observation-stage architecture source within cutoff. Product implementation/package facts are kept in a separate backlog. Fixed HTML snapshot captured 2026-08-12; hash recorded in the preferred local endpoint."
"SRC-M2NA-AMD-CDNA2-WP","SFAM-M2NA-AMD-CDNA2-WP","AMD CDNA 2 Architecture White Paper","AMD","architecture_whitepaper","","white-paper","en","first_party","current","sha256:62125a4a3f00e653556ca98c178712496b241e5c3d8a4edadee7578944c2cc6d","2026-08-12","draft","Fixed staging candidate. MI200 implementation totals are excluded from architecture facts."
"SRC-M2NA-AMD-CDNA2-ISA","SFAM-M2NA-AMD-CDNA2-ISA","AMD Instinct MI200 CDNA 2 Instruction Set Architecture","AMD","api_or_isa_documentation","","current-at-cutoff","en","first_party","current","official-endpoint;verified:2026-08-12","2026-08-12","draft","Official ISA endpoint. Relevant sections were checked; no local copy is staged because the document carries usage terms."
"SRC-M2NA-AMD-CDNA3-WP","SFAM-M2NA-AMD-CDNA3-WP","Introducing AMD CDNA 3 Architecture","AMD","architecture_whitepaper","","white-paper","en","first_party","current","sha256:a0811d04f101f9127bd183d6e228f462b6fd988b0e0e6d263a25e4bed712f593","2026-08-12","draft","Fixed staging candidate. MI300A/MI300X/MI325X implementation aggregates are excluded."
"SRC-M2NA-AMD-CDNA3-ISA","SFAM-M2NA-AMD-CDNA3-ISA","AMD Instinct MI300 CDNA 3 Instruction Set Architecture","AMD","api_or_isa_documentation","2025-08-05","2025-08-05","en","first_party","current","official-endpoint;version:2025-08-05","2026-08-12","draft","Official ISA endpoint; used for programmer-visible C/D formats and sparse instruction semantics."
"SRC-M2NA-AMD-CDNA4-WP","SFAM-M2NA-AMD-CDNA4-WP","Introducing AMD CDNA 4 Architecture","AMD","architecture_whitepaper","","white-paper","en","first_party","current","sha256:7ebf89edb9b82198b9edea7bb37eb7fe7c998842257eb21ef7a459a87774a4b2","2026-08-12","draft","Fixed staging candidate. Per-CU architecture definitions retain explicit per-unit conditions."
"SRC-M2NA-AMD-CDNA4-ISA","SFAM-M2NA-AMD-CDNA4-ISA","AMD Instinct CDNA 4 Instruction Set Architecture","AMD","api_or_isa_documentation","","current-at-cutoff","en","first_party","current","official-endpoint;verified:2026-08-12","2026-08-12","draft","Official ISA endpoint; used for C/D formats, sparse layout and rounding semantics."
"SRC-M2NA-AMD-CDNA5-WP","SFAM-M2NA-AMD-CDNA5-WP","Introducing AMD CDNA 5 Architecture","AMD","architecture_whitepaper","","white-paper","en","first_party","current","sha256:2381d60185f79989d3d5e4260c86f72504fcab256b40bb85fe4a6dd782afb3ef","2026-08-12","draft","Fixed staging candidate. MI455X numeric product facts are excluded unless the white paper predicates them directly on CDNA 5 architecture."
"SRC-M2NA-AMD-CDNA5-ISA","SFAM-M2NA-AMD-CDNA5-ISA","AMD Instinct CDNA 5 Instruction Set Architecture","AMD","api_or_isa_documentation","2026-07-27","2026-07-27","en","first_party","current","official-endpoint;version:2026-07-27;pages:832","2026-08-12","draft","Within the cutoff. Used for WMMA C/D formats, block scaling, RNE and 2:4 SWMMAC semantics; no local copy is staged."
"SRC-M2NA-AMD-CDNA-LANDING","SFAM-M2NA-AMD-CDNA-LANDING","AMD CDNA Architecture","AMD","product_page","","verified-2026-08-12","en","first_party","current","sha256:894598db3beaab36631f476b3a618b53169f0ac59cdb0b6d5d494a4153ed0f71","2026-08-12","draft","Selected only for official generation identity/status and the CDNA 5 fabric boundary, not as a replacement for white papers. Fixed HTML snapshot captured 2026-08-12; hash recorded in the preferred local endpoint."
