"error_id","stage","classification","symptom","impact","resolution","formal_root_changed"
"OP-001","read_only_inventory","model_operator_mistake","PowerShell parser rejected a statement-form collection loop piped directly to formatting.","Inventory display only; no file write attempted.","Materialized the collection before formatting and reran successfully.","false"
"OP-002","candidate_oracle","model_operator_mistake","Replay helper contained return$p without the required token separator.","First oracle attempt stopped before candidate validation; formal root stayed read-only.","Changed to return $p and passed parser validation.","false"
"OP-003","candidate_oracle","model_operator_mistake","A nested PowerShell invocation did not preserve the oracle-candidate path argument.","Second oracle attempt did not reach validation; no formal write.","Removed the unnecessary nested process and invoked the replay script directly.","false"
"OP-004","candidate_oracle","model_operator_mistake","A UTF-8-no-BOM helper script contained a Chinese literal path that Windows PowerShell 5.1 decoded incorrectly.","Third oracle attempt failed on a source path lookup; no formal write.","Derived the path from signed inputs and removed the locale-sensitive literal.","false"
"OP-005","candidate_oracle","model_operator_mistake","The helper read $LASTEXITCODE after an in-process script call where the variable was undefined.","Fourth oracle attempt stopped after replay; candidate was discarded and formal root was unchanged.","Used the invocation success flag for in-process calls; fresh oracle then passed 125619 checks.","false"
"OP-006","preflight_file_verification","model_operator_mistake","A verification command omitted token separators around an if statement.","Only the verification command failed; the preflight file already existed and was unchanged.","Reissued a syntactically valid parser check.","false"
"OP-007","ascend_dependency_update","model_operator_mistake","The first dependency update command used malformed throw and Where-Object expressions.","Files were rewritten without the intended semantic change; hashes were checked and no formal files were touched.","Reran with explicit script blocks, Stop error policy, and post-write assertions; dependency is now satisfied.","false"
"OP-008","executor_generation","model_operator_mistake","The first compressed bundle executor draft had 29 PowerShell parse errors.","Executor was marked unusable and never invoked; no transaction or formal write occurred.","Rebuilding from a previously validated transaction executor and requiring parser plus mirror tests before acceptance.","false"
"OP-009","subagent_coordination","model_operator_mistake","A wait request used 1000 ms although the collaboration tool requires at least 10000 ms.","The wait request was rejected before execution; no file or agent state changed.","Used a valid 10000 ms wait and continued normal coordination.","false"
"OP-010","bundle_static_statistics","model_operator_mistake","Compressed Where-Object expressions were parsed as nonexistent property names and produced an all-zero read-only report.","Displayed statistics were invalid but no file was written from them.","Reran with explicit script blocks and assertions; verified 242/270/545 writes, 3/4/8 payloads, 19 shared tables, and zero cross-package key/path collisions.","false"
"OP-011","preflight_hardening","model_operator_mistake","The subtask author piped a statement-form foreach directly during a read-only header check, causing a parser error.","Only a diagnostic command failed; no file or formal root write.","Materialized results first and reran.","false"
"OP-012","preflight_negative_tests","model_operator_mistake","The first negative-test attempt invoked a script directly and Windows execution policy blocked it.","No negative scenario ran in that attempt; no data changed.","Reran through Windows PowerShell with ExecutionPolicy Bypass.","false"
"OP-013","preflight_negative_tests","model_operator_mistake","The second negative-test harness used Stop error policy and promoted child-process stderr to a terminating error after the first expected failure.","Only one expected-rejection case ran; formal root remained unchanged.","Captured child exit codes and output under Continue policy; all six missing/wrong-signoff cases then passed.","false"
"OP-014","executor_smoke","model_operator_mistake","The first executor smoke mirror omitted 69 endpoint files already referenced by the f152 source-endpoints table.","Candidate passed 125619 checks but post-commit validation detected missing baseline endpoint files; the executor reversed all registered changes.","Verified mirror aggregate returned to f152, 15 targets were absent, lock/temp count was zero, then rebuilt a complete mirror including all endpoint files for a fresh smoke.","false"
"OP-015","executor_rebuild","model_operator_mistake","A planned text-block replacement did not match the source line ending and was stopped before write.","No file changed.","Used bounded replacements with immediate parser and hash verification.","false"
"OP-016","executor_hard_deny_test","model_operator_mistake","One collection comparison omitted de-duplication and rejected before the intended hard-deny check.","Formal transaction stopped before any write; formal root stayed f152.","Applied unique path normalization and reran the default formal hard-deny test successfully.","false"
"OP-017","positive_rehearsal","model_operator_mistake","The first package-local rehearsal nested the transaction candidate under the long prep path and exceeded the Windows path limit while copying an existing AWS endpoint file.","Replay stopped before commit and the executor reported rollback success; formal aggregate remained f152.","Moved disposable mirror and transaction workspace to a short system-temp path while retaining evidence under the prep directory.","false"
"OP-018","rehearsal_script_edit","model_operator_mistake","The first short-path text edit left a duplicated rehearsalBase token and caused one parser error.","The script was not executed.","Removed the duplicate token and required a zero-error PS5.1 parser check.","false"
"OP-019","three_table_rehearsal","model_operator_mistake","The first short temp path still embedded the full rollback_after_3_tables scenario name and exceeded the path limit at a deeper AWS endpoint.","Replay stopped before the injection point and the executor rolled back; formal aggregate remained f152.","Replaced scenario names in temp directories with fixed p/r3/r2 tokens.","false"
"OP-020","rehearsal_script_edit","model_operator_mistake","The short-token edit initially assigned the switch result to tempBase instead of scenarioToken.","Semantic readback caught the undefined-variable path before execution.","Corrected the assignment, reran parser and semantic readback, then completed both rollback scenarios.","false"
"OP-021","operator_error_log_update","model_operator_mistake","A compressed foreach expression omitted the separator around the in keyword and failed to parse.","The entire command was rejected before the error log was written.","Reissued the update as a short, multiline PowerShell command with post-write row-count verification.","false"
"OP-022","static_contract_summary","model_operator_mistake","A compressed foreach expression omitted the separator around the in keyword and failed to parse.","The command was rejected before static-contract files were written.","Reissued the collection build as multiline PowerShell and verified nine inventory rows plus both hashes.","false"
"OP-023","shuorenhua_manual_audit","model_operator_mistake","The first manual-audit helper piped a statement-form foreach directly to Format-Table and failed to parse.","The audit command was rejected; no document changed.","Materialized the audit results before formatting; all four Chinese documents passed UTF-8, phrase, delimiter, and fact-preservation readback.","false"
