"requirement_id","object_id","component_id","link_id","object_relation_id","precision_path_id","capability_id","topology_id","field_id","requirement_status","applicability_reason","search_status","last_searched_date","requirement_fingerprint","review_status","notes"
"REQ-M2NA-AVAIL-0001","","COMP-M2NA-AMPERE-SM","","","","","","FIELD-COMP-EXECUTION","value_available","At least one staged atomic fact supplies this subject-field pair.","completed","2026-08-21","M2NA|component|COMP-M2NA-AMPERE-SM|FIELD-COMP-EXECUTION","draft","Supporting fact FACT-M2NA-AMPERE-SM-EXEC now uses the whitepaper structure plus PTX SIMT model."
"REQ-M2NA-AVAIL-0004","","COMP-M2NA-AMPERE-CUDA","","","","","","FIELD-COMP-EXECUTION","value_available","At least one staged atomic fact supplies this subject-field pair.","completed","2026-08-21","M2NA|component|COMP-M2NA-AMPERE-CUDA|FIELD-COMP-EXECUTION","draft","Supporting fact FACT-M2NA-AMPERE-CUDA-EXEC uses whitepaper FP32 or INT32 structure plus PTX SIMT model."
"REQ-M2NA-AVAIL-0005","","COMP-M2NA-AMPERE-ASYNC-COPY","","","","","","FIELD-MEM-DMA","value_available","At least one staged atomic fact supplies this subject-field pair.","completed","2026-08-21","M2NA|component|COMP-M2NA-AMPERE-ASYNC-COPY|FIELD-MEM-DMA","draft","Supporting staged fact_id: FACT-M2NA-AMPERE-ASYNC-EXEC"
"REQ-M2NA-AVAIL-0013","","","","","PPATH-M2NA-AMPERE-TENSOR-TF32","","","FIELD-NUM-OPERAND-A","value_available","At least one staged atomic fact supplies this subject-field pair.","completed","2026-08-21","M2NA|precision_path|PPATH-M2NA-AMPERE-TENSOR-TF32|FIELD-NUM-OPERAND-A","draft","Supporting TF32 operand fact is narrowed to TF32. Conversion and output are separate requirements."
"REQ-M2NA-AVAIL-0016","","","","","PPATH-M2NA-AMPERE-TENSOR-INT8","","","FIELD-NUM-OPERAND-A","value_available","At least one staged atomic fact supplies this subject-field pair.","completed","2026-08-21","M2NA|precision_path|PPATH-M2NA-AMPERE-TENSOR-INT8|FIELD-NUM-OPERAND-A","draft","Supporting fact FACT-M2NA-AMPERE-INT-A is INT8 only. INT4 and binary are separate paths."
"REQ-M2NA-AVAIL-0017","","","","","","CAP-M2NA-AMPERE-SPARSE","","FIELD-CAP-IMPLEMENTATION-LEVEL","value_available","At least one staged atomic fact supplies this subject-field pair.","completed","2026-08-21","M2NA|capability|CAP-M2NA-AMPERE-SPARSE|FIELD-CAP-IMPLEMENTATION-LEVEL","draft","High-level sparse level is unconditional. Datatype patterns are separate precision-path requirements."
"REQ-M2NA-AVAIL-0018","","","","","","CAP-M2NA-AMPERE-SPARSE","","FIELD-CAP-IMPLEMENTATION-DETAIL","value_available","At least one staged atomic fact supplies this subject-field pair.","completed","2026-08-21","M2NA|capability|CAP-M2NA-AMPERE-SPARSE|FIELD-CAP-IMPLEMENTATION-DETAIL","draft","High-level sparse detail now distinguishes compressed A, metadata, dense B selection, and skip behavior."
"REQ-M2NA-AVAIL-0021","OBJ-NVIDIA-AMPERE-ARCH","","","","","","","FIELD-SW-PROGRAMMING-MODEL","value_available","At least one staged atomic fact supplies this subject-field pair.","completed","2026-08-21","M2NA|object|OBJ-NVIDIA-AMPERE-ARCH|FIELD-SW-PROGRAMMING-MODEL","draft","Supporting programming-model fact is conditioned on CUDA 11.0, PTX 7.0, and sm_80. ISSCC CUDA 8.0 remains a contradictory assertion."
"REQ-M2NA-GAP-0006","OBJ-NVIDIA-AMPERE-ARCH","","","","","","","FIELD-DER-MATRIX-VECTOR","not_found","No aligned matrix/vector throughput pair with compatible precision, scope and operation-count convention was found.","completed","2026-08-21","M2NA|object|OBJ-NVIDIA-AMPERE-ARCH|FIELD-DER-MATRIX-VECTOR","draft","No compatible Ampere matrix and vector pair with matched precision, scope, and operation count was found."
"REQ-M2NA-GAP-0059","","","","","PPATH-M2NA-AMPERE-TENSOR-FP16","","","FIELD-NUM-PHYSICAL-ACCUM","not_found","Selected official architecture and ISA sources expose programmer-visible accumulation formats but not the physical accumulator width.","completed","2026-08-21","M2NA|precision_path|PPATH-M2NA-AMPERE-TENSOR-FP16|FIELD-NUM-PHYSICAL-ACCUM","draft","Do not equate C/D format with hidden physical datapath width."
"REQ-M2NA-GAP-0060","","","","","PPATH-M2NA-AMPERE-TENSOR-BF16","","","FIELD-NUM-PHYSICAL-ACCUM","not_found","Selected official architecture and ISA sources expose programmer-visible accumulation formats but not the physical accumulator width.","completed","2026-08-21","M2NA|precision_path|PPATH-M2NA-AMPERE-TENSOR-BF16|FIELD-NUM-PHYSICAL-ACCUM","draft","Do not equate C/D format with hidden physical datapath width."
"REQ-M2NA-GAP-0061","","","","","PPATH-M2NA-AMPERE-TENSOR-TF32","","","FIELD-NUM-PHYSICAL-ACCUM","not_found","Selected official architecture and ISA sources expose programmer-visible accumulation formats but not the physical accumulator width.","completed","2026-08-21","M2NA|precision_path|PPATH-M2NA-AMPERE-TENSOR-TF32|FIELD-NUM-PHYSICAL-ACCUM","draft","Do not equate C/D format with hidden physical datapath width."
"REQ-M2NA-GAP-0062","","","","","PPATH-M2NA-AMPERE-TENSOR-FP64","","","FIELD-NUM-PHYSICAL-ACCUM","not_found","Selected official architecture and ISA sources expose programmer-visible accumulation formats but not the physical accumulator width.","completed","2026-08-21","M2NA|precision_path|PPATH-M2NA-AMPERE-TENSOR-FP64|FIELD-NUM-PHYSICAL-ACCUM","draft","Do not equate C/D format with hidden physical datapath width."
"REQ-M2NA-GAP-0063","","","","","PPATH-M2NA-AMPERE-TENSOR-INT8","","","FIELD-NUM-PHYSICAL-ACCUM","not_found","Selected official architecture and ISA sources expose programmer-visible accumulation formats but not the physical accumulator width.","completed","2026-08-21","M2NA|precision_path|PPATH-M2NA-AMPERE-TENSOR-INT8|FIELD-NUM-PHYSICAL-ACCUM","draft","Do not equate C/D format with hidden physical datapath width."
"REQ-M2NA-GAP-0109","","COMP-M2NA-AMPERE-REG","","","","","","FIELD-MEM-READ-BW","not_found","Architecture source set was checked for an implementation-independent read-bandwidth value at this memory level.","completed","2026-08-21","M2NA|component|COMP-M2NA-AMPERE-REG|FIELD-MEM-READ-BW","draft","Existing value_available rows take precedence through key de-duplication."
"REQ-M2NA-GAP-0110","","COMP-M2NA-AMPERE-REG","","","","","","FIELD-MEM-WRITE-BW","not_found","Architecture source set was checked for an implementation-independent write-bandwidth value at this memory level.","completed","2026-08-21","M2NA|component|COMP-M2NA-AMPERE-REG|FIELD-MEM-WRITE-BW","draft","Existing value_available rows take precedence through key de-duplication."
"REQ-M2NA-GAP-0111","","COMP-M2NA-AMPERE-L1SMEM","","","","","","FIELD-MEM-READ-BW","not_found","Architecture source set was checked for an implementation-independent read-bandwidth value at this memory level.","completed","2026-08-21","M2NA|component|COMP-M2NA-AMPERE-L1SMEM|FIELD-MEM-READ-BW","draft","Existing value_available rows take precedence through key de-duplication."
"REQ-M2NA-GAP-0112","","COMP-M2NA-AMPERE-L1SMEM","","","","","","FIELD-MEM-WRITE-BW","not_found","Architecture source set was checked for an implementation-independent write-bandwidth value at this memory level.","completed","2026-08-21","M2NA|component|COMP-M2NA-AMPERE-L1SMEM|FIELD-MEM-WRITE-BW","draft","Existing value_available rows take precedence through key de-duplication."
