"card_completeness_id","object_id","domain","completeness_status","assessed_date","assessor","review_status","notes"
"COMPLETE-M2W2-AWS-INF1-IDENTITY","OBJ-AWS-INFERENTIA1-CHIP","identity","partial","2026-08-13","m2_w2_aws_package_facts","draft","芯片/器件身份与 architecture 实现关系已有正式对象和关系；package 物理构造仍未证明。"
"COMPLETE-M2W2-AWS-INF1-PHYSICAL","OBJ-AWS-INFERENTIA1-CHIP","physical","missing_public_data","2026-08-13","m2_w2_aws_package_facts","draft","只登记来源明确给出的制程或 HBM 堆叠等实现量；封装、裸片数、中介层、裸片面积和晶体管数均保留 not_found。"
"COMPLETE-M2W2-AWS-INF1-COMPUTE","OBJ-AWS-INFERENTIA1-CHIP","compute","partial","2026-08-13","m2_w2_aws_package_facts","draft","登记芯片级或每 NeuronCore 的公开峰值，不复制执行机制。"
"COMPLETE-M2W2-AWS-INF1-NUMERICS","OBJ-AWS-INFERENTIA1-CHIP","numerics","partial","2026-08-13","m2_w2_aws_package_facts","draft","仅登记带明确输入精度和作用域的峰值路径；累加器物理位宽等机制仍由架构对象负责。"
"COMPLETE-M2W2-AWS-INF1-MEMORY","OBJ-AWS-INFERENTIA1-CHIP","memory","partial","2026-08-13","m2_w2_aws_package_facts","draft","登记容量、带宽和公开片上层级；有单位或数值分歧时并列。"
"COMPLETE-M2W2-AWS-INF1-INTERCONNECT","OBJ-AWS-INFERENTIA1-CHIP","interconnect","missing_public_data","2026-08-13","m2_w2_aws_package_facts","draft","仅登记芯片级接口数或聚合额定速率；方向与有效载荷未公开。"
"COMPLETE-M2W2-AWS-INF1-SPECIAL_ENGINES","OBJ-AWS-INFERENTIA1-CHIP","special_engines","missing_public_data","2026-08-13","m2_w2_aws_package_facts","draft","只登记实现数量；功能机制保留在架构对象。"
"COMPLETE-M2W2-AWS-INF1-SOFTWARE","OBJ-AWS-INFERENTIA1-CHIP","software","not_applicable","2026-08-13","m2_w2_aws_package_facts","draft","软件栈不属于本轮 package 实现对象，沿 implements_architecture 关系复用，不重复建事实。"
"COMPLETE-M2W2-AWS-INF1-EVIDENCE","OBJ-AWS-INFERENTIA1-CHIP","evidence","needs_review","2026-08-13","m2_w2_aws_package_facts","draft","11 个同日抓取件均已登记新 endpoint 候选；latest 与 v2.31.0 同正文只算一个 source_id，仍待独立复核。"
"COMPLETE-M2W2-AWS-TRN1-IDENTITY","OBJ-AWS-TRAINIUM1-CHIP","identity","partial","2026-08-13","m2_w2_aws_package_facts","draft","芯片/器件身份与 architecture 实现关系已有正式对象和关系；package 物理构造仍未证明。"
"COMPLETE-M2W2-AWS-TRN1-PHYSICAL","OBJ-AWS-TRAINIUM1-CHIP","physical","missing_public_data","2026-08-13","m2_w2_aws_package_facts","draft","只登记来源明确给出的制程或 HBM 堆叠等实现量；封装、裸片数、中介层、裸片面积和晶体管数均保留 not_found。"
"COMPLETE-M2W2-AWS-TRN1-COMPUTE","OBJ-AWS-TRAINIUM1-CHIP","compute","partial","2026-08-13","m2_w2_aws_package_facts","draft","登记芯片级或每 NeuronCore 的公开峰值，不复制执行机制。"
"COMPLETE-M2W2-AWS-TRN1-NUMERICS","OBJ-AWS-TRAINIUM1-CHIP","numerics","partial","2026-08-13","m2_w2_aws_package_facts","draft","仅登记带明确输入精度和作用域的峰值路径；累加器物理位宽等机制仍由架构对象负责。"
"COMPLETE-M2W2-AWS-TRN1-MEMORY","OBJ-AWS-TRAINIUM1-CHIP","memory","partial","2026-08-13","m2_w2_aws_package_facts","draft","登记容量、带宽和公开片上层级；有单位或数值分歧时并列。"
"COMPLETE-M2W2-AWS-TRN1-INTERCONNECT","OBJ-AWS-TRAINIUM1-CHIP","interconnect","partial","2026-08-13","m2_w2_aws_package_facts","draft","仅登记芯片级接口数或聚合额定速率；方向与有效载荷未公开。"
"COMPLETE-M2W2-AWS-TRN1-SPECIAL_ENGINES","OBJ-AWS-TRAINIUM1-CHIP","special_engines","partial","2026-08-13","m2_w2_aws_package_facts","draft","只登记实现数量；功能机制保留在架构对象。"
"COMPLETE-M2W2-AWS-TRN1-SOFTWARE","OBJ-AWS-TRAINIUM1-CHIP","software","not_applicable","2026-08-13","m2_w2_aws_package_facts","draft","软件栈不属于本轮 package 实现对象，沿 implements_architecture 关系复用，不重复建事实。"
"COMPLETE-M2W2-AWS-TRN1-EVIDENCE","OBJ-AWS-TRAINIUM1-CHIP","evidence","needs_review","2026-08-13","m2_w2_aws_package_facts","draft","11 个同日抓取件均已登记新 endpoint 候选；latest 与 v2.31.0 同正文只算一个 source_id，仍待独立复核。"
"COMPLETE-M2W2-AWS-INF2-IDENTITY","OBJ-AWS-INFERENTIA2-CHIP","identity","partial","2026-08-13","m2_w2_aws_package_facts","draft","芯片/器件身份与 architecture 实现关系已有正式对象和关系；package 物理构造仍未证明。"
"COMPLETE-M2W2-AWS-INF2-PHYSICAL","OBJ-AWS-INFERENTIA2-CHIP","physical","missing_public_data","2026-08-13","m2_w2_aws_package_facts","draft","只登记来源明确给出的制程或 HBM 堆叠等实现量；封装、裸片数、中介层、裸片面积和晶体管数均保留 not_found。"
"COMPLETE-M2W2-AWS-INF2-COMPUTE","OBJ-AWS-INFERENTIA2-CHIP","compute","partial","2026-08-13","m2_w2_aws_package_facts","draft","登记芯片级或每 NeuronCore 的公开峰值，不复制执行机制。"
"COMPLETE-M2W2-AWS-INF2-NUMERICS","OBJ-AWS-INFERENTIA2-CHIP","numerics","partial","2026-08-13","m2_w2_aws_package_facts","draft","仅登记带明确输入精度和作用域的峰值路径；累加器物理位宽等机制仍由架构对象负责。"
"COMPLETE-M2W2-AWS-INF2-MEMORY","OBJ-AWS-INFERENTIA2-CHIP","memory","partial","2026-08-13","m2_w2_aws_package_facts","draft","登记容量、带宽和公开片上层级；有单位或数值分歧时并列。"
"COMPLETE-M2W2-AWS-INF2-INTERCONNECT","OBJ-AWS-INFERENTIA2-CHIP","interconnect","partial","2026-08-13","m2_w2_aws_package_facts","draft","仅登记芯片级接口数或聚合额定速率；方向与有效载荷未公开。"
"COMPLETE-M2W2-AWS-INF2-SPECIAL_ENGINES","OBJ-AWS-INFERENTIA2-CHIP","special_engines","partial","2026-08-13","m2_w2_aws_package_facts","draft","只登记实现数量；功能机制保留在架构对象。"
