"search_result_id","search_id","source_id","result_relation","review_status","notes"
"SRES-M2GA-G8T-ACC","SEARCH-M2GA-G8T-ACC","SRC-M2-GA-G13","checked_no_support","draft","来源明确支持产品存在，但不支持所缺字段"
"SRES-M2GA-G8I-ACC","SEARCH-M2GA-G8I-ACC","SRC-M2-GA-G13","checked_no_support","draft","来源明确支持产品存在，但不支持所缺字段"
"SRES-M2GA-TRN4-MICRO","SEARCH-M2GA-TRN4-MICRO","SRC-M2-GA-A09","checked_no_support","draft","来源明确支持产品存在，但不支持所缺字段"
"SRES-M2GA-GV3-MOE-HW","SEARCH-M2GA-GV3-MOE-HW","SRC-M2-GA-G01","checked_no_support","draft","已核对所列一手架构材料，未发现专用 MoE routing/router 声明；G01 Top-K 跨代叙述没有逐代归属，不用于本 requirement 的正事实"
"SRES-M2GA-GV4-MOE-HW","SEARCH-M2GA-GV4-MOE-HW","SRC-M2-GA-G03","checked_no_support","draft","已核对所列一手架构材料，未发现专用 MoE routing/router 声明；G01 Top-K 跨代叙述没有逐代归属，不用于本 requirement 的正事实"
"SRES-M2GA-GV5E-MOE-HW","SEARCH-M2GA-GV5E-MOE-HW","SRC-M2-GA-G05","checked_no_support","draft","已核对所列一手架构材料，未发现专用 MoE routing/router 声明；G01 Top-K 跨代叙述没有逐代归属，不用于本 requirement 的正事实"
"SRES-M2GA-GV5P-MOE-HW","SEARCH-M2GA-GV5P-MOE-HW","SRC-M2-GA-G01","checked_no_support","draft","已核对所列一手架构材料，未发现专用 MoE routing/router 声明；G01 Top-K 跨代叙述没有逐代归属，不用于本 requirement 的正事实"
"SRES-M2GA-GV6E-MOE-HW","SEARCH-M2GA-GV6E-MOE-HW","SRC-M2-GA-G15","checked_no_support","draft","已核对所列一手架构材料，未发现专用 MoE routing/router 声明；G01 Top-K 跨代叙述没有逐代归属，不用于本 requirement 的正事实"
"SRES-M2GA-G7X-MOE-HW","SEARCH-M2GA-G7X-MOE-HW","SRC-M2-GA-G01","checked_no_support","draft","已核对所列一手架构材料，未发现专用 MoE routing/router 声明；G01 Top-K 跨代叙述没有逐代归属，不用于本 requirement 的正事实"
"SRES-M2GA-AIF1-MOE-HW","SEARCH-M2GA-AIF1-MOE-HW","SRC-M2-GA-A02","checked_no_support","draft","已核对所选一手架构材料，未发现专用 MoE routing/router Top-K 物理模块声明"
"SRES-M2GA-ATRN1-MOE-HW","SEARCH-M2GA-ATRN1-MOE-HW","SRC-M2-GA-A05","checked_no_support","draft","已核对所选一手架构材料，未发现专用 MoE routing/router Top-K 物理模块声明"
"SRES-M2GA-AIF2-MOE-HW","SEARCH-M2GA-AIF2-MOE-HW","SRC-M2-GA-A05","checked_no_support","draft","已核对所选一手架构材料，未发现专用 MoE routing/router Top-K 物理模块声明"
"SRES-M2GA-ATRN3-MOE-HW","SEARCH-M2GA-ATRN3-MOE-HW","SRC-M2-GA-A07","checked_no_support","draft","已核对所选一手架构材料，未发现专用 MoE routing/router Top-K 物理模块声明"
"SRES-M2GA-G8T-LDE-DETAIL","SEARCH-M2GA-G8T-LDE-DETAIL","SRC-M2-GA-G13","checked_no_support","draft","G13 已核对，只有 LLM Decoder Engine 名称和产品特征，不支持内部算子/吞吐"
"SRES-M2GA-G8I-FP4-ACCUM","SEARCH-M2GA-G8I-FP4-ACCUM","SRC-M2-GA-G13","checked_no_support","draft","G13 已核对，FP4 峰值表不支持完整输入/乘积/累加/输出/舍入语义"
"SRES-M2GA-G8I-ICI-PROTOCOL-G13","SEARCH-M2GA-G8I-ICI-PROTOCOL-DETAIL","SRC-M2-GA-G13","checked_no_support","draft","G13 已核对，只支持 Boardfly/ICI 系统连接，不支持芯片级方向和有效载荷口径"
"SRES-M2GA-G8I-ICI-PROTOCOL-G14","SEARCH-M2GA-G8I-ICI-PROTOCOL-DETAIL","SRC-M2-GA-G14","checked_no_support","draft","G14 已核对，只支持 19.2 Tb/s 与网络直径等系统描述，不支持方向/有效载荷口径"
