"commit_order","rollback_order","table_path","primary_key","current_sha256","current_bytes","current_rows","current_columns","encoding","bom","newline","final_crlf","lifecycle_writes","semantic_writes","authorized_csv_writes","append_rows","update_rows","expected_post_rows","signed_premerge_hash","premerge_hash_match","signed_expected_post_sha256","posthash_status","byte_reconstruction_requires"
"1","20","最小参考资料库/sources.csv","source_id","eba3f8a3c4a49e526a42a2bb1b5db0cfbf3930edd211fb2158db3c6a8b6b6208","30791","84","14","utf8","none","CRLF","true","9","0","9","0","9","84","eba3f8a3c4a49e526a42a2bb1b5db0cfbf3930edd211fb2158db3c6a8b6b6208","true","","not_present_in_486_row_or_23_row_signoff","premerge_table+signed_sources+action_order+ConvertTo-Csv_CRLF_no_BOM"
"2","19","数据/components.csv","component_id","b7d7e6ccaeefad98dd6b92724eba60390b06f2da66d820e6441e15b32485d380","38736","227","8","utf8","none","CRLF","true","27","0","27","27","0","254","b7d7e6ccaeefad98dd6b92724eba60390b06f2da66d820e6441e15b32485d380","true","","not_present_in_486_row_or_23_row_signoff","premerge_table+signed_sources+action_order+ConvertTo-Csv_CRLF_no_BOM"
"3","18","数据/links.csv","link_id","b3b55f4526bfdb9db5ecd848457d87ffc3fa27002d208a109924df40375d0a8d","7430","35","8","utf8","none","CRLF","true","3","0","3","3","0","38","b3b55f4526bfdb9db5ecd848457d87ffc3fa27002d208a109924df40375d0a8d","true","","not_present_in_486_row_or_23_row_signoff","premerge_table+signed_sources+action_order+ConvertTo-Csv_CRLF_no_BOM"
"4","17","数据/precision-paths.csv","precision_path_id","a57944459ff3bb927e5e8b08b119c65e633436dfc59b392f12810420eb2e75b4","20005","122","6","utf8","none","CRLF","true","20","0","20","20","0","142","a57944459ff3bb927e5e8b08b119c65e633436dfc59b392f12810420eb2e75b4","true","","not_present_in_486_row_or_23_row_signoff","premerge_table+signed_sources+action_order+ConvertTo-Csv_CRLF_no_BOM"
"5","16","数据/memory-levels.csv","memory_level_id","5fb8e34f3d0a8be541310b1fd14bae4e73e36b3e7801544584edcf0eac36fbe1","10658","76","6","utf8","none","CRLF","true","6","0","6","6","0","82","5fb8e34f3d0a8be541310b1fd14bae4e73e36b3e7801544584edcf0eac36fbe1","true","","not_present_in_486_row_or_23_row_signoff","premerge_table+signed_sources+action_order+ConvertTo-Csv_CRLF_no_BOM"
"6","15","数据/condition-sets.csv","condition_set_id","9bb6717de7c6a038674d563164e40cf94dfe1f1d923fe787339299e77a057ac5","49926","141","21","utf8","none","CRLF","true","29","0","29","29","0","170","9bb6717de7c6a038674d563164e40cf94dfe1f1d923fe787339299e77a057ac5","true","","not_present_in_486_row_or_23_row_signoff","premerge_table+signed_sources+action_order+ConvertTo-Csv_CRLF_no_BOM"
"7","14","数据/field-requirements.csv","requirement_id","93c27127b6124331368e24ccec97c48620d2e85f08057d14d049d87edb91d347","273459","792","16","utf8","none","CRLF","true","71","0","71","71","0","863","93c27127b6124331368e24ccec97c48620d2e85f08057d14d049d87edb91d347","true","","not_present_in_486_row_or_23_row_signoff","premerge_table+signed_sources+action_order+ConvertTo-Csv_CRLF_no_BOM"
"8","13","数据/facts.csv","fact_id","55a75c496c304062371ce38e566ee839060ee0706259b0b6e24442fb70b9ae3d","250537","621","23","utf8","none","CRLF","true","57","0","57","57","0","678","55a75c496c304062371ce38e566ee839060ee0706259b0b6e24442fb70b9ae3d","true","","not_present_in_486_row_or_23_row_signoff","premerge_table+signed_sources+action_order+ConvertTo-Csv_CRLF_no_BOM"
"9","12","数据/card-completeness.csv","card_completeness_id","bc0c35e1dd5cc166cbfd65ea0f1fe5525c5340005e1005ab059e85061976f6cc","66107","324","8","utf8","none","CRLF","true","36","4","40","36","0","360","bc0c35e1dd5cc166cbfd65ea0f1fe5525c5340005e1005ab059e85061976f6cc","true","","not_present_in_486_row_or_23_row_signoff","premerge_table+signed_sources+action_order+ConvertTo-Csv_CRLF_no_BOM"
"10","11","最小参考资料库/source-endpoints.csv","endpoint_id","652c53647108701eddaf2e1f998417570f852acce78f2b8a2714497baff13035","43774","127","15","utf8","none","CRLF","true","20","0","20","11","9","138","652c53647108701eddaf2e1f998417570f852acce78f2b8a2714497baff13035","true","","not_present_in_486_row_or_23_row_signoff","premerge_table+signed_sources+action_order+ConvertTo-Csv_CRLF_no_BOM"
"11","10","最小参考资料库/source-screening.csv","screening_id","104e8d4d06de4d26deec1066367434e494ee72e22eee3d1a49ffe0759da8c05b","30892","88","10","utf8","none","CRLF","true","1","0","1","0","1","88","104e8d4d06de4d26deec1066367434e494ee72e22eee3d1a49ffe0759da8c05b","true","","not_present_in_486_row_or_23_row_signoff","premerge_table+signed_sources+action_order+ConvertTo-Csv_CRLF_no_BOM"
"12","9","最小参考资料库/source-selected-roles.csv","source_selected_role_id","aea2ecd4cd1fcf45f63817ca7d69e94434baa53ed9c184a16c4ad098bfafa5f5","18344","84","6","utf8","none","CRLF","true","14","0","14","14","0","98","aea2ecd4cd1fcf45f63817ca7d69e94434baa53ed9c184a16c4ad098bfafa5f5","true","","not_present_in_486_row_or_23_row_signoff","premerge_table+signed_sources+action_order+ConvertTo-Csv_CRLF_no_BOM"
