"backlog_id","source_fact_candidate_id","architecture_object","field_id","raw_or_normalized_value","required_object_type","source_id","source_locator","status","reason_not_architecture"
"IMPL-FACT-GROQ-LPU1-PROCESS","FACT-GROQ-LPU1-PROCESS","OBJ-GROQ-LPU1-ARCH","FIELD-PHY-PROCESS","14 nm process","die/package identity pending","SRC-GROQ-TSP-ISCA2020","PDF p.1 Abstract; p.3 implementation contribution","deferred_object_identity","属于具体硅实现、芯片修订或每 LPU 实现规格，architecture_generation 不能承接"
"IMPL-FACT-GROQ-LPU1-NOMINAL-CLOCK","FACT-GROQ-LPU1-NOMINAL-CLOCK","OBJ-GROQ-LPU1-ARCH","FIELD-PHY-CLOCK","900 MHz nominal clock","die/package identity pending","SRC-GROQ-TSP-ISCA2020","PDF p.1 Abstract","deferred_object_identity","属于具体硅实现、芯片修订或每 LPU 实现规格，architecture_generation 不能承接"
"IMPL-FACT-GROQ-LPU1-TRANSISTORS","FACT-GROQ-LPU1-TRANSISTORS","OBJ-GROQ-LPU1-ARCH","FIELD-PHY-TRANSISTORS","26.8 billion transistors","die/package identity pending","SRC-GROQ-TSP-ISCA2020","PDF p.12, Section VII Conclusion","deferred_object_identity","属于具体硅实现、芯片修订或每 LPU 实现规格，architecture_generation 不能承接"
"IMPL-FACT-GROQ-LPU1-PEAK-1GHZ","FACT-GROQ-LPU1-PEAK-1GHZ","OBJ-GROQ-LPU1-ARCH","FIELD-COMP-THROUGHPUT","820 TeraOps/s at 1 GHz core clock","die/package identity pending","SRC-GROQ-TSP-ISCA2020","PDF p.12, Section VII Conclusion","deferred_object_identity","首颗 14 nm ASIC 在 1 GHz 条件下的实现峰值；频率是该候选的显式条件"
"IMPL-FACT-GROQ-LPU1-ICU-QUEUES","FACT-GROQ-LPU1-ICU-QUEUES","OBJ-GROQ-LPU1-ARCH","FIELD-COMP-EXECUTION","144 independent instruction queues; 64 logical streams per lane","die/package identity pending","SRC-GROQ-TSP-ISCA2020","PDF p.3 bullet list; p.8, Section III.A.2 Synchronization","deferred_object_identity","属于具体硅实现、芯片修订或每 LPU 实现规格，architecture_generation 不能承接"
"IMPL-FACT-GROQ-LPU1-VXM-PIPELINE","FACT-GROQ-LPU1-VXM-PIPELINE","OBJ-GROQ-LPU1-ARCH","FIELD-COMP-EXECUTION","20-stage vector pipeline; 16 vector ALUs per lane arranged as a 4×4 mesh","die/package identity pending","SRC-GROQ-TSP-ISCA2020","PDF p.2 tiled microarchitecture; pp.4 and 8, VXM descriptions","deferred_object_identity","属于具体硅实现、芯片修订或每 LPU 实现规格，architecture_generation 不能承接"
"IMPL-FACT-GROQ-LPU1-MXM-COUNT","FACT-GROQ-LPU1-MXM-COUNT","OBJ-GROQ-LPU1-ARCH","FIELD-COMP-UNIT-COUNT","4 count","die/package identity pending","SRC-GROQ-TSP-ISCA2020","PDF p.4, component list item 3","deferred_object_identity","属于具体硅实现、芯片修订或每 LPU 实现规格，architecture_generation 不能承接"
"IMPL-FACT-GROQ-LPU1-MXM-SHAPE","FACT-GROQ-LPU1-MXM-SHAPE","OBJ-GROQ-LPU1-ARCH","FIELD-COMP-ARRAY-SHAPE","Four independent 320×320 arrays","die/package identity pending","SRC-GROQ-TSP-ISCA2020","PDF p.4, component list item 3; pp.8-10, MXM sections","deferred_object_identity","属于具体硅实现、芯片修订或每 LPU 实现规格，architecture_generation 不能承接"
"IMPL-FACT-GROQ-LPU1-SRAM-220MIB","FACT-GROQ-LPU1-SRAM-220MIB","OBJ-GROQ-LPU1-ARCH","FIELD-MEM-CAPACITY","230686720 byte","die/package identity pending","SRC-GROQ-TSP-ISCA2020","PDF pp.3-4, architecture bullet list and MEM item 5","deferred_object_identity","属于具体硅实现、芯片修订或每 LPU 实现规格，architecture_generation 不能承接"
"IMPL-FACT-GROQ-LPU1-SRAM-55TIBS","FACT-GROQ-LPU1-SRAM-55TIBS","OBJ-GROQ-LPU1-ARCH","FIELD-MEM-BIDIR-BW","55 TiB/s SRAM aggregate bandwidth (two hemispheres)","die/package identity pending","SRC-GROQ-TSP-ISCA2020","PDF p.6, Equation 2","deferred_object_identity","属于具体硅实现、芯片修订或每 LPU 实现规格，architecture_generation 不能承接"
