"search_result_id","search_id","source_id","result_relation","review_status","notes"
"SRESULT-M2NA-0002","SEARCH-M2NA-0002","SRC-M2NA-NVIDIA-AMPERE-WP-2020","checked_no_support","draft","Checked SRC-M2NA-NVIDIA-AMPERE-WP-2020 for FIELD-DER-MATRIX-VECTOR on object:OBJ-NVIDIA-AMPERE-ARCH; it does not provide a condition-complete value for the frozen target."
"SRESULT-M2NA-0033","SEARCH-M2NA-0019","SRC-M2NA-NVIDIA-AMPERE-WP-2020","checked_no_support","draft","Checked SRC-M2NA-NVIDIA-AMPERE-WP-2020 for FIELD-NUM-PHYSICAL-ACCUM on precision_path:PPATH-M2NA-AMPERE-TENSOR-FP16; it does not provide a condition-complete value for the frozen target."
"SRESULT-M2NA-0034","SEARCH-M2NA-0020","SRC-M2NA-NVIDIA-AMPERE-WP-2020","checked_no_support","draft","Checked SRC-M2NA-NVIDIA-AMPERE-WP-2020 for FIELD-NUM-PHYSICAL-ACCUM on precision_path:PPATH-M2NA-AMPERE-TENSOR-BF16; it does not provide a condition-complete value for the frozen target."
"SRESULT-M2NA-0035","SEARCH-M2NA-0021","SRC-M2NA-NVIDIA-AMPERE-WP-2020","checked_no_support","draft","Checked SRC-M2NA-NVIDIA-AMPERE-WP-2020 for FIELD-NUM-PHYSICAL-ACCUM on precision_path:PPATH-M2NA-AMPERE-TENSOR-TF32; it does not provide a condition-complete value for the frozen target."
"SRESULT-M2NA-0036","SEARCH-M2NA-0022","SRC-M2NA-NVIDIA-AMPERE-WP-2020","checked_no_support","draft","Checked SRC-M2NA-NVIDIA-AMPERE-WP-2020 for FIELD-NUM-PHYSICAL-ACCUM on precision_path:PPATH-M2NA-AMPERE-TENSOR-FP64; it does not provide a condition-complete value for the frozen target."
"SRESULT-M2NA-0037","SEARCH-M2NA-0023","SRC-M2NA-NVIDIA-AMPERE-WP-2020","checked_no_support","draft","Checked SRC-M2NA-NVIDIA-AMPERE-WP-2020 for FIELD-NUM-PHYSICAL-ACCUM on precision_path:PPATH-M2NA-AMPERE-TENSOR-INT8; it does not provide a condition-complete value for the frozen target."
"SRESULT-M2NA-0123","SEARCH-M2NA-0064","SRC-M2NA-NVIDIA-AMPERE-WP-2020","checked_no_support","draft","Checked SRC-M2NA-NVIDIA-AMPERE-WP-2020 for FIELD-MEM-READ-BW on component:COMP-M2NA-AMPERE-REG; it does not provide a condition-complete value for the frozen target."
"SRESULT-M2NA-0124","SEARCH-M2NA-0065","SRC-M2NA-NVIDIA-AMPERE-WP-2020","checked_no_support","draft","Checked SRC-M2NA-NVIDIA-AMPERE-WP-2020 for FIELD-MEM-WRITE-BW on component:COMP-M2NA-AMPERE-REG; it does not provide a condition-complete value for the frozen target."
"SRESULT-M2NA-0125","SEARCH-M2NA-0066","SRC-M2NA-NVIDIA-AMPERE-WP-2020","checked_no_support","draft","Checked SRC-M2NA-NVIDIA-AMPERE-WP-2020 for FIELD-MEM-READ-BW on component:COMP-M2NA-AMPERE-L1SMEM; it does not provide a condition-complete value for the frozen target."
"SRESULT-M2NA-0126","SEARCH-M2NA-0067","SRC-M2NA-NVIDIA-AMPERE-WP-2020","checked_no_support","draft","Checked SRC-M2NA-NVIDIA-AMPERE-WP-2020 for FIELD-MEM-WRITE-BW on component:COMP-M2NA-AMPERE-L1SMEM; it does not provide a condition-complete value for the frozen target."
"SRESULT-M2NA-0127","SEARCH-M2NA-0068","SRC-M2NA-NVIDIA-AMPERE-WP-2020","checked_no_support","draft","Checked SRC-M2NA-NVIDIA-AMPERE-WP-2020 for FIELD-MEM-READ-BW on component:COMP-M2NA-AMPERE-L2; it does not provide a condition-complete value for the frozen target."
"SRESULT-M2NA-0128","SEARCH-M2NA-0069","SRC-M2NA-NVIDIA-AMPERE-WP-2020","checked_no_support","draft","Checked SRC-M2NA-NVIDIA-AMPERE-WP-2020 for FIELD-MEM-WRITE-BW on component:COMP-M2NA-AMPERE-L2; it does not provide a condition-complete value for the frozen target."
"SRESULT-M2NA-0211","SEARCH-M2NA-0106","SRC-M2NA-NVIDIA-AMPERE-WP-2020","checked_no_support","draft","Checked SRC-M2NA-NVIDIA-AMPERE-WP-2020 for FIELD-CAP-IMPLEMENTATION-LEVEL on capability:CAP-M2NA-AMPERE-MOE; it does not provide a condition-complete value for the frozen target."
"SRESULT-M2NA-0212","SEARCH-M2NA-0107","SRC-M2NA-NVIDIA-AMPERE-WP-2020","checked_no_support","draft","Checked SRC-M2NA-NVIDIA-AMPERE-WP-2020 for FIELD-CAP-IMPLEMENTATION-LEVEL on capability:CAP-M2NA-AMPERE-TOPK; it does not provide a condition-complete value for the frozen target."
"SRESULT-M2NA-GAP-0006-1","SEARCH-M2NA-GAP-0006","SRC-M2NA-NVIDIA-AMPERE-WP-2020","checked_no_support","draft","Checked SRC-M2NA-NVIDIA-AMPERE-WP-2020 for FIELD-DER-MATRIX-VECTOR on object:OBJ-NVIDIA-AMPERE-ARCH; it does not provide a condition-complete value for the frozen target."
"SRESULT-M2NA-GAP-0006-2","SEARCH-M2NA-GAP-0006","SRC-NVIDIA-CUDA-C-PROGRAMMING-GUIDE-11-0","checked_no_support","draft","Checked SRC-NVIDIA-CUDA-C-PROGRAMMING-GUIDE-11-0 for FIELD-DER-MATRIX-VECTOR on object:OBJ-NVIDIA-AMPERE-ARCH; it does not provide a condition-complete value for the frozen target."
"SRESULT-M2NA-GAP-0059-1","SEARCH-M2NA-GAP-0059","SRC-M2NA-NVIDIA-AMPERE-WP-2020","checked_no_support","draft","Checked SRC-M2NA-NVIDIA-AMPERE-WP-2020 for FIELD-NUM-PHYSICAL-ACCUM on precision_path:PPATH-M2NA-AMPERE-TENSOR-FP16; it does not provide a condition-complete value for the frozen target."
"SRESULT-M2NA-GAP-0059-2","SEARCH-M2NA-GAP-0059","SRC-NVIDIA-CUDA-C-PROGRAMMING-GUIDE-11-0","checked_no_support","draft","Checked SRC-NVIDIA-CUDA-C-PROGRAMMING-GUIDE-11-0 for FIELD-NUM-PHYSICAL-ACCUM on precision_path:PPATH-M2NA-AMPERE-TENSOR-FP16; it does not provide a condition-complete value for the frozen target."
