"search_result_id","search_id","source_id","result_relation","review_status","notes"
"SRESULT-M2W3-HUAWEI-ASC950-DIE-PROCESS-H2","SEARCH-M2W3-HUAWEI-ASC950-DIE-PROCESS","SRC-M2W3-HUAWEI-H2-ASC950-KEYNOTE-20250918","checked_no_support","draft","Official source checked; no exact supporting value."
"SRESULT-M2W3-HUAWEI-ASC950-DIE-PROCESS-H6","SEARCH-M2W3-HUAWEI-ASC950-DIE-PROCESS","SRC-M2W3-HUAWEI-H6-PROCESSOR-20260813","checked_no_support","draft","Processor page and DT renderer state checked; no exact supporting value."
"SRESULT-M2W3-HUAWEI-ASC950-DIE-PROCESS-H7","SEARCH-M2W3-HUAWEI-ASC950-DIE-PROCESS","SRC-M2W3-HUAWEI-H7-ACCELERATOR-CARD-20260813","checked_no_support","draft","Card-level material checked only for boundary; it cannot fill die/package fields."
"SRESULT-M2W3-HUAWEI-ASC950-DIE-PROCESS-H12","SEARCH-M2W3-HUAWEI-ASC950-DIE-PROCESS","SRC-M2W3-HUAWEI-H12-ATLAS350-LAUNCH-20260320","checked_no_support","draft","Official source checked; no exact supporting value."
"SRESULT-M2W3-HUAWEI-ASC950-DIE-DIE-AREA-H2","SEARCH-M2W3-HUAWEI-ASC950-DIE-DIE-AREA","SRC-M2W3-HUAWEI-H2-ASC950-KEYNOTE-20250918","checked_no_support","draft","Official source checked; no exact supporting value."
"SRESULT-M2W3-HUAWEI-ASC950-DIE-DIE-AREA-H6","SEARCH-M2W3-HUAWEI-ASC950-DIE-DIE-AREA","SRC-M2W3-HUAWEI-H6-PROCESSOR-20260813","checked_no_support","draft","Processor page and DT renderer state checked; no exact supporting value."
"SRESULT-M2W3-HUAWEI-ASC950-DIE-DIE-AREA-H7","SEARCH-M2W3-HUAWEI-ASC950-DIE-DIE-AREA","SRC-M2W3-HUAWEI-H7-ACCELERATOR-CARD-20260813","checked_no_support","draft","Card-level material checked only for boundary; it cannot fill die/package fields."
"SRESULT-M2W3-HUAWEI-ASC950-DIE-DIE-AREA-H12","SEARCH-M2W3-HUAWEI-ASC950-DIE-DIE-AREA","SRC-M2W3-HUAWEI-H12-ATLAS350-LAUNCH-20260320","checked_no_support","draft","Official source checked; no exact supporting value."
"SRESULT-M2W3-HUAWEI-ASC950-DIE-TRANSISTORS-H2","SEARCH-M2W3-HUAWEI-ASC950-DIE-TRANSISTORS","SRC-M2W3-HUAWEI-H2-ASC950-KEYNOTE-20250918","checked_no_support","draft","Official source checked; no exact supporting value."
"SRESULT-M2W3-HUAWEI-ASC950-DIE-TRANSISTORS-H6","SEARCH-M2W3-HUAWEI-ASC950-DIE-TRANSISTORS","SRC-M2W3-HUAWEI-H6-PROCESSOR-20260813","checked_no_support","draft","Processor page and DT renderer state checked; no exact supporting value."
