"search_id","requirement_id","searched_date","query_or_path","source_types_checked","result_status","researcher","review_status","notes"
"SEARCH-M2W3-HUAWEI-ASC950-DIE-PROCESS","REQ-M2W3-HUAWEI-ASC950-DIE-PROCESS","2026-08-13","Requirement-specific exact-object review for REQ-M2W3-HUAWEI-ASC950-DIE-PROCESS (FIELD-PHY-PROCESS): H-2, H-6 plus DT route, H-7, H-12.","conference_talk;product_page;press_release","no_reliable_result","m2_w3_huawei_asc950_physical","draft","Process node absent from frozen official sources."
"SEARCH-M2W3-HUAWEI-ASC950-DIE-DIE-AREA","REQ-M2W3-HUAWEI-ASC950-DIE-DIE-AREA","2026-08-13","Requirement-specific exact-object review for REQ-M2W3-HUAWEI-ASC950-DIE-DIE-AREA (FIELD-PHY-DIE-AREA): H-2, H-6 plus DT route, H-7, H-12.","conference_talk;product_page;press_release","no_reliable_result","m2_w3_huawei_asc950_physical","draft","Die area absent from frozen official sources."
"SEARCH-M2W3-HUAWEI-ASC950-DIE-TRANSISTORS","REQ-M2W3-HUAWEI-ASC950-DIE-TRANSISTORS","2026-08-13","Requirement-specific exact-object review for REQ-M2W3-HUAWEI-ASC950-DIE-TRANSISTORS (FIELD-PHY-TRANSISTORS): H-2, H-6 plus DT route, H-7, H-12.","conference_talk;product_page;press_release","no_reliable_result","m2_w3_huawei_asc950_physical","draft","Transistor count absent from frozen official sources."
"SEARCH-M2W3-HUAWEI-ASC950-DIE-CLOCK","REQ-M2W3-HUAWEI-ASC950-DIE-CLOCK","2026-08-13","Requirement-specific exact-object review for REQ-M2W3-HUAWEI-ASC950-DIE-CLOCK (FIELD-PHY-CLOCK): H-2, H-6 plus DT route, H-7, H-12.","conference_talk;product_page;press_release","no_reliable_result","m2_w3_huawei_asc950_physical","draft","Clock absent from frozen official sources."
"SEARCH-M2W3-HUAWEI-ASC950-DIE-POWER","REQ-M2W3-HUAWEI-ASC950-DIE-POWER","2026-08-13","Requirement-specific exact-object review for REQ-M2W3-HUAWEI-ASC950-DIE-POWER (FIELD-PHY-POWER): H-2, H-6 plus DT route, H-7, H-12.","conference_talk;product_page;press_release","no_reliable_result","m2_w3_huawei_asc950_physical","draft","Die power absent from frozen official sources."
"SEARCH-M2W3-HUAWEI-ASC950-DIE-VECTOR-THROUGHPUT","REQ-M2W3-HUAWEI-ASC950-DIE-VECTOR-THROUGHPUT","2026-08-13","Requirement-specific exact-object review for REQ-M2W3-HUAWEI-ASC950-DIE-VECTOR-THROUGHPUT (FIELD-COMP-THROUGHPUT): H-2, H-6 plus DT route, H-7, H-12.","conference_talk;product_page;press_release","no_reliable_result","m2_w3_huawei_asc950_physical","draft","H-2 says vector processing is stronger but gives no separately conditioned vector throughput."
"SEARCH-M2W3-HUAWEI-ASC950-DIE-FP8-ACCUM","REQ-M2W3-HUAWEI-ASC950-DIE-FP8-ACCUM","2026-08-13","Requirement-specific exact-object review for REQ-M2W3-HUAWEI-ASC950-DIE-FP8-ACCUM (FIELD-NUM-ACCUMULATION): H-2, H-6 plus DT route, H-7, H-12.","conference_talk;product_page;press_release","no_reliable_result","m2_w3_huawei_asc950_physical","draft","FP8 programmer-visible accumulation format absent."
"SEARCH-M2W3-HUAWEI-ASC950-DIE-FP8-PHYSICAL-ACCUM","REQ-M2W3-HUAWEI-ASC950-DIE-FP8-PHYSICAL-ACCUM","2026-08-13","Requirement-specific exact-object review for REQ-M2W3-HUAWEI-ASC950-DIE-FP8-PHYSICAL-ACCUM (FIELD-NUM-PHYSICAL-ACCUM): H-2, H-6 plus DT route, H-7, H-12.","conference_talk;product_page;press_release","no_reliable_result","m2_w3_huawei_asc950_physical","draft","FP8 physical accumulator semantics absent."
"SEARCH-M2W3-HUAWEI-ASC950-DIE-MXFP8-ACCUM","REQ-M2W3-HUAWEI-ASC950-DIE-MXFP8-ACCUM","2026-08-13","Requirement-specific exact-object review for REQ-M2W3-HUAWEI-ASC950-DIE-MXFP8-ACCUM (FIELD-NUM-ACCUMULATION): H-2, H-6 plus DT route, H-7, H-12.","conference_talk;product_page;press_release","no_reliable_result","m2_w3_huawei_asc950_physical","draft","MXFP8 programmer-visible accumulation format absent."
"SEARCH-M2W3-HUAWEI-ASC950-DIE-MXFP8-PHYSICAL-ACCUM","REQ-M2W3-HUAWEI-ASC950-DIE-MXFP8-PHYSICAL-ACCUM","2026-08-13","Requirement-specific exact-object review for REQ-M2W3-HUAWEI-ASC950-DIE-MXFP8-PHYSICAL-ACCUM (FIELD-NUM-PHYSICAL-ACCUM): H-2, H-6 plus DT route, H-7, H-12.","conference_talk;product_page;press_release","no_reliable_result","m2_w3_huawei_asc950_physical","draft","MXFP8 physical accumulator semantics absent."
