"source_id","wave","agent_name","start_date","status","full_card","brief_card","machine_validation","root_acceptance","notes"
"S01","1","read_s01","2026-08-14","completed","逐篇分析/完整卡/S01_hardware_specialization.md","逐篇分析/摘要卡/S01_hardware_specialization.md","pass","accepted","PDF第1至10页全文；Fig.1至6与Table I视觉核对；140字摘要"
"S02","1","read_s02","2026-08-14","completed","逐篇分析/完整卡/S02_coltrain.md","逐篇分析/摘要卡/S02_coltrain.md","pass","accepted","115页扫描；第2至7章精读；22图11表；172字摘要"
"S03","1","read_s03","2026-08-14","completed","逐篇分析/完整卡/S03_dnn_accelerator_survey.md","逐篇分析/摘要卡/S03_dnn_accelerator_survey.md","pass","accepted","11页全文；Fig.1至14与Table 1；130字摘要"
"S04","2","read_s04","2026-08-14","completed","逐篇分析/完整卡/S04_hardware_acceleration.md","逐篇分析/摘要卡/S04_hardware_acceleration.md","pass","accepted","14图24表及3幅固定图；138汉字摘要"
"S05","2","read_s05","2026-08-14","completed","逐篇分析/完整卡/S05_dnn_training_tutorial.md","逐篇分析/摘要卡/S05_dnn_training_tutorial.md","pass","accepted","251页全篇；13张联系表；116汉字摘要"
"S06","2","read_s06","2026-08-14","completed","逐篇分析/完整卡/S06_numerical_encoding.md","逐篇分析/摘要卡/S06_numerical_encoding.md","pass","accepted","Figure 1至2、Table 1至2；142汉字摘要"
"S07","3","read_s07","2026-08-14","completed","逐篇分析/完整卡/S07_ml_accelerator_survey.md","逐篇分析/摘要卡/S07_ml_accelerator_survey.md","pass","accepted","9页；图1至3、表I；109汉字摘要"
"S08","3","read_s08","2026-08-14","completed","逐篇分析/完整卡/S08_irds_benchmarking.md","逐篇分析/摘要卡/S08_irds_benchmarking.md","pass","accepted","51页扫描；31图9表；198汉字摘要"
"S09","3","read_s09","2026-08-14","completed","逐篇分析/完整卡/S09_deployment_survey.md","逐篇分析/摘要卡/S09_deployment_survey.md","pass","accepted","官方可见正文；表1至8；124汉字摘要"
"S10","4","read_s10","2026-08-14","completed","逐篇分析/完整卡/S10_deep_learning_architects.md","逐篇分析/摘要卡/S10_deep_learning_architects.md","pass","accepted","125页扫描；§3.3.4和第4至5章；机器验收通过"
"S11","4","read_s11","2026-08-14","completed","逐篇分析/完整卡/S11_llm_inference_hardware.md","逐篇分析/摘要卡/S11_llm_inference_hardware.md","pass","accepted","arXiv v3 19页；第一作者Xiaoyu Ma；机器验收通过"
"S12","4","read_s12","2026-08-14","completed","逐篇分析/完整卡/S12_accelerator_benchmarking.md","逐篇分析/摘要卡/S12_accelerator_benchmarking.md","pass","accepted","动态官方文档；9表1图；120汉字摘要"
"S13","5","read_s13","2026-08-14","completed","逐篇分析/完整卡/S13_gemma_deepdive.md","逐篇分析/摘要卡/S13_gemma_deepdive.md","pass","accepted","网页全文；F01至F05视觉核对；192汉字摘要"
"S14","5","read_s14","2026-08-14","completed","逐篇分析/完整卡/S14_tpu8t_tpu8i.md","逐篇分析/摘要卡/S14_tpu8t_tpu8i.md","pass","accepted","网页全文；F01至F06与规格表视觉核对"
"S15","5","read_s15","2026-08-14","completed","逐篇分析/完整卡/S15_aws_inference_challenges.md","逐篇分析/摘要卡/S15_aws_inference_challenges.md","pass","accepted","目标章节PDF第12至13页；上下文第23至27页"
"S16","6","read_s16","2026-08-14","completed","逐篇分析/完整卡/S16_copa_gpu.md","逐篇分析/摘要卡/S16_copa_gpu.md","pass","accepted","arXiv v1 13页；TACO 403边界；机器验收通过"
"S17","6","read_s17","2026-08-14","completed","逐篇分析/完整卡/S17_spring.md","逐篇分析/摘要卡/S17_spring.md","pass","accepted","14页；图1至16、表1、算法1；124汉字摘要"
"S18","6","read_s18","2026-08-14","completed","逐篇分析/完整卡/S18_tpuv1.md","逐篇分析/摘要卡/S18_tpuv1.md","pass","accepted","17页全文；历史推理专用案例；机器验收通过"
"S19","7","read_s19","2026-08-14","completed","逐篇分析/完整卡/S19_efficient_dnn_processing.md","逐篇分析/摘要卡/S19_efficient_dnn_processing.md","pass","accepted","28页全文；图1至45、表I至V；123汉字摘要"
