"precision_path_id","component_id","canonical_label","operation_class","review_status","notes"
"PP-M2GA-GV3-BF16","CMP-M2GA-GV3-MXU","BF16 matrix input with FP32 accumulation","matrix","draft",""
"PP-M2GA-GV4-BF16","CMP-M2GA-GV4-MXU","BF16 matrix input with FP32 accumulation","matrix","draft",""
"PP-M2GA-GV4-INT8","CMP-M2GA-GV4-MXU","INT8 matrix path","matrix","draft",""
"PP-M2GA-GV5E-BF16","CMP-M2GA-GV5E-MXU","BF16 matrix input with FP32 accumulation","matrix","draft",""
"PP-M2GA-GV5E-INT8","CMP-M2GA-GV5E-MXU","INT8 matrix path","matrix","draft",""
"PP-M2GA-GV5P-BF16","CMP-M2GA-GV5P-MXU","BF16 matrix input with FP32 accumulation","matrix","draft",""
"PP-M2GA-GV5P-FP8","CMP-M2GA-GV5P-MXU","FP8/BF8 matrix path","matrix","draft",""
"PP-M2GA-GV6E-BF16","CMP-M2GA-GV6E-MXU","BF16 matrix input with FP32 accumulation","matrix","draft",""
"PP-M2GA-GV6E-INT8","CMP-M2GA-GV6E-MXU","INT8 matrix path","matrix","draft",""
"PP-M2GA-G7X-BF16","CMP-M2GA-G7X-MXU","BF16 matrix path","matrix","draft",""
"PP-M2GA-G7X-FP8","CMP-M2GA-G7X-MXU","FP8 matrix path","matrix","draft",""
"PP-M2GA-G8T-FP4","CMP-M2GA-G8T-MXU","Native FP4 matrix path; accumulation undisclosed","matrix","draft",""
"PP-M2GA-G8I-FP4","CMP-M2GA-G8I-TC","Published FP4 TensorCore path; internal organization undisclosed","matrix","draft",""
"PP-M2GA-AIF1-FP16BF16","CMP-M2GA-AIF1-TENSOR","FP16/BF16 Tensor Engine path with FP32 result","matrix","draft",""
"PP-M2GA-AIF1-INT8","CMP-M2GA-AIF1-TENSOR","INT8 Tensor Engine path with INT32 result","matrix","draft",""
"PP-M2GA-ATRN1-BF16FP16","CMP-M2GA-ATRN1-TENSOR","BF16/FP16 Tensor Engine path with FP32 accumulation","matrix","draft",""
"PP-M2GA-ATRN1-CFP8TF32","CMP-M2GA-ATRN1-TENSOR","cFP8/TF32 Tensor Engine path with FP32 accumulation","matrix","draft",""
"PP-M2GA-AIF2-BF16FP16","CMP-M2GA-AIF2-TENSOR","BF16/FP16 Tensor Engine path with FP32 accumulation","matrix","draft",""
"PP-M2GA-AIF2-CFP8TF32","CMP-M2GA-AIF2-TENSOR","cFP8/TF32 Tensor Engine path with FP32 accumulation","matrix","draft",""
"PP-M2GA-ATRN3-MX","CMP-M2GA-ATRN3-TENSOR","MXFP8/MXFP4 Tensor Engine path with FP32 internal accumulation","matrix","draft",""
"PP-M2GA-ATRN3-BF16","CMP-M2GA-ATRN3-TENSOR","BF16/FP16/TF32 Tensor Engine path with FP32 accumulation","matrix","draft",""
"PP-M2GA-ATRN3-VECTOR","CMP-M2GA-ATRN3-VECTOR","NCv4 vector path","vector","draft",""
"PP-M2GA-ATRN3-SCALAR","CMP-M2GA-ATRN3-SCALAR","NCv4 scalar path","scalar","draft",""
