"object_id","object_type","scope_class","counts_toward_chip_coverage","allow_new_research","effective_date","decision_id","reason"
"OBJ-AMD-CDNA2-ARCH","architecture_generation","architecture_evidence","false","on_demand_only","2026-08-13","DEC-031","仅用于解释芯片内部机制和复用证据，不单独计入芯片完成度。"
"OBJ-AMD-CDNA3-ARCH","architecture_generation","architecture_evidence","false","on_demand_only","2026-08-13","DEC-031","仅用于解释芯片内部机制和复用证据，不单独计入芯片完成度。"
"OBJ-AMD-CDNA4-ARCH","architecture_generation","architecture_evidence","false","on_demand_only","2026-08-13","DEC-031","仅用于解释芯片内部机制和复用证据，不单独计入芯片完成度。"
"OBJ-AMD-CDNA5-ARCH","architecture_generation","architecture_evidence","false","on_demand_only","2026-08-13","DEC-031","仅用于解释芯片内部机制和复用证据，不单独计入芯片完成度。"
"OBJ-AMD-CDNA6-ARCH","architecture_generation","architecture_evidence","false","on_demand_only","2026-08-13","DEC-031","仅用于解释芯片内部机制和复用证据，不单独计入芯片完成度。"
"OBJ-AMD-HELIOS-72-MI455X","rack","out_of_scope_nonchip","false","false","2026-08-13","DEC-031","object_type=rack，不属于芯片本体；仅保留历史审计。"
"OBJ-AMD-MI308X","module","out_of_scope_nonchip","false","false","2026-08-13","DEC-031","object_type=module，不属于芯片本体；仅保留历史审计。"
"OBJ-AMD-MI350P","card","out_of_scope_nonchip","false","false","2026-08-13","DEC-031","object_type=card，不属于芯片本体；仅保留历史审计。"
"OBJ-AMD-MI455X","module","out_of_scope_nonchip","false","false","2026-08-13","DEC-031","object_type=module，不属于芯片本体；仅保留历史审计。"
"OBJ-AWS-INF1-INSTANCE-FAMILY","cloud_instance","out_of_scope_nonchip","false","false","2026-08-13","DEC-031","object_type=cloud_instance，不属于芯片本体；仅保留历史审计。"
"OBJ-AWS-INF2-24XLARGE","cloud_instance","out_of_scope_nonchip","false","false","2026-08-13","DEC-031","object_type=cloud_instance，不属于芯片本体；仅保留历史审计。"
"OBJ-AWS-INF2-48XLARGE","cloud_instance","out_of_scope_nonchip","false","false","2026-08-13","DEC-031","object_type=cloud_instance，不属于芯片本体；仅保留历史审计。"
"OBJ-AWS-INF2-8XLARGE","cloud_instance","out_of_scope_nonchip","false","false","2026-08-13","DEC-031","object_type=cloud_instance，不属于芯片本体；仅保留历史审计。"
"OBJ-AWS-INF2-XLARGE","cloud_instance","out_of_scope_nonchip","false","false","2026-08-13","DEC-031","object_type=cloud_instance，不属于芯片本体；仅保留历史审计。"
"OBJ-AWS-INFERENTIA1-ARCH","architecture_generation","architecture_evidence","false","on_demand_only","2026-08-13","DEC-031","仅用于解释芯片内部机制和复用证据，不单独计入芯片完成度。"
"OBJ-AWS-INFERENTIA1-CHIP","package","chip_primary","true","true","2026-08-13","DEC-031","裸片或芯片封装，属于训练/推理芯片本体。"
"OBJ-AWS-INFERENTIA2-ARCH","architecture_generation","architecture_evidence","false","on_demand_only","2026-08-13","DEC-031","仅用于解释芯片内部机制和复用证据，不单独计入芯片完成度。"
"OBJ-AWS-INFERENTIA2-CHIP","package","chip_primary","true","true","2026-08-13","DEC-031","裸片或芯片封装，属于训练/推理芯片本体。"
"OBJ-AWS-TRAINIUM1-ARCH","architecture_generation","architecture_evidence","false","on_demand_only","2026-08-13","DEC-031","仅用于解释芯片内部机制和复用证据，不单独计入芯片完成度。"
"OBJ-AWS-TRAINIUM1-CHIP","package","chip_primary","true","true","2026-08-13","DEC-031","裸片或芯片封装，属于训练/推理芯片本体。"
"OBJ-AWS-TRAINIUM2-ARCH","architecture_generation","architecture_evidence","false","on_demand_only","2026-08-13","DEC-031","仅用于解释芯片内部机制和复用证据，不单独计入芯片完成度。"
"OBJ-AWS-TRAINIUM2-CHIP","package","chip_primary","true","true","2026-08-13","DEC-031","裸片或芯片封装，属于训练/推理芯片本体。"
"OBJ-AWS-TRAINIUM3-ARCH","architecture_generation","architecture_evidence","false","on_demand_only","2026-08-13","DEC-031","仅用于解释芯片内部机制和复用证据，不单独计入芯片完成度。"
"OBJ-AWS-TRAINIUM3-CHIP","package","chip_primary","true","true","2026-08-13","DEC-031","裸片或芯片封装，属于训练/推理芯片本体。"
"OBJ-AWS-TRAINIUM4-ARCH","architecture_generation","architecture_evidence","false","on_demand_only","2026-08-13","DEC-031","仅用于解释芯片内部机制和复用证据，不单独计入芯片完成度。"
"OBJ-AWS-TRN1-2XLARGE","cloud_instance","out_of_scope_nonchip","false","false","2026-08-13","DEC-031","object_type=cloud_instance，不属于芯片本体；仅保留历史审计。"
"OBJ-AWS-TRN1-32XLARGE","cloud_instance","out_of_scope_nonchip","false","false","2026-08-13","DEC-031","object_type=cloud_instance，不属于芯片本体；仅保留历史审计。"
"OBJ-AWS-TRN1N-32XLARGE","cloud_instance","out_of_scope_nonchip","false","false","2026-08-13","DEC-031","object_type=cloud_instance，不属于芯片本体；仅保留历史审计。"
"OBJ-AWS-TRN2-3XLARGE","cloud_instance","out_of_scope_nonchip","false","false","2026-08-13","DEC-031","object_type=cloud_instance，不属于芯片本体；仅保留历史审计。"
"OBJ-AWS-TRN2-48XLARGE","cloud_instance","out_of_scope_nonchip","false","false","2026-08-13","DEC-031","object_type=cloud_instance，不属于芯片本体；仅保留历史审计。"
"OBJ-AWS-TRN2-INSTANCE-FAMILY","cloud_instance","out_of_scope_nonchip","false","false","2026-08-13","DEC-031","object_type=cloud_instance，不属于芯片本体；仅保留历史审计。"
"OBJ-AWS-TRN2U-48XLARGE","cloud_instance","out_of_scope_nonchip","false","false","2026-08-13","DEC-031","object_type=cloud_instance，不属于芯片本体；仅保留历史审计。"
"OBJ-AWS-TRN2-ULTRASERVER-64","server","out_of_scope_nonchip","false","false","2026-08-13","DEC-031","object_type=server，不属于芯片本体；仅保留历史审计。"
"OBJ-CAMBRICON-MLU590-ARCH","architecture_generation","architecture_evidence","false","on_demand_only","2026-08-13","DEC-031","仅用于解释芯片内部机制和复用证据，不单独计入芯片完成度。"
"OBJ-CAMBRICON-MLU590-CHIP","package","chip_primary","true","true","2026-08-13","DEC-031","裸片或芯片封装，属于训练/推理芯片本体。"
"OBJ-CAMBRICON-MLU590-H8","card","out_of_scope_nonchip","false","false","2026-08-13","DEC-031","object_type=card，不属于芯片本体；仅保留历史审计。"
"OBJ-CAMBRICON-MLU590-M9","card","out_of_scope_nonchip","false","false","2026-08-13","DEC-031","object_type=card，不属于芯片本体；仅保留历史审计。"
"OBJ-GOOGLE-CT6E-STANDARD-FAMILY","cloud_instance","out_of_scope_nonchip","false","false","2026-08-13","DEC-031","object_type=cloud_instance，不属于芯片本体；仅保留历史审计。"
"OBJ-GOOGLE-TPU7X-ARCH","architecture_generation","architecture_evidence","false","on_demand_only","2026-08-13","DEC-031","仅用于解释芯片内部机制和复用证据，不单独计入芯片完成度。"
"OBJ-GOOGLE-TPU-8I-ARCH","architecture_generation","architecture_evidence","false","on_demand_only","2026-08-13","DEC-031","仅用于解释芯片内部机制和复用证据，不单独计入芯片完成度。"
"OBJ-GOOGLE-TPU-8I-POD","pod","out_of_scope_nonchip","false","false","2026-08-13","DEC-031","object_type=pod，不属于芯片本体；仅保留历史审计。"
