"endpoint_id","source_id","endpoint_type","url","local_path","sha256","page_count","mime_type","access_date","http_status","snapshot_date","is_preferred_endpoint","accessibility_status","review_status","notes"
"END-M2-GA-A01-PRIMARY","SRC-M2-GA-A01","html_page","https://awsdocs-neuron.readthedocs-hosted.com/en/latest/general/arch/neuron-hardware/inferentia.html","","","","text/html","2026-08-12","200","","true","accessible","draft","动态网页需按截止日保存快照候选"
"END-M2-GA-A02-PRIMARY","SRC-M2-GA-A02","html_page","https://awsdocs-neuron.readthedocs-hosted.com/en/v2.9.1/general/arch/neuron-hardware/neuron-core-v1.html","","","","text/html","2026-08-12","200","","true","accessible","draft","动态网页需按截止日保存快照候选"
"END-M2-GA-A03-PRIMARY","SRC-M2-GA-A03","html_page","https://awsdocs-neuron.readthedocs-hosted.com/en/v2.26.1/general/arch/neuron-hardware/trainium.html","","","","text/html","2026-08-12","200","","true","accessible","draft","动态网页需按截止日保存快照候选"
"END-M2-GA-A04-PRIMARY","SRC-M2-GA-A04","html_page","https://awsdocs-neuron.readthedocs-hosted.com/en/v2.29.1/about-neuron/arch/neuron-hardware/inferentia2.html","","","","text/html","2026-08-12","200","","true","accessible","draft","动态网页需按截止日保存快照候选"
"END-M2-GA-A05-PRIMARY","SRC-M2-GA-A05","html_page","https://awsdocs-neuron.readthedocs-hosted.com/en/v2.29.1/nki/guides/architecture/trainium_inferentia2_arch.html","","","","text/html","2026-08-12","200","","true","accessible","draft","动态网页需按截止日保存快照候选"
"END-M2-GA-A06-PRIMARY","SRC-M2-GA-A06","html_page","https://awsdocs-neuron.readthedocs-hosted.com/en/v2.28.1/about-neuron/arch/neuron-hardware/trainium3.html","","","","text/html","2026-08-12","200","","true","accessible","draft","动态网页需按截止日保存快照候选"
"END-M2-GA-A07-PRIMARY","SRC-M2-GA-A07","html_page","https://awsdocs-neuron.readthedocs-hosted.com/en/latest/nki/guides/architecture/trainium3_arch.html","","","","text/html","2026-08-12","200","","true","accessible","draft","动态网页需按截止日保存快照候选"
"END-M2-GA-A08-PRIMARY","SRC-M2-GA-A08","html_page","https://aws.amazon.com/about-aws/whats-new/2025/12/amazon-ec2-trn3-ultraservers/","","","","text/html","2026-08-12","200","","true","accessible","draft","动态网页需按截止日保存快照候选"
"END-M2-GA-A09-PRIMARY","SRC-M2-GA-A09","html_page","https://ir.aboutamazon.com/news-release/news-release-details/2026/Amazon-com-Announces-Fourth-Quarter-Results/default.aspx","","","","text/html","2026-08-12","200","","true","accessible","draft","动态网页需按截止日保存快照候选"
"END-M2-GA-A10-PRIMARY","SRC-M2-GA-A10","html_page","https://awsdocs-neuron.readthedocs-hosted.com/en/v2.30.0/about-neuron/arch/neuron-hardware/neuron-core-v4.html","","","","text/html","2026-08-12","200","","true","accessible","draft","动态网页需按截止日保存快照候选"
"END-M2-GA-G01-PRIMARY","SRC-M2-GA-G01","local_pdf","","论文/Google_TPU/01_厂商直接架构论文/2026_TPUv2_to_Ironwood_Five_Generations.pdf","d1e5d21b9959afefe574a6de839f52c094b3b7d3d481c89cd48b2e2737214465","13","application/pdf","2026-08-12","","","true","accessible","draft","现有固定 PDF 候选"
"END-M2-GA-G02-PRIMARY","SRC-M2-GA-G02","local_pdf","","论文/Google_TPU/01_厂商直接架构论文/2020_TPUv2_TPUv3_Domain_Specific_Supercomputer.pdf","3d64c6b36ec5897eef3ef3d5234e9c086d99ecf8007307aafde416ae1d40e887","12","application/pdf","2026-08-12","","","true","accessible","draft","现有固定 PDF 候选"
"END-M2-GA-G03-PRIMARY","SRC-M2-GA-G03","local_pdf","","论文/Google_TPU/01_厂商直接架构论文/2023_TPUv4_Optically_Reconfigurable_Supercomputer.pdf","94f08ac4cd041e46e5037876793761df8043296ac374aa5372af7afb0bdf3ce2","14","application/pdf","2026-08-12","","","true","accessible","draft","现有固定 PDF 候选"
