"fact_id","object_id","component_id","link_id","object_relation_id","precision_path_id","capability_id","topology_id","field_id","normalized_value_text","normalized_value_number","normalized_unit","condition_set_id","fact_kind","evidence_state","resolution_state","valid_from","valid_to","confidence","confidence_reason","fact_fingerprint","review_status","notes"
"FACT-M2GA-GV3-NAME","OBJ-GOOGLE-TPU-V3-ARCH","","","","","","","FIELD-ID-NAME","Google TPU v3 architecture","","","COND-NONE","direct_statement","single_source","provisional","","","high","一手固定、版本化或带截止日的官方来源；待总控复核","FFP-FACT-M2GA-GV3-NAME","draft",""
"FACT-M2GA-GV4-NAME","OBJ-GOOGLE-TPU-V4-ARCH","","","","","","","FIELD-ID-NAME","Google TPU v4 architecture","","","COND-NONE","direct_statement","single_source","provisional","","","high","一手固定、版本化或带截止日的官方来源；待总控复核","FFP-FACT-M2GA-GV4-NAME","draft",""
"FACT-M2GA-GV5E-NAME","OBJ-GOOGLE-TPU-V5E-ARCH","","","","","","","FIELD-ID-NAME","Google TPU v5e architecture","","","COND-NONE","direct_statement","single_source","provisional","","","high","一手固定、版本化或带截止日的官方来源；待总控复核","FFP-FACT-M2GA-GV5E-NAME","draft",""
"FACT-M2GA-GV5P-NAME","OBJ-GOOGLE-TPU-V5P-ARCH","","","","","","","FIELD-ID-NAME","Google TPU v5p architecture","","","COND-NONE","direct_statement","single_source","provisional","","","high","一手固定、版本化或带截止日的官方来源；待总控复核","FFP-FACT-M2GA-GV5P-NAME","draft",""
"FACT-M2GA-GV6E-NAME","OBJ-GOOGLE-TPU-V6E-ARCH","","","","","","","FIELD-ID-NAME","Google TPU v6e (Trillium) architecture","","","COND-NONE","direct_statement","single_source","provisional","","","high","一手固定、版本化或带截止日的官方来源；待总控复核","FFP-FACT-M2GA-GV6E-NAME","draft",""
"FACT-M2GA-G7X-NAME","OBJ-GOOGLE-TPU7X-ARCH","","","","","","","FIELD-ID-NAME","Google TPU7x (Ironwood) architecture","","","COND-NONE","direct_statement","single_source","provisional","","","high","一手固定、版本化或带截止日的官方来源；待总控复核","FFP-FACT-M2GA-G7X-NAME","draft",""
"FACT-M2GA-G8T-NAME","OBJ-GOOGLE-TPU-8T-ARCH","","","","","","","FIELD-ID-NAME","Google TPU 8t architecture","","","COND-NONE","direct_statement","single_source","provisional","","","high","一手固定、版本化或带截止日的官方来源；待总控复核","FFP-FACT-M2GA-G8T-NAME","draft",""
"FACT-M2GA-G8I-NAME","OBJ-GOOGLE-TPU-8I-ARCH","","","","","","","FIELD-ID-NAME","Google TPU 8i architecture","","","COND-NONE","direct_statement","single_source","provisional","","","high","一手固定、版本化或带截止日的官方来源；待总控复核","FFP-FACT-M2GA-G8I-NAME","draft",""
"FACT-M2GA-AIF1-NAME","OBJ-AWS-INFERENTIA1-ARCH","","","","","","","FIELD-ID-NAME","AWS Inferentia architecture","","","COND-NONE","direct_statement","single_source","provisional","","","high","一手固定、版本化或带截止日的官方来源；待总控复核","FFP-FACT-M2GA-AIF1-NAME","draft",""
"FACT-M2GA-ATRN1-NAME","OBJ-AWS-TRAINIUM1-ARCH","","","","","","","FIELD-ID-NAME","AWS Trainium architecture","","","COND-NONE","direct_statement","single_source","provisional","","","high","一手固定、版本化或带截止日的官方来源；待总控复核","FFP-FACT-M2GA-ATRN1-NAME","draft",""
"FACT-M2GA-AIF2-NAME","OBJ-AWS-INFERENTIA2-ARCH","","","","","","","FIELD-ID-NAME","AWS Inferentia2 architecture","","","COND-NONE","direct_statement","single_source","provisional","","","high","一手固定、版本化或带截止日的官方来源；待总控复核","FFP-FACT-M2GA-AIF2-NAME","draft",""
"FACT-M2GA-ATRN3-NAME","OBJ-AWS-TRAINIUM3-ARCH","","","","","","","FIELD-ID-NAME","AWS Trainium3 architecture","","","COND-NONE","direct_statement","single_source","provisional","","","high","一手固定、版本化或带截止日的官方来源；待总控复核","FFP-FACT-M2GA-ATRN3-NAME","draft",""
"FACT-M2GA-ATRN4-NAME","OBJ-AWS-TRAINIUM4-ARCH","","","","","","","FIELD-ID-NAME","AWS Trainium4 generation","","","COND-NONE","direct_statement","single_source","provisional","","","high","一手固定、版本化或带截止日的官方来源；待总控复核","FFP-FACT-M2GA-ATRN4-NAME","draft","A09 只确认 Trainium4 名称和预计交付时间，不扩写未发布的架构细节"
"FACT-M2GA-GV3-EXEC","","CMP-M2GA-GV3-TC","","","","","","FIELD-COMP-EXECUTION","VLIW-controlled scalar, vector and matrix paths with compiler-scheduled data movement","","","COND-NONE","direct_statement","single_source","provisional","","","high","一手固定、版本化或带截止日的官方来源；待总控复核","FFP-FACT-M2GA-GV3-EXEC","draft",""
"FACT-M2GA-GV3-ARRAY","","CMP-M2GA-GV3-MXU","","","","","","FIELD-COMP-ARRAY-SHAPE","128×128 systolic MXU","","","COND-NONE","direct_statement","single_source","provisional","","","high","一手固定、版本化或带截止日的官方来源；待总控复核","FFP-FACT-M2GA-GV3-ARRAY","draft",""
"FACT-M2GA-GV3-MEM-MGMT","","CMP-M2GA-GV3-VMEM","","","","","","FIELD-MEM-MANAGEMENT","software_scratchpad","","","COND-NONE","direct_statement","single_source","provisional","","","high","一手固定、版本化或带截止日的官方来源；待总控复核","FFP-FACT-M2GA-GV3-MEM-MGMT","draft","枚举规范化；来源描述：software/compiler-managed scratchpad; not a hardware-managed data cache"
