"assertion_id","fact_id","source_id","claim_role","assertion_mode","assertion_relation","raw_value_text","raw_value_number","raw_unit","source_locator","quoted_context","extraction_status","extractor","reviewer","review_date","assertion_fingerprint","review_status","notes"
"AST-FACT-M2GA-GV3-NAME","FACT-M2GA-GV3-NAME","SRC-M2-GA-G02","identity","direct_statement","supports","TPUv3 only.","","","Fixed PDF p.4, Figure 2, second Matrix Multiply Unit label","TPUv3 only.","source_checked","m2_arch_google_aws","","2026-08-12","AFP-FACT-M2GA-GV3-NAME","draft",""
"AST-FACT-M2GA-GV4-NAME","FACT-M2GA-GV4-NAME","SRC-M2-GA-G03","identity","direct_statement","supports","TPUv4: An Optically Reconfigurable Supercomputer for Machine Learning with Hardware Support for Embeddings.","","","Fixed PDF p.1, paper title","TPUv4: An Optically Reconfigurable Supercomputer for Machine Learning with Hardware Support for Embeddings.","source_checked","m2_arch_google_aws","","2026-08-12","AFP-FACT-M2GA-GV4-NAME","draft",""
"AST-FACT-M2GA-GV5E-NAME","FACT-M2GA-GV5E-NAME","SRC-M2-GA-G08","identity","direct_statement","supports","This document describes the architecture and supported configurations of Cloud TPU v5e.","","","Current TPU v5e page, lines 136-140","This document describes the architecture and supported configurations of Cloud TPU v5e.","source_checked","m2_arch_google_aws","","2026-08-12","AFP-FACT-M2GA-GV5E-NAME","draft",""
"AST-FACT-M2GA-GV5P-NAME","FACT-M2GA-GV5P-NAME","SRC-M2-GA-G01","identity","direct_statement","supports","TPU v2 TPU v3 TPU v4 TPU v5p Ironwood. Year 2017 2018 2021 2023 2025.","","","Fixed PDF p.2, Table 1 column headings and Year row","TPU v2 TPU v3 TPU v4 TPU v5p Ironwood. Year 2017 2018 2021 2023 2025.","source_checked","m2_arch_google_aws","","2026-08-12","AFP-FACT-M2GA-GV5P-NAME","draft",""
"AST-FACT-M2GA-GV6E-NAME","FACT-M2GA-GV6E-NAME","SRC-M2-GA-G10","identity","direct_statement","supports","This document describes the architecture and supported configurations of Cloud TPU v6e (Trillium). On all technical surfaces, such as the API and logs, and throughout this document, Trillium will be referred to as v6e.","","","Current TPU v6e page, lines 136-140","This document describes the architecture and supported configurations of Cloud TPU v6e (Trillium). On all technical surfaces, such as the API and logs, and throughout this document, Trillium will be referred to as v6e.","source_checked","m2_arch_google_aws","","2026-08-12","AFP-FACT-M2GA-GV6E-NAME","draft",""
"AST-FACT-M2GA-G7X-NAME","FACT-M2GA-G7X-NAME","SRC-M2-GA-G01","identity","direct_statement","supports","TPU v2 TPU v3 TPU v4 TPU v5p Ironwood. Year 2017 2018 2021 2023 2025.","","","Fixed PDF p.2, Table 1 column headings and Year row","TPU v2 TPU v3 TPU v4 TPU v5p Ironwood. Year 2017 2018 2021 2023 2025.","source_checked","m2_arch_google_aws","","2026-08-12","AFP-FACT-M2GA-G7X-NAME","draft",""
"AST-FACT-M2GA-G8T-NAME","FACT-M2GA-G8T-NAME","SRC-M2-GA-G13","identity","direct_statement","supports","TPU 8t: The pre-training powerhouse.","","","Google Cloud technical deep dive, TPU 8t section heading, lines 87-89","TPU 8t: The pre-training powerhouse.","source_checked","m2_arch_google_aws","","2026-08-12","AFP-FACT-M2GA-G8T-NAME","draft",""
"AST-FACT-M2GA-G8I-NAME","FACT-M2GA-G8I-NAME","SRC-M2-GA-G13","identity","direct_statement","supports","TPU 8i: The sampling and serving specialist.","","","Google Cloud technical deep dive, TPU 8i section heading, lines 112-114","TPU 8i: The sampling and serving specialist.","source_checked","m2_arch_google_aws","","2026-08-12","AFP-FACT-M2GA-G8I-NAME","draft",""
"AST-FACT-M2GA-AIF1-NAME","FACT-M2GA-AIF1-NAME","SRC-M2-GA-A02","identity","direct_statement","supports","NeuronCore-v1 Architecture","","","Neuron 2.9.1 page heading, lines 215-220","NeuronCore-v1 Architecture","source_checked","m2_arch_google_aws","","2026-08-12","AFP-FACT-M2GA-AIF1-NAME","draft","逐来源原词修复；normalized_value_text 保持规范化表述"
"AST-FACT-M2GA-ATRN1-NAME","FACT-M2GA-ATRN1-NAME","SRC-M2-GA-A03","identity","direct_statement","supports","Trainium is the second generation purpose-built Machine Learning accelerator from AWS.","","","Neuron 2.26.1, Trainium Architecture, line 721","Trainium is the second generation purpose-built Machine Learning accelerator from AWS.","source_checked","m2_arch_google_aws","","2026-08-12","AFP-FACT-M2GA-ATRN1-NAME","draft",""
