"source_family_id","canonical_title","family_kind","publisher_or_organization","persistent_work_id","review_status","notes"
"SFAM-CAMBRICON-WAIC-2022-MLU590","2022 WAIC：寒武纪展现全算力产品实力","event_material_set","寒武纪","cambricon-news-51","reviewed","MLU590 2022 年身份和状态一手来源家族。"
"SFAM-CAMBRICON-CNTOOLKIT-COMPONENTS","CNToolkit 组件介绍","document_revision_series","寒武纪","cntoolkit-components","reviewed","版本化工具链组件和对象层级说明。"
"SFAM-CAMBRICON-CNNL-RELEASE-NOTES","CNNL 累积版本说明","document_revision_series","寒武纪","cnnl-release-notes","reviewed","版本化算子库硬件支持与兼容说明。"
"SFAM-NVIDIA-H100-ARCH-WHITEPAPER","NVIDIA H100 Tensor Core GPU Architecture","document_revision_series","NVIDIA","nvidia-h100-tensor-core-hopper-whitepaper","reviewed","H100 架构白皮书版本系列。"
"SFAM-NVIDIA-H100-DATASHEET","NVIDIA H100 Tensor Core GPU Datasheet","document_revision_series","NVIDIA","NVIDIA-2287922","draft","Current product datasheet revision series."
"SFAM-NVIDIA-HOPPER-TUNING-GUIDE","CUDA Hopper Tuning Guide","document_revision_series","NVIDIA","CUDA-HOPPER-TUNING-GUIDE","draft","Current developer documentation revision series."
"SFAM-NVIDIA-H100-HOTCHIPS34","NVIDIA Hopper H100 GPU Hot Chips 34 material","event_material_set","NVIDIA","HOTCHIPS34-NVIDIA-H100","draft","Launch-stage architecture and preliminary specification evidence."
"SFAM-NVIDIA-H100-IEEE-MICRO","NVIDIA Hopper H100 GPU: Scaling Performance","publication_versions","IEEE","10.1109/MM.2023.3256796","draft","Journal treatment overlapping the whitepaper and Hot Chips material."
"SFAM-NVIDIA-HOPPER-MICROBENCH","Dissecting NVIDIA Hopper through microbenchmarking","publication_versions","Independent researchers","ARXIV-2402.13499-2501.12084","draft","2024 paper and 2025 extended version; measured hardware is H800, not H100 SXM5."
"SFAM-AWS-TRN2-S01","AWS Neuron Trainium2 Architecture","document_revision_series","AWS","","draft","Trainium2 试填来源家族候选"
"SFAM-AWS-TRN2-S02","AWS Neuron Trainium2 Architecture Guide for NKI","document_revision_series","AWS","","draft","Trainium2 试填来源家族候选"
"SFAM-AWS-TRN2-S03","AWS Neuron NeuronCore-v3 Architecture","document_revision_series","AWS","","draft","Trainium2 试填来源家族候选"
"SFAM-AWS-TRN2-S04","AWS Neuron nki.isa.nc_matmul","document_revision_series","AWS","","draft","Trainium2 试填来源家族候选"
"SFAM-AWS-TRN2-S05","AWS Neuron Logical NeuronCore configuration","document_revision_series","AWS","","draft","Trainium2 试填来源家族候选"
"SFAM-AWS-TRN2-S06","AWS Neuron Amazon EC2 Trn2 Architecture","document_revision_series","AWS","","draft","Trainium2 试填来源家族候选"
"SFAM-AWS-TRN2-S07","AWS EC2 Trn2 product page","dynamic_page_history","AWS","","draft","Trainium2 试填来源家族候选"
"SFAM-AWS-TRN2-S08","AWS Neuron NKI Collectives index","document_revision_series","AWS","","draft","Trainium2 试填来源家族候选"
"SFAM-AWS-TRN2-S09","AWS Trn2 general availability announcement","publication_versions","AWS","","draft","Trainium2 试填来源家族候选"
"SFAM-AWS-TRN2-S10","AWS News Blog Trn2 launch","publication_versions","AWS","","draft","Trainium2 试填来源家族候选"
"SFAM-AWS-TRN2-S11","Amazon Press Center Trainium2 announcement","publication_versions","Amazon","","draft","Trainium2 试填来源家族候选"
"SFAM-AWS-TRN2-S12","AWS Neuron 2.31.0 announcement","publication_versions","AWS","","draft","Trainium2 试填来源家族候选"
"SFAM-AWS-TRN2-S13","AWS Neuron RMSNorm Router Top-K TKG","dynamic_page_history","AWS","","draft","Trainium2 试填来源家族候选"
"SFAM-AWS-TRN2-S14","AWS Neuron 2.21 announcement","publication_versions","AWS","","draft","Trainium2 试填来源家族候选"
"SFAM-AWS-TRN2-S15","AWS EC2 generic accelerated instance specification table","dynamic_page_history","AWS","","draft","Trainium2 试填来源家族候选"
"SFAM-CAMBRICON-MLU-OPS-REPOSITORY","Cambricon MLU-OPS repository","document_revision_series","Cambricon","github:Cambricon/mlu-ops","reviewed","Official source-code repository; each cited source version must be fixed to a commit."
