"condition_set_id","condition_fingerprint","precision_path_id","sparsity_mode","sparsity_pattern","operation_type","operation_count_rule","performance_basis","support_level","power_mode","frequency_value","frequency_unit","software_version","workload_stage","bandwidth_direction","aggregation_scope","traffic_basis","measurement_scope","effective_date","review_status","notes"
"COND-M2W3-AMD-MI350P-XCD-COUNT","M2W3|MI350P|die-count|XCD","","not_applicable","","fixed_function","not_specified","vendor_label_unresolved","hardware_capability","","","","","not_specified","","","","per_object","2026-08-13","draft","Count is specifically for accelerated compute dies in one MI350P PCIe card; the brochure per-CU details are not copied."
"COND-M2W3-AMD-MI350P-IOD-COUNT","M2W3|MI350P|die-count|IOD","","not_applicable","","fixed_function","not_specified","vendor_label_unresolved","hardware_capability","","","","","not_specified","","","","per_object","2026-08-13","draft","Count is specifically for I/O dies in one MI350P PCIe card."
"COND-M2W3-AMD-MI350P-POWER-MAX","M2W3|MI350P|power|max-tbp","","not_applicable","","fixed_function","not_specified","vendor_label_unresolved","hardware_capability","max_tbp","","","","not_specified","","","","per_object","2026-08-13","draft","Maximum typical board power, not a sustained workload measurement."
"COND-M2W3-AMD-MI350P-POWER-CONFIG","M2W3|MI350P|power|configurable-tbp","","not_applicable","","fixed_function","not_specified","vendor_label_unresolved","hardware_capability","configurable_tbp","","","","not_specified","","","","per_object","2026-08-13","draft","Vendor-configurable 450 W TBP point; no software or workload condition is published."
"COND-M2W3-AMD-MI350P-PEAK-MATRIX-UNSPEC","M2W3|MI350P|matrix|peak|sparsity-not-specified","","not_specified","Product page does not label MXFP4, MXFP6, MXFP8, FP32 or FP64 rows dense or sparse.","matrix_mma","vendor_label","theoretical_peak","hardware_peak_published","","","","","not_specified","","per_endpoint","vendor_nameplate","per_object","2026-08-13","draft","Single-card vendor peak. Power mode, path-specific frequency and FMA counting are not stated."
"COND-M2W3-AMD-MI350P-PEAK-MATRIX-BASE","M2W3|MI350P|matrix|peak|base-row|sparsity-not-specified","","not_specified","Base product-page row, distinct from a separately labeled with-structured-sparsity row.","matrix_mma","vendor_label","theoretical_peak","hardware_peak_published","","","","","not_specified","","per_endpoint","vendor_nameplate","per_object","2026-08-13","draft","The source does not print dense; power mode and operation-count rule remain unspecified."
"COND-M2W3-AMD-MI350P-PEAK-MATRIX-STRUCTURED","M2W3|MI350P|matrix|peak|structured-sparsity-pattern-unstated","","structured_sparse","Vendor calls it structured sparsity but does not state the pattern on the product page or brochure.","matrix_mma","vendor_label","theoretical_peak","hardware_peak_published","","","","","not_specified","","per_endpoint","vendor_nameplate","per_object","2026-08-13","draft","Do not assume 2:4 from CDNA 4 or a neighboring SKU."
"COND-M2W3-AMD-MI350P-PEAK-VECTOR","M2W3|MI350P|vector|peak","","not_applicable","","vector_alu","vendor_label","theoretical_peak","hardware_peak_published","","","","","not_specified","","per_endpoint","vendor_nameplate","per_object","2026-08-13","draft","Single-card vector peaks from the fixed brochure table labeled Estimated; no lane count or product-specific accumulation is inferred."
"COND-M2W3-AMD-MI350P-HBM3E-PEAK-BW","M2W3|MI350P|HBM3E|peak-memory-bandwidth|direction-unstated","","not_applicable","","data_move","not_specified","theoretical_peak","hardware_peak_published","","","","","not_specified","direction_not_specified","per_endpoint","vendor_nameplate","per_object","2026-08-13","draft","4 TB/s is the per-card peak memory bandwidth; read/write direction is not stated."
"COND-M2W3-AMD-MI350P-PCIE-BW","M2W3|MI350P|PCIe5x16|128GBps|direction-unstated","","not_applicable","","data_move","not_specified","vendor_label_unresolved","hardware_capability","","","","","not_specified","direction_not_specified","per_endpoint","vendor_nameplate","per_object","2026-08-13","draft","Brochure gives 128 GB/s without direction, payload basis or theoretical-versus-sustained qualifier; no halving or doubling is applied."
