"requirement_id","object_id","component_id","link_id","object_relation_id","precision_path_id","capability_id","topology_id","field_id","requirement_status","applicability_reason","search_status","last_searched_date","requirement_fingerprint","review_status","notes"
"REQ-M2W3-HUAWEI-ASC950-DIE-VENDOR","OBJ-HUAWEI-ASCEND-950-DIE","","","","","","","FIELD-ID-VENDOR","value_available","Direct first-party value accepted with its condition and layer boundary.","completed","2026-08-13","object|OBJ-HUAWEI-ASCEND-950-DIE|FIELD-ID-VENDOR","draft","Publisher identity."
"REQ-M2W3-HUAWEI-ASC950-DIE-FAMILY","OBJ-HUAWEI-ASCEND-950-DIE","","","","","","","FIELD-ID-FAMILY","value_available","Direct first-party value accepted with its condition and layer boundary.","completed","2026-08-13","object|OBJ-HUAWEI-ASCEND-950-DIE|FIELD-ID-FAMILY","draft",""
"REQ-M2W3-HUAWEI-ASC950-DIE-NAME","OBJ-HUAWEI-ASCEND-950-DIE","","","","","","","FIELD-ID-NAME","value_available","Direct first-party value accepted with its condition and layer boundary.","completed","2026-08-13","object|OBJ-HUAWEI-ASCEND-950-DIE|FIELD-ID-NAME","draft",""
"REQ-M2W3-HUAWEI-ASC950-DIE-OBJECT-TYPE","OBJ-HUAWEI-ASCEND-950-DIE","","","","","","","FIELD-ID-OBJECT-TYPE","value_available","Direct first-party value accepted with its condition and layer boundary.","completed","2026-08-13","object|OBJ-HUAWEI-ASCEND-950-DIE|FIELD-ID-OBJECT-TYPE","draft",""
"REQ-M2W3-HUAWEI-ASC950-DIE-RELEASE-DATE","OBJ-HUAWEI-ASCEND-950-DIE","","","","","","","FIELD-ID-RELEASE-DATE","value_available","Direct first-party value accepted with its condition and layer boundary.","completed","2026-08-13","object|OBJ-HUAWEI-ASCEND-950-DIE|FIELD-ID-RELEASE-DATE","draft","Announcement, not availability."
"REQ-M2W3-HUAWEI-ASC950-DIE-FP8-THROUGHPUT","","","","","PPATH-M2W3-HUAWEI-ASC950-DIE-FP8","","","FIELD-COMP-THROUGHPUT","value_available","Direct first-party value accepted with its condition and layer boundary.","completed","2026-08-13","precision_path|PPATH-M2W3-HUAWEI-ASC950-DIE-FP8|FIELD-COMP-THROUGHPUT","draft","Vendor label unresolved; no matrix/vector or dense/sparse inference."
"REQ-M2W3-HUAWEI-ASC950-DIE-MXFP8-THROUGHPUT","","","","","PPATH-M2W3-HUAWEI-ASC950-DIE-MXFP8","","","FIELD-COMP-THROUGHPUT","value_available","Direct first-party value accepted with its condition and layer boundary.","completed","2026-08-13","precision_path|PPATH-M2W3-HUAWEI-ASC950-DIE-MXFP8|FIELD-COMP-THROUGHPUT","draft","Vendor label unresolved; no matrix/vector or dense/sparse inference."
"REQ-M2W3-HUAWEI-ASC950-DIE-HIF8-THROUGHPUT","","","","","PPATH-M2W3-HUAWEI-ASC950-DIE-HIF8","","","FIELD-COMP-THROUGHPUT","value_available","Direct first-party value accepted with its condition and layer boundary.","completed","2026-08-13","precision_path|PPATH-M2W3-HUAWEI-ASC950-DIE-HIF8|FIELD-COMP-THROUGHPUT","draft","Vendor label unresolved; no matrix/vector or dense/sparse inference."
"REQ-M2W3-HUAWEI-ASC950-DIE-MXFP4-THROUGHPUT","","","","","PPATH-M2W3-HUAWEI-ASC950-DIE-MXFP4","","","FIELD-COMP-THROUGHPUT","value_available","Direct first-party value accepted with its condition and layer boundary.","completed","2026-08-13","precision_path|PPATH-M2W3-HUAWEI-ASC950-DIE-MXFP4|FIELD-COMP-THROUGHPUT","draft","Vendor label unresolved; no matrix/vector or dense/sparse inference."
"REQ-M2W3-HUAWEI-ASC950-DIE-VECTOR-EXECUTION","","COMP-M2W3-HUAWEI-ASC950-DIE-VECTOR","","","","","","FIELD-COMP-EXECUTION","value_available","Direct first-party value accepted with its condition and layer boundary.","completed","2026-08-13","component|COMP-M2W3-HUAWEI-ASC950-DIE-VECTOR|FIELD-COMP-EXECUTION","draft","SIMD=single instruction multiple data; SIMT=single instruction multiple threads."
"REQ-M2W3-HUAWEI-ASC950-DIE-MEM-GRANULARITY","","COMP-M2W3-HUAWEI-ASC950-DIE-MEMACCESS","","","","","","FIELD-MEM-GRANULARITY","value_available","Direct first-party value accepted with its condition and layer boundary.","completed","2026-08-13","component|COMP-M2W3-HUAWEI-ASC950-DIE-MEMACCESS|FIELD-MEM-GRANULARITY","draft","From 512 to 128 bytes; no memory level named."
"REQ-M2W3-HUAWEI-ASC950-DIE-INTERCONNECT-BW","","","LINK-M2W3-HUAWEI-ASC950-DIE-INTERCONNECT","","","","","FIELD-INT-AGGREGATE-BW","value_available","Direct first-party value accepted with its condition and layer boundary.","completed","2026-08-13","link|LINK-M2W3-HUAWEI-ASC950-DIE-INTERCONNECT|FIELD-INT-AGGREGATE-BW","draft","Direction, payload, topology, count and per-link rate unknown."
"REQ-M2W3-HUAWEI-ASC950PR-VENDOR","OBJ-HUAWEI-ASCEND-950PR","","","","","","","FIELD-ID-VENDOR","value_available","Direct first-party value accepted with its condition and layer boundary.","completed","2026-08-13","object|OBJ-HUAWEI-ASCEND-950PR|FIELD-ID-VENDOR","draft",""
"REQ-M2W3-HUAWEI-ASC950PR-FAMILY","OBJ-HUAWEI-ASCEND-950PR","","","","","","","FIELD-ID-FAMILY","value_available","Direct first-party value accepted with its condition and layer boundary.","completed","2026-08-13","object|OBJ-HUAWEI-ASCEND-950PR|FIELD-ID-FAMILY","draft",""
