"search_id","requirement_id","searched_date","query_or_path","source_types_checked","result_status","researcher","review_status","notes"
"SEARCH-M2GA-G8T-ACC","REQ-M2GA-G8T-ACC","2026-08-12","一手披露只明确 native FP4，未给累加语义","official architecture pages, versioned developer documentation, dated announcements, fixed papers","no_reliable_result","m2_arch_google_aws","draft","未用媒体或相邻型号推断"
"SEARCH-M2GA-G8I-ACC","REQ-M2GA-G8I-ACC","2026-08-12","一手披露未给 FP4 累加语义","official architecture pages, versioned developer documentation, dated announcements, fixed papers","no_reliable_result","m2_arch_google_aws","draft","未用媒体或相邻型号推断"
"SEARCH-M2GA-TRN4-MICRO","REQ-M2GA-TRN4-MICRO","2026-08-12","只有前瞻性相对指标，没有执行组织披露","official architecture pages, versioned developer documentation, dated announcements, fixed papers","no_reliable_result","m2_arch_google_aws","draft","未用媒体或相邻型号推断"
"SEARCH-M2GA-GV3-MOE-HW","REQ-M2GA-GV3-MOE-HW","2026-08-12","official architecture + developer docs: dedicated MoE router, routing engine, hardware dispatch","fixed architecture papers; versioned developer documentation; official architecture pages","no_reliable_result","m2_arch_google_aws","draft","只检索专用 MoE routing/router；G01 Top-K 原文只留跨代边界，不作为任何具体代际的正事实"
"SEARCH-M2GA-GV4-MOE-HW","REQ-M2GA-GV4-MOE-HW","2026-08-12","official architecture + developer docs: dedicated MoE router, routing engine, hardware dispatch","fixed architecture papers; versioned developer documentation; official architecture pages","no_reliable_result","m2_arch_google_aws","draft","只检索专用 MoE routing/router；G01 Top-K 原文只留跨代边界，不作为任何具体代际的正事实"
"SEARCH-M2GA-GV5E-MOE-HW","REQ-M2GA-GV5E-MOE-HW","2026-08-12","official architecture + developer docs: dedicated MoE router, routing engine, hardware dispatch","fixed architecture papers; versioned developer documentation; official architecture pages","no_reliable_result","m2_arch_google_aws","draft","只检索专用 MoE routing/router；G01 Top-K 原文只留跨代边界，不作为任何具体代际的正事实"
"SEARCH-M2GA-GV5P-MOE-HW","REQ-M2GA-GV5P-MOE-HW","2026-08-12","official architecture + developer docs: dedicated MoE router, routing engine, hardware dispatch","fixed architecture papers; versioned developer documentation; official architecture pages","no_reliable_result","m2_arch_google_aws","draft","只检索专用 MoE routing/router；G01 Top-K 原文只留跨代边界，不作为任何具体代际的正事实"
"SEARCH-M2GA-GV6E-MOE-HW","REQ-M2GA-GV6E-MOE-HW","2026-08-12","official architecture + developer docs: dedicated MoE router, routing engine, hardware dispatch","fixed architecture papers; versioned developer documentation; official architecture pages","no_reliable_result","m2_arch_google_aws","draft","只检索专用 MoE routing/router；G01 Top-K 原文只留跨代边界，不作为任何具体代际的正事实"
"SEARCH-M2GA-G7X-MOE-HW","REQ-M2GA-G7X-MOE-HW","2026-08-12","official architecture + developer docs: dedicated MoE router, routing engine, hardware dispatch","fixed architecture papers; versioned developer documentation; official architecture pages","no_reliable_result","m2_arch_google_aws","draft","只检索专用 MoE routing/router；G01 Top-K 原文只留跨代边界，不作为任何具体代际的正事实"
"SEARCH-M2GA-AIF1-MOE-HW","REQ-M2GA-AIF1-MOE-HW","2026-08-12","official architecture + developer docs: dedicated MoE router, routing engine, hardware Top-K, dispatch","fixed architecture papers; versioned developer documentation; official architecture pages","no_reliable_result","m2_arch_google_aws","draft","软件实现、一般 SparseCore/CC-Core 或 data-dependent all-gather 不当作专用 MoE router"
"SEARCH-M2GA-ATRN1-MOE-HW","REQ-M2GA-ATRN1-MOE-HW","2026-08-12","official architecture + developer docs: dedicated MoE router, routing engine, hardware Top-K, dispatch","fixed architecture papers; versioned developer documentation; official architecture pages","no_reliable_result","m2_arch_google_aws","draft","软件实现、一般 SparseCore/CC-Core 或 data-dependent all-gather 不当作专用 MoE router"
"SEARCH-M2GA-AIF2-MOE-HW","REQ-M2GA-AIF2-MOE-HW","2026-08-12","official architecture + developer docs: dedicated MoE router, routing engine, hardware Top-K, dispatch","fixed architecture papers; versioned developer documentation; official architecture pages","no_reliable_result","m2_arch_google_aws","draft","软件实现、一般 SparseCore/CC-Core 或 data-dependent all-gather 不当作专用 MoE router"
"SEARCH-M2GA-ATRN3-MOE-HW","REQ-M2GA-ATRN3-MOE-HW","2026-08-12","official architecture + developer docs: dedicated MoE router, routing engine, hardware Top-K, dispatch","fixed architecture papers; versioned developer documentation; official architecture pages","no_reliable_result","m2_arch_google_aws","draft","软件实现、一般 SparseCore/CC-Core 或 data-dependent all-gather 不当作专用 MoE router"
"SEARCH-M2GA-G8T-LDE-DETAIL","REQ-M2GA-G8T-LDE-DETAIL","2026-08-12","G13 official deep dive: LLM Decoder Engine internal operators, execution organization and throughput","dated official architecture disclosure","no_reliable_result","m2_ga_remediation","draft","只找到引擎名称和产品特征表，未找到内部算子或吞吐"
"SEARCH-M2GA-G8I-FP4-ACCUM","REQ-M2GA-G8I-FP4-ACCUM","2026-08-12","G13 official deep dive: TPU 8i FP4 input, product, accumulation, output and rounding semantics","dated official architecture disclosure","no_reliable_result","m2_ga_remediation","draft","只找到 FP4 峰值口径，未找到完整数值语义链"
"SEARCH-M2GA-G8I-ICI-PROTOCOL-DETAIL","REQ-M2GA-G8I-ICI-PROTOCOL-DETAIL","2026-08-12","G13/G14 official disclosures: TPU 8i ICI direction, payload convention and chip-level protocol","dated official architecture disclosures","no_reliable_result","m2_ga_remediation","draft","只找到 ICI 带宽、Boardfly 连接和系统拓扑，未找到方向/有效载荷/芯片协议细节"
