"assertion_id","fact_id","source_id","claim_role","assertion_mode","assertion_relation","raw_value_text","raw_value_number","raw_unit","source_locator","quoted_context","extraction_status","extractor","reviewer","review_date","assertion_fingerprint","review_status","notes"
"ASSERT-FACT-AWS-TRN2-CHIP-BF16-SPARSE-HIST2024-S10","FACT-AWS-TRN2-CHIP-BF16-SPARSE-HIST2024","SRC-AWS-TRN2-S10","conflict_evidence","direct_statement","supports","","5.2","PFLOPS","launch post sparse compute claim","","source_checked","trainium2_pilot","","","AFP-ASSERT-FACT-AWS-TRN2-CHIP-BF16-SPARSE-HIST2024-S10","reviewed","从试填草稿的证据定位结构化；未在本任务重新联网"
"ASSERT-FACT-AWS-TRN2-CHIP-FP16-SPARSE-HIST2024-S10","FACT-AWS-TRN2-CHIP-FP16-SPARSE-HIST2024","SRC-AWS-TRN2-S10","conflict_evidence","direct_statement","supports","","5.2","PFLOPS","launch post sparse compute claim","","source_checked","trainium2_pilot","","","AFP-ASSERT-FACT-AWS-TRN2-CHIP-FP16-SPARSE-HIST2024-S10","reviewed","从试填草稿的证据定位结构化；未在本任务重新联网"
"ASSERT-FACT-AWS-TRN2-CHIP-TF32-SPARSE-HIST2024-S10","FACT-AWS-TRN2-CHIP-TF32-SPARSE-HIST2024","SRC-AWS-TRN2-S10","conflict_evidence","direct_statement","supports","","5.2","PFLOPS","launch post sparse compute claim","","source_checked","trainium2_pilot","","","AFP-ASSERT-FACT-AWS-TRN2-CHIP-TF32-SPARSE-HIST2024-S10","reviewed","从试填草稿的证据定位结构化；未在本任务重新联网"
"ASSERT-FACT-AWS-TRN2-3XL-CHIP-QTY-S06","FACT-AWS-TRN2-3XL-CHIP-QTY","SRC-AWS-TRN2-S06","core_spec","direct_statement","supports","","1","count","Trn2 instance specifications / Trn2 UltraServer","","source_checked","trainium2_pilot","","","AFP-ASSERT-FACT-AWS-TRN2-3XL-CHIP-QTY-S06","reviewed","从试填草稿的证据定位结构化；未在本任务重新联网"
"ASSERT-FACT-AWS-TRN2-ULTRA64-EFA-3P2-S06","FACT-AWS-TRN2-ULTRA64-EFA-3P2","SRC-AWS-TRN2-S06","conflict_evidence","direct_statement","supports","","3200","Gbps","Trn2 instance specifications","","source_checked","trainium2_pilot","","","AFP-ASSERT-FACT-AWS-TRN2-ULTRA64-EFA-3P2-S06","reviewed","从试填草稿的证据定位结构化；未在本任务重新联网"
"ASSERT-FACT-AWS-TRN2-48XL-BF16-SPARSE-HIST2024-S10","FACT-AWS-TRN2-48XL-BF16-SPARSE-HIST2024","SRC-AWS-TRN2-S10","conflict_evidence","direct_statement","supports","","83.2","PFLOPS","launch post sparse instance compute","","source_checked","trainium2_pilot","","","AFP-ASSERT-FACT-AWS-TRN2-48XL-BF16-SPARSE-HIST2024-S10","reviewed","从试填草稿的证据定位结构化；未在本任务重新联网"
"ASSERT-FACT-AWS-TRN2-48XL-FP16-SPARSE-HIST2024-S10","FACT-AWS-TRN2-48XL-FP16-SPARSE-HIST2024","SRC-AWS-TRN2-S10","conflict_evidence","direct_statement","supports","","83.2","PFLOPS","launch post sparse instance compute","","source_checked","trainium2_pilot","","","AFP-ASSERT-FACT-AWS-TRN2-48XL-FP16-SPARSE-HIST2024-S10","reviewed","从试填草稿的证据定位结构化；未在本任务重新联网"
"ASSERT-FACT-AWS-TRN2-48XL-TF32-SPARSE-HIST2024-S10","FACT-AWS-TRN2-48XL-TF32-SPARSE-HIST2024","SRC-AWS-TRN2-S10","conflict_evidence","direct_statement","supports","","83.2","PFLOPS","launch post sparse instance compute","","source_checked","trainium2_pilot","","","AFP-ASSERT-FACT-AWS-TRN2-48XL-TF32-SPARSE-HIST2024-S10","reviewed","从试填草稿的证据定位结构化；未在本任务重新联网"
"ASSERT-FACT-AWS-TRN2-TRN2U-48XL-FP8-SPARSE-HIST2024-S10","FACT-AWS-TRN2-TRN2U-48XL-FP8-SPARSE-HIST2024","SRC-AWS-TRN2-S10","conflict_evidence","direct_statement","supports","","83.2","PFLOPS","launch post sparse instance compute","","source_checked","trainium2_pilot","","","AFP-ASSERT-FACT-AWS-TRN2-TRN2U-48XL-FP8-SPARSE-HIST2024-S10","reviewed","从试填草稿的证据定位结构化；未在本任务重新联网"
"ASSERT-FACT-AWS-TRN2-TRN2U-48XL-BF16-SPARSE-HIST2024-S10","FACT-AWS-TRN2-TRN2U-48XL-BF16-SPARSE-HIST2024","SRC-AWS-TRN2-S10","conflict_evidence","direct_statement","supports","","83.2","PFLOPS","launch post sparse instance compute","","source_checked","trainium2_pilot","","","AFP-ASSERT-FACT-AWS-TRN2-TRN2U-48XL-BF16-SPARSE-HIST2024-S10","reviewed","从试填草稿的证据定位结构化；未在本任务重新联网"
