"assertion_id","fact_id","source_id","claim_role","assertion_mode","assertion_relation","raw_value_text","raw_value_number","raw_unit","source_locator","quoted_context","extraction_status","extractor","reviewer","review_date","assertion_fingerprint","review_status","notes"
"ASSERT-FACT-AWS-TRN2-NCV3-COUNT-S01","FACT-AWS-TRN2-NCV3-COUNT","SRC-AWS-TRN2-S01","core_spec","direct_statement","supports","","8","count","Trainium2 chip components","","source_checked","trainium2_pilot","","","AFP-ASSERT-FACT-AWS-TRN2-NCV3-COUNT-S01","draft","从试填草稿的证据定位结构化；未在本任务重新联网"
"ASSERT-FACT-AWS-TRN2-MAIN-DMA-COUNT-S01","FACT-AWS-TRN2-MAIN-DMA-COUNT","SRC-AWS-TRN2-S01","core_spec","direct_statement","supports","","128","count","Trainium2 chip components","","source_checked","trainium2_pilot","","","AFP-ASSERT-FACT-AWS-TRN2-MAIN-DMA-COUNT-S01","draft","从试填草稿的证据定位结构化；未在本任务重新联网"
"ASSERT-FACT-AWS-TRN2-GPSIMD-PROC-COUNT-S02","FACT-AWS-TRN2-GPSIMD-PROC-COUNT","SRC-AWS-TRN2-S02","architecture_mechanism","direct_statement","supports","","8","count","Gpsimd Engine","","source_checked","trainium2_pilot","","","AFP-ASSERT-FACT-AWS-TRN2-GPSIMD-PROC-COUNT-S02","draft","从试填草稿的证据定位结构化；未在本任务重新联网"
"ASSERT-FACT-AWS-TRN2-GPSIMD-ISSUE-WIDTH-S03","FACT-AWS-TRN2-GPSIMD-ISSUE-WIDTH","SRC-AWS-TRN2-S03","architecture_mechanism","direct_statement","supports","","512","bit","GPSIMD engine","","source_checked","trainium2_pilot","","","AFP-ASSERT-FACT-AWS-TRN2-GPSIMD-ISSUE-WIDTH-S03","draft","从试填草稿的证据定位结构化；未在本任务重新联网"
"ASSERT-FACT-AWS-TRN2-DGE-COUNT-S02","FACT-AWS-TRN2-DGE-COUNT","SRC-AWS-TRN2-S02","architecture_mechanism","direct_statement","supports","","2","count","Descriptor Generation Engine","","source_checked","trainium2_pilot","","","AFP-ASSERT-FACT-AWS-TRN2-DGE-COUNT-S02","draft","从试填草稿的证据定位结构化；未在本任务重新联网"
"ASSERT-FACT-AWS-TRN2-CCCORE-COUNT-16-S01","FACT-AWS-TRN2-CCCORE-COUNT-16","SRC-AWS-TRN2-S01","conflict_evidence","direct_statement","supports","","16","count","Collective communication","","source_checked","trainium2_pilot","","","AFP-ASSERT-FACT-AWS-TRN2-CCCORE-COUNT-16-S01","draft","从试填草稿的证据定位结构化；未在本任务重新联网"
"ASSERT-FACT-AWS-TRN2-CCCORE-COUNT-20-S02","FACT-AWS-TRN2-CCCORE-COUNT-20","SRC-AWS-TRN2-S02","conflict_evidence","direct_statement","supports","","20","count","Trainium2 Device Diagram","","source_checked","trainium2_pilot","","","AFP-ASSERT-FACT-AWS-TRN2-CCCORE-COUNT-20-S02","draft","从试填草稿的证据定位结构化；未在本任务重新联网"
"ASSERT-FACT-AWS-TRN2-TENSOR-ARRAY-SHAPE-S04","FACT-AWS-TRN2-TENSOR-ARRAY-SHAPE","SRC-AWS-TRN2-S04","architecture_mechanism","direct_statement","supports","128 x 128","","","Performance mode and Tiling mode","","source_checked","trainium2_pilot","","","AFP-ASSERT-FACT-AWS-TRN2-TENSOR-ARRAY-SHAPE-S04","draft","从试填草稿的证据定位结构化；未在本任务重新联网"
"ASSERT-FACT-AWS-TRN2-TENSOR-FP8-TILE-S04","FACT-AWS-TRN2-TENSOR-FP8-TILE","SRC-AWS-TRN2-S04","architecture_mechanism","direct_statement","supports","M=128, K=256, N=512","","","Tile size","","source_checked","trainium2_pilot","","","AFP-ASSERT-FACT-AWS-TRN2-TENSOR-FP8-TILE-S04","draft","从试填草稿的证据定位结构化；未在本任务重新联网"
"ASSERT-FACT-AWS-TRN2-TENSOR-EXECUTION-RATES-S02","FACT-AWS-TRN2-TENSOR-EXECUTION-RATES","SRC-AWS-TRN2-S02","architecture_mechanism","direct_statement","supports","4x128; 2x128; 5x128; 1x128 elements/cycle","","","Tensor Engine","","source_checked","trainium2_pilot","","","AFP-ASSERT-FACT-AWS-TRN2-TENSOR-EXECUTION-RATES-S02","draft","从试填草稿的证据定位结构化；未在本任务重新联网"
"ASSERT-FACT-AWS-TRN2-TENSOR-FP8-OPERAND-A-S04","FACT-AWS-TRN2-TENSOR-FP8-OPERAND-A","SRC-AWS-TRN2-S04","architecture_mechanism","direct_statement","supports","float8_e4m3 or float8_e5m2","","","Data types","","source_checked","trainium2_pilot","","","AFP-ASSERT-FACT-AWS-TRN2-TENSOR-FP8-OPERAND-A-S04","draft","从试填草稿的证据定位结构化；未在本任务重新联网"
"ASSERT-FACT-AWS-TRN2-TENSOR-FP8-OPERAND-B-S04","FACT-AWS-TRN2-TENSOR-FP8-OPERAND-B","SRC-AWS-TRN2-S04","architecture_mechanism","direct_statement","supports","float8_e4m3 or float8_e5m2","","","Data types","","source_checked","trainium2_pilot","","","AFP-ASSERT-FACT-AWS-TRN2-TENSOR-FP8-OPERAND-B-S04","draft","从试填草稿的证据定位结构化；未在本任务重新联网"
"ASSERT-FACT-AWS-TRN2-TENSOR-FP8-ACCUM-S04","FACT-AWS-TRN2-TENSOR-FP8-ACCUM","SRC-AWS-TRN2-S04","architecture_mechanism","direct_statement","supports","FP32","","","Data types","","source_checked","trainium2_pilot","","","AFP-ASSERT-FACT-AWS-TRN2-TENSOR-FP8-ACCUM-S04","draft","从试填草稿的证据定位结构化；未在本任务重新联网"
