"claim_id","dimension","claim_text","applicability","fixed_corpus_support","fixed_work_families","independent_family_count","evidence_class","counterexample_or_limit","priority"
"C01","执行阶段与状态","标准训练比固定权重前向推理多出反向传播、梯度与参数更新，并需要保存或重算部分激活。","监督学习训练与固定权重推理；不涵盖在线学习","S03|S05|S10|S19","WF-CHEN-DNN-SURVEY|WF-STANFORD-DNNTRAIN-TUTORIAL|WF-DEEP-LEARNING-COMPUTER-ARCHITECTS|WF-EYERISS-SURVEY","4","跨资料结论","推理仍有KV cache等运行时状态，不能简化为无状态。","1"
"C02","执行阶段与状态","现代自回归LLM推理不是无状态前向：权重之外还要管理随序列增长的KV cache，并可能包含前缀缓存、临时空间、并发和碎片预留。","数据中心自回归Transformer推理","S04|S11|S13|S15","WF-HARVARD-MLSYS-TEXTBOOK|WF-MA-PATTERSON-LLM-INFERENCE|WF-GOOGLE-GEMMA-DEEPDIVE|WF-AWS-INFERENCE-GUIDANCE","3","跨资料结论","非Transformer或无缓存推理不适用；KV cache大小取决于模型、上下文、并发与实现。","1"
"C03","优化目标","训练通常围绕达到目标质量所需的总时间、吞吐或goodput优化；在线推理则同时受首词延迟TTFT、逐词延迟TPOT、尾延迟、并发、吞吐和成本约束。","数据中心训练与在线生成式推理","S02|S08|S12|S15","WF-COLTRAIN|WF-IEEE-IRDS-2023|WF-GOOGLE-ACCELERATOR-BENCHMARKING|WF-AWS-INFERENCE-GUIDANCE","4","跨资料结论","离线推理不一定受交互时延约束；训练也可能有作业截止时间和可靠性目标。","1"
"C04","数值与累加","训练对梯度动态范围、累加和参数更新的数值稳定性通常更敏感，因而必须把输入、乘积、累加、输出、主权重、梯度和优化器状态的精度分开记录；推理常允许更激进的低精度。","传统DNN到LLM；具体可用精度依模型与算法","S02|S05|S07|S10|S19","WF-COLTRAIN|WF-STANFORD-DNNTRAIN-TUTORIAL|WF-REUTHER-SURVEY|WF-DEEP-LEARNING-COMPUTER-ARCHITECTS|WF-EYERISS-SURVEY","5","跨资料结论","S06与S02同家族不重复计票；现代FP8训练是反例，说明差异是条件化而非固定门槛。","1"
"C05","预填充与解码","LLM预填充并行度高且常更接近计算受限，低批量逐词解码每步只生成少量token，常更接近权重与KV cache容量或带宽受限。","自回归Transformer；尤其交互式低批量服务","S04|S11|S12|S13|S15","WF-HARVARD-MLSYS-TEXTBOOK|WF-MA-PATTERSON-LLM-INFERENCE|WF-GOOGLE-ACCELERATOR-BENCHMARKING|WF-GOOGLE-GEMMA-DEEPDIVE|WF-AWS-INFERENCE-GUIDANCE","3","跨资料结论","大batch、投机解码、量化、模型形状和内核实现可移动瓶颈，不能写成永恒定律。","1"
"C06","批处理","提高batch或连续批处理通常能提升权重复用、算术强度和吞吐，但会占用更多运行状态并与排队、TTFT、TPOT和尾延迟发生折中。","训练和在线推理；实际边界依到达率与服务目标","S02|S08|S12|S13|S18","WF-COLTRAIN|WF-IEEE-IRDS-2023|WF-GOOGLE-ACCELERATOR-BENCHMARKING|WF-GOOGLE-GEMMA-DEEPDIVE|WF-TPUV1","3","跨资料结论","离线推理可接受更大batch；连续批处理和chunked prefill会改变静态batch结论。","1"
"C07","HBM容量","不能笼统断言训练芯片或推理芯片必然需要更多HBM：训练要容纳权重、主权重、梯度、优化器状态、保存激活与临时空间；推理要容纳权重、KV cache、前缀缓存、临时空间、并发和碎片预留，胜负取决于模型与运行条件。","一个芯片或封装对象的同口径比较","S04|S05|S11|S15","WF-HARVARD-MLSYS-TEXTBOOK|WF-STANFORD-DNNTRAIN-TUTORIAL|WF-MA-PATTERSON-LLM-INFERENCE|WF-AWS-INFERENCE-GUIDANCE","4","分析者综合","原语料没有统一模型、精度、优化器、上下文和并发的跨芯片实测。","1"
"C08","HBM带宽","低批量解码经常由权重和KV cache的数据搬运主导，因此推理设计可能把更大比例资源给HBM容量与带宽；训练和预填充的大矩阵阶段则更依赖算力与带宽的平衡。","现代数据中心LLM；低批量解码","S04|S11|S14|S16|S18","WF-HARVARD-MLSYS-TEXTBOOK|WF-MA-PATTERSON-LLM-INFERENCE|WF-GOOGLE-TPU8-SPLIT|WF-COPA-GPU|WF-TPUV1","4","跨资料结论","S14是厂商设计意图，S16是模拟；大batch解码可能转向计算受限。","1"
"C09","存算配比","机器平衡点P_peak/B_HBM只在对象层级、精度、稠密或稀疏、峰值或持续值以及带宽方向一致时可比较；它只能与工作负载算术强度共同判断瓶颈，不能单独给芯片贴训练或推理标签。","同一硬件对象与明确工作负载","S04|S12|S18|S19","WF-HARVARD-MLSYS-TEXTBOOK|WF-GOOGLE-ACCELERATOR-BENCHMARKING|WF-TPUV1|WF-EYERISS-SURVEY","3","跨资料结论","缓存命中、片上带宽、通信和软件效率会使简单HBM Roofline失真。","1"
"C10","计算单元与数据流","训练、预填充和解码可以共享矩阵乘核心，但训练的反向与更新、解码的小批量和非矩阵算子会改变矩阵、向量、标量资源以及数据流的利用率，不能只比峰值矩阵算力。","通用或统一加速器","S05|S10|S14","WF-STANFORD-DNNTRAIN-TUTORIAL|WF-DEEP-LEARNING-COMPUTER-ARCHITECTS|WF-GOOGLE-TPU8-SPLIT","3","跨资料结论","专用算法和编译器融合可能改变非矩阵部分；缺少统一硬件的完整阶段实测。","2"
