"condition_set_id","condition_fingerprint","precision_path_id","sparsity_mode","sparsity_pattern","operation_type","operation_count_rule","performance_basis","support_level","power_mode","frequency_value","frequency_unit","software_version","workload_stage","bandwidth_direction","aggregation_scope","traffic_basis","measurement_scope","effective_date","review_status","notes"
"COND-M2NA-AMPERE-2OF4","M2NA|Ampere|2:4|hardware_instruction","PPATH-M2NA-AMPERE-TENSOR-FP16","structured_sparse","2:4 fine-grained structured sparsity","matrix_mma","not_specified","theoretical_peak","hardware_instruction","","","","","not_specified","","not_specified","not_specified","per_component","","draft","Used for architecture mechanism, not an A100 product peak."
"COND-M2NA-BLACKWELL-SPARSE","M2NA|Blackwell|tcgen05.mma.sp|structured","PPATH-M2NA-BLACKWELL-TENSOR-SPARSE","structured_sparse","PTX forms include 1:2, 2:4 and 4:8 rules","matrix_mma","not_specified","theoretical_peak","hardware_instruction","","","","PTX ISA 9.3","not_specified","","not_specified","not_specified","per_component","2026-08-12","draft","Instruction support only. No product throughput is attached."
"COND-M2NA-ULTRA-EXP-REL","M2NA|Blackwell-Ultra|MUFU.EX2|2x-vs-Blackwell","PPATH-M2NA-BLACKWELL-ULTRA-EXP","not_applicable","","special_function","not_specified","vendor_label_unresolved","hardware_instruction","","","","CUDA article 2026-02-25","not_specified","","not_specified","relative_only","per_component","2026-02-25","draft","Relative throughput only. No absolute operations-per-cycle value."
"COND-M2NA-RUBIN-EXP-REL","M2NA|Rubin|exponential|2xFP32-4xFP16BF16-vs-Blackwell","PPATH-M2NA-RUBIN-EXP","not_applicable","","special_function","not_specified","vendor_label_unresolved","hardware_capability","","","","NVIDIA architecture article 2026-07-21","not_specified","","not_specified","relative_only","per_component","2026-07-21","draft","Relative to Blackwell. Absolute throughput and frequency are not public."
"COND-M2NA-CDNA2-VECTOR-FP64","M2NA|CDNA2|vector-FP64|per-CU-per-clock","PPATH-M2NA-CDNA2-VECTOR-FP64","dense","","vector_fma","fma_2_ops","theoretical_peak","hardware_peak_published","","","","","not_specified","","not_specified","vendor_nameplate","per_component","","draft","Architecture whitepaper gives operations per CU per clock."
"COND-M2NA-CDNA2-PACKED-FP32","M2NA|CDNA2|packed-FP32|per-CU-per-clock","PPATH-M2NA-CDNA2-VECTOR-PACKED-FP32","dense","","vector_fma","fma_2_ops","theoretical_peak","hardware_peak_published","","","","","not_specified","","not_specified","vendor_nameplate","per_component","","draft","Packed path operations per CU per clock."
"COND-M2NA-CDNA3-LDS-CU","M2NA|CDNA3|LDS|per-CU","","not_applicable","","data_move","not_specified","theoretical_peak","hardware_capability","","","","","not_specified","direction_not_specified","per_endpoint","vendor_nameplate","per_component","","draft","Per-CU capacity. Bandwidth is not supplied in this condition."
"COND-M2NA-CDNA3-L1-CU","M2NA|CDNA3|L1|per-CU","","not_applicable","","data_move","not_specified","theoretical_peak","hardware_capability","","","","","not_specified","direction_not_specified","per_endpoint","vendor_nameplate","per_component","","draft","Per-CU L1 organization."
"COND-M2NA-CDNA3-L2-XCD","M2NA|CDNA3|L2|per-XCD","","not_applicable","","data_move","not_specified","theoretical_peak","hardware_peak_published","","","","","not_specified","rx","per_endpoint","vendor_nameplate","per_component","","draft","4 MiB and 2048 bytes per clock per XCD. Product aggregates across up to eight XCDs are excluded."
"COND-M2NA-CDNA3-SPARSE","M2NA|CDNA3|4:2|hardware-instruction","PPATH-M2NA-CDNA3-SMFMAC","structured_sparse","two zeros in each group of four on the sparse operand","matrix_mma","not_specified","theoretical_peak","hardware_instruction","","","","CDNA 3 ISA 2025-08-05","not_specified","","not_specified","not_specified","per_component","2025-08-05","draft","Programmer-visible sparse instruction semantics."
