extract_id,external_id,claim,locator,supports_candidate_ids,limitations
X001,E01,ZeRO把训练内存冗余拆为参数、梯度和优化器状态等模型状态并通过分片降低设备内存压力,摘要与论文模型状态分析,C01|C07,不覆盖推理状态
X002,E01,大模型训练同时受设备内存容量、计算量和分布式通信效率约束,摘要,C03|C07|C12,结果依并行策略与系统规模
X003,E01,内存节省与通信量需联合评价，不能把容量收益视为无代价,摘要与方法章节,C12|C18,ZeRO特定实现不能代表全部训练系统
X004,E02,混合精度训练可用半精度保存权重、激活和梯度，同时保留单精度主权重用于更新,摘要,C01|C04|C07,2017年工作；现代BF16/FP8实现会改变具体位宽
X005,E02,半精度梯度存在动态范围不足，loss scaling用于降低下溢风险,摘要,C04,支持数值敏感性而非固定精度门槛
X006,E02,训练精度口径至少要区分存储格式、计算格式和参数更新格式,由摘要机制直接归纳,C04|C18,属于核验者对论文机制的保守归纳
X007,E03,LLM服务的KV cache按请求动态增长和缩减，碎片与重复会限制可并发batch,摘要,C02|C06|C07,仅针对自回归Transformer服务
X008,E03,PagedAttention通过分页与共享降低KV cache浪费，并在相同时延水平提高吞吐,摘要,C06|C13|C15,系统收益含软件与调度贡献，不能全归因于芯片
X009,E03,上下文更长、模型更大或解码算法更复杂时，KV cache管理影响更明显,摘要,C02|C07,结论依该论文评测配置
X010,E04,LLM推理分为处理输入的预填充和自回归逐token解码两个阶段,摘要,C02|C05,不覆盖非自回归生成
X011,E04,预填充在较小batch即可较充分利用GPU计算，而逐token解码的计算利用率较低,摘要,C05|C08,硬件和模型变化会移动边界
X012,E04,chunked prefill与decode-maximal batching表明调度可以改变阶段利用率和吞吐延迟折中,摘要,C06|C13|C15,证明边界可由软件改变，不证明一种策略普适最优
X013,E05,预填充和解码共享GPU会相互干扰并耦合两阶段资源与并行方案,USENIX论文页摘要,C05|C13|C16,分相也会增加KV传输与资源碎片
X014,E05,应用分别用TTFT和TPOT约束预填充与解码，goodput要求同时满足二者,USENIX论文页摘要,C03|C13,不同服务等级目标会改变最优资源配置
X015,E05,分相放置必须考虑集群带宽以控制KV cache传输通信,USENIX论文页摘要,C12|C16,反例说明阶段专用化不等于两个孤立芯片
X016,E06,MLPerf Training以达到指定质量目标所需的墙钟时间评价训练系统,官方训练基准说明,C03,基准指标不等于所有生产训练目标
X017,E06,训练性能比较必须绑定模型、数据集和目标质量，不能只看峰值吞吐,官方训练基准说明,C03|C18,仍不覆盖可靠性与成本的全部维度
X018,E07,MLPerf LLM在线场景使用TTFT、TPOT与吞吐等指标并设置延迟约束,官方推理文档,C03|C13,不同版本模型和约束值不同
X019,E07,离线与服务器场景的指标和到达模式不同，推理目标不能用单一数字概括,官方推理文档,C03|C06,基准场景仍是抽象化工作负载
X020,E07,基准要求记录系统软硬件边界，端到端结果不等于芯片裸性能,官方提交与基准文档,C15|C18,属于系统级而非微架构专门证明
X021,E08,大规模LLM训练需要组合数据、张量和流水并行以跨越单GPU内存和计算限制,摘要,C07|C12,具体组合随模型和拓扑改变
X022,E08,朴素并行会因跨节点通信昂贵和设备等待产生扩展问题,摘要,C12|C13,训练证据不直接证明推理解码通信模式
X023,E08,并行调度能同时改变吞吐、内存占用和通信，互联与调度必须联合评价,摘要,C10|C12|C15,论文针对GPU集群
X024,E09,MoE只激活部分专家，使总参数量与每token计算量解耦,摘要,C17,具体激活专家数和路由策略依模型
X025,E09,MoE采用受到通信成本和训练稳定性的限制,摘要,C12|C17,主要是训练证据
X026,E09,低精度训练MoE需要配套模型与数值技术，稀疏不等于可无条件降精度,摘要,C04|C17,Google工作，不能当跨厂商硬件实测
X027,E10,MoE的大模型体量与独特结构同时给训练和推理带来系统挑战,摘要,C17,提出的系统优化与作者实现绑定
X028,E10,推理优化不仅关乎算力，还涉及模型压缩、并行和端到端系统设计,摘要,C10|C12|C15|C17,论文性能倍数不用于本报告跨平台比较
X029,E10,MoE训练成本优势不能自动推出推理优势，推理需要单独优化,摘要,C16|C17,支持反对绝对用途标签
X030,E11,Roofline用算术强度即运算数除以数据移动字节，把计算峰值与内存带宽上界放到同一模型,研究机构方法页,C09|C18,必须明确所分析的存储层级和数据流量
X031,E11,工作负载点相对机器平衡点的位置才决定计算或带宽上界，单看P_peak/B不足以分类芯片,方法页与公式说明,C09|C18,简单模型忽略时延、网络、缓存和软件开销
X032,E11,不同内存层级可形成不同带宽屋顶，HBM Roofline不是全部系统瓶颈,分层Roofline方法说明,C09,需实测或一致口径峰值
X033,E12,SmoothQuant以W8A8后训练量化降低LLM推理内存并加速矩阵计算,摘要,C04|C08,支持推理可更激进低精度但不说明所有模型都适用
X034,E12,激活离群值使推理量化仍有数值难点，低精度不是无代价开关,摘要,C04,与训练精度差异是程度而非有无
X035,E12,量化收益同时依模型准确率、硬件INT8支持和内核实现,摘要,C10|C15|C18,不能把位宽直接换算为端到端倍数
X036,E13,KV cache碎片可压低可用batch和吞吐，但PagedAttention并非唯一内存管理方案,摘要,C02|C06|C16,反驳把某一软件机制当架构必然
X037,E13,vAttention用虚拟内存机制在保持连续虚拟布局时缓解物理碎片,摘要,C07|C15,依CUDA虚拟内存API与特定系统实现
X038,E13,KV cache管理策略会带来编程与性能开销差异,摘要,C15,软件选择可改变芯片观察到的瓶颈
X039,E05,分相服务可按两阶段目标分别配置并行与资源，说明统一和专用部署都可能合理,USENIX论文页摘要,C05|C16,必须计入KV传输和放置约束
