"fact_id","object_id","component_id","link_id","object_relation_id","precision_path_id","capability_id","topology_id","field_id","normalized_value_text","normalized_value_number","normalized_unit","condition_set_id","fact_kind","evidence_state","resolution_state","valid_from","valid_to","confidence","confidence_reason","fact_fingerprint","review_status","notes"
"FACT-GROQ-LPU1-NAME","OBJ-GROQ-LPU1-ARCH","","","","","","","FIELD-ID-NAME","First-generation Groq Tensor Streaming Processor architecture","","","COND-NONE","direct_statement","single_source","provisional","","","high","固定一手原始来源；待总控复核。","M2-GHC-ARCH|FACT-GROQ-LPU1-NAME","draft","ISCA 2020 结论明确 first-generation"
"FACT-GROQ-LPU1-EXECUTION","","CMP-GROQ-LPU1-TSP","","","","","","FIELD-COMP-EXECUTION","Statically scheduled, compiler-orchestrated spatial execution without caches or arbiters","","","COND-NONE","direct_statement","single_source","provisional","","","high","固定一手原始来源；待总控复核。","M2-GHC-ARCH|FACT-GROQ-LPU1-EXECUTION","draft","执行模型属于代际根组件；no cache 不表示没有存储层级"
"FACT-GROQ-LPU1-MXM-INT8-OPERANDS","","","","","PP-GROQ-LPU1-MXM-INT8","","","FIELD-NUM-OPERAND-A","INT8","","","COND-NONE","direct_statement","single_source","provisional","","","high","固定一手原始来源；待总控复核。","M2-GHC-ARCH|FACT-GROQ-LPU1-MXM-INT8-OPERANDS","draft","A/B 都为 INT8"
"FACT-GROQ-LPU1-MXM-INT8-ACCUM","","","","","PP-GROQ-LPU1-MXM-INT8","","","FIELD-NUM-ACCUMULATION","INT32","","","COND-NONE","direct_statement","single_source","provisional","","","high","固定一手原始来源；待总控复核。","M2-GHC-ARCH|FACT-GROQ-LPU1-MXM-INT8-ACCUM","draft","程序员可见累加/输出语义"
"FACT-GROQ-LPU1-MXM-FP16-OPERANDS","","","","","PP-GROQ-LPU1-MXM-FP16","","","FIELD-NUM-OPERAND-A","FP16","","","COND-NONE","direct_statement","single_source","provisional","","","high","固定一手原始来源；待总控复核。","M2-GHC-ARCH|FACT-GROQ-LPU1-MXM-FP16-OPERANDS","draft","A/B 都为 FP16"
"FACT-GROQ-LPU1-MXM-FP16-ACCUM","","","","","PP-GROQ-LPU1-MXM-FP16","","","FIELD-NUM-ACCUMULATION","FP32","","","COND-NONE","direct_statement","single_source","provisional","","","high","固定一手原始来源；待总控复核。","M2-GHC-ARCH|FACT-GROQ-LPU1-MXM-FP16-ACCUM","draft","程序员可见累加/输出语义"
"FACT-GROQ-LPU1-SXM-FUNCTION","","CMP-GROQ-LPU1-SXM","","","","","","FIELD-COMP-EXECUTION","Vector permutation, rotation, distribution and transformation","","","COND-NONE","direct_statement","single_source","provisional","","","high","固定一手原始来源；待总控复核。","M2-GHC-ARCH|FACT-GROQ-LPU1-SXM-FUNCTION","draft","数据重排路径"
"FACT-GROQ-LPU1-SW-MAPPING","OBJ-GROQ-LPU1-ARCH","","","","","","","FIELD-SW-COMPILER","Compiler explicitly schedules instructions, data movement and functional slices","","","COND-NONE","direct_statement","single_source","provisional","","","high","固定一手原始来源；待总控复核。","M2-GHC-ARCH|FACT-GROQ-LPU1-SW-MAPPING","draft","编译器承担调度和放置"
"FACT-NVG3-NAME","OBJ-NVIDIA-GROQ3-ARCH","","","","","","","FIELD-ID-NAME","NVIDIA Groq 3 LPU architecture","","","COND-NONE","direct_statement","single_source","provisional","2026-03-16","","high","固定 NVIDIA 一手网页快照；待总控复核。","M2-GHC-ARCH|FACT-NVG3-NAME","draft","与第一代 Groq TSP/LPU 严格隔离"
"FACT-NVG3-EXECUTION","","CMP-NVG3-LPU","","","","","","FIELD-COMP-EXECUTION","Deterministic compiler-orchestrated spatial execution with explicit overlap of memory, compute and communication","","","COND-NONE","direct_statement","single_source","provisional","2026-03-16","","high","固定 NVIDIA 一手网页快照；待总控复核。","M2-GHC-ARCH|FACT-NVG3-EXECUTION","draft","执行模型属于 Groq 3 LPU 根组件"
"FACT-NVG3-INSTRUCTION-TILE","","","","","PP-NVG3-320B-VECTOR","","","FIELD-COMP-INSTRUCTION-TILE","320-byte vectors for compute and communication","","","COND-NONE","direct_statement","single_source","provisional","2026-03-16","","high","固定 NVIDIA 一手网页快照；待总控复核。","M2-GHC-ARCH|FACT-NVG3-INSTRUCTION-TILE","draft","结构化目标使用 VXM 的架构向量路径；原始断言保留计算和通信均以 320-byte vector 为粒度"
"FACT-NVG3-MXM-FUNCTION","","CMP-NVG3-MXM","","","","","","FIELD-COMP-EXECUTION","Dense multiply-accumulate on fixed data types; exact types not stated","","","COND-NONE","direct_statement","single_source","provisional","2026-03-16","","high","固定 NVIDIA 一手网页快照；待总控复核。","M2-GHC-ARCH|FACT-NVG3-MXM-FUNCTION","draft","精确格式另记 not_public/pending"
"FACT-NVG3-VXM-FUNCTION","","CMP-NVG3-VXM","","","","","","FIELD-COMP-EXECUTION","Pointwise arithmetic, data conversion and activation functions","","","COND-NONE","direct_statement","single_source","provisional","2026-03-16","","high","固定 NVIDIA 一手网页快照；待总控复核。","M2-GHC-ARCH|FACT-NVG3-VXM-FUNCTION","draft","向量路径机制"
"FACT-NVG3-SXM-FUNCTION","","CMP-NVG3-SXM","","","","","","FIELD-COMP-EXECUTION","Permutation, rotation, distribution and transposition of vectors","","","COND-NONE","direct_statement","single_source","provisional","2026-03-16","","high","固定 NVIDIA 一手网页快照；待总控复核。","M2-GHC-ARCH|FACT-NVG3-SXM-FUNCTION","draft","数据重排路径"
"FACT-NVG3-SRAM-MANAGEMENT","","CMP-NVG3-MEM","","","","","","FIELD-MEM-MANAGEMENT","compiler_managed","","","COND-NONE","direct_statement","single_source","provisional","2026-03-16","","high","固定 NVIDIA 一手网页快照；待总控复核。","M2-GHC-ARCH|FACT-NVG3-SRAM-MANAGEMENT","draft","原始断言保留 SRAM-first、编译器与运行时显式放置及非硬件 cache 细节"
"FACT-NVG3-C2C-PROTOCOL","","","LINK-NVG3-C2C","","","","","FIELD-INT-PROTOCOL","Plesiosynchronous near-synchronous protocol that compensates for clock drift","","","COND-NONE","direct_statement","single_source","provisional","2026-03-16","","high","固定 NVIDIA 一手网页快照；待总控复核。","M2-GHC-ARCH|FACT-NVG3-C2C-PROTOCOL","draft","每 LPU 保有自身时钟"
"FACT-NVG3-C2C-ROUTING","","","","","","","TOPO-NVG3-HIGH-RADIX","FIELD-INT-TOPOLOGY-ROUTING","Compiler schedules vectors, routes and arrival timing deterministically","","","COND-NONE","direct_statement","single_source","provisional","2026-03-16","","high","固定 NVIDIA 一手网页快照；待总控复核。","M2-GHC-ARCH|FACT-NVG3-C2C-ROUTING","draft","编译期路由机制"
"FACT-NVG3-SW-COMPILER","OBJ-NVIDIA-GROQ3-ARCH","","","","","","","FIELD-SW-COMPILER","Compiler explicitly orchestrates data movement, compute, communication and cross-LPU routes","","","COND-NONE","direct_statement","single_source","provisional","2026-03-16","","high","固定 NVIDIA 一手网页快照；待总控复核。","M2-GHC-ARCH|FACT-NVG3-SW-COMPILER","draft","物理硬件边界内的软件映射"
"FACT-HUAWEI-DV-NAME","OBJ-HUAWEI-DA-VINCI-INITIAL-ARCH","","","","","","","FIELD-ID-NAME","Da Vinci scalable AI Core architecture","","","COND-NONE","direct_statement","single_source","provisional","","","high","华为原始架构论文固定 PDF；待总控复核对象代际边界。","M2-GHC-ARCH|FACT-HUAWEI-DV-NAME","draft","只覆盖 2019 原始论文及 2021 论文明确共享的核心机制"
"FACT-HUAWEI-DV-EXECUTION","","CMP-HUAWEI-DV-CORE","","","","","","FIELD-COMP-EXECUTION","Scalar control, SIMD vector processing, cube matrix processing and MTE data movement execute through separate queues","","","COND-NONE","direct_statement","single_source","provisional","","","high","华为原始架构论文固定 PDF；待总控复核对象代际边界。","M2-GHC-ARCH|FACT-HUAWEI-DV-EXECUTION","draft","AI Core 共享执行机制；不包含具体 SoC 的 NoC、LLC 或 HBM 参数"
"FACT-HUAWEI-DV-CONCURRENCY","","CMP-HUAWEI-DV-CORE","","","","","","FIELD-COMP-CONCURRENCY","Cube, vector and MTE can operate in parallel with barriers for dependency control","","","COND-NONE","direct_statement","single_source","provisional","","","high","华为原始架构论文固定 PDF；待总控复核对象代际边界。","M2-GHC-ARCH|FACT-HUAWEI-DV-CONCURRENCY","draft","HPCA 2021 核心机制"
"FACT-HUAWEI-DV-CUBE-FP16-OPERAND-A","","","","","PP-HUAWEI-DV-CUBE-FP16","","","FIELD-NUM-OPERAND-A","FP16","","","COND-NONE","direct_statement","single_source","provisional","","","high","华为原始架构论文固定 PDF；待总控复核对象代际边界。","M2-GHC-ARCH|FACT-HUAWEI-DV-CUBE-FP16-OPERAND-A","draft","源操作数"
