"link_id","owner_object_id","endpoint_a_id","endpoint_b_id","link_level","canonical_label","review_status","notes"
"LINK-M2NA-AMPERE-NVLINK3","OBJ-NVIDIA-AMPERE-ARCH","OBJ-NVIDIA-AMPERE-ARCH","","device_direct","Third-generation NVLink endpoint","draft","Architecture protocol generation only. A100 link count and aggregate bandwidth are SKU facts."
"LINK-M2NA-BLACKWELL-NVHBI","OBJ-NVIDIA-BLACKWELL-ARCH","OBJ-NVIDIA-BLACKWELL-ARCH","OBJ-NVIDIA-BLACKWELL-ARCH","die_to_die","Blackwell NV-HBI coherent die-to-die interface","draft","Architecture-level mechanism record only. The published 10-TB/s two-die package value is staged in the implementation backlog until a silicon_package object is frozen."
"LINK-M2NA-BLACKWELL-NVLINK5","OBJ-NVIDIA-BLACKWELL-ARCH","OBJ-NVIDIA-BLACKWELL-ARCH","","device_direct","Fifth-generation NVLink endpoint","draft","Per-GPU link count and aggregate bandwidth remain product facts."
"LINK-M2NA-RUBIN-NVLINK","OBJ-NVIDIA-RUBIN-ARCH","OBJ-NVIDIA-RUBIN-ARCH","","device_direct","Rubin NVLink endpoint","draft","Counted-write protocol enhancement is public. Absolute link and payload bandwidth remain pending."
"LINK-M2NA-CDNA2-IF-PKG","OBJ-AMD-CDNA2-ARCH","OBJ-AMD-CDNA2-ARCH","OBJ-AMD-CDNA2-ARCH","package_internal","CDNA 2 package-internal Infinity Fabric","draft","Connects GCDs within multi-die products. GCD count and package aggregate are product-specific."
"LINK-M2NA-CDNA2-IF-P2P","OBJ-AMD-CDNA2-ARCH","OBJ-AMD-CDNA2-ARCH","","device_direct","CDNA 2 external Infinity Fabric endpoint","draft","Product link count and aggregate bandwidth are excluded."
"LINK-M2NA-CDNA3-IF-PKG","OBJ-AMD-CDNA3-ARCH","OBJ-AMD-CDNA3-ARCH","OBJ-AMD-CDNA3-ARCH","package_internal","CDNA 3 fourth-generation package Infinity Fabric","draft","Connects XCDs, IODs, memory and coherent agents. Package configuration is not fixed by the architecture card."
"LINK-M2NA-CDNA3-IF-P2P","OBJ-AMD-CDNA3-ARCH","OBJ-AMD-CDNA3-ARCH","","device_direct","CDNA 3 external Infinity Fabric endpoint","draft","Link count and aggregate bandwidth are product-specific."
"LINK-M2NA-CDNA4-IF-PKG","OBJ-AMD-CDNA4-ARCH","OBJ-AMD-CDNA4-ARCH","OBJ-AMD-CDNA4-ARCH","package_internal","CDNA 4 package-internal Infinity Fabric","draft","Direct IOD-to-IOD and XCD-to-IOD fabric are described. MI350 bisection numbers remain product evidence."
"LINK-M2NA-CDNA4-IF-P2P","OBJ-AMD-CDNA4-ARCH","OBJ-AMD-CDNA4-ARCH","","device_direct","CDNA 4 external Infinity Fabric endpoint","needs_resolution","The whitepaper product footnote publishes per-link and aggregate MI350 values. No numeric value is promoted until architecture versus SKU scope is resolved."
"LINK-M2NA-CDNA5-IF-PKG","OBJ-AMD-CDNA5-ARCH","OBJ-AMD-CDNA5-ARCH","OBJ-AMD-CDNA5-ARCH","package_internal","CDNA 5 package-internal Infinity Fabric","draft","Connects compute, cache, memory and I/O dies. UALoE counts and bandwidth are MI455X and Helios product facts."
