"sequence","timestamp_utc","phase","kind","relative_path","observed_sha256","details"
"1","2026-08-13T07:38:17.1854022Z","precommit","lock_acquired","","84e4c607560098183d312c0b287307154611937bcf594c10ac68f8561163af2f","D:\Workspace\2026projects\调研-训练推理芯片调研-资料汇总\审计\子代理交接\m2_mi350p_formal_transaction_prep\scripts\MI350P-FORMAL-TRANSACTION-LOCK-0cf71997b3339af5.lock"
"2","2026-08-13T07:38:45.7196062Z","commit_begin","csv_replace","数据/card-completeness.csv","a046bf3d9c7c88d1204a2f12e24c1ea654aa9ddd85115b2089c50f2de21c738b","registered_before_move;candidate=ec30a8003e6359a9884154a2f1e9ef96f78d36b6a3fa9a62fb9ec670f5d299d2"
"3","2026-08-13T07:38:45.7562421Z","commit_complete","csv_replace","数据/card-completeness.csv","ec30a8003e6359a9884154a2f1e9ef96f78d36b6a3fa9a62fb9ec670f5d299d2","commit_index=1"
"4","2026-08-13T07:38:45.7616886Z","commit_begin","csv_replace","数据/components.csv","506243dd2d4f48b281197d5113133e6591f19d14c4c818e0ef140c5039088cd6","registered_before_move;candidate=bdacd9a4db0abca65dc177743e4932db626c0e4e95563487245d4c969ed98c1b"
"5","2026-08-13T07:38:45.7920803Z","commit_complete","csv_replace","数据/components.csv","bdacd9a4db0abca65dc177743e4932db626c0e4e95563487245d4c969ed98c1b","commit_index=2"
"6","2026-08-13T07:38:45.7962840Z","commit_begin","csv_replace","数据/condition-sets.csv","c80a2e5e5cf98e90a2902c871ca64093d3e9f572a871eedfa1f806d304bd94c3","registered_before_move;candidate=93e4524025b8e2192c0e46d5cd56d46d0333996b09a26bda945d2a9f4b9b8054"
"7","2026-08-13T07:38:45.8263042Z","commit_complete","csv_replace","数据/condition-sets.csv","93e4524025b8e2192c0e46d5cd56d46d0333996b09a26bda945d2a9f4b9b8054","commit_index=3"
"8","2026-08-13T07:38:45.8466791Z","rollback_begin","csv_restore","数据/condition-sets.csv","93e4524025b8e2192c0e46d5cd56d46d0333996b09a26bda945d2a9f4b9b8054","reverse_index=2"
"9","2026-08-13T07:38:45.8631228Z","rollback_complete","csv_restore","数据/condition-sets.csv","c80a2e5e5cf98e90a2902c871ca64093d3e9f572a871eedfa1f806d304bd94c3","restored_premerge_backup"
"10","2026-08-13T07:38:45.8668237Z","rollback_begin","csv_restore","数据/components.csv","bdacd9a4db0abca65dc177743e4932db626c0e4e95563487245d4c969ed98c1b","reverse_index=1"
"11","2026-08-13T07:38:45.8975908Z","rollback_complete","csv_restore","数据/components.csv","506243dd2d4f48b281197d5113133e6591f19d14c4c818e0ef140c5039088cd6","restored_premerge_backup"
"12","2026-08-13T07:38:45.9012343Z","rollback_begin","csv_restore","数据/card-completeness.csv","ec30a8003e6359a9884154a2f1e9ef96f78d36b6a3fa9a62fb9ec670f5d299d2","reverse_index=0"
"13","2026-08-13T07:38:45.9284912Z","rollback_complete","csv_restore","数据/card-completeness.csv","a046bf3d9c7c88d1204a2f12e24c1ea654aa9ddd85115b2089c50f2de21c738b","restored_premerge_backup"
"14","2026-08-13T07:38:46.0441008Z","rollback_complete","transaction","","f1520907d54e406e7d82f591e3799f07f569218aff0c321ac3b836b6c649da10","all_registered_changes_reversed"
