"assertion_id","fact_id","source_id","claim_role","assertion_mode","assertion_relation","raw_value_text","raw_value_number","raw_unit","source_locator","quoted_context","extraction_status","extractor","reviewer","review_date","assertion_fingerprint","review_status","notes"
"ASSERT-M2W2-AMD-HELIOS-0001","FACT-M2W2-AMD-HELIOS-NAME","SRC-M2W2-AMD-HELIOS-PRODUCT-20260813","identity","direct_statement","supports","AMD Helios Rackscale solution","","","fixed-candidates/amd-helios-rackscale-2026-08-13.html:11208; FAQ first answer","The AMD Helios Rackscale solution is the first rackscale AI reference design from AMD.","source_checked","m2_wave2_amd_helios_system","","2026-08-13","FACT-M2W2-AMD-HELIOS-NAME|SRC-M2W2-AMD-HELIOS-PRODUCT-20260813|supports|line11208","draft","Raw product wording retained."
"ASSERT-M2W2-AMD-HELIOS-0002","FACT-M2W2-AMD-HELIOS-OBJECT-TYPE","SRC-M2W2-AMD-HELIOS-PRODUCT-20260813","identity","direct_statement","supports","rackscale solution","","","fixed-candidates/amd-helios-rackscale-2026-08-13.html:11208; FAQ first answer","The AMD Helios Rackscale solution is the first rackscale AI reference design from AMD.","source_checked","m2_wave2_amd_helios_system","","2026-08-13","FACT-M2W2-AMD-HELIOS-OBJECT-TYPE|SRC-M2W2-AMD-HELIOS-PRODUCT-20260813|supports|line11208","draft","Normalized to formal object_type rack."
"ASSERT-M2W2-AMD-HELIOS-0003","FACT-M2W2-AMD-HELIOS-FORM-FACTOR","SRC-M2W2-AMD-HELIOS-PRODUCT-20260813","identity","direct_statement","supports","open, double-wide ORW rack","","","fixed-candidates/amd-helios-rackscale-2026-08-13.html:11208; FAQ first answer","an open, double-wide ORW rack designed for AI-scale datacenters","source_checked","m2_wave2_amd_helios_system","","2026-08-13","FACT-M2W2-AMD-HELIOS-FORM-FACTOR|SRC-M2W2-AMD-HELIOS-PRODUCT-20260813|supports|line11208","draft","ORW expansion appears earlier in the same sentence."
"ASSERT-M2W2-AMD-HELIOS-0004","FACT-M2W2-AMD-HELIOS-REFERENCE-DESIGN","SRC-M2W2-AMD-HELIOS-PRODUCT-20260813","identity","direct_statement","supports","first rackscale AI reference design from AMD","","","fixed-candidates/amd-helios-rackscale-2026-08-13.html:11208; FAQ first answer","the first rackscale AI reference design from AMD","source_checked","m2_wave2_amd_helios_system","","2026-08-13","FACT-M2W2-AMD-HELIOS-REFERENCE-DESIGN|SRC-M2W2-AMD-HELIOS-PRODUCT-20260813|supports|line11208","draft","Vendor positioning, not an independent characterization."
"ASSERT-M2W2-AMD-HELIOS-0005","FACT-M2W2-AMD-HELIOS-NOT-FOR-SALE","SRC-M2W2-AMD-HELIOS-PRODUCT-20260813","identity","direct_statement","supports","reference design, not a product for sale","","","fixed-candidates/amd-helios-rackscale-2026-08-13.html:11268; FAQ third answer","It is a reference design, not a product for sale.","source_checked","m2_wave2_amd_helios_system","","2026-08-13","FACT-M2W2-AMD-HELIOS-NOT-FOR-SALE|SRC-M2W2-AMD-HELIOS-PRODUCT-20260813|supports|line11268","draft","Prevents treating the reference design as an AMD orderable SKU."
"ASSERT-M2W2-AMD-HELIOS-0006","FACT-M2W2-AMD-HELIOS-STATUS-EXPECTED-2H26","SRC-M2W2-AMD-HELIOS-PRODUCT-20260813","status_version","direct_statement","supports","volume deployments expected in 2H 2026","","","fixed-candidates/amd-helios-rackscale-2026-08-13.html:11288; FAQ fourth answer","being shared with partners now, with volume deployments expected in 2H 2026","source_checked","m2_wave2_amd_helios_system","","2026-08-13","FACT-M2W2-AMD-HELIOS-STATUS-EXPECTED-2H26|SRC-M2W2-AMD-HELIOS-PRODUCT-20260813|supports|line11288","draft","Expectation is not evidence of delivery or availability."
"ASSERT-M2W2-AMD-HELIOS-0007","FACT-M2W2-AMD-HELIOS-STATUS-EXPECTED-2H26","SRC-M2NA-AMD-CES2026-RELEASE","status_version","direct_statement","supports","provided an early look at Helios","","","最小参考资料库/快照/AMD/CDNA6/2026-08-12/amd-ces2026-cdna6-2026-08-12.html:290; News Highlights","AMD provided an early look at its Helios rack-scale platform.","source_checked","m2_wave2_amd_helios_system","","2026-08-13","FACT-M2W2-AMD-HELIOS-STATUS-EXPECTED-2H26|SRC-M2NA-AMD-CES2026-RELEASE|supports|line290-early-look","draft","Dated AMD release published 2026-01-05."
"ASSERT-M2W2-AMD-HELIOS-0008","FACT-M2W2-AMD-HELIOS-COOLING","SRC-M2W2-AMD-HELIOS-PRODUCT-20260813","core_spec","direct_statement","supports","liquid coolant","","","fixed-candidates/amd-helios-rackscale-2026-08-13.html:9088; Cooling Distribution Unit","Distributes liquid coolant to the compute and switch trays.","source_checked","m2_wave2_amd_helios_system","","2026-08-13","FACT-M2W2-AMD-HELIOS-COOLING|SRC-M2W2-AMD-HELIOS-PRODUCT-20260813|supports|line9088","draft","Normalized to cooling_mode liquid."
"ASSERT-M2W2-AMD-HELIOS-0009","FACT-M2W2-AMD-HELIOS-MI455X-QTY","SRC-M2W2-AMD-HELIOS-PRODUCT-20260813","core_spec","direct_statement","supports","","72","count","fixed-candidates/amd-helios-rackscale-2026-08-13.html:11208; FAQ first answer","It combines 72 AMD Instinct MI455X GPUs.","source_checked","m2_wave2_amd_helios_system","","2026-08-13","FACT-M2W2-AMD-HELIOS-MI455X-QTY|SRC-M2W2-AMD-HELIOS-PRODUCT-20260813|supports|line11208","draft","Direct relationship quantity."
"ASSERT-M2W2-AMD-HELIOS-0010","FACT-M2W2-AMD-HELIOS-MI455X-QTY","SRC-M2W2-AMD-MI400-LANDING-20260813","core_spec","direct_statement","supports","","72","count","fixed-candidates/amd-instinct-mi400-2026-08-13.html:6935; portfolio introduction","AMD Helios rackscale solution powered by 72 AMD Instinct MI455X GPUs","source_checked","m2_wave2_amd_helios_system","","2026-08-13","FACT-M2W2-AMD-HELIOS-MI455X-QTY|SRC-M2W2-AMD-MI400-LANDING-20260813|supports|line6935","draft","Independent page-level cross-check from AMD."
