"assertion_id","fact_id","source_id","claim_role","assertion_mode","assertion_relation","raw_value_text","raw_value_number","raw_unit","source_locator","quoted_context","extraction_status","extractor","reviewer","review_date","assertion_fingerprint","review_status","notes"
"ASSERT-M2NA-0001","FACT-M2NA-AMPERE-SM-EXEC","SRC-M2NA-NVIDIA-AMPERE-WP-2020","architecture_mechanism","direct_statement","supports","FP32, INT32, FP64, TENSOR CORE, LD/ST, SFU, Warp Scheduler, Dispatch Unit","","","PDF p.22, Figure 7, GA100 Streaming Multiprocessor labels","FP32, INT32, FP64, TENSOR CORE, LD/ST, SFU, Warp Scheduler, Dispatch Unit","source_checked","m2_arch_nvidia_amd","","2026-08-12","FACT-M2NA-AMPERE-SM-EXEC|SRC-M2NA-NVIDIA-AMPERE-WP-2020|supports|PDF p.22, Figure 7, GA100 Streaming Multiprocessor labels","draft","The figure labels support the ALU, matrix, load-store, special-function and control resources. SIMT/CUDA terminology is the project normalization of the SM organization."
"ASSERT-M2NA-0002","FACT-M2NA-AMPERE-TENSOR-EXEC","SRC-M2NA-NVIDIA-AMPERE-WP-2020","architecture_mechanism","direct_statement","supports","third-generation Tensor Cores","","","PDF p.20, A100 SM Architecture","new third-generation Tensor Cores","source_checked","m2_arch_nvidia_amd","","2026-08-12","FACT-M2NA-AMPERE-TENSOR-EXEC|SRC-M2NA-NVIDIA-AMPERE-WP-2020|supports|PDF p.20, A100 SM Architecture","draft","Source value and short context rechecked against the fixed first-party PDF. Researcher interpretation remains in the canonical fact or notes, not in raw_value_text."
"ASSERT-M2NA-0003","FACT-M2NA-AMPERE-TENSOR-FORMATS","SRC-M2NA-NVIDIA-AMPERE-WP-2020","architecture_mechanism","direct_statement","supports","FP16, BF16, TF32, FP64, INT8, INT4, Binary","","","PDF p.20, Third-generation Tensor Cores bullet","FP16, BF16, TF32, FP64, INT8, INT4, and Binary","source_checked","m2_arch_nvidia_amd","","2026-08-12","FACT-M2NA-AMPERE-TENSOR-FORMATS|SRC-M2NA-NVIDIA-AMPERE-WP-2020|supports|PDF p.20, Third-generation Tensor Cores bullet","draft","Source value and short context rechecked against the fixed first-party PDF. Researcher interpretation remains in the canonical fact or notes, not in raw_value_text."
"ASSERT-M2NA-0004","FACT-M2NA-AMPERE-CUDA-EXEC","SRC-M2NA-NVIDIA-AMPERE-WP-2020","architecture_mechanism","direct_statement","supports","FP32 and INT32 datapaths","","","PDF p.22, Figure 7, SM processing-block labels","FP32 and INT32","source_checked","m2_arch_nvidia_amd","","2026-08-12","FACT-M2NA-AMPERE-CUDA-EXEC|SRC-M2NA-NVIDIA-AMPERE-WP-2020|supports|PDF p.22, Figure 7, SM processing-block labels","draft","Source value and short context rechecked against the fixed first-party PDF. Researcher interpretation remains in the canonical fact or notes, not in raw_value_text."
"ASSERT-M2NA-0005","FACT-M2NA-AMPERE-ASYNC-EXEC","SRC-M2NA-NVIDIA-AMPERE-WP-2020","architecture_mechanism","direct_statement","supports","new asynchronous copy instruction","","","PDF p.21, A100 SM feature bullets","loads data directly from global memory into shared memory","source_checked","m2_arch_nvidia_amd","","2026-08-12","FACT-M2NA-AMPERE-ASYNC-EXEC|SRC-M2NA-NVIDIA-AMPERE-WP-2020|supports|PDF p.21, A100 SM feature bullets","draft","Source value and short context rechecked against the fixed first-party PDF. Researcher interpretation remains in the canonical fact or notes, not in raw_value_text."
"ASSERT-M2NA-0006","FACT-M2NA-AMPERE-L1SMEM-MGMT","SRC-M2NA-NVIDIA-AMPERE-WP-2020","architecture_mechanism","direct_statement","supports","combined shared memory and L1 data cache","","","PDF p.21, A100 SM feature bullets","combined shared memory and L1 data cache","source_checked","m2_arch_nvidia_amd","","2026-08-12","FACT-M2NA-AMPERE-L1SMEM-MGMT|SRC-M2NA-NVIDIA-AMPERE-WP-2020|supports|PDF p.21, A100 SM feature bullets","draft","Source value and short context rechecked against the fixed first-party PDF. Researcher interpretation remains in the canonical fact or notes, not in raw_value_text."
"ASSERT-M2NA-0007","FACT-M2NA-AMPERE-L1SMEM-SCOPE","SRC-M2NA-NVIDIA-AMPERE-WP-2020","architecture_mechanism","direct_statement","supports","per SM","","","PDF p.15, A100 GPU Key Features Summary","aggregate capacity per SM","source_checked","m2_arch_nvidia_amd","","2026-08-12","FACT-M2NA-AMPERE-L1SMEM-SCOPE|SRC-M2NA-NVIDIA-AMPERE-WP-2020|supports|PDF p.15, A100 GPU Key Features Summary","draft","Source value and short context rechecked against the fixed first-party PDF. Researcher interpretation remains in the canonical fact or notes, not in raw_value_text."
"ASSERT-M2NA-0008","FACT-M2NA-AMPERE-FP16-A","SRC-M2NA-NVIDIA-AMPERE-WP-2020","architecture_mechanism","direct_statement","supports","FP16","","","PDF p.21, Tensor Core feature bullets","FP16/FP32 mixed-precision","source_checked","m2_arch_nvidia_amd","","2026-08-12","FACT-M2NA-AMPERE-FP16-A|SRC-M2NA-NVIDIA-AMPERE-WP-2020|supports|PDF p.21, Tensor Core feature bullets","draft","Source value and short context rechecked against the fixed first-party PDF. Researcher interpretation remains in the canonical fact or notes, not in raw_value_text."
"ASSERT-M2NA-0009","FACT-M2NA-AMPERE-FP16-B","SRC-M2NA-NVIDIA-AMPERE-WP-2020","architecture_mechanism","direct_statement","supports","FP16","","","PDF p.21, Tensor Core feature bullets","FP16/FP32 mixed-precision","source_checked","m2_arch_nvidia_amd","","2026-08-12","FACT-M2NA-AMPERE-FP16-B|SRC-M2NA-NVIDIA-AMPERE-WP-2020|supports|PDF p.21, Tensor Core feature bullets","draft","Source value and short context rechecked against the fixed first-party PDF. Researcher interpretation remains in the canonical fact or notes, not in raw_value_text."
"ASSERT-M2NA-0010","FACT-M2NA-AMPERE-FP16-ACC","SRC-M2NA-NVIDIA-AMPERE-WP-2020","architecture_mechanism","direct_statement","supports","FP32","","","PDF p.21, Tensor Core feature bullets","FP16/FP32 mixed-precision","source_checked","m2_arch_nvidia_amd","","2026-08-12","FACT-M2NA-AMPERE-FP16-ACC|SRC-M2NA-NVIDIA-AMPERE-WP-2020|supports|PDF p.21, Tensor Core feature bullets","draft","Source value and short context rechecked against the fixed first-party PDF. Researcher interpretation remains in the canonical fact or notes, not in raw_value_text."
