"search_result_id","search_id","source_id","result_relation","review_status","notes"
"SRESULT-M2NA-GAP-0006-1","SEARCH-M2NA-GAP-0006","SRC-M2NA-NVIDIA-AMPERE-WP-2020","checked_no_support","draft","The source was checked but did not support this exact field and frozen subject."
"SRESULT-M2NA-GAP-0006-2","SEARCH-M2NA-GAP-0006","SRC-NVIDIA-CUDA-C-PROGRAMMING-GUIDE-11-0","checked_no_support","draft","The source was checked but did not support this exact field and frozen subject."
"SRESULT-M2NA-GAP-0059-1","SEARCH-M2NA-GAP-0059","SRC-M2NA-NVIDIA-AMPERE-WP-2020","checked_no_support","draft","The source was checked but did not support this exact field and frozen subject."
"SRESULT-M2NA-GAP-0059-2","SEARCH-M2NA-GAP-0059","SRC-NVIDIA-CUDA-C-PROGRAMMING-GUIDE-11-0","checked_no_support","draft","The source was checked but did not support this exact field and frozen subject."
"SRESULT-M2NA-GAP-0060-1","SEARCH-M2NA-GAP-0060","SRC-M2NA-NVIDIA-AMPERE-WP-2020","checked_no_support","draft","The source was checked but did not support this exact field and frozen subject."
"SRESULT-M2NA-GAP-0060-2","SEARCH-M2NA-GAP-0060","SRC-NVIDIA-CUDA-C-PROGRAMMING-GUIDE-11-0","checked_no_support","draft","The source was checked but did not support this exact field and frozen subject."
"SRESULT-M2NA-GAP-0061-1","SEARCH-M2NA-GAP-0061","SRC-M2NA-NVIDIA-AMPERE-WP-2020","checked_no_support","draft","The source was checked but did not support this exact field and frozen subject."
"SRESULT-M2NA-GAP-0061-2","SEARCH-M2NA-GAP-0061","SRC-NVIDIA-CUDA-C-PROGRAMMING-GUIDE-11-0","checked_no_support","draft","The source was checked but did not support this exact field and frozen subject."
"SRESULT-M2NA-GAP-0062-1","SEARCH-M2NA-GAP-0062","SRC-M2NA-NVIDIA-AMPERE-WP-2020","checked_no_support","draft","The source was checked but did not support this exact field and frozen subject."
"SRESULT-M2NA-GAP-0062-2","SEARCH-M2NA-GAP-0062","SRC-NVIDIA-CUDA-C-PROGRAMMING-GUIDE-11-0","checked_no_support","draft","The source was checked but did not support this exact field and frozen subject."
