"payload_id","package","payload_kind","target_path","expected_sha256","actual_sha256","expected_bytes","actual_bytes","status"
"BUNDLE-MI455X-MI455X-SIGN-ARTIFACT-01","MI455X","card","资料卡/AMD/封装/AMD_Instinct_MI455X_模组资料卡.md","bb864ff8cddd2ef004883476ab0024b1c57234ebd278e94860b05421b97b185b","bb864ff8cddd2ef004883476ab0024b1c57234ebd278e94860b05421b97b185b","19920","19920","matched"
"BUNDLE-MI455X-MI455X-SIGN-ARTIFACT-02","MI455X","official_html_snapshot","最小参考资料库/快照/AMD/MI455X/2026-08-13/amd-instinct-mi455x-2026-08-13.html","2fa27618862c42b0b9e6eed2e5c88c360e6eac2650d9fc97bae08c6338315b47","2fa27618862c42b0b9e6eed2e5c88c360e6eac2650d9fc97bae08c6338315b47","217833","217833","matched"
"BUNDLE-MI455X-MI455X-SIGN-ARTIFACT-03","MI455X","official_fixed_pdf","论文/AMD_Instinct/02_厂商产品资料/2026_AMD_Instinct_MI455X_GPU_Brochure.pdf","6555fef1399a35f472e325dc61936d293e129735ec1e191d5fd0f3b6fa0c4208","6555fef1399a35f472e325dc61936d293e129735ec1e191d5fd0f3b6fa0c4208","659374","659374","matched"
"BUNDLE-MI350P-MI350P-SIGN-ARTIFACT-01","MI350P","card","资料卡/AMD/产品/AMD_Instinct_MI350P_PCIe_卡资料卡.md","53458fc9a9662a1c17230fddb067e4365ad4b3f2f7755d072d674ffeface3b36","53458fc9a9662a1c17230fddb067e4365ad4b3f2f7755d072d674ffeface3b36","18757","18757","matched"
"BUNDLE-MI350P-MI350P-SIGN-ARTIFACT-02","MI350P","official_html_snapshot","最小参考资料库/快照/AMD/MI350P/2026-08-13/amd-instinct-mi350p-pcie-2026-08-13.html","09b3ffd469353dfb2456fc2fca67b421aa8bf5ae48be809fa64f1a30dda3c088","09b3ffd469353dfb2456fc2fca67b421aa8bf5ae48be809fa64f1a30dda3c088","196285","196285","matched"
"BUNDLE-MI350P-MI350P-SIGN-ARTIFACT-03","MI350P","official_fixed_pdf","论文/AMD_Instinct/02_厂商产品资料/2026_AMD_Instinct_MI350P_PCIe_Card_Brochure.pdf","a4e93edffc6c2a03668eef72b84d85e1d2586afb331c2228595d1549609afb29","a4e93edffc6c2a03668eef72b84d85e1d2586afb331c2228595d1549609afb29","782486","782486","matched"
"BUNDLE-MI350P-MI350P-SIGN-ARTIFACT-04","MI350P","official_html_snapshot","最小参考资料库/快照/AMD/MI350P/2026-08-13/amd-mi350p-pcie-blog-2026-08-13.html","2bc9cbb81e424e4d1c5d6912b43e7cfb1107081f159b012d8ad9cffd3b66dfb8","2bc9cbb81e424e4d1c5d6912b43e7cfb1107081f159b012d8ad9cffd3b66dfb8","184522","184522","matched"
"BUNDLE-ASCEND950-ASC950-SIGN-ARTIFACT-01","ASCEND950","card","资料卡/华为昇腾/封装/华为_Ascend950_共享裸片资料卡.md","a291d3ce26c0f8958454eb9917ec742ef8fb51f39a1204c052c759baf89220c9","a291d3ce26c0f8958454eb9917ec742ef8fb51f39a1204c052c759baf89220c9","6420","6420","matched"
"BUNDLE-ASCEND950-ASC950-SIGN-ARTIFACT-02","ASCEND950","card","资料卡/华为昇腾/封装/华为_Ascend950PR_封装资料卡.md","06c18287b35958d51492a6c55e170cc891aa0b005c4ddb4850b7144832940b66","06c18287b35958d51492a6c55e170cc891aa0b005c4ddb4850b7144832940b66","6434","6434","matched"
"BUNDLE-ASCEND950-ASC950-SIGN-ARTIFACT-03","ASCEND950","card","资料卡/华为昇腾/封装/华为_Ascend950DT_封装资料卡.md","5cbe7d6169869ae94e355d1b90a1be0bf39fb1f6319b4cded7ca584ccca0e958","5cbe7d6169869ae94e355d1b90a1be0bf39fb1f6319b4cded7ca584ccca0e958","6335","6335","matched"
