"card_completeness_id","object_id","domain","completeness_status","assessed_date","assessor","review_status","notes"
"COMP-M2W2-TRN2CORR-TRN2-3XLARGE-IDENTITY","OBJ-AWS-TRN2-3XLARGE","identity","partial","2026-08-13","m2_trn2_correction","draft","SKU、家族和加速器数量已确认；首次可用日期待核"
"COMP-M2W2-TRN2CORR-TRN2-3XLARGE-PHYSICAL","OBJ-AWS-TRN2-3XLARGE","physical","not_applicable","2026-08-13","m2_trn2_correction","draft","package 与系统物理字段不在云实例卡"
"COMP-M2W2-TRN2CORR-TRN2-3XLARGE-COMPUTE","OBJ-AWS-TRN2-3XLARGE","compute","not_applicable","2026-08-13","m2_trn2_correction","draft","不复制 Trainium2 芯片计算事实"
"COMP-M2W2-TRN2CORR-TRN2-3XLARGE-NUMERICS","OBJ-AWS-TRN2-3XLARGE","numerics","not_applicable","2026-08-13","m2_trn2_correction","draft","不复制芯片格式和累加事实"
"COMP-M2W2-TRN2CORR-TRN2-3XLARGE-MEMORY","OBJ-AWS-TRN2-3XLARGE","memory","partial","2026-08-13","m2_trn2_correction","draft","S07 的 96 GB 与 S15 的 512 GiB 声明均保留；S15 已筛为 rejected_unreliable，但正式冲突组尚未设 preferred_fact_id"
"COMP-M2W2-TRN2CORR-TRN2-3XLARGE-INTERCONNECT","OBJ-AWS-TRN2-3XLARGE","interconnect","partial","2026-08-13","m2_trn2_correction","draft","0.2 Tbps 原值已按实例注入带宽规范化；实例内拓扑与带宽未找到"
"COMP-M2W2-TRN2CORR-TRN2-3XLARGE-SPECIAL_ENGINES","OBJ-AWS-TRN2-3XLARGE","special_engines","not_applicable","2026-08-13","m2_trn2_correction","draft","架构和软件能力仅引用"
"COMP-M2W2-TRN2CORR-TRN2-3XLARGE-SOFTWARE","OBJ-AWS-TRN2-3XLARGE","software","partial","2026-08-13","m2_trn2_correction","draft","共享软件链可引用，未抽取实例专属版本"
"COMP-M2W2-TRN2CORR-TRN2-3XLARGE-EVIDENCE","OBJ-AWS-TRN2-3XLARGE","evidence","partial","2026-08-13","m2_trn2_correction","draft","S07 2026-08-13 快照已固定并确认 nonce 归一化等价；首次可用日期仍缺失"
"COMP-M2W2-TRN2CORR-TRN2-48XLARGE-IDENTITY","OBJ-AWS-TRN2-48XLARGE","identity","complete","2026-08-13","m2_trn2_correction","draft","实例身份、家族、16 芯片组成和 2024-12-03 状态有一手证据"
"COMP-M2W2-TRN2CORR-TRN2-48XLARGE-PHYSICAL","OBJ-AWS-TRN2-48XLARGE","physical","not_applicable","2026-08-13","m2_trn2_correction","draft","package 与系统物理字段不在云实例卡"
"COMP-M2W2-TRN2CORR-TRN2-48XLARGE-COMPUTE","OBJ-AWS-TRN2-48XLARGE","compute","partial","2026-08-13","m2_trn2_correction","draft","当前稠密和结构化稀疏峰值有一手值；仅 FP8 保留受支持的 2024 历史冲突"
"COMP-M2W2-TRN2CORR-TRN2-48XLARGE-NUMERICS","OBJ-AWS-TRN2-48XLARGE","numerics","partial","2026-08-13","m2_trn2_correction","draft","格式峰值标签可确认；实现精度只引用架构事实"
"COMP-M2W2-TRN2CORR-TRN2-48XLARGE-MEMORY","OBJ-AWS-TRN2-48XLARGE","memory","partial","2026-08-13","m2_trn2_correction","draft","容量和带宽有值；容量存在被拒绝来源冲突"
"COMP-M2W2-TRN2CORR-TRN2-48XLARGE-INTERCONNECT","OBJ-AWS-TRN2-48XLARGE","interconnect","partial","2026-08-13","m2_trn2_correction","draft","torus、节点数、实例内带宽和实例 EFAv3 注入带宽有值；方向、延迟和对分带宽缺失"
"COMP-M2W2-TRN2CORR-TRN2-48XLARGE-SPECIAL_ENGINES","OBJ-AWS-TRN2-48XLARGE","special_engines","not_applicable","2026-08-13","m2_trn2_correction","draft","架构和软件能力仅引用"
"COMP-M2W2-TRN2CORR-TRN2-48XLARGE-SOFTWARE","OBJ-AWS-TRN2-48XLARGE","software","partial","2026-08-13","m2_trn2_correction","draft","共享软件链可引用，未抽取实例专属版本"
