source_id,full_card,brief_card,full_chars,brief_chars,status,errors
S01,逐篇分析/完整卡/S01_hardware_specialization.md,逐篇分析/摘要卡/S01_hardware_specialization.md,8953,140,pass,
S02,逐篇分析/完整卡/S02_coltrain.md,逐篇分析/摘要卡/S02_coltrain.md,14510,172,pass,
S03,逐篇分析/完整卡/S03_dnn_accelerator_survey.md,逐篇分析/摘要卡/S03_dnn_accelerator_survey.md,9883,130,pass,
S04,逐篇分析/完整卡/S04_hardware_acceleration.md,逐篇分析/摘要卡/S04_hardware_acceleration.md,14735,138,pass,
S05,逐篇分析/完整卡/S05_dnn_training_tutorial.md,逐篇分析/摘要卡/S05_dnn_training_tutorial.md,12106,116,pass,
S06,逐篇分析/完整卡/S06_numerical_encoding.md,逐篇分析/摘要卡/S06_numerical_encoding.md,9776,142,pass,
S07,逐篇分析/完整卡/S07_ml_accelerator_survey.md,逐篇分析/摘要卡/S07_ml_accelerator_survey.md,9919,109,pass,
S08,逐篇分析/完整卡/S08_irds_benchmarking.md,逐篇分析/摘要卡/S08_irds_benchmarking.md,12530,146,pass,
S09,逐篇分析/完整卡/S09_deployment_survey.md,逐篇分析/摘要卡/S09_deployment_survey.md,9501,124,pass,
S10,逐篇分析/完整卡/S10_deep_learning_architects.md,逐篇分析/摘要卡/S10_deep_learning_architects.md,16094,126,pass,
S11,逐篇分析/完整卡/S11_llm_inference_hardware.md,逐篇分析/摘要卡/S11_llm_inference_hardware.md,10606,130,pass,
S12,逐篇分析/完整卡/S12_accelerator_benchmarking.md,逐篇分析/摘要卡/S12_accelerator_benchmarking.md,10229,120,pass,
S13,逐篇分析/完整卡/S13_gemma_deepdive.md,逐篇分析/摘要卡/S13_gemma_deepdive.md,10949,126,pass,
S14,逐篇分析/完整卡/S14_tpu8t_tpu8i.md,逐篇分析/摘要卡/S14_tpu8t_tpu8i.md,12248,138,pass,
S15,逐篇分析/完整卡/S15_aws_inference_challenges.md,逐篇分析/摘要卡/S15_aws_inference_challenges.md,11157,125,pass,
S16,逐篇分析/完整卡/S16_copa_gpu.md,逐篇分析/摘要卡/S16_copa_gpu.md,13928,135,pass,
S17,逐篇分析/完整卡/S17_spring.md,逐篇分析/摘要卡/S17_spring.md,13753,124,pass,
S18,逐篇分析/完整卡/S18_tpuv1.md,逐篇分析/摘要卡/S18_tpuv1.md,14375,117,pass,
S19,逐篇分析/完整卡/S19_efficient_dnn_processing.md,逐篇分析/摘要卡/S19_efficient_dnn_processing.md,10883,123,pass,
