"inventory_role","commit_order","rollback_order","target_path","precondition","backup_content","rollback_action","irreversible"
"csv_replacement","1","19","数据/card-completeness.csv","exact_premerge_hash_and_size","exact_target_bytes","restore_exact_backup","false"
"csv_replacement","2","18","数据/components.csv","exact_premerge_hash_and_size","exact_target_bytes","restore_exact_backup","false"
"csv_replacement","3","17","数据/condition-sets.csv","exact_premerge_hash_and_size","exact_target_bytes","restore_exact_backup","false"
"csv_replacement","4","16","数据/facts.csv","exact_premerge_hash_and_size","exact_target_bytes","restore_exact_backup","false"
"csv_replacement","5","15","数据/field-requirements.csv","exact_premerge_hash_and_size","exact_target_bytes","restore_exact_backup","false"
"csv_replacement","6","14","数据/links.csv","exact_premerge_hash_and_size","exact_target_bytes","restore_exact_backup","false"
"csv_replacement","7","13","数据/memory-levels.csv","exact_premerge_hash_and_size","exact_target_bytes","restore_exact_backup","false"
"csv_replacement","8","12","数据/precision-paths.csv","exact_premerge_hash_and_size","exact_target_bytes","restore_exact_backup","false"
"csv_replacement","9","11","最小参考资料库/fact-assertions.csv","exact_premerge_hash_and_size","exact_target_bytes","restore_exact_backup","false"
"csv_replacement","10","10","最小参考资料库/search-log.csv","exact_premerge_hash_and_size","exact_target_bytes","restore_exact_backup","false"
"csv_replacement","11","9","最小参考资料库/search-results.csv","exact_premerge_hash_and_size","exact_target_bytes","restore_exact_backup","false"
"csv_replacement","12","8","最小参考资料库/selection-members.csv","exact_premerge_hash_and_size","exact_target_bytes","restore_exact_backup","false"
"csv_replacement","13","7","最小参考资料库/selection-runs.csv","exact_premerge_hash_and_size","exact_target_bytes","restore_exact_backup","false"
"csv_replacement","14","6","最小参考资料库/source-coverage.csv","exact_premerge_hash_and_size","exact_target_bytes","restore_exact_backup","false"
"csv_replacement","15","5","最小参考资料库/source-endpoints.csv","exact_premerge_hash_and_size","exact_target_bytes","restore_exact_backup","false"
"csv_replacement","16","4","最小参考资料库/source-families.csv","exact_premerge_hash_and_size","exact_target_bytes","restore_exact_backup","false"
"csv_replacement","17","3","最小参考资料库/sources.csv","exact_premerge_hash_and_size","exact_target_bytes","restore_exact_backup","false"
"csv_replacement","18","2","最小参考资料库/source-screening.csv","exact_premerge_hash_and_size","exact_target_bytes","restore_exact_backup","false"
"csv_replacement","19","1","最小参考资料库/source-selected-roles.csv","exact_premerge_hash_and_size","exact_target_bytes","restore_exact_backup","false"
"new_file","20","3","资料卡/AMD/封装/AMD_Instinct_MI455X_模组资料卡.md","target_absent","absence_sentinel","delete_only_if_exact_committed_hash","false"
"new_file","21","2","最小参考资料库/快照/AMD/MI455X/2026-08-13/amd-instinct-mi455x-2026-08-13.html","target_absent","absence_sentinel","delete_only_if_exact_committed_hash","false"
"new_file","22","1","论文/AMD_Instinct/02_厂商产品资料/2026_AMD_Instinct_MI455X_GPU_Brochure.pdf","target_absent","absence_sentinel","delete_only_if_exact_committed_hash","false"
"no_write_guard_table","0","0","数据/objects.csv","exact_full_table_hash:54800b32b2ee08b45bf0b9ad0aa569b406133a1f74be26d5301ee5de750a1ec7","exact_guard_table_bytes","restore_only_after_unexpected_guard_mutation","false"
"no_write_guard_table","0","0","数据/object-relations.csv","exact_full_table_hash:9bbe32227f7022a5f9e4fe379d805e60780c15d6987e5b20e3b94ac3241fa353","exact_guard_table_bytes","restore_only_after_unexpected_guard_mutation","false"
