"link_id","owner_object_id","endpoint_a_id","endpoint_b_id","link_level","canonical_label","review_status","notes"
"LINK-NVIDIA-H100-NVLINK4","OBJ-NVIDIA-H100-SXM5-80GB","OBJ-NVIDIA-H100-SXM5-80GB","","device_direct","Fourth-generation NVLink endpoint","draft","18 physical links; each link 25 GB/s per direction; device aggregate 900 GB/s bidirectional."
"LINK-NVIDIA-H100-PCIE5X16","OBJ-NVIDIA-H100-SXM5-80GB","OBJ-NVIDIA-H100-SXM5-80GB","","host_device","PCIe 5.0 x16 endpoint","draft","64 GB/s per direction and 128 GB/s bidirectional aggregate under NVIDIA stated convention."
"LINK-AWS-TRN2-CHIP-NEURONLINKV3","OBJ-AWS-TRAINIUM2-CHIP","OBJ-AWS-TRAINIUM2-CHIP","","device_direct","Trainium2 NeuronLink-v3 aggregate interface","draft","4 个接口；方向与有效载荷口径未公开"
"LINK-AWS-TRN2-48XL-INTRA","OBJ-AWS-TRN2-48XLARGE","OBJ-AWS-TRAINIUM2-CHIP","OBJ-AWS-TRAINIUM2-CHIP","node_internal","trn2.48xlarge intra-instance NeuronLink-v3","draft","同构芯片间 scale-up 网络"
"LINK-AWS-TRN2U-48XL-INTRA","OBJ-AWS-TRN2U-48XLARGE","OBJ-AWS-TRAINIUM2-CHIP","OBJ-AWS-TRAINIUM2-CHIP","node_internal","trn2u.48xlarge intra-instance NeuronLink-v3","draft","同构芯片间 scale-up 网络"
"LINK-AWS-TRN2-ULTRA64-INTER","OBJ-AWS-TRN2-ULTRASERVER-64","OBJ-AWS-TRN2U-48XLARGE","OBJ-AWS-TRN2U-48XLARGE","rack_scale_up","Trn2 UltraServer inter-instance NeuronLink-v3","draft","四个 trn2u 实例的同坐标芯片成环"
"LINK-AWS-TRN2-3XL-EFAV3","OBJ-AWS-TRN2-3XLARGE","OBJ-AWS-TRN2-3XLARGE","","datacenter_scale_out","trn2.3xlarge EFAv3","draft","实例级 scale-out 网络"
"LINK-AWS-TRN2-48XL-EFAV3","OBJ-AWS-TRN2-48XLARGE","OBJ-AWS-TRN2-48XLARGE","","datacenter_scale_out","trn2.48xlarge EFAv3","draft","实例级 scale-out 网络"
"LINK-AWS-TRN2U-48XL-EFAV3","OBJ-AWS-TRN2U-48XLARGE","OBJ-AWS-TRN2U-48XLARGE","","datacenter_scale_out","trn2u.48xlarge EFAv3","draft","实例级 scale-out 网络"
"LINK-AWS-TRN2-ULTRA64-EFAV3","OBJ-AWS-TRN2-ULTRASERVER-64","OBJ-AWS-TRN2-ULTRASERVER-64","","datacenter_scale_out","Trn2 UltraServer EFAv3","draft","UltraServer 系统级 EFAv3 scale-out 网络；S07 直接给出 12.8 Tbps 系统聚合带宽"
"LINK-GROQ-LPU1-C2C","OBJ-GROQ-LPU1-ARCH","OBJ-GROQ-LPU1-ARCH","","device_direct","第一代 TSP C2C link group","draft","第一代 TSP 的 C2C 链路组；具体链路数量与速率在实现待办"
"LINK-NVG3-C2C","OBJ-NVIDIA-GROQ3-ARCH","OBJ-NVIDIA-GROQ3-ARCH","","device_direct","Groq 3 C2C link group","draft","Groq 3 的 C2C 链路组；per-LPU 数量与速率在实现待办"
"LINK-M2GA-GV3-ICI","OBJ-GOOGLE-TPU-V3-ARCH","OBJ-GOOGLE-TPU-V3-ARCH","","device_direct","External ICI contract","draft","链路数量与带宽下沉实现对象"
"LINK-M2GA-GV4-ICI","OBJ-GOOGLE-TPU-V4-ARCH","OBJ-GOOGLE-TPU-V4-ARCH","","device_direct","External ICI contract","draft","链路数量与带宽下沉实现对象"
"LINK-M2GA-GV5E-ICI","OBJ-GOOGLE-TPU-V5E-ARCH","OBJ-GOOGLE-TPU-V5E-ARCH","","device_direct","External ICI contract","draft","链路数量与带宽下沉实现对象"
"LINK-M2GA-GV5P-ICI","OBJ-GOOGLE-TPU-V5P-ARCH","OBJ-GOOGLE-TPU-V5P-ARCH","","device_direct","External ICI contract","draft","链路数量与带宽下沉实现对象"
"LINK-M2GA-GV6E-ICI","OBJ-GOOGLE-TPU-V6E-ARCH","OBJ-GOOGLE-TPU-V6E-ARCH","","device_direct","External ICI contract","draft","链路数量与带宽下沉实现对象"
"LINK-M2GA-G7X-ICI","OBJ-GOOGLE-TPU7X-ARCH","OBJ-GOOGLE-TPU7X-ARCH","","device_direct","External ICI contract","draft","链路数量与带宽下沉实现对象"
"LINK-M2GA-G8I-ICI","OBJ-GOOGLE-TPU-8I-ARCH","OBJ-GOOGLE-TPU-8I-ARCH","","device_direct","External ICI endpoint","draft","链路数量与带宽下沉实现对象"
"LINK-M2GA-ATRN1-NL","OBJ-AWS-TRAINIUM1-ARCH","OBJ-AWS-TRAINIUM1-ARCH","","device_direct","NeuronLink-v2","draft","接口数量与总带宽下沉实现对象"
"LINK-M2GA-AIF2-NL","OBJ-AWS-INFERENTIA2-ARCH","OBJ-AWS-INFERENTIA2-ARCH","","device_direct","NeuronLink-v2","draft","接口数量与总带宽下沉实现对象"
"LINK-M2GA-ATRN3-NL","OBJ-AWS-TRAINIUM3-ARCH","OBJ-AWS-TRAINIUM3-ARCH","","device_direct","NeuronLink-v4","draft","接口数量与总带宽下沉实现对象"
"LINK-M2NA-AMPERE-NVLINK3","OBJ-NVIDIA-AMPERE-ARCH","OBJ-NVIDIA-AMPERE-ARCH","","device_direct","Third-generation NVLink endpoint","draft","Architecture protocol generation only. A100 link count and aggregate bandwidth are SKU facts."
"LINK-M2NA-BLACKWELL-NVHBI","OBJ-NVIDIA-BLACKWELL-ARCH","OBJ-NVIDIA-BLACKWELL-ARCH","OBJ-NVIDIA-BLACKWELL-ARCH","die_to_die","Blackwell NV-HBI coherent die-to-die interface","draft","Architecture-level mechanism record only. The published 10-TB/s two-die package value is staged in the implementation backlog until a silicon_package object is frozen."
"LINK-M2NA-BLACKWELL-NVLINK5","OBJ-NVIDIA-BLACKWELL-ARCH","OBJ-NVIDIA-BLACKWELL-ARCH","","device_direct","Fifth-generation NVLink endpoint","draft","Per-GPU link count and aggregate bandwidth remain product facts."
"LINK-M2NA-RUBIN-NVLINK","OBJ-NVIDIA-RUBIN-ARCH","OBJ-NVIDIA-RUBIN-ARCH","","device_direct","Rubin NVLink endpoint","draft","Counted-write protocol enhancement is public. Absolute link and payload bandwidth remain pending."
"LINK-M2NA-CDNA2-IF-PKG","OBJ-AMD-CDNA2-ARCH","OBJ-AMD-CDNA2-ARCH","OBJ-AMD-CDNA2-ARCH","package_internal","CDNA 2 package-internal Infinity Fabric","draft","Connects GCDs within multi-die products. GCD count and package aggregate are product-specific."
"LINK-M2NA-CDNA2-IF-P2P","OBJ-AMD-CDNA2-ARCH","OBJ-AMD-CDNA2-ARCH","","device_direct","CDNA 2 external Infinity Fabric endpoint","draft","Product link count and aggregate bandwidth are excluded."
"LINK-M2NA-CDNA3-IF-PKG","OBJ-AMD-CDNA3-ARCH","OBJ-AMD-CDNA3-ARCH","OBJ-AMD-CDNA3-ARCH","package_internal","CDNA 3 fourth-generation package Infinity Fabric","draft","Connects XCDs, IODs, memory and coherent agents. Package configuration is not fixed by the architecture card."
"LINK-M2NA-CDNA3-IF-P2P","OBJ-AMD-CDNA3-ARCH","OBJ-AMD-CDNA3-ARCH","","device_direct","CDNA 3 external Infinity Fabric endpoint","draft","Link count and aggregate bandwidth are product-specific."
"LINK-M2NA-CDNA4-IF-PKG","OBJ-AMD-CDNA4-ARCH","OBJ-AMD-CDNA4-ARCH","OBJ-AMD-CDNA4-ARCH","package_internal","CDNA 4 package-internal Infinity Fabric","draft","Direct IOD-to-IOD and XCD-to-IOD fabric are described. MI350 bisection numbers remain product evidence."
"LINK-M2NA-CDNA4-IF-P2P","OBJ-AMD-CDNA4-ARCH","OBJ-AMD-CDNA4-ARCH","","device_direct","CDNA 4 external Infinity Fabric endpoint","needs_resolution","The whitepaper product footnote publishes per-link and aggregate MI350 values. No numeric value is promoted until architecture versus SKU scope is resolved."
"LINK-M2NA-CDNA5-IF-PKG","OBJ-AMD-CDNA5-ARCH","OBJ-AMD-CDNA5-ARCH","OBJ-AMD-CDNA5-ARCH","package_internal","CDNA 5 package-internal Infinity Fabric","draft","Connects compute, cache, memory and I/O dies. UALoE counts and bandwidth are MI455X and Helios product facts."
"LINK-M2W2-AMD-HELIOS-SCALEUP","OBJ-AMD-HELIOS-72-MI455X","OBJ-AMD-MI455X","OBJ-AMD-MI455X","rack_scale_up","Helios rack UALoE scale-up fabric","reviewed","Rack-level homogeneous GPU fabric; no per-GPU value is inferred."
"LINK-M2W2-AMD-HELIOS-SCALEOUT","OBJ-AMD-HELIOS-72-MI455X","OBJ-AMD-HELIOS-72-MI455X","","datacenter_scale_out","Helios rack Pensando Ethernet scale-out","reviewed","Rack egress aggregate as directly labeled by AMD."
