"assertion_id","fact_id","source_id","claim_role","assertion_mode","assertion_relation","raw_value_text","raw_value_number","raw_unit","source_locator","quoted_context","extraction_status","extractor","reviewer","review_date","assertion_fingerprint","review_status","notes"
"ASSERT-M2NA-0001","FACT-M2NA-AMPERE-SM-EXEC","SRC-M2NA-NVIDIA-AMPERE-WP-2020","architecture_mechanism","direct_statement","qualifies","four processing blocks with warp scheduler, dispatch, CUDA cores, Tensor Cores, LD/ST, and SFU resources","","","PDF p.20 Figure 7","GA100 Streaming Multiprocessor","source_checked","m2_arch_nvidia_amd","","2026-08-21","FACT-M2NA-AMPERE-SM-EXEC|SRC-M2NA-NVIDIA-AMPERE-WP-2020|qualifies|PDF p.20 Figure 7","draft","Figure 7 anchors structure but does not itself use the term SIMT."
"ASSERT-M2NA-0004","FACT-M2NA-AMPERE-CUDA-EXEC","SRC-M2NA-NVIDIA-AMPERE-WP-2020","architecture_mechanism","direct_statement","supports","FP32 Core and INT32 Core execution resources","","","PDF p.20 Figure 7","FP32 Core, INT32 Core","source_checked","m2_arch_nvidia_amd","","2026-08-21","FACT-M2NA-AMPERE-CUDA-EXEC|SRC-M2NA-NVIDIA-AMPERE-WP-2020|supports|PDF p.20 Figure 7","draft","Supports the FP32 and INT32 path. PTX supplies the SIMT machine-model term."
"ASSERT-M2NA-0005","FACT-M2NA-AMPERE-ASYNC-EXEC","SRC-M2NA-NVIDIA-AMPERE-WP-2020","architecture_mechanism","direct_statement","supports","asynchronous copy from global memory to shared memory, bypassing the register file","","","PDF p.21 and Figure 15 p.40","asynchronous copy ... global memory ... shared memory","source_checked","m2_arch_nvidia_amd","","2026-08-21","FACT-M2NA-AMPERE-ASYNC-EXEC|SRC-M2NA-NVIDIA-AMPERE-WP-2020|supports|PDF p.21 and Figure 15 p.40","draft","Barrier scheduling is split into a separate fact."
"ASSERT-M2NA-0008","FACT-M2NA-AMPERE-FP16-A","SRC-M2NA-NVIDIA-AMPERE-WP-2020","architecture_mechanism","direct_statement","supports","FP16","","","PDF p.27 Table 3, FP16 row","FP16/FP32 mixed-precision","source_checked","m2_arch_nvidia_amd","","2026-08-21","FACT-M2NA-AMPERE-FP16-A|SRC-M2NA-NVIDIA-AMPERE-WP-2020|supports|PDF p.27 Table 3, FP16 row","draft","Source value and short context rechecked against the fixed first-party PDF. Researcher interpretation remains in the canonical fact or notes, not in raw_value_text."
"ASSERT-M2NA-0009","FACT-M2NA-AMPERE-FP16-B","SRC-M2NA-NVIDIA-AMPERE-WP-2020","architecture_mechanism","direct_statement","supports","FP16","","","PDF p.27 Table 3, FP16 row","FP16/FP32 mixed-precision","source_checked","m2_arch_nvidia_amd","","2026-08-21","FACT-M2NA-AMPERE-FP16-B|SRC-M2NA-NVIDIA-AMPERE-WP-2020|supports|PDF p.27 Table 3, FP16 row","draft","Source value and short context rechecked against the fixed first-party PDF. Researcher interpretation remains in the canonical fact or notes, not in raw_value_text."
"ASSERT-M2NA-0010","FACT-M2NA-AMPERE-FP16-ACC","SRC-M2NA-NVIDIA-AMPERE-WP-2020","architecture_mechanism","direct_statement","supports","FP32","","","PDF p.27 Table 3, FP16 row","FP16/FP32 mixed-precision","source_checked","m2_arch_nvidia_amd","","2026-08-21","FACT-M2NA-AMPERE-FP16-ACC|SRC-M2NA-NVIDIA-AMPERE-WP-2020|supports|PDF p.27 Table 3, FP16 row","draft","Source value and short context rechecked against the fixed first-party PDF. Researcher interpretation remains in the canonical fact or notes, not in raw_value_text."
"ASSERT-M2NA-0011","FACT-M2NA-AMPERE-BF16-A","SRC-M2NA-NVIDIA-AMPERE-WP-2020","architecture_mechanism","direct_statement","supports","BF16","","","PDF p.27 Table 3, BF16 row","BF16/FP32 mixed-precision","source_checked","m2_arch_nvidia_amd","","2026-08-21","FACT-M2NA-AMPERE-BF16-A|SRC-M2NA-NVIDIA-AMPERE-WP-2020|supports|PDF p.27 Table 3, BF16 row","draft","Source value and short context rechecked against the fixed first-party PDF. Researcher interpretation remains in the canonical fact or notes, not in raw_value_text."
"ASSERT-M2NA-0012","FACT-M2NA-AMPERE-BF16-ACC","SRC-M2NA-NVIDIA-AMPERE-WP-2020","architecture_mechanism","direct_statement","supports","FP32","","","PDF p.27 Table 3, BF16 row","BF16/FP32 mixed-precision","source_checked","m2_arch_nvidia_amd","","2026-08-21","FACT-M2NA-AMPERE-BF16-ACC|SRC-M2NA-NVIDIA-AMPERE-WP-2020|supports|PDF p.27 Table 3, BF16 row","draft","Source value and short context rechecked against the fixed first-party PDF. Researcher interpretation remains in the canonical fact or notes, not in raw_value_text."
"ASSERT-M2NA-0013","FACT-M2NA-AMPERE-TF32-A","SRC-M2NA-NVIDIA-AMPERE-WP-2020","architecture_mechanism","direct_statement","supports","TF32","","","PDF p.27 Table 3, TF32 row","TF32 ... FP32 input/output data","source_checked","m2_arch_nvidia_amd","","2026-08-21","FACT-M2NA-AMPERE-TF32-A|SRC-M2NA-NVIDIA-AMPERE-WP-2020|supports|PDF p.27 Table 3, TF32 row","draft","FP32 source-data conversion is separate."
"ASSERT-M2NA-0014","FACT-M2NA-AMPERE-TF32-ACC","SRC-M2NA-NVIDIA-AMPERE-WP-2020","architecture_mechanism","direct_statement","supports","FP32","","","PDF p.27 Table 3, TF32 row","FP32 input/output data","source_checked","m2_arch_nvidia_amd","","2026-08-21","FACT-M2NA-AMPERE-TF32-ACC|SRC-M2NA-NVIDIA-AMPERE-WP-2020|supports|PDF p.27 Table 3, TF32 row","draft","Source value and short context rechecked against the fixed first-party PDF. Researcher interpretation remains in the canonical fact or notes, not in raw_value_text."
"ASSERT-M2NA-0015","FACT-M2NA-AMPERE-FP64-A","SRC-M2NA-NVIDIA-AMPERE-WP-2020","architecture_mechanism","direct_statement","supports","IEEE FP64","","","PDF p.27 Table 3, IEEE FP64 row","IEEE-compliant FP64 Tensor Core instructions","source_checked","m2_arch_nvidia_amd","","2026-08-21","FACT-M2NA-AMPERE-FP64-A|SRC-M2NA-NVIDIA-AMPERE-WP-2020|supports|PDF p.27 Table 3, IEEE FP64 row","draft","Source value and short context rechecked against the fixed first-party PDF. Researcher interpretation remains in the canonical fact or notes, not in raw_value_text."
"ASSERT-M2NA-0016","FACT-M2NA-AMPERE-INT-A","SRC-M2NA-NVIDIA-AMPERE-WP-2020","architecture_mechanism","direct_statement","supports","INT8","","","PDF p.27 Table 3, INT8 row","INT8, INT4, and Binary","source_checked","m2_arch_nvidia_amd","","2026-08-21","FACT-M2NA-AMPERE-INT-A|SRC-M2NA-NVIDIA-AMPERE-WP-2020|supports|PDF p.27 Table 3, INT8 row","draft","INT4 and Binary use separate precision paths."
"ASSERT-M2NA-0017","FACT-M2NA-AMPERE-SPARSE-LEVEL","SRC-M2NA-NVIDIA-AMPERE-WP-2020","architecture_mechanism","direct_statement","supports","structured sparsity acceleration in Tensor Cores","","","PDF pp.31-32 Figures 12-13","new Sparse MMA instructions","source_checked","m2_arch_nvidia_amd","","2026-08-21","FACT-M2NA-AMPERE-SPARSE-LEVEL|SRC-M2NA-NVIDIA-AMPERE-WP-2020|supports|PDF pp.31-32 Figures 12-13","draft","High-level instruction capability only. Datatype patterns are separate."
