"sequence","timestamp_utc","phase","kind","relative_path","observed_sha256","details"
"1","2026-08-13T07:01:42.3224722Z","precommit","lock_acquired","","f66404fe23d55c5364cf630bc8f2514ca2da0c9aa61a1988a649c02499de6a1d","D:\Workspace\2026projects\调研-训练推理芯片调研-资料汇总\审计\子代理交接\m2_mi455x_formal_transaction_prep\scripts\MI455X-FORMAL-TRANSACTION-LOCK-7c1f4dae8285b136.lock"
"2","2026-08-13T07:02:10.3423123Z","commit_begin","csv_replace","数据/card-completeness.csv","a046bf3d9c7c88d1204a2f12e24c1ea654aa9ddd85115b2089c50f2de21c738b","registered_before_move;candidate=35332775face0628200c2ccbe4e14d908b8cf4db3434e369fee1262a398af1da"
"3","2026-08-13T07:02:10.3717436Z","commit_complete","csv_replace","数据/card-completeness.csv","35332775face0628200c2ccbe4e14d908b8cf4db3434e369fee1262a398af1da","commit_index=1"
"4","2026-08-13T07:02:10.3755778Z","commit_begin","csv_replace","数据/components.csv","506243dd2d4f48b281197d5113133e6591f19d14c4c818e0ef140c5039088cd6","registered_before_move;candidate=e9c9dc6dd1421a96176ce7983e3637aae6ebd8810ce54b67a801d7c94cbee34a"
"5","2026-08-13T07:02:10.4031564Z","commit_complete","csv_replace","数据/components.csv","e9c9dc6dd1421a96176ce7983e3637aae6ebd8810ce54b67a801d7c94cbee34a","commit_index=2"
"6","2026-08-13T07:02:10.4070689Z","commit_begin","csv_replace","数据/condition-sets.csv","c80a2e5e5cf98e90a2902c871ca64093d3e9f572a871eedfa1f806d304bd94c3","registered_before_move;candidate=c74c4db93da4f34014e933bf93fd46c9b3b5ad995bb09b66870575a40f41282f"
"7","2026-08-13T07:02:10.4307834Z","commit_complete","csv_replace","数据/condition-sets.csv","c74c4db93da4f34014e933bf93fd46c9b3b5ad995bb09b66870575a40f41282f","commit_index=3"
"8","2026-08-13T07:02:10.4361128Z","commit_begin","csv_replace","数据/facts.csv","7886e76bac608e8cfd0131a15d93922596bb5a0d8b16508a696c7d91877c50ea","registered_before_move;candidate=0bbaafed1019cd73e0cadb1eb8388b54ec3e7c5f2eda06a762c393f96a988e34"
"9","2026-08-13T07:02:10.4623560Z","commit_complete","csv_replace","数据/facts.csv","0bbaafed1019cd73e0cadb1eb8388b54ec3e7c5f2eda06a762c393f96a988e34","commit_index=4"
"10","2026-08-13T07:02:10.4677234Z","commit_begin","csv_replace","数据/field-requirements.csv","de19ee1e1a3beecdf3658d4c8b302e60d43eaaf9e58acfbd369388992eb9afb2","registered_before_move;candidate=ddb5e846e2fb233e78b264f802cdb63a501fcf7447967a767fccabd8b7166c5d"
