"source_code","variant","in_package_scope","proposed_source_id","existing_endpoint_id","proposed_endpoint_id","endpoint_action","source_role","original_url","fetched_url","final_url","page_title","declared_or_observed_version","fetched_date","http_status","mime_type","candidate_local_path","proposed_formal_local_path","byte_size","sha256","freeze_status","identity_use","risk_note"
"A01","original_dynamic","true","SRC-M2-GA-A01","END-M2-GA-A01-PRIMARY","END-M2-GA-A01-PRIMARY","enrich_existing_endpoint_after_copy","Inferentia1 identity and per-chip core specification","https://awsdocs-neuron.readthedocs-hosted.com/en/latest/general/arch/neuron-hardware/inferentia.html","https://awsdocs-neuron.readthedocs-hosted.com/en/latest/general/arch/neuron-hardware/inferentia.html","https://awsdocs-neuron.readthedocs-hosted.com/en/latest/about-neuron/arch/neuron-hardware/inferentia.html","Inferentia Architecture — AWS Neuron Documentation","latest capture; page announces Neuron 2.31.0","2026-08-13","200","text/html","审计/子代理交接/m2_staging/M2-W2-AWS-PACKAGE/fixed-candidates/A01-inferentia-latest-2026-08-13.html","最小参考资料库/快照/AWS/M2-W2-AWS-PACKAGE/2026-08-13/A01_inferentia_latest.html","233120","76c26100a0a84ab09b4ec722b522c079e0f171c6c0730a1d02e86f6f80d822a2","frozen_dynamic_capture","primary","latest URL can drift; use the separately frozen v2.31.0 endpoint as the preferred reproducible citation."
"A01","versioned_preferred","true","SRC-M2-GA-A01","","END-M2-GA-A01-V2310-FIXED","add_versioned_endpoint_after_copy","Inferentia1 identity and per-chip core specification","https://awsdocs-neuron.readthedocs-hosted.com/en/latest/general/arch/neuron-hardware/inferentia.html","https://awsdocs-neuron.readthedocs-hosted.com/en/v2.31.0/about-neuron/arch/neuron-hardware/inferentia.html","https://awsdocs-neuron.readthedocs-hosted.com/en/v2.31.0/about-neuron/arch/neuron-hardware/inferentia.html","Inferentia Architecture — AWS Neuron Documentation","Neuron 2.31.0","2026-08-13","200","text/html","审计/子代理交接/m2_staging/M2-W2-AWS-PACKAGE/fixed-candidates/A01-inferentia-v2.31.0-2026-08-13.html","最小参考资料库/快照/AWS/M2-W2-AWS-PACKAGE/2026-08-13/A01_inferentia_v2.31.0.html","215997","8810e9d6ffa5aa84b6fd1a0a79dee9840d6972f9586dbc0c4fd5e49b3f6445ce","frozen_versioned_preferred","primary","Versioned URL removes latest drift; still does not disclose die or package construction."
"A02","versioned","true","SRC-M2-GA-A02","END-M2-GA-A02-PRIMARY","END-M2-GA-A02-PRIMARY","enrich_existing_endpoint_after_copy","Inferentia1 NCv1 implementation input","https://awsdocs-neuron.readthedocs-hosted.com/en/v2.9.1/general/arch/neuron-hardware/neuron-core-v1.html","https://awsdocs-neuron.readthedocs-hosted.com/en/v2.9.1/general/arch/neuron-hardware/neuron-core-v1.html","https://awsdocs-neuron.readthedocs-hosted.com/en/v2.9.1/general/arch/neuron-hardware/neuron-core-v1.html","NeuronCore-v1 Architecture — AWS Neuron Documentation","Neuron 2.9.1","2026-08-13","200","text/html","审计/子代理交接/m2_staging/M2-W2-AWS-PACKAGE/fixed-candidates/A02-neuroncore-v1-v2.9.1-2026-08-13.html","最小参考资料库/快照/AWS/M2-W2-AWS-PACKAGE/2026-08-13/A02_neuroncore_v1_v2.9.1.html","62202","06d7b61ef030db81956e2f814c5266138bd317e3354951e2a2071601cdd745cd","frozen_versioned","secondary_architecture_mapping","Supports NCv1 and Inferentia NeuronDevice mapping, not the physical package construction."
"A03","versioned","true","SRC-M2-GA-A03","END-M2-GA-A03-PRIMARY","END-M2-GA-A03-PRIMARY","enrich_existing_endpoint_after_copy","Trainium1 identity and per-chip specification","https://awsdocs-neuron.readthedocs-hosted.com/en/v2.26.1/general/arch/neuron-hardware/trainium.html","https://awsdocs-neuron.readthedocs-hosted.com/en/v2.26.1/general/arch/neuron-hardware/trainium.html","https://awsdocs-neuron.readthedocs-hosted.com/en/v2.26.1/about-neuron/arch/neuron-hardware/trainium.html","Trainium Architecture — AWS Neuron Documentation","Neuron 2.26.1","2026-08-13","200","text/html","审计/子代理交接/m2_staging/M2-W2-AWS-PACKAGE/fixed-candidates/A03-trainium-v2.26.1-2026-08-13.html","最小参考资料库/快照/AWS/M2-W2-AWS-PACKAGE/2026-08-13/A03_trainium_v2.26.1.html","166258","6257908ff6d5febd52f974340d35e2f5dcfe2c1c14b9c4132dcb3dc3124c7079","frozen_versioned","primary","Original general path redirects to about-neuron; both URLs are recorded."
"A04","versioned","true","SRC-M2-GA-A04","END-M2-GA-A04-PRIMARY","END-M2-GA-A04-PRIMARY","enrich_existing_endpoint_after_copy","Inferentia2 identity and per-chip specification","https://awsdocs-neuron.readthedocs-hosted.com/en/v2.29.1/about-neuron/arch/neuron-hardware/inferentia2.html","https://awsdocs-neuron.readthedocs-hosted.com/en/v2.29.1/about-neuron/arch/neuron-hardware/inferentia2.html","https://awsdocs-neuron.readthedocs-hosted.com/en/v2.29.1/about-neuron/arch/neuron-hardware/inferentia2.html","Inferentia2 Architecture — AWS Neuron Documentation","Neuron 2.29.1","2026-08-13","200","text/html","审计/子代理交接/m2_staging/M2-W2-AWS-PACKAGE/fixed-candidates/A04-inferentia2-v2.29.1-2026-08-13.html","最小参考资料库/快照/AWS/M2-W2-AWS-PACKAGE/2026-08-13/A04_inferentia2_v2.29.1.html","203185","cc1c79f5255f6cc851dab448098adc54fea713a626c205bba4a5a2b5ef2372dd","frozen_versioned","primary","Instance chip count is context only and must not be written as a per-chip property."
"A05","versioned","true","SRC-M2-GA-A05","END-M2-GA-A05-PRIMARY","END-M2-GA-A05-PRIMARY","enrich_existing_endpoint_after_copy","Trainium1 and Inferentia2 shared NCv2 implementation and conflict input","https://awsdocs-neuron.readthedocs-hosted.com/en/v2.29.1/nki/guides/architecture/trainium_inferentia2_arch.html","https://awsdocs-neuron.readthedocs-hosted.com/en/v2.29.1/nki/guides/architecture/trainium_inferentia2_arch.html","https://awsdocs-neuron.readthedocs-hosted.com/en/v2.29.1/nki/guides/architecture/trainium_inferentia2_arch.html","Trainium/Inferentia2 Architecture Guide for NKI — AWS Neuron Documentation","Neuron 2.29.1","2026-08-13","200","text/html","审计/子代理交接/m2_staging/M2-W2-AWS-PACKAGE/fixed-candidates/A05-trainium-inferentia2-nki-v2.29.1-2026-08-13.html","最小参考资料库/快照/AWS/M2-W2-AWS-PACKAGE/2026-08-13/A05_trainium_inferentia2_nki_v2.29.1.html","292064","4d2318ec97548a8cb970ec06fb0c2f167a97aa17e361bb89563d057cb36b50cf","frozen_versioned","secondary_device_scope","Shared guide does not make Trainium and Inferentia2 one object; relevance banner and body naming differ, so use body sections and explicit locators."
"A06","versioned","true","SRC-M2-GA-A06","END-M2-GA-A06-PRIMARY","END-M2-GA-A06-PRIMARY","enrich_existing_endpoint_after_copy","Trainium3 identity and per-chip specification","https://awsdocs-neuron.readthedocs-hosted.com/en/v2.28.1/about-neuron/arch/neuron-hardware/trainium3.html","https://awsdocs-neuron.readthedocs-hosted.com/en/v2.28.1/about-neuron/arch/neuron-hardware/trainium3.html","https://awsdocs-neuron.readthedocs-hosted.com/en/v2.28.1/about-neuron/arch/neuron-hardware/trainium3.html","Trainium3 Architecture — AWS Neuron Documentation","Neuron 2.28.1","2026-08-13","200","text/html","审计/子代理交接/m2_staging/M2-W2-AWS-PACKAGE/fixed-candidates/A06-trainium3-v2.28.1-2026-08-13.html","最小参考资料库/快照/AWS/M2-W2-AWS-PACKAGE/2026-08-13/A06_trainium3_v2.28.1.html","206604","2fad4aca914e1a10289f636a273464d5f5f86ad6c5cc830092dfabb0bf786dcb","frozen_versioned","primary","Use the Trainium3 section; the page relevance banner also names Trn1 and is not an object-scope statement."
"A07","original_dynamic","true","SRC-M2-GA-A07","END-M2-GA-A07-PRIMARY","END-M2-GA-A07-PRIMARY","enrich_existing_endpoint_after_copy","Trainium3 NCv4 implementation and conflicting implementation totals","https://awsdocs-neuron.readthedocs-hosted.com/en/latest/nki/guides/architecture/trainium3_arch.html","https://awsdocs-neuron.readthedocs-hosted.com/en/latest/nki/guides/architecture/trainium3_arch.html","https://awsdocs-neuron.readthedocs-hosted.com/en/latest/nki/guides/architecture/trainium3_arch.html","Trainium3 Architecture Guide for NKI — AWS Neuron Documentation","latest capture; page announces Neuron 2.31.0","2026-08-13","200","text/html","审计/子代理交接/m2_staging/M2-W2-AWS-PACKAGE/fixed-candidates/A07-trainium3-nki-latest-2026-08-13.html","最小参考资料库/快照/AWS/M2-W2-AWS-PACKAGE/2026-08-13/A07_trainium3_nki_latest.html","268399","aa22cfcffd97e35e1d1c17a14480a1f5ace87f2adf7b5f46e26ba512d0ef209f","frozen_dynamic_capture","not_primary","Highest drift risk; use the separately frozen v2.31.0 endpoint as the preferred reproducible citation."
"A07","versioned_preferred","true","SRC-M2-GA-A07","","END-M2-GA-A07-V2310-FIXED","add_versioned_endpoint_after_copy","Trainium3 NCv4 implementation and conflicting implementation totals","https://awsdocs-neuron.readthedocs-hosted.com/en/latest/nki/guides/architecture/trainium3_arch.html","https://awsdocs-neuron.readthedocs-hosted.com/en/v2.31.0/nki/guides/architecture/trainium3_arch.html","https://awsdocs-neuron.readthedocs-hosted.com/en/v2.31.0/nki/guides/architecture/trainium3_arch.html","Trainium3 Architecture Guide for NKI — AWS Neuron Documentation","Neuron 2.31.0","2026-08-13","200","text/html","审计/子代理交接/m2_staging/M2-W2-AWS-PACKAGE/fixed-candidates/A07-trainium3-nki-v2.31.0-2026-08-13.html","最小参考资料库/快照/AWS/M2-W2-AWS-PACKAGE/2026-08-13/A07_trainium3_nki_v2.31.0.html","251687","4bb6e756d37069f83f36fca4144e494688a23396728b52338385a4ee8be6a2f2","frozen_versioned_preferred","not_primary","Versioned capture preserves the 4.7 TB/s and 20 CC-Core statements for later conflict handling."
"A08","dated_page","true","SRC-M2-GA-A08","END-M2-GA-A08-PRIMARY","END-M2-GA-A08-PRIMARY","enrich_existing_endpoint_after_copy","Trainium3 dated identity, process, HBM type, and availability input","https://aws.amazon.com/about-aws/whats-new/2025/12/amazon-ec2-trn3-ultraservers/","https://aws.amazon.com/about-aws/whats-new/2025/12/amazon-ec2-trn3-ultraservers/","https://aws.amazon.com/about-aws/whats-new/2025/12/amazon-ec2-trn3-ultraservers/","Announcing Amazon EC2 Trn3 UltraServers for faster, lower-cost generative AI training - AWS","Posted 2025-12-02; fetched 2026-08-13","2026-08-13","200","text/html","审计/子代理交接/m2_staging/M2-W2-AWS-PACKAGE/fixed-candidates/A08-trn3-ultraservers-2025-12-02-fetched-2026-08-13.html","最小参考资料库/快照/AWS/M2-W2-AWS-PACKAGE/2026-08-13/A08_trn3_ultraservers_2025-12-02.html","329595","d10e887199750363ffb679347c78d27012a2d63c2cc2bf2a49704d16aee449cb","frozen_dated_page","secondary_dated_confirmation","UltraServer totals are system-level context and must not be down-scoped to one chip."
