"mechanism","coverage_target","disposition","formal_record","boundary"
"Attention data move","CAP-R1-GA100-GAP-ATTENTION-MOVE","not_found","REQ-R1-GA100-CAP-GAP-ATTENTION-MOVE","General async copy does not establish a dedicated attention path."
"Softmax","CAP-R1-GA100-GAP-SOFTMAX","not_found","REQ-R1-GA100-CAP-GAP-SOFTMAX","Warp reduction is not a Softmax unit."
"Reduction","CAP-R1-GA100-AMPERE-WARP-REDUCE","value","FACT-R1-GA100-AMPERE-REDUCE-LEVEL|FACT-R1-GA100-AMPERE-REDUCE-DETAIL|FACT-R1-GA100-AMPERE-REDUCE-LIMIT","ADD, MIN, MAX, AND, OR, XOR at warp scope. Other operations use software."
"Top-k","CAP-R1-GA100-GAP-TOPK","not_found","REQ-R1-GA100-CAP-GAP-TOPK","No dedicated unit or instruction accepted."
"MoE route","CAP-R1-GA100-GAP-MOE-ROUTE","not_found","REQ-R1-GA100-CAP-GAP-MOE-ROUTE","No dedicated route mechanism accepted."
"MoE dispatch","CAP-R1-GA100-GAP-MOE-DISPATCH","not_found","REQ-R1-GA100-CAP-GAP-MOE-DISPATCH","No dedicated dispatch mechanism accepted."
"Collective offload","CAP-R1-GA100-GAP-COLLECTIVE","not_found","REQ-R1-GA100-CAP-GAP-COLLECTIVE","NVLink protocol does not prove network collective offload."
"Sparse skip","CAP-M2NA-AMPERE-SPARSE","value","FACT-M2NA-AMPERE-SPARSE-LEVEL|FACT-M2NA-AMPERE-SPARSE-DETAIL","Datatype-specific metadata patterns stay conditioned."
"Quantize","CAP-R1-GA100-GAP-QUANTIZE","not_found","REQ-R1-GA100-CAP-GAP-QUANTIZE","Format conversion does not prove a dedicated quantizer."
"Dequantize","CAP-R1-GA100-GAP-DEQUANTIZE","not_found","REQ-R1-GA100-CAP-GAP-DEQUANTIZE","Format conversion does not prove a dedicated dequantizer."
"Transpose or permute","CAP-R1-GA100-GAP-TRANSPOSE","not_found","REQ-R1-GA100-CAP-GAP-TRANSPOSE","No dedicated physical mechanism accepted."
"Compression","CAP-R1-GA100-GAP-COMPRESSION","pending","REQ-R1-GA100-CAP-GAP-COMPRESSION","A100 L2 compression remains a product-conditioned lead."
"KV cache management","CAP-R1-GA100-GAP-KV-CACHE","not_found","REQ-R1-GA100-CAP-GAP-KV-CACHE","No chip-bound KV cache manager accepted."
"Media or OFA","CAP-R1-GA100-OFA|CAP-R1-GA100-VIDEO-DECODE","value","FACT-R1-GA100-OFA-LEVEL|FACT-R1-GA100-VIDEO-LEVEL|FACT-R1-GA100-VIDEO-DETAIL","GA100 format and OFA capability only. A100 counts and throughput are excluded."

